科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"45,181,776.57","87,769,211.73","102,397,311.51","204,377,050.15","172,556,242.39","106,559,564.40","171,187,606.00","109,111,750.35","160,062,783.02","643,010,677.31","517,795,147.06","513,204,019.55","472,796,541.12","647,970,028.53","457,686,018.45","283,042,218.33","513,458,022.33","755,681,700.00","732,173,032.08","1,006,475,051.25"
短期借款,"92,860,000.00","158,200,000.00","219,000,000.00","244,000,000.00","209,000,000.00","224,000,000.00","319,000,000.00","313,500,000.00","383,500,000.00","509,500,000.00","291,500,000.00","207,000,000.00","410,787,200.00","457,944,700.00","490,111,700.00","714,924,400.00","792,525,101.46","748,463,243.69","832,476,137.52","894,248,071.19"
交易性金融资产,,,,,"24,450.00",,,,,,,,,,,,,,,
交易性金融负债,,,,,,"255,600.00",,,,,,,,,,,,,"378,300.00",
应收票据,"4,040,000.00","10,794,541.75","19,682,120.62","12,575,046.18","5,179,897.50","5,739,406.69","18,986,697.74","13,797,750.67","13,933,654.47","7,367,166.60","12,725,083.93","3,040,720.00","9,173,620.02","11,599,878.32","8,415,041.09","6,760,287.24","3,313,400.00","3,358,866.83","6,126,196.16","4,662,002.40"
应付票据,,"17,000,000.00","15,424,046.18","52,902,396.08","81,481,000.00","48,004,040.00","20,067,749.20","10,067,749.20",,"7,721,195.60","14,942,057.08","13,724,882.88","14,396,727.72","40,828,936.15","30,133,989.36","37,955,456.46","55,794,743.72",,"270,850,896.38",
应收账款,"101,341,218.36","124,594,125.86","212,571,771.65","231,998,056.25","262,095,606.21","266,409,758.94","380,249,128.89","386,725,916.64","485,229,476.32","679,712,303.97","596,741,794.11","680,743,391.58","863,251,726.78","990,196,754.77","954,569,349.65","1,074,460,218.39","1,364,779,876.22","1,559,639,012.45","1,706,696,302.47","1,665,089,244.70"
应付账款,"58,620,527.21","51,525,105.40","66,815,368.87","56,900,455.62","65,388,036.33","104,609,921.07","191,038,005.48","197,580,187.17","283,587,221.86","452,027,548.11","518,918,830.41","515,769,600.42","661,525,350.78","759,838,788.53","782,997,429.54","737,926,194.08","926,674,718.15",,"1,168,302,114.69",
预付款项,"9,083,074.74","15,942,944.28","31,522,300.45","51,407,186.40","44,424,970.77","41,017,647.91","23,985,881.31","34,193,991.04","31,247,971.52","100,242,291.65","35,996,238.98","51,541,102.27","43,458,324.10","99,862,448.62","53,660,969.63","98,518,932.54","72,081,612.49","112,479,136.13","85,097,740.81","146,711,268.41"
预收款项,"13,352,086.44","15,639,903.49","53,006,713.98","37,820,549.48","23,105,956.37","51,149,847.10","21,604,383.46","11,144,639.24","4,499,439.24","13,487,347.35","29,825,245.36","34,820,360.00","30,694,290.66","61,161,897.02","81,411,066.99","122,427,839.87","135,476,238.06","130,002,005.37","148,378,272.73","156,291,733.16"
其他应收款,"13,811,533.86","23,531,510.60","13,490,447.42","17,517,128.13","30,826,724.28","62,243,475.94","48,960,122.79","56,744,681.47","43,382,826.79","70,561,114.55","90,970,823.82","106,607,662.75","78,045,146.74","69,750,434.78","79,149,748.13","129,035,859.87","104,657,236.96","116,931,091.80","108,649,394.88","114,941,335.99"
应付职工薪酬,"3,954,282.08","3,715,530.42","3,575,234.92","2,415,252.58","2,835,806.15","2,898,386.24","8,675,045.33","2,887,019.00","3,936,762.92","4,925,342.53","16,726,520.83","6,242,858.39","8,863,593.65","9,909,557.80","26,569,153.44","9,638,252.90","14,317,128.40","18,298,304.98","49,765,688.03","22,797,032.57"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"7,698,493.09","8,172,940.74","13,482,899.02","9,017,784.73","12,941,157.09","10,483,168.65","15,479,591.49","16,983,786.44","22,496,700.43","33,153,464.26","61,285,940.44","44,319,001.69","57,939,878.14","66,591,175.44","91,912,578.81","115,310,424.35","111,205,612.89","140,539,237.21","176,294,108.36","105,527,842.38"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,"1,300,000.00",,,,,"1,734,873.32","1,413,230.05",,,"3,343,449.13","1,774,860.88"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,"3,488,388.32",,,,,,,,,,,,,,,
存货,"24,879,337.87","43,174,890.54","56,956,728.39","85,849,001.68","77,152,821.13","136,868,081.93","81,395,546.42","74,465,017.70","93,086,551.99","55,846,608.44","52,622,991.27","64,999,492.26","104,440,651.58","165,387,103.89","121,053,757.28","171,139,956.71","112,089,875.82","116,203,693.36","149,002,203.43","167,148,433.94"
其他应付款,"5,503,070.22","4,452,291.70","2,256,067.27","7,975,372.07","1,441,482.69","1,788,835.56","70,380,845.20","79,944,032.59","80,719,697.74","77,173,539.12","46,765,455.59","41,070,511.15","42,205,209.96","42,674,858.05","24,652,157.46","37,283,055.03","40,424,397.58","40,365,990.47","33,927,947.39","40,747,331.40"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,"26,504,568.92","29,176,425.03","29,176,425.03","29,176,425.03","29,176,425.03","29,176,425.03","29,176,425.03","29,176,425.03","29,176,425.03",,,,,"7,443,187.18","7,480,886.56","10,307,162.24","4,889,438.49","13,978,676.72","13,978,676.72"
一年内到期的非流动负债,,,,,,,,,,,"1,000,000.00","1,000,000.00","500,000.00","500,000.00","160,340,000.00","160,340,000.00","202,100,000.00","200,410,000.00","265,003,364.40","219,977,810.31"
其他流动资产,"125,000.00","200,000.00","103,844.75","52,094.10","1,607,535.13","11,451,660.95","1,077,085.49","1,070,578.76","557,754.27","6,707.74","657,082.53","500,006.18","710,612.97","1,326,994.21","33,396,944.42","49,955,112.58","55,603,825.86","57,713,111.28","99,759,857.83","116,576,338.65"
其他流动负债,,,,,,,,,,,,,,"156,000,000.00","156,000,000.00",,,"20,000,000.00","20,000,000.00","90,000,000.00"
流动资产合计,"198,461,941.40","332,511,793.68","465,900,949.82","632,951,987.92","623,044,672.44","659,466,021.79","755,018,493.67","705,286,111.66","856,677,443.41","1,585,923,295.29","1,307,509,161.70","1,420,636,394.59","1,571,876,623.31","1,986,093,643.12","1,715,375,015.83","1,820,393,472.22","2,236,291,011.92","2,726,896,050.34","2,901,483,404.38","3,235,582,352.06"
流动负债合计,"181,988,459.04","258,705,771.75","373,560,330.24","411,031,810.56","399,681,826.95","443,189,798.62","646,245,620.16","632,107,413.64","778,739,822.19","1,099,288,436.97","980,964,049.71","863,947,214.53","1,226,912,250.91","1,595,449,912.99","1,845,862,948.92","1,937,218,852.74","2,278,517,940.26","2,458,739,684.12","2,965,376,829.50","3,035,829,497.83"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,
