科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"308,515,009.42","358,686,171.16","183,523,966.66","415,942,234.81","200,305,877.97","287,481,563.84","423,653,721.44","58,145,128.24","166,240,967.61","269,967,531.93","385,755,838.39","87,009,589.46","133,794,478.28","226,373,527.54","338,054,594.72","76,636,986.79","164,575,951.86","264,064,459.83","390,311,610.81","67,754,987.31","176,387,596.02","325,156,852.52","556,059,044.09","210,637,665.55","395,618,355.17","586,204,873.12","951,123,400.06","290,529,469.38","615,777,049.79","848,947,625.28","1,180,051,520.16","314,605,709.43","578,254,881.22","775,666,586.91","1,210,398,767.20","278,857,358.34"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"1,023,477.20",,,,,,,,,,,,"78,723,404.38",,,,"32,193,053.96",,,,"35,253,519.98",,,,"-2,677,764.41",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,"755,767.00","3,079,002.30","795,373.27","2,488,025.58","6,565,929.91","9,277,084.88","3,026,701.05","7,493,822.59","11,265,449.96","11,835,414.51","751,395.84","1,545,788.78","3,712,606.45","12,358,009.52","1,268,608.27"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"102,500.00",,,,,"1,369,600.00","1,689,200.00","1,689,200.00",,"1,117,328.50","1,117,328.50","1,977,007.91","184,050.00","184,050.00","184,050.00","808,271.46",,,,,
收到其他与经营活动有关的现金,"8,429,901.59","9,778,525.38","623,889.78","6,632,761.70","4,585,073.28","21,831,449.27","9,753,326.11","839,909.61","3,920,354.40","5,892,283.40","5,867,322.09","1,938,257.81","2,268,817.48","4,183,655.12","5,109,228.26","1,290,186.86","2,960,513.20","4,768,646.98","22,639,811.21","4,014,523.85","5,685,800.29","5,655,154.83","21,025,359.07","5,107,482.97","7,631,462.11","69,258,492.96","11,414,061.33","7,639,616.14","18,963,144.66","38,881,975.07","68,824,928.99","23,733,876.52","56,113,963.50","83,174,480.12","88,969,697.89","22,515,246.82"
投资活动现金流出小计,"43,856,347.24","21,222,563.22","21,792,403.21","34,611,502.53","9,562,638.19","13,910,517.87","13,026,986.15","8,313,865.68","19,226,337.10","32,863,502.30","35,101,391.97","2,480,928.94","33,054,571.92","34,162,542.43","38,035,934.43","3,155,361.79","15,678,735.82","37,226,797.98","119,097,086.95","17,996,153.81","28,621,237.39","108,108,538.53","151,918,847.20","9,486,624.04","305,806,269.45","619,163,107.80","1,346,022,378.24","380,294,389.47","913,402,271.37","1,393,812,489.79","2,054,831,919.40","658,243,576.33","398,791,055.16","719,321,831.91","3,140,879,551.16","442,258,177.19"
经营活动现金流入小计,"316,944,911.01","368,464,696.54","184,147,856.44","422,574,996.51","204,890,951.25","309,313,013.11","433,407,047.55","58,985,037.85","170,161,322.01","275,859,815.33","391,623,160.48","88,947,847.27","136,063,295.76","230,557,182.66","343,163,822.98","77,927,173.65","167,536,465.06","268,833,106.81","412,951,422.02","71,769,511.16","182,073,396.31","331,567,774.35","580,163,405.46","216,540,521.79","405,737,842.86","662,029,295.99","971,814,546.27","301,195,786.57","642,234,017.04","899,095,050.31","1,260,711,863.66","339,090,981.79","635,914,633.50","862,553,673.48","1,311,726,474.61","302,641,213.43"
投资活动产生的现金流量净额,"-42,010,365.46","-21,176,354.22","-21,792,403.21","-34,472,191.90","-9,562,050.19","-13,909,929.87","-13,014,398.15","-8,313,865.68","-19,226,337.10","-32,788,502.30","-34,496,391.97","-2,480,928.94","-33,054,571.92","-34,162,542.43","-37,252,938.43","-2,891,896.03","-15,585,735.82","-37,042,015.70","-50,109,263.55","-13,974,137.37","-24,558,125.06","-107,665,426.20","-146,745,055.52","-9,014,624.04","-35,245,242.19","97,050,336.63","-173,707,310.40","-68,288,509.58","-218,311,283.64","-289,117,804.98","-209,474,903.31","-49,394,424.77","110,051,498.31","100,531,406.77","120,122,847.41","-33,790,723.19"
购买商品、接受劳务支付的现金,"239,029,334.41","247,046,290.48","119,353,125.82","268,441,251.24","157,067,349.03","257,829,936.64","375,214,805.98","63,759,332.63","159,201,899.93","250,349,018.43","330,531,117.72","64,777,948.24","105,836,649.17","194,346,153.35","273,577,667.61","54,988,684.06","116,141,669.99","182,644,173.96","238,617,560.27","63,610,330.68","143,632,796.70","255,654,348.12","430,686,276.18","191,133,627.12","313,788,663.52","484,919,349.22","690,740,999.05","202,726,014.40","435,166,544.33","557,490,560.94","724,579,401.89","216,420,748.79","371,015,362.29","468,017,061.06","704,715,855.38","244,209,334.60"
吸收投资收到的现金,"5,200,000.00",,,,,"430,025,000.00","441,320,000.00",,,,,,,,,,,,,,,"152,499,987.00","152,499,987.00",,,,"254,499,999.02",,"300,000.00","300,000.00","300,000.00",,,,,
支付给职工以及为职工支付的现金,"24,159,832.35","28,000,834.14","20,416,348.97","39,322,421.73","22,270,387.02","32,069,031.50","45,077,626.14","10,093,970.20","21,753,333.69","33,467,360.21","47,852,686.25","12,476,899.69","23,296,227.02","34,815,756.14","47,291,999.88","12,383,599.03","23,840,407.53","36,596,024.70","50,300,259.06","13,788,320.57","28,834,402.26","42,994,810.74","72,265,175.93","28,587,016.54","56,364,003.36","83,552,567.47","116,884,145.70","43,798,289.88","78,142,119.27","116,047,294.76","162,859,049.35","48,810,367.46","88,580,527.73","133,643,153.11","192,634,232.25","69,084,778.63"
取得借款收到的现金,"22,000,000.00",,"22,000,000.00","20,000,000.00","23,067,000.00","28,312,000.00","28,312,000.00",,,,,,,"10,000,000.00","20,000,000.00",,,"18,000,000.00","10,000,000.00",,,"15,000,000.00","15,000,000.00","19,600,000.00","29,000,000.00","29,000,000.00","29,000,000.00","30,000,000.00","30,000,000.00","48,000,000.00","81,000,000.00","17,240,000.00","99,240,000.00","117,240,000.00","156,950,000.00","67,000,000.00"
支付的各项税费,"16,880,110.00","14,990,072.49","9,231,977.12","16,642,789.76","9,214,752.63","16,790,543.04","23,153,131.04","6,206,314.64","11,352,201.83","18,947,759.56","24,085,459.31","3,827,749.72","7,492,490.34","10,376,137.33","13,932,236.49","3,806,174.93","10,438,467.14","16,087,312.86","18,936,499.16","4,704,650.97","12,831,937.83","25,542,658.93","34,454,153.27","14,848,000.30","31,105,746.53","66,190,638.34","66,199,408.29","28,187,631.82","66,585,084.20","92,590,378.78","111,911,264.37","29,126,046.03","53,007,300.27","78,469,547.76","95,938,774.69","27,203,023.73"
收到其他与筹资活动有关的现金,,"8,231,647.72",,,,,,,"5,429,703.62","8,153,072.59","12,084,464.08","887,769.99","1,583,690.76","879,264.03","7,146,964.13","2,700,000.00","3,538,995.70","2,700,000.00","4,661,641.64","544,776.28","900,000.00","900,000.00","12,026,298.95",,"459,576.66","459,576.66","2,886,785.64",,,,"1,744,556.98",,,,"1,329,593.46","44,435.52"
支付其他与经营活动有关的现金,"23,199,165.09","36,661,668.03","14,675,924.52","38,795,963.56","18,806,509.98","41,990,633.59","29,746,189.90","7,815,305.35","17,361,804.96","31,807,149.77","42,198,597.84","9,163,596.78","13,014,152.63","20,691,076.94","38,951,801.39","7,672,485.97","18,730,345.23","25,250,653.78","44,322,314.94","7,769,278.30","16,697,290.70","43,506,858.19","78,384,103.35","13,455,441.28","29,715,285.41","113,295,702.12","59,045,234.50","60,992,626.38","87,651,416.18","132,416,931.63","154,666,362.15","47,865,610.45","97,531,454.23","146,787,498.81","194,848,134.98","56,377,353.41"
筹资活动现金流入小计,"27,200,000.00","8,231,647.72","22,000,000.00","20,000,000.00","23,067,000.00","458,337,000.00","469,632,000.00",,"5,429,703.62","8,153,072.59","12,084,464.08","887,769.99","1,583,690.76","10,879,264.03","27,146,964.13","2,700,000.00","3,538,995.70","20,700,000.00","14,661,641.64","544,776.28","900,000.00","168,399,987.00","179,526,285.95","19,600,000.00","29,459,576.66","29,459,576.66","286,386,784.66","30,000,000.00","30,300,000.00","48,300,000.00","83,044,556.98","17,240,000.00","99,240,000.00","117,240,000.00","158,279,593.46","67,044,435.52"
经营活动现金流出小计,"303,268,441.85","326,698,865.14","163,677,376.43","363,202,426.29","207,358,998.66","348,680,144.77","473,191,753.06","87,874,922.82","209,669,240.41","334,571,287.97","444,667,861.12","90,246,194.43","149,639,519.16","260,229,123.76","373,753,705.37","78,850,943.99","169,150,889.89","260,578,165.30","352,176,633.43","89,872,580.52","201,996,427.49","367,698,675.98","615,789,708.73","248,024,085.24","430,973,698.82","747,958,257.15","932,869,787.54","335,704,562.48","667,545,163.98","898,545,166.11","1,154,016,077.76","342,222,772.73","610,134,644.52","826,917,260.74","1,188,136,997.30","396,874,490.37"
偿还债务支付的现金,,"12,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00","46,072,000.00","46,072,000.00",,,"2,240,000.00","2,240,000.00",,,,,,,"20,000,000.00","30,000,000.00",,,"10,000,000.00",,"3,520,000.00",,,"13,000,000.00","19,600,000.00","29,000,000.00","29,000,000.00","31,000,000.00","30,000,000.00","30,000,000.00","48,000,000.00","87,950,000.00","67,020,000.00"
经营活动产生的现金流量净额,"13,676,469.16","41,765,831.40","20,470,480.01","59,372,570.22","-2,468,047.41","-39,367,131.66","-39,784,705.51","-28,889,884.97","-39,507,918.40","-58,711,472.64","-53,044,700.64","-1,298,347.16","-13,576,223.40","-29,671,941.10","-30,589,882.39","-923,770.34","-1,614,424.83","8,254,941.51","60,774,788.59","-18,103,069.36","-19,923,031.18","-36,130,901.63","-35,626,303.27","-31,483,563.45","-25,235,855.96","-85,928,961.16","38,944,758.73","-34,508,775.91","-25,311,146.94","549,884.20","106,695,785.90","-3,131,790.94","25,779,988.98","35,636,412.74","123,589,477.31","-94,233,276.94"
分配股利、利润或偿还利息支付的现金,"1,178,100.00","850,302.50","370,618.75","883,476.25","381,140.00","596,932.50","1,023,058.22","33,080.45","14,614,939.88","20,566,056.39","20,522,517.46",,,"55,800.00","360,600.00","33,600.01","6,098,423.43","7,064,323.42","7,739,161.23",,,"4,816,360.15","3,505,102.38","2,263,857.70","2,544,268.44","3,637,268.46","6,451,471.55","5,808,981.90","22,900,445.91","23,529,093.41","24,774,109.92","1,117,587.50","25,588,554.29","27,198,432.32","26,288,311.78","2,104,119.15"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,"68,000,000.00","4,000,000.00","4,041,095.89","41,095.89","4,000,000.00",,"270,000,000.00","715,000,000.00","1,169,200,000.00","312,000,455.23","668,850,455.23","1,104,272,570.02","1,792,060,561.80","598,576,189.08","475,036,909.08","790,474,439.08","3,217,269,432.38","406,305,255.45"
支付其他与筹资活动有关的现金,"1,690,915.58",,"3,022,768.31","6,863,600.00","-4,298,434.44","4,211,235.98","14,294,107.46",,,,,,"2,450,471.85","2,450,471.85","2,700,000.00","1,500,542.99","1,499,075.70","851,629.71","8,107,195.77",,"1,895,780.85","1,437,283.37","2,266,083.37",,,,,,,,,,,,,150.30
取得投资收益收到的现金,,,,,,,,,,,,,,,,"170,465.76",,,"241,983.38","22,016.44","22,016.44",,"126,791.68",,"491,027.26","1,128,239.03","2,106,639.94","5,424.66","26,044,229.58","22,114.79","5,120,388.79","10,272,962.48","33,805,644.39","29,302,799.60","11,314,141.62","2,162,198.55"
