科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他应收款,"11,242,237.38","31,188,776.96","38,934,323.86","373,895,697.87","277,786,052.13","269,598,023.47","266,763,476.76","220,663,988.47","221,598,253.72","223,533,692.24","224,022,400.00","224,852,367.54","229,150,055.28","307,364,410.00","310,771,491.19","31,413,979.37","76,913,921.44","29,092,984.73","25,054,851.13","13,505,288.79","27,266,826.49","18,780,754.43","14,561,167.08","9,333,330.96","9,823,624.43","13,262,599.76","12,878,252.71","32,167,446.91","28,166,048.89","125,719,211.99","131,580,607.54","102,209,362.98","111,292,021.55","171,125,627.75","436,573,816.35","181,561,390.58","196,950,419.11","127,710,350.10","8,161,050.76","3,762,430.25","794,608.95","1,170,738.65","4,056,893.33","4,450,147.49","20,272,956.60"
应付职工薪酬,"2,155,954.50","3,746,079.09","3,981,503.52","5,323,046.82","1,385,122.69","-9,305,091.51","-1,818,330.43","15,130,546.10","11,598,485.44","13,809,067.01","14,309,009.83","12,518,108.64","12,372,142.42","7,334,052.04","9,283,164.04","135,925,184.17","91,966,593.39","94,938,484.34","100,875,161.00","121,661,366.74","77,359,484.83","91,264,917.50","78,691,557.55","99,638,672.80","67,431,688.23","108,510,621.63","124,273,964.97","100,545,714.32","75,078,834.58","90,165,589.92","101,893,279.26","101,386,181.39","73,954,376.53","79,083,472.88","96,494,203.10","87,224,470.81","68,588,247.22","80,382,684.84","91,418,110.23","117,890,849.56","94,419,398.57","119,826,479.46","112,790,542.88","146,921,184.98","109,309,759.96"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"22,018,903.56","-31,103,007.92","-11,964,549.76","-36,456,837.59","-25,118,066.34","-20,913,762.87","-23,476,790.21","-24,729,851.64","-28,385,203.94","-26,202,173.44","-24,628,380.46","-37,197,055.31","-38,951,325.47","-34,320,609.55","-34,000,597.94","-19,878,205.15","37,497,723.20","52,628,662.00","32,435,123.61","-22,769,969.05","-38,328,582.72","-5,633,157.77","-14,454,759.58","41,993,900.08","18,748,657.72","17,469,494.88","19,283,353.94","23,785,084.20","16,253,924.05","73,877,951.95","37,846,619.13","30,498,023.53","39,891,440.92","98,651,153.65","20,003,864.59","47,063,659.98","33,807,137.17","18,617,568.42","41,642,600.29","81,539,239.11","126,912,992.94","151,676,507.57","198,213,825.37","338,137,373.95","330,339,991.83"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,204,444.44","14,204,444.44","17,304,128.88","21,449,203.09","25,535,841.43","29,455,110.73","25,400,863.28","25,347,994.85","62,543.71","84,857.04",,"1,781,196.34",,"30,709.45"
应付利息,"440,437.07","612,965.54","3,127,585.68","1,628,439.52","4,713,651.11","2,805,340.67","6,221,475.82","24,275,978.49","37,424,997.10","51,845,695.25","85,013,079.04","103,263,567.17","122,310,037.41","140,243,017.74","158,604,194.45","115,187,021.57","27,726,739.13","15,027,441.78","5,824,573.21","15,309,740.40","22,026,349.67","23,784,611.02","16,702,376.59","21,935,784.42","21,582,722.20","5,651,666.66","12,357,657.04","16,746,582.20","21,220,722.18","4,280,488.88","2,937,525.18","1,502,355.66","1,316,758.41","647,166.74","553,750.04","329,633.36","347,758.36","217,500.02","57,395.83","63,135.41",,,,"132,916.67",
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,"3,328,560.00",,,,,,,,,,,,,,"170,000,000.00","254,249,544.14","166,282,552.97","166,282,552.97","166,282,552.97","166,282,552.97","166,282,552.97","166,282,552.97","166,282,552.97","166,282,552.97","166,282,552.97","166,282,552.97","268,824,354.74","191,102,246.84","191,102,246.84",,,,"12,623,623.12","9,950,370.48",,,,,,,,,,
存货,"739,230,159.92","516,354,587.22","577,674,935.81","490,316,151.24","495,312,181.29","250,327,886.05","158,021,785.34","96,159,324.78","100,477,161.62","111,638,781.94","105,398,980.04","104,382,230.42","99,883,872.64","80,575,045.89","71,569,603.51","2,356,126,924.31","1,913,264,033.10","1,999,427,930.95","2,191,122,926.43","2,117,539,104.60","2,242,054,968.59","2,170,109,334.38","1,622,138,928.19","1,374,943,384.58","1,911,608,007.25","2,007,593,178.95","2,094,756,589.40","2,007,624,700.06","2,217,405,361.94","1,824,331,593.93","1,573,580,549.45","1,322,230,162.79","1,561,429,041.05","1,189,831,266.72","1,306,503,733.69","833,498,816.20","902,973,682.85","988,685,135.38","1,098,201,688.49","1,823,222,073.31","1,718,692,336.19","1,483,491,474.73","1,365,822,785.58","1,632,261,579.78","1,767,885,424.39"
其他应付款,"104,982,750.86","15,427,618.56","38,307,297.48","11,982,005.52","60,765,189.73","51,814,871.38","52,881,011.82","76,077,609.04","77,745,513.03","78,488,324.10","77,419,927.34","128,521,508.44","135,842,643.78","137,284,057.77","141,021,966.26","336,693,131.65","455,451,116.39","289,312,257.18","256,879,300.78","182,019,880.05","174,967,830.76","220,207,977.61","199,247,976.40","196,334,948.05","218,151,417.01","241,379,206.87","211,809,285.67","208,728,935.71","240,112,628.29","246,774,581.14","210,594,485.80","207,693,643.55","233,530,615.08","248,675,576.31","260,064,094.19","249,803,668.41","244,058,600.06","254,177,701.95","278,063,430.91","236,366,112.01","238,271,209.80","246,508,218.19","235,603,157.91","224,488,274.46","237,469,169.71"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"50,000,000.00","50,000,000.00","50,000,000.00",,,,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"477,251,527.73","427,856,228.27","484,923,690.21","293,777,526.67","246,167,686.58","98,557,846.49","50,235,644.19",,,,,,,,,,,,,,,,,,,,"9,996,359.06","9,996,345.93",,
其他流动资产,,,,,,"5,690,753.90","354,140.44",,,,,,,,,"9,052,136.03","15,990,571.48","750,697.68","9,391,701.90","31,904,535.64","21,337,740.76","1,835,559.81","262,899.87","48,415,777.75","45,722,800.41","45,597,806.74","49,330,831.45","78,760,904.68","89,424,447.14","44,985,597.68","49,455,125.48","59,354,977.48","40,958,646.81","41,615,321.21","41,058,526.31","52,476,088.52","411,195,636.02","450,837,905.67","430,591,244.90","444,434,564.60","648,965,205.06","888,041,152.21","1,259,305,073.29","2,001,712,849.67","1,838,802,029.15"
其他流动负债,,,,,,,,,,,,,,,,"11,936,825.80","77,500.00","3,227,500.00","4,468,093.50","9,195,784.59","17,023,605.21","420,610,216.44","19,271,052.22","412,683,489.06","416,501,128.19","421,716,799.09","418,703,947.89","418,749,601.71","414,326,084.87","18,782,645.57","16,680,677.93","25,203,974.89","23,752,802.03","18,569,387.97","16,865,945.26","13,154,925.32","25,880,874.13","23,570,704.31","13,793,588.01","21,473,809.56","22,562,189.70","20,232,039.02","27,453,609.68","23,109,909.16","25,314,634.99"
流动资产合计,"1,731,036,506.10","1,816,089,853.27","1,801,443,260.50","1,745,924,132.19","1,810,685,549.91","1,321,543,690.26","924,843,981.35","482,037,685.97","459,156,558.76","452,295,870.21","427,156,981.52","410,870,616.45","387,834,803.64","694,890,313.82","681,575,792.80","5,920,477,917.88","6,443,440,334.93","6,467,472,946.44","5,823,104,743.53","4,915,329,740.99","5,047,865,917.82","4,536,692,369.60","3,821,588,422.38","3,264,399,291.46","3,399,954,071.92","3,574,780,617.04","4,130,892,322.61","3,939,618,420.13","4,007,228,237.06","3,864,131,700.87","3,375,488,052.28","2,917,921,879.93","3,292,791,270.56","2,801,636,839.01","3,072,327,454.03","2,592,872,602.87","2,872,118,923.42","2,847,972,174.93","2,756,500,350.96","3,470,354,641.41","4,061,532,960.85","4,193,189,538.47","4,617,686,982.76","5,386,003,712.78","5,455,705,549.37"
流动负债合计,"1,651,731,597.03","1,723,105,301.38","1,699,271,720.21","1,753,982,676.77","1,877,230,111.48","1,406,540,836.63","1,053,575,475.44","937,511,694.23","938,542,515.45","947,403,106.05","967,103,750.92","999,451,318.79","1,002,701,900.21","1,018,150,271.85","1,039,596,244.25","7,416,013,303.74","7,769,004,886.36","7,878,426,637.71","6,897,835,516.57","5,891,262,227.56","5,907,480,030.00","5,313,282,993.97","4,596,690,628.63","3,929,395,624.35","3,926,714,824.42","3,998,998,217.27","4,423,302,489.25","4,206,057,759.79","4,161,845,022.80","3,909,181,381.35","3,350,732,425.86","2,882,851,932.49","3,135,019,107.69","2,825,152,665.03","2,765,245,794.11","2,390,292,146.24","2,609,093,147.30","2,492,536,691.60","2,317,551,785.62","2,850,168,381.94","3,182,687,145.28","3,155,799,135.15","3,256,165,216.74","3,364,952,408.34","3,271,671,200.57"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,423,368.00","55,423,368.00","55,423,368.00","55,423,368.00","64,405,743.17","64,066,055.25","64,066,055.25","74,066,055.25","114,066,055.25","549,841,944.09","568,525,267.25","532,806,781.77","482,808,607.65","434,816,543.45","433,296,841.01"
长期借款,,,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,,,,,,,"100,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"6,876,088.12","6,575,480.00","5,873,480.00","948,000.00","948,000.00","948,000.00","290,000.00",,,,,,,,,"145,851,701.86","149,294,925.23","45,827,345.27",,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,"20,699,979.91","23,880,000.00","17,488,709.53","18,611,733.57","10,978,370.09","10,268,183.27","9,596,902.32","8,852,548.34","8,445,118.51","7,829,592.57","7,165,262.91","6,505,872.93","329,099,021.65","327,375,618.36","485,896,192.32","487,995,596.79","484,005,569.76","484,007,913.84","484,254,201.32","483,494,183.73","473,431,283.87","472,351,608.69","471,629,298.95","471,282,378.09","470,664,102.01","475,464,102.01","473,986,356.47","418,881,003.31","352,171,517.20","304,688,037.21","250,929,231.54","9,760,169.23","10,889,849.51","21,663,379.77","8,782,677.23","8,847,557.98","9,002,780.97","9,119,770.75","9,540,309.72","11,224,095.46","12,426,675.38","12,665,106.47"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,"30,382,861.08","30,382,861.08","35,563,627.84","52,136,743.93","14,107,970.41","19,076,998.92","16,954,890.40","22,102,740.38","19,688,934.50","9,000,000.00",,,,,,,,,,,,,,,,,"68,824,888.18","69,370,450.68","69,877,888.18","70,372,700.68",,,,,,,,
固定资产,"519,897,388.51","507,413,387.42","476,955,442.33","468,033,931.12","454,732,564.09","440,064,090.67","426,794,478.61","380,711,080.73","369,829,207.60","359,127,032.95","348,600,141.29","337,225,696.48","327,248,308.06","317,254,196.06","307,362,085.44","4,555,280,709.46","4,458,821,649.47","4,396,502,564.45","4,329,627,818.97","4,197,616,200.01","4,141,785,619.07","4,041,609,229.12","3,931,361,314.93","3,829,560,149.06","3,713,455,892.38","3,608,362,309.94","3,514,303,337.74","3,406,643,543.96","3,290,020,416.78","3,175,486,998.49","3,079,718,643.15","3,027,148,284.42","2,936,608,680.53","3,431,248,341.04","3,331,327,736.83","3,296,334,878.75","3,203,699,768.60","3,154,785,024.66","3,151,697,759.16","3,207,250,817.10","3,115,434,001.34","3,243,604,847.48","3,314,235,156.29","3,243,271,947.99","3,249,775,466.14"
递延所得税负债,,,,,,,,,,,,,,,,"9,631,051.78","6,207,773.07","12,643,798.73","12,643,798.73","11,079,966.33","13,433,217.87","13,944,945.40","13,609,025.01","5,228,177.37","6,539,015.32","4,428,533.14","2,386,031.75","7,395,956.79","4,437,338.79","4,947,853.98","4,437,338.79","16,262,906.23","10,393,490.27","8,357,687.98",,"3,878,620.64","5,392,176.52","7,194,413.01","10,869,007.90","115,623,689.84","120,594,842.82","112,908,972.61","103,152,002.68","89,834,371.46","91,500,293.94"
在建工程,"31,931,323.89","41,542,721.80","64,570,636.72","51,826,613.35","63,417,779.81","64,031,544.15","67,063,350.89","10,623,460.21","10,623,460.21","10,623,460.21","10,743,547.63","10,743,547.63","10,743,547.63","8,756,859.22","8,756,859.22","37,830,640.04","61,883,496.46","40,698,259.38","23,369,727.51","57,524,188.82","17,905,763.34","23,784,835.31","27,116,595.34","40,381,458.80","37,992,314.94","38,832,773.36","26,526,991.09","52,137,922.64","67,117,078.91","150,070,090.43","214,062,141.48","323,792,475.47","353,287,067.46","65,931,687.72","51,029,042.02","96,760,045.57","140,074,855.90","184,750,004.55","218,095,993.75","186,604,441.78","236,447,249.38","133,694,316.59","73,853,437.62","164,762,793.03","173,859,534.31"
其他非流动负债,,,,"3,940,000.00","3,940,000.00","3,940,000.00","3,940,000.00","4,740,000.00","4,740,000.00","4,740,000.00","4,740,000.00","4,740,000.00","4,740,000.00","4,740,000.00","4,740,000.00","28,484,000.00","31,987,500.00","27,378,000.00","26,721,000.00","25,273,500.00","28,492,000.00","27,012,500.00","30,966,583.33","24,051,900.00","24,787,464.86","22,332,299.98","22,925,364.89","27,502,700.00","28,533,264.91","27,218,464.91","26,953,664.91",,,,,,,,,"9,999,025.76","9,996,452.17",,,"9,996,332.74","9,993,757.98"
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"6,876,088.12","6,575,480.00","5,873,480.00","104,888,000.00","104,888,000.00","104,888,000.00","104,230,000.00","35,122,861.08","35,122,861.08","40,303,627.84","56,876,743.93","18,847,970.41","23,816,998.92","21,694,890.40","26,842,740.38","303,655,688.14","196,490,198.30","85,849,144.00","39,364,798.73","36,353,466.33","41,925,217.87","40,957,445.40","44,575,608.34","29,280,077.37","31,326,480.18","26,760,833.12","25,311,396.64","34,898,656.79","32,970,603.70","32,166,318.89","31,391,003.70","44,209,072.89","38,445,221.88","102,549,142.83","94,572,217.40","105,734,675.51","106,616,043.84","36,918,579.64","40,766,174.56","166,322,382.24","169,897,961.61","150,822,639.21","134,100,669.18","141,713,704.10","136,273,551.73"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"1,658,607,685.15","1,729,680,781.38","1,705,145,200.21","1,858,870,676.77","1,982,118,111.48","1,511,428,836.63","1,157,805,475.44","972,634,555.31","973,665,376.53","987,706,733.89","1,023,980,494.85","1,018,299,289.20","1,026,518,899.13","1,039,845,162.25","1,066,438,984.63","7,719,668,991.88","7,965,495,084.66","7,964,275,781.71","6,937,200,315.30","5,927,615,693.89","5,949,405,247.87","5,354,240,439.37","4,641,266,236.97","3,958,675,701.72","3,958,041,304.60","4,025,759,050.39","4,448,613,885.89","4,240,956,416.58","4,194,815,626.50","3,941,347,700.24","3,382,123,429.56","2,927,061,005.38","3,173,464,329.57","2,927,701,807.86","2,859,818,011.51","2,496,026,821.75","2,715,709,191.14","2,529,455,271.24","2,358,317,960.18","3,016,490,764.18","3,352,585,106.89","3,306,621,774.36","3,390,265,885.92","3,506,666,112.44","3,407,944,752.30"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
