科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"80,528,158.44","269,751,045.67","423,691,432.37","101,694,962.98","236,888,646.77","400,362,156.92","572,335,713.05","136,085,391.13","363,559,194.67","559,805,278.07","812,908,327.68","201,870,998.02","456,077,084.25","679,527,538.89","921,191,572.11","153,671,900.10","609,940,470.86","1,018,018,443.19","1,418,532,229.21","307,346,533.74","727,486,267.72","1,137,470,313.29","1,602,616,921.65","394,352,792.48","855,556,774.71","1,328,806,094.10","1,750,407,487.37"
二、营业利润,"10,991,081.56","43,779,416.17","75,859,848.27","16,977,541.96","36,946,962.42","47,633,400.35","55,246,788.20","9,778,129.98","31,341,598.64","38,841,097.31","23,295,148.25","12,723,392.71","35,838,414.44","41,418,740.23","57,331,170.34","4,943,476.80","47,859,034.61","89,492,424.01","135,276,722.15","21,527,489.37","62,460,914.93","91,784,575.45","-36,587,603.05","6,702,200.29","34,627,869.60","71,708,420.63","118,660,239.78"
减:营业成本,"55,616,156.10","200,344,798.19","297,685,661.87","70,291,381.11","167,876,134.33","301,405,473.59","419,857,719.21","104,913,336.06","277,411,826.10","432,560,033.39","663,209,482.34","165,215,912.42","349,794,456.32","534,304,932.46","731,400,499.74","124,666,016.68","466,746,049.34","769,413,228.54","1,050,479,558.30","226,076,222.94","532,470,267.15","848,456,656.86","1,266,243,579.31","314,066,271.83","656,879,379.29","999,015,732.28","1,279,148,961.06"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"64,082.78","51,675.99","2,596,562.96","556,810.46","729,009.85","730,728.52","731,573.59",929.07,"3,380.07","7,036.34","11,858.65","3,486.82","10,040.06","98,496.12","137,258.06","29,194.76","2,897,525.13","5,442,688.46","8,026,768.74","2,350,983.58","4,614,247.26","8,218,921.57","14,527,176.23","5,052,491.29","9,867,324.46","12,650,237.04","21,757,085.96"
营业外收入,"284,050.00","1,320,998.61","537,776.63","45,875.94","2,110,534.27","2,198,478.87","2,499,536.56","2,326,395.18","5,998,935.96","10,441,516.52","7,149,320.05","76,870.52","7,239,255.44","7,940,063.22","6,247,306.37","3,125,355.50","4,567,151.71","5,913,528.29","13,738,621.14","6,712,541.37","9,262,317.21","11,650,691.82","25,092,080.04","6,799,397.39","10,662,127.14","13,181,747.32","124,957.57"
销售费用,"1,412,118.98","4,105,828.90","8,674,543.15","3,610,616.70","8,472,487.28","16,126,992.49","28,234,900.93","6,800,603.16","20,910,327.58","33,391,810.53","52,178,037.57","11,763,698.70","20,883,687.24","29,988,525.03","38,781,016.89","6,121,970.68","19,118,318.44","30,418,313.99","40,635,744.38","6,978,846.07","17,543,021.68","27,362,740.10","41,291,272.76","7,827,679.72","20,555,342.68","31,776,324.66","41,369,712.99"
减:营业外支出,"18,696.99","2,646,336.06","3,215.02","48,514.72","2,048,614.33","2,050,001.28","4,008,343.64",,,"92,782.96","431,351.56","2,740,567.12","4,605,196.49","6,086,111.03","6,235,286.88","41,788.16","1,276,628.04","1,299,577.28","2,005,358.98","333,471.87","1,492,345.83","1,730,494.06","4,670,255.99","141,261.04","625,577.54","797,748.52","521,484.37"
管理费用,"8,600,084.86","17,529,547.25","30,047,637.64","7,324,504.30","17,423,093.43","27,478,500.01","60,123,842.10","13,977,606.91","28,733,203.46","47,686,029.43","55,759,093.68","9,063,071.75","24,372,611.37","46,144,098.48","57,239,611.66","14,153,226.05","62,704,475.02","107,834,816.57","155,794,796.57","41,409,188.58","84,306,618.54","129,730,802.22","186,511,034.59","43,468,455.66","91,791,730.95","142,741,504.39","187,866,376.62"
其中:非流动资产处置净损失,,,,"48,513.12","48,513.12",,"1,779,208.02",,,,"135,396.89","2,335,269.01","2,516,038.23",,"3,416,298.06",,"1,166,469.00","1,179,803.09","1,581,255.35",,"1,177,181.35","1,316,324.86","4,288,172.03",,"622,174.27","622,174.27",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"868,907.76","2,041,337.82","7,180,296.35","2,132,754.22","3,526,391.29","4,864,597.61","5,151,496.74","313,854.00","2,907,143.52","5,067,555.77","7,878,066.00","3,205,091.93","6,766,702.69","9,161,574.44","12,058,789.20","3,836,922.26","9,609,453.57","14,379,848.46","15,751,333.37","6,855,257.21","10,324,992.02","11,919,885.86","15,270,656.59","8,106,815.79","15,265,462.36","25,093,500.36","34,038,451.70"
三、利润总额,"11,256,434.57","42,454,078.72","76,394,409.88","16,974,903.18","37,008,882.36","47,781,877.94","53,737,981.12","12,104,525.16","37,340,534.60","49,189,830.87","30,013,116.74","10,059,696.11","38,472,473.39","43,272,692.42","57,343,189.83","8,027,044.14","51,149,558.28","94,106,375.02","147,009,984.31","27,906,558.87","70,230,886.31","101,704,773.21","-16,165,779.00","13,360,336.64","44,664,419.20","84,092,419.43","118,263,712.98"
