科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"220,407,816.00","212,161,832.64","214,662,903.73","504,335,985.57","139,135,686.09","48,520,017.81","121,061,881.02","94,109,039.13","39,955,137.51","88,921,549.84","285,103,201.97","374,852,860.27"
短期借款,"105,000,000.00","135,000,000.00","139,980,000.00","209,980,000.00","50,000,000.00","5,000,000.00",,"10,000,000.00","10,000,000.00","75,000,000.00","95,000,000.00","440,000,000.00"
交易性金融资产,"75,688.13",,,,,,,,,"1,013,185.60","521,332.50","-333,199.00"
交易性金融负债,,,,,,,,,,,,
应收票据,"76,436,374.34","73,904,654.82","89,097,389.23","75,279,235.25","55,104,000.72","63,624,574.39","63,754,922.68","61,514,863.33","84,796,764.08","165,271,439.06","146,232,586.24","119,108,956.95"
应付票据,"286,556,659.51","379,160,617.03","383,040,816.35","327,515,734.93","399,411,280.13","366,619,639.89","387,613,786.72","357,207,610.41","424,728,948.12","484,660,081.37","494,471,907.18","431,519,385.75"
应收账款,"653,433,690.65","680,569,049.83","679,873,573.96","746,318,437.20","707,230,423.58","721,824,195.38","821,969,630.47","762,225,033.28","794,165,100.08","754,982,894.92","723,786,638.84","907,077,039.83"
应付账款,"202,579,715.81","208,710,013.11","168,681,899.81","155,725,640.47","154,883,622.38","140,193,215.55","204,789,495.62","212,389,111.01","245,229,107.06","273,163,043.10","300,382,793.59","472,594,485.25"
预付款项,"24,613,820.98","68,986,233.64","70,370,556.42","118,240,247.58","140,797,330.16","136,322,267.26","159,978,287.98","110,093,369.15","117,164,817.98","115,079,693.25","75,703,796.63","94,297,017.86"
预收款项,"42,442,187.20","80,441,949.75","57,198,971.19","51,266,552.00","60,755,019.97","216,759,451.21","200,571,090.46","133,491,440.25","106,521,346.31","71,549,933.58","63,077,585.09","179,969,172.19"
其他应收款,"28,994,595.54","32,893,956.61","25,417,897.53","39,442,318.25","40,714,995.07","43,444,512.69","28,409,987.84","26,671,239.66","31,501,841.26","47,336,162.44","46,157,218.70","73,566,077.96"
应付职工薪酬,"9,935,745.56","14,537,656.68","14,786,518.75","12,725,422.31","14,966,432.81","15,276,512.25","16,719,744.19","15,136,762.95","17,325,325.48","18,004,546.13","30,574,477.25","25,137,851.67"
应收关联公司款,,,,,,,,,,,,
应交税费,"34,801,237.32","17,732,379.67","20,174,480.59","13,813,992.04","13,827,933.87","16,673,537.98","25,338,461.25","10,150,656.67","13,574,540.80","16,672,206.29","22,783,557.39","8,113,892.01"
应收利息,,,,,,,,,,,,
应付利息,"470,097.55","441,491.25","249,955.56","719,852.08","54,841.35","4,333.03",,"23,598.75","10,113.75","10,113.75","110,592.71","1,619,489.59"
应收股利,"12,055,252.83",,,"1,249,892.79","1,249,892.79",,,"1,308,745.42","1,195,745.42","1,195,745.42","1,195,745.42","1,195,745.42"
应付股利,,,,,,,,,"40,910,000.00",,,
存货,"258,962,972.89","327,146,875.26","294,873,895.41","301,770,321.26","306,471,272.04","354,019,313.75","310,398,901.95","385,299,662.60","447,761,081.89","559,591,124.50","570,614,862.02","1,000,520,693.17"
其他应付款,"5,444,283.40","5,925,699.14","3,966,636.27","11,412,549.58","7,863,644.74","8,406,167.38","5,307,684.31","5,896,897.83","6,976,992.85","335,255,480.13","8,927,685.12","24,683,596.18"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,"59,473,684.00","47,388,422.00","63,157,894.00","63,157,894.00",,,,,,,"128,571,170.74","128,571,170.74"
其他流动资产,,"20,341.88",,,"150,000,000.00","262,000,000.00","280,000,000.00","270,000,000.00","285,000,000.00","185,000,000.00","143,874,974.22","33,408,708.02"
其他流动负债,,,,,,,,,,,,
流动资产合计,"1,274,980,211.36","1,395,682,944.68","1,374,296,216.28","1,786,636,437.90","1,540,703,600.45","1,629,754,881.28","1,785,573,611.94","1,711,221,952.57","1,801,540,488.22","1,918,391,795.03","1,993,190,356.54","2,603,693,900.48"
流动负债合计,"746,703,610.35","889,338,228.63","851,237,172.52","846,317,637.41","701,762,775.25","768,932,857.29","840,340,262.55","744,296,077.87","865,276,374.37","1,274,315,404.35","1,143,899,769.07","1,712,209,043.38"
可供出售金融资产,,,,,,,,,,,,"30,899,953.30"
长期借款,"110,526,316.00","83,137,894.00",,"32,600,000.00","2,600,000.00","2,600,000.00",,,,,,"19,800,000.00"
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,"197,208,165.98","197,208,165.98"
长期股权投资,"96,164,888.93","155,613,680.50","158,303,845.03","153,512,541.48","153,463,091.72","153,780,089.80","156,684,716.46","154,983,734.39","156,877,269.07","158,880,795.98","164,559,148.57","163,513,046.84"
专项应付款,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,,
固定资产,"192,392,090.75","579,646,759.95","565,651,359.84","563,010,074.49","562,333,683.34","559,170,315.18","559,643,733.30","554,902,588.88","550,731,948.92","838,406,925.80","830,918,406.01","947,183,071.04"
递延所得税负债,,"385,915.09","1,450,266.69","1,450,266.69","2,053,855.80","2,285,929.62","2,718,271.19","3,057,235.22","3,376,595.95","3,789,827.11","4,130,390.84","4,435,565.51"
在建工程,"351,122,202.06","916,250.60","47,729,652.37","47,761,190.20","49,007,791.92","48,927,336.15","60,445,037.44","65,786,823.50","75,190,276.24","77,902,102.47","98,238,612.98","133,145,794.75"
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"129,305,502.13","104,984,911.39","25,742,117.04","57,662,123.88","27,585,161.49","27,136,683.81","24,675,473.88","24,294,886.41","23,893,028.98","23,583,524.89","220,400,203.12","271,061,549.44"
固定资产清理,,,,,,,,,,,,
负债合计,"876,009,112.48","994,323,140.02","876,979,289.56","903,979,761.29","729,347,936.74","796,069,541.10","865,015,736.43","768,590,964.28","889,169,403.35","1,297,898,929.24","1,364,299,972.19","1,983,270,592.82"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"210,732,253.00","360,000,000.00","360,000,000.00","409,100,000.00","409,100,000.00","409,100,000.00","409,100,000.00","409,100,000.00","409,100,000.00","409,100,000.00","409,100,000.00","442,740,648.00"
油气资产,,,,,,,,,,,,
资本公积,"163,327,560.39","14,059,813.39","14,059,813.39","342,671,914.35","342,671,914.35","342,671,914.35","342,671,914.35","342,671,914.35","342,671,914.35","342,671,914.35","342,671,914.35","493,401,704.14"
无形资产,"50,105,826.85","50,139,308.35","49,063,278.62","48,600,033.05","49,050,842.53","48,509,249.38","163,259,189.34","162,138,241.74","161,026,862.79","263,064,320.22","276,491,670.69","368,356,872.30"
盈余公积,"107,939,710.85","121,374,040.79","138,590,254.94","138,590,254.94","138,590,254.94","138,590,254.94","154,741,235.52","154,741,235.52","154,741,235.52","154,741,235.52","171,279,576.87","171,279,576.87"
开发支出,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,
商誉,,,,,,,,,,,,
未分配利润,"639,769,483.03","727,172,024.23","848,277,951.53","873,860,796.63","896,674,561.56","916,697,696.81","993,636,776.79","1,018,471,595.86","996,846,611.26","1,038,512,830.52","1,091,141,552.63","1,117,312,997.59"
长期待摊费用,,,"2,549,669.16","8,617,991.92","8,322,229.15","9,437,929.49","12,811,827.50","17,583,144.92","17,383,364.85","17,619,067.22","20,403,650.04","23,519,067.62"
少数股东权益,,,,,,,,,,"62,063,700.92","54,671,354.11","191,776,272.29"
递延所得税资产,"24,984,998.32","27,873,455.50","27,979,920.54","27,979,920.54","28,945,490.85","28,918,398.48","22,433,345.41","22,645,022.31","25,029,207.69","25,126,112.50","22,814,502.13","33,766,943.20"
外币报表折算价差,,,,,,,,,,,,
其他非流动资产,"8,027,901.48","7,056,618.85","12,333,367.58","32,084,537.63","124,557,937.63","124,631,207.44","4,314,201.70","4,314,201.70","4,749,746.70","5,597,491.33","26,548,023.19","95,703,142.18"
非正常经营项目收益调整,,,,,,,,,,,,
非流动资产合计,"722,797,908.39","821,246,073.75","863,611,093.14","881,566,289.31","975,681,067.14","973,374,525.92","979,592,051.15","982,353,757.44","990,988,676.26","1,386,596,815.52","1,439,974,013.61","1,796,087,891.23"
所有者权益(或股东权益)合计,"1,121,769,007.27","1,222,605,878.41","1,360,928,019.86","1,764,222,965.92","1,787,036,730.85","1,807,059,866.10","1,900,149,926.66","1,924,984,745.73","1,903,359,761.13","2,007,089,681.31","2,068,864,397.96","2,416,511,198.89"
