科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"938,293,495.35","892,406,211.46","934,441,891.51","1,123,159,376.84","1,400,072,725.95","1,295,542,422.79","1,729,288,183.89","2,670,218,494.50","2,399,316,068.39","1,865,045,127.18","2,515,046,068.67","1,994,535,851.79","2,232,621,833.40","3,012,966,368.40","2,737,757,431.95","2,615,489,007.53","3,735,650,137.56","2,611,043,751.72","3,795,769,007.15","2,768,966,505.32","2,770,032,819.01","2,534,455,711.40","2,988,140,709.94","3,346,420,785.88","2,453,480,497.83","2,189,476,567.50","2,105,769,519.81","1,763,206,428.43","1,846,395,957.73","2,553,118,231.82","2,570,810,232.96","2,746,588,370.59","2,476,216,634.18","2,725,816,019.52","2,795,448,694.32","2,924,530,560.74","2,702,613,189.43","2,874,593,934.12","2,095,812,714.11","1,541,625,380.16","2,786,249,242.55","2,844,587,094.44","3,405,205,767.87","3,074,668,197.14","2,783,678,718.62"
短期借款,"1,192,680,000.00","1,041,000,000.00","791,000,000.00","916,000,000.00","1,361,000,000.00","1,561,000,000.00","1,611,000,000.00","1,461,000,000.00","1,231,000,000.00","1,251,000,000.00","2,101,000,000.00","1,475,827,892.43","1,476,000,000.00","1,696,000,000.00","1,581,000,000.00","1,900,827,000.00","2,104,197,000.00","2,547,397,000.00","2,582,707,000.00","2,512,720,530.00","2,549,130,177.79","2,837,488,197.79","3,027,189,700.00","3,080,212,250.00","2,871,054,550.00","2,827,197,650.00","2,651,906,000.00","2,715,920,550.00","2,491,944,950.00","2,749,851,600.00","2,633,848,750.00","1,922,530,500.00","1,642,750,900.00","1,672,479,200.00","1,715,432,350.00","1,666,689,200.00","1,738,381,400.00","1,709,973,967.11","2,030,069,100.00","1,754,721,500.00","2,265,140,000.00","2,189,155,000.00","2,278,131,871.00","2,048,066,000.00","1,661,929,182.44"
交易性金融资产,"8,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"484,897,959.13","526,985,696.51","526,592,551.30","677,491,344.42","787,097,608.99","1,253,171,276.41","1,001,245,203.39","641,737,715.50","975,324,815.28","1,160,987,032.18","1,393,778,201.46","1,976,358,607.69","2,093,185,695.01","1,984,337,386.53","2,074,563,092.44","2,378,514,417.11","2,681,023,699.98","3,120,404,983.02","2,921,175,848.67","2,727,921,891.36","2,642,456,201.01","3,595,944,997.56","3,311,357,529.55","2,403,005,651.07","2,680,115,375.02","2,790,567,325.18","2,667,966,005.11","2,169,160,084.37","1,678,612,157.87","1,959,238,063.11","1,668,690,349.51","1,745,871,059.23","1,552,063,625.42","1,713,713,884.05","1,447,682,628.92","1,266,199,828.72","1,105,819,814.17","1,043,268,720.10","804,399,573.30","1,592,201,142.83","1,971,203,603.75","2,088,120,925.60","2,575,058,501.89","2,578,674,611.64","2,088,021,892.42"
应付票据,"164,111,700.93","155,868,180.38","239,067,719.68","211,250,000.00","122,650,000.00","118,642,513.76","164,632,728.19","172,988,238.33","279,515,825.99","342,809,012.44","202,871,927.03","343,968,679.18","374,243,742.60","173,651,326.75","192,978,987.80","274,399,631.90","318,701,606.10","404,186,520.53","424,396,788.88","391,499,319.57","510,184,354.22","504,413,897.05","588,716,870.59","731,897,765.45","681,128,469.18","615,202,780.20","546,257,396.39","398,174,136.31","501,697,150.63","412,902,400.97","458,453,833.81","488,701,292.66","429,793,634.10","420,295,389.86","347,817,437.85","411,281,581.52","380,254,560.82","388,110,463.13","293,251,044.50","584,509,412.02","882,455,859.47","718,804,765.03","875,579,026.29","836,041,843.87","906,413,511.71"
应收账款,"174,512,165.69","162,114,152.87","227,932,162.11","48,804,751.80","254,807,469.73","68,859,673.95","417,171,147.65","710,671,466.16","387,560,155.65","615,354,446.51","348,512,806.28","160,112,592.19","311,800,107.95","476,291,683.94","459,342,094.84","300,284,362.63","537,037,061.61","769,754,236.25","1,409,572,956.89","981,393,130.66","1,169,707,610.13","713,873,342.29","1,255,621,858.14","1,122,762,101.18","1,811,184,032.32","1,318,582,713.26","1,517,246,811.45","1,508,000,095.78","2,231,307,752.53","1,515,927,102.11","1,931,457,111.33","1,827,974,030.93","2,292,750,577.43","2,185,153,656.96","2,340,604,537.05","1,485,221,797.66","2,167,459,376.03","2,253,310,862.64","2,878,200,540.53","1,578,356,674.86","2,619,425,409.54","2,391,656,232.53","2,354,213,021.74","1,996,215,479.60","2,939,137,212.70"
应付账款,"460,678,315.89","544,113,813.13","424,670,579.36","754,130,591.46","694,745,455.17","978,884,750.93","1,364,851,624.22","1,882,589,741.87","1,399,184,833.11","1,660,183,976.82","1,488,169,177.60","1,536,747,446.36","2,030,927,460.10","1,720,625,569.15","1,885,953,699.58","1,913,055,667.61","2,341,389,006.58","2,484,127,508.54","3,433,681,656.57","3,020,084,088.88","3,213,075,674.15","3,289,954,885.22","3,625,923,294.72","2,610,656,463.33","3,236,831,770.68","2,983,183,749.02","2,905,781,154.47","2,776,314,899.58","3,230,699,722.56","2,417,018,618.36","2,446,423,878.95","2,558,490,988.33","2,413,580,003.01","2,771,786,881.48","2,730,000,214.40","2,215,259,287.58","2,159,896,129.92","2,626,179,461.67","3,425,486,004.16","2,620,333,993.80","3,446,144,330.34","3,273,016,999.81","3,544,009,397.55","3,028,631,652.03","3,726,275,173.79"
预付款项,"99,946,212.37","227,383,399.29","240,174,863.30","380,190,808.16","637,090,217.34","945,925,866.85","978,534,136.53","824,556,728.60","913,226,165.08","717,714,079.56","410,094,437.54","225,927,642.00","404,914,355.05","389,354,453.19","365,907,609.07","501,502,392.37","323,418,513.07","351,273,111.95","681,562,276.98","573,909,382.63","682,731,120.67","731,666,259.26","821,415,933.61","732,602,311.71","853,555,645.65","689,545,848.51","678,344,652.03","162,850,989.09","347,383,051.27","238,822,187.91","156,492,271.20","86,366,345.00","90,912,735.25","97,002,604.60","104,343,413.19","69,559,035.84","89,000,428.81","140,939,354.16","108,446,482.93","90,931,522.93","145,289,950.28","199,701,847.25","181,270,963.91","144,213,027.69","218,229,585.12"
预收款项,"87,601,131.73","72,036,480.04","78,505,070.20","92,406,893.03","204,105,324.71","158,904,610.37","75,728,053.85","78,969,892.35","184,322,843.84","155,601,793.67","173,690,727.32","147,485,732.64","149,417,265.71","171,274,888.97","201,390,246.59","168,694,651.61","177,134,286.51","159,987,508.87","203,741,739.98","191,020,996.49","173,690,787.84","161,610,203.81","221,469,603.41","218,781,863.21","171,749,850.09","149,012,200.03","334,658,355.23","183,551,160.45","230,416,612.43","97,743,462.49","228,043,276.46","141,051,062.56","144,611,035.90","146,981,473.14","137,051,794.78","100,927,023.43","356,733,772.13","131,166,539.46","268,273,046.77","225,269,028.23","188,613,968.29","215,596,862.90","277,484,124.87","284,344,738.70","262,334,454.55"
