科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"91,574,462.25","60,732,008.03","104,285,833.40",,"215,954,122.48","162,804,021.37","141,773,150.17","116,074,506.30","131,464,477.43","44,520,698.25","93,910,137.02","64,727,866.86","59,361,172.91","76,121,078.83"
短期借款,"148,000,000.00","153,650,000.00","101,000,000.00",,"136,000,000.00","161,000,000.00","146,000,000.00","126,000,000.00","130,000,000.00","105,000,000.00","85,000,000.00","95,000,000.00","95,000,000.00","105,000,000.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"32,634,540.94","36,281,112.98","41,433,151.49",,"34,876,709.08","21,787,240.50","21,566,299.41","23,568,327.36","32,812,678.64","44,285,105.65","64,582,510.39","48,415,291.87","56,829,178.09","73,189,132.29"
应付票据,"700,000.00",,"15,000,000.00",,"26,000,000.00","20,000,000.00","20,000,000.00","31,877,584.08","16,347,584.08","9,150,000.00","23,800,000.00","31,800,000.00","13,800,000.00","10,950,000.00"
应收账款,"55,720,373.93","58,988,893.95","77,632,966.57",,"114,813,542.20","128,882,311.51","136,405,914.87","147,337,357.66","134,495,441.90","136,234,752.60","123,235,117.11","150,022,332.15","129,096,782.99","113,204,911.96"
应付账款,"76,836,543.54","50,080,381.27","89,702,517.11",,"60,310,251.78","66,823,384.55","80,231,489.54","59,980,603.30","56,134,882.42","46,821,284.35","72,775,867.31","45,175,958.76","34,412,576.16","41,822,581.79"
预付款项,"2,244,375.01","683,659.70","265,038.39",,"182,657.24","124,828.64","972,972.36","142,851.26","108,757.07","10,249,247.44","81,455.14","69,581.25","1,020,170.98","6,034,016.80"
预收款项,"32,470,116.03","40,850,955.95","20,948,139.79",,"15,686,605.17","6,168,146.40","3,724,759.50","7,430,917.10","21,053,894.22","13,475,238.87","7,171,779.22","7,048,110.53","18,229,557.09","16,563,779.96"
其他应收款,"3,340,726.45","4,167,181.21","6,103,074.88",,"3,195,884.56","3,057,082.69","3,208,233.20","4,775,973.36","3,041,511.84","4,492,129.77","17,620,900.10","16,759,510.25","17,068,855.06","17,604,658.90"
应付职工薪酬,"18,441,259.98","14,104,646.35","16,874,266.07",,"13,156,670.57","8,079,905.76","10,232,942.99","5,444,372.95","7,188,058.30","7,053,627.21","10,241,377.90","6,034,428.67","9,068,157.87","7,397,300.69"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"3,972,816.89","6,365,782.99","9,316,701.96",,"25,354,760.36","24,010,839.49","27,281,470.67","25,830,394.72","11,383,825.65","10,714,321.09","17,936,509.90","6,879,782.83","6,312,286.72","4,804,298.14"
应收利息,,,,,,,"471,643.84","56,504.07","347,928.57","136,706.65","607,583.27","294,104.71","653,972.22",
应付利息,"376,667.17","534,852.70","267,437.49",,"249,229.17","176,279.86","202,472.57","185,229.51","152,593.76","129,869.79","109,656.25","115,154.14","112,375.00","104,218.75"
应收股利,,,,,,,,,"760,335.43",,,,,
应付股利,,,,,,,,,,,,,,
存货,"145,008,930.43","147,290,747.05","115,886,828.61",,"106,689,313.18","101,229,803.74","105,117,719.14","112,576,426.04","104,551,906.10","101,685,689.14","120,370,855.21","110,054,310.34","104,851,073.87","98,238,980.58"
其他应付款,"9,510,897.73","5,123,501.44","8,221,297.38",,"15,012,071.85","7,481,477.51","4,769,133.25","3,641,632.59","3,336,390.72","3,120,148.82","4,168,096.48","3,295,877.50","3,697,560.72","3,581,066.12"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,"66,972,002.63","102,007,000.00","40,807,000.00",,"12,800,277.74","7,800,277.74","10,855,304.61","10,855,304.61","13,870,379.97","13,870,379.97","18,031,183.99","18,031,183.99","18,031,183.99","18,031,183.99"
其他流动资产,,,,,,,"60,386,016.42","45,087,465.20","60,346,494.78","80,575,197.80","83,884,223.11","80,554,562.31","80,481,970.95","70,785,881.29"
其他流动负债,"1,147,145.97","710,874.97","867,457.91",,"1,499,399.21","761,233.77","222,965.34","359,194.63","723,365.31","959,241.05","183,904.70","49,152.49","45,515.99","127,191.25"
流动资产合计,"330,523,409.01","308,143,602.92","345,606,893.34","334,891,800.00","475,712,228.74","417,885,288.45","469,901,949.41","449,619,411.25","467,929,531.76","422,179,527.30","504,292,781.35","470,897,559.74","449,363,177.07","455,178,660.65"
流动负债合计,"358,427,449.94","373,427,995.67","303,004,817.71","292,394,100.00","306,069,265.85","302,301,545.08","303,520,538.47","271,605,233.49","260,190,974.43","210,294,111.15","239,418,375.75","213,429,648.91","198,709,213.54","208,381,620.69"
可供出售金融资产,,,,,,,,,"3,000,000.00","2,961,250.00","4,961,250.00","4,492,500.00","6,992,500.00","8,439,400.00"
长期借款,"146,700,000.00","43,000,000.00","2,500,000.00",,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,"43,939,481.24","85,575,217.77","80,370,798.31",,"79,946,855.75","80,050,833.78","80,294,401.37","81,068,453.49","81,442,122.14","80,592,126.31","76,961,900.77","77,332,589.65","75,087,566.18","74,171,607.84"
专项应付款,,,"208,826,144.57",,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"238,846,749.41","110,585,488.02","367,482,326.90",,"370,880,830.55","419,282,551.67","417,460,534.26","410,640,103.53","404,304,082.02","398,038,093.89","402,125,927.57","395,347,084.81","393,145,231.27","386,509,973.03"
递延所得税负债,,,,,,,"70,746.58","8,475.61","52,189.29","20,506.00","91,137.49","44,115.71","98,095.83",
在建工程,"181,084,563.57","217,924,170.05","3,073,953.13",,"4,394,790.79","9,713,414.42","7,975,599.41","9,550,487.39","9,495,356.71","9,737,718.27","72,063.01","6,904,863.23","3,341,246.45","3,876,997.84"
