科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"138,851,966.86","245,608,918.02","345,373,132.24","215,143,899.13","340,603,621.04","475,898,119.01","125,119,854.26","242,193,816.30","455,452,560.55","734,035,215.24","265,620,415.16","607,218,816.74","894,493,854.87","1,387,709,576.33","694,701,447.58","1,571,454,808.36","2,600,575,574.10","3,242,852,763.05","454,617,605.02","1,211,665,848.01","1,824,215,381.60","2,691,837,885.37","391,623,678.23"
二、营业利润,"48,948,832.18","82,008,179.42","110,422,359.02","74,602,242.19","104,941,412.59","135,902,792.46","31,882,316.05","52,513,340.89","80,592,603.69","128,560,649.65","44,346,227.91","97,156,305.85","145,689,145.70","214,037,538.00","80,451,291.77","179,145,591.15","241,886,645.67","323,393,811.85","32,715,867.88","95,728,152.43","172,919,677.76","161,521,047.50","34,812,017.52"
减:营业成本,"65,756,433.89","121,593,954.56","184,664,841.95","114,027,447.36","194,243,043.63","279,815,853.10","78,863,096.48","158,538,923.64","309,642,393.95","497,016,224.70","183,421,004.05","416,410,890.26","616,614,653.99","959,558,092.94","532,120,134.15","1,219,348,602.82","2,052,221,092.99","2,475,309,507.45","320,873,520.37","916,396,394.88","1,395,180,172.48","2,126,353,194.66","271,805,320.13"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"837,040.91","1,900,428.61","2,644,842.77","1,590,754.61","2,401,147.70","2,414,759.87","389,297.80","788,869.97","1,956,024.41","3,130,944.19","1,545,171.05","3,073,266.98","3,910,059.84","8,910,816.71","2,398,864.96","6,048,263.85","9,369,100.31","12,796,503.04","2,579,534.48","4,750,935.93","8,382,483.52","15,482,172.32","2,244,391.41"
营业外收入,"4,141,883.08","8,266,954.22","4,923,422.70","2,585,593.50","2,813,275.50","3,126,385.19","347,736.38","556,373.05","2,593,182.23","3,818,461.27","312,590.60","1,122,494.05","4,240,123.45","10,828,949.10","8,100,449.04","15,967,830.90","16,925,632.86","818,179.89","245,284.10","830,390.25","1,365,020.61","639,166.64","1,060,574.85"
销售费用,"3,271,871.46","5,069,880.90","5,530,203.49","3,363,264.25","5,374,171.81","9,133,166.06","2,759,710.45","6,238,753.38","9,925,331.76","13,591,779.72","4,105,463.41","13,725,325.29","19,888,793.68","26,175,716.59","8,898,394.70","24,238,006.84","44,174,534.16","77,233,853.27","20,038,529.80","36,220,551.85","57,234,792.41","82,028,072.22","15,154,637.96"
减:营业外支出,"653,778.27","146,081.96","423,953.92","180,300.91","268,285.93","409,189.95","59,206.36","218,412.72","390,034.24","586,006.24","199,691.39","213,511.47","216,387.98","15,288,658.35","29,766.01","131,745.98","212,499.91","931,083.19","1,196,541.80","3,349,257.12","4,547,847.30","5,619,917.15",655.87
管理费用,"16,054,353.79","25,276,017.15","30,846,619.82","15,240,498.74","25,120,003.22","38,133,479.91","9,814,230.02","24,494,887.45","40,988,485.88","65,463,805.33","21,985,213.17","52,363,486.53","75,073,831.08","118,576,035.94","45,649,746.51","108,001,638.36","170,757,636.89","272,455,146.62","60,636,895.78","129,065,718.71","103,170,997.66","133,547,394.77","32,225,793.25"
其中:非流动资产处置净损失,"381,850.64",,,,,,,,"112,415.16","153,334.18",,"167,013.65","167,013.65","254,411.39","167,013.65","50,047.94","50,047.94",,,,,,
