科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"70,391,874.88","86,832,229.57","123,265,646.84","74,523,371.16","118,638,869.66","150,507,767.16","31,517,093.92","75,934,497.59","123,483,931.50","162,364,018.72","33,543,475.24","91,269,511.79","150,976,468.56","211,349,829.23","55,292,119.48","135,860,357.89","209,201,815.97","283,478,535.29","63,516,407.13","137,197,785.77","219,784,865.79","307,171,457.55","66,131,866.40","153,679,650.72","241,604,407.51","329,363,244.96","81,453,338.00","189,916,705.13","298,188,775.94","405,379,551.73","96,403,871.20","218,129,570.62"
二、营业利润,"13,242,505.65","22,459,086.54","34,717,676.24","20,764,216.74","33,899,921.90","38,115,338.57","7,556,857.38","19,843,401.55","35,461,414.99","39,208,642.88","7,157,792.21","27,405,707.96","46,029,840.12","58,498,047.11","9,458,030.58","33,739,873.74","53,542,606.53","63,983,714.59","10,654,161.65","28,356,157.32","49,335,303.95","53,272,360.30","11,483,786.29","34,901,293.84","61,053,242.48","71,294,378.85","12,960,826.45","50,174,691.85","84,864,488.41","110,579,747.35","23,830,495.47","59,029,164.86"
减:营业成本,"26,427,112.01","33,001,173.81","44,509,504.12","26,246,261.24","40,863,772.32","51,920,975.91","11,148,807.71","27,185,031.45","44,001,025.06","58,481,585.11","12,783,619.33","31,856,679.78","54,082,524.55","77,620,541.59","23,665,564.32","55,664,781.62","84,480,335.08","118,283,207.25","27,726,598.23","57,515,768.61","92,674,098.57","131,789,581.70","27,669,436.10","61,858,301.92","97,149,684.73","140,925,518.42","35,385,831.86","84,559,316.06","132,181,045.41","188,072,769.86","44,276,072.77","100,695,192.40"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"441,985.84","520,851.52","651,492.63","524,505.77","912,857.23","1,306,278.75","209,639.05","494,178.35","793,789.48","1,098,845.14","272,116.90","693,105.38","1,149,451.29","1,594,825.30","311,949.44","822,215.62","1,433,260.11","2,118,177.31","453,696.67","1,227,138.85","2,135,911.99","3,326,691.98","492,008.34","1,397,780.38","2,398,239.90","4,739,712.63","752,225.65","1,997,043.75","3,225,091.75","5,532,040.85","1,033,663.35","2,625,507.85"
营业外收入,"3,555,466.90","4,883,545.99","9,073,924.62","1,977,886.06","5,828,650.80","9,304,184.71","1,312,871.70","3,093,681.13","7,204,479.86","12,970,989.55","2,918,195.16","5,681,468.77","9,029,559.45","15,707,204.50","4,274,124.21","8,344,184.52","13,371,345.07","19,968,450.26","4,869,040.48","9,915,400.01","14,136,363.15","20,650,895.76","6,169,715.83","11,348,619.98","15,446,432.95","20,455,909.57","10,069,639.31","5,583,304.90","6,201,986.53","112,577.40","1,571,081.91","1,691.69"
销售费用,"13,241,598.46","14,777,489.82","24,283,366.50","14,023,055.76","21,992,231.35","31,982,119.78","4,916,877.01","13,954,455.56","22,883,913.72","34,863,286.53","9,328,304.63","19,319,944.89","28,702,967.72","38,776,022.15","13,137,716.84","24,488,442.31","37,257,986.01","50,055,227.07","11,902,898.10","24,987,120.02","36,701,759.89","51,576,783.55","15,071,783.93","28,043,747.31","40,714,726.86","57,577,709.56","16,850,209.71","30,208,856.13","42,939,423.46","59,043,269.96","16,435,290.10","33,736,764.94"
减:营业外支出,"325,727.42","176,409.40","443,165.03","146,592.12","229,838.70","354,968.84",,"299,374.78","381,276.51","490,126.19","36,421.79","120,925.61","241,648.60","393,171.56","64,476.14","134,265.11","306,954.00","432,239.95","60,907.45","163,913.87","199,178.40","233,712.08","56,565.14","177,574.88","213,100.71","318,768.32","86,675.71","89,284.52","89,915.46","66,850.92",,83.71
管理费用,"16,630,681.46","15,751,141.94","22,885,771.16","12,784,914.49","20,871,650.87","27,035,802.36","7,852,710.24","14,691,707.63","21,849,627.26","30,738,248.59","8,371,473.88","17,439,757.40","27,326,130.38","42,042,002.64","12,491,913.24","25,115,196.05","37,796,955.14","56,134,186.32","14,597,857.58","27,747,585.14","42,739,003.18","58,349,175.77","13,984,851.64","29,554,881.09","43,538,868.72","57,942,558.20","15,742,728.02","33,438,506.36","52,309,106.16","71,017,641.30","18,408,776.85","37,679,727.29"
其中:非流动资产处置净损失,119.35,"3,449.53","17,029.86",,,,,"9,008.25",,"31,624.21",,"8,473.55","8,473.55","11,924.04",,,,"3,288.80",,"81,609.38","95,378.28","95,378.28",,"1,009.74","43,053.63","43,053.63",,"89,042.39","89,672.00",,,
