科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,042,570,354.70","1,278,176,629.00","1,486,321,224.03","360,124,896.61","765,323,388.62","1,290,160,171.13","1,860,630,041.18","437,451,001.81","935,787,484.76","1,519,728,588.90","2,169,550,973.99","510,149,944.99","1,058,289,334.52","1,623,464,543.11","2,234,219,085.82","557,470,779.27","1,108,117,551.19","1,872,344,910.61","2,735,049,453.09","617,424,649.10","1,403,989,272.00","2,300,975,898.11","3,242,645,389.57","747,001,125.20","1,513,382,346.45","2,465,444,452.83","3,716,109,442.37","1,118,760,089.57","2,224,266,751.11","3,819,023,062.80","5,754,328,939.00","1,343,760,620.51","2,666,287,413.54","3,728,172,102.02","5,697,733,562.22","1,346,620,624.81","2,459,959,774.99"
二、营业利润,"69,633,474.05","83,460,696.96","135,808,022.37","33,285,488.90","62,894,558.60","119,301,737.39","158,797,532.40","10,867,601.56","34,981,122.63","58,788,061.70","25,234,369.80","7,040,231.46","29,054,198.13","41,302,170.60","11,038,940.91","1,560,109.20","-15,976,195.51","-47,033,928.59","-103,003,045.33","-22,432,232.37","-29,492,019.05","-10,598,621.95","5,631,181.65","2,691,809.91","116,767.45","197,364.39","16,641,074.58","-17,562,903.89","-97,334,530.13","-71,483,971.61","-26,432,993.32","-36,070,869.70","-72,790,012.03","-244,571,510.34","-584,497,649.76","7,870,624.36","-26,557,471.35"
减:营业成本,"879,321,468.36","1,078,904,787.21","1,213,359,642.53","290,934,777.93","623,133,789.14","1,039,713,483.15","1,531,033,738.03","362,170,563.91","773,603,211.09","1,262,202,478.36","1,892,541,126.12","428,022,437.51","884,562,688.20","1,354,995,868.29","1,935,175,296.29","471,602,076.08","967,724,656.86","1,675,197,255.77","2,482,992,691.03","558,475,848.19","1,252,470,523.09","2,018,242,849.70","2,850,475,865.88","656,799,160.88","1,324,171,795.99","2,172,789,197.34","3,296,636,789.98","1,020,983,457.25","2,059,896,526.70","3,523,915,374.64","5,305,203,121.78","1,280,989,379.70","2,522,312,062.31","3,534,741,388.72","5,359,825,848.77","1,213,757,281.12","2,248,114,878.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,276,896.90","3,768,880.75","4,959,972.58","969,786.58","1,492,589.54","2,027,202.64","2,549,987.45","272,654.67","757,199.26","1,260,354.51","3,767,232.64","997,788.58","1,985,145.76","3,788,888.90","6,561,803.65","1,572,548.04","2,448,403.90","4,977,678.62","7,014,355.47","1,603,788.39","5,597,486.90","8,221,039.98","13,849,259.68","3,630,308.27","6,364,892.64","8,369,410.49","12,143,901.64","5,094,855.09","10,213,668.67","16,266,432.46","37,652,767.75","6,578,976.59","13,529,229.22","21,703,481.28","33,000,695.16","12,942,275.22","20,707,776.94"
营业外收入,"2,972,504.66","4,914,682.84","10,802,260.39","603,302.67","5,676,625.13","7,908,231.54","14,247,415.99","1,234,351.09","4,258,177.24","5,354,195.20","18,040,797.47","551,653.07","5,109,344.75","7,244,511.02","27,273,720.37","3,127,702.88","8,837,898.79","11,897,193.93","33,451,472.22","3,157,555.75","12,897,259.69","18,352,784.90","35,962,473.82","3,748,457.36","12,323,498.28","19,560,252.92","36,200,299.65","5,338,808.53","11,648,735.63","20,577,336.80","37,213,111.42","13,507,019.15","22,666,738.79","37,772,510.94","7,302,759.96","1,053,319.55","3,627,676.01"
销售费用,"21,873,690.19","26,719,726.65","34,934,863.22","8,752,061.61","19,955,310.68","29,784,625.99","46,966,918.41","11,536,674.84","24,920,862.77","39,109,629.02","58,971,963.60","15,392,669.22","30,042,636.25","46,593,671.43","69,746,821.51","14,325,695.64","28,272,564.31","43,463,595.73","77,512,400.17","14,827,653.64","33,787,070.71","52,621,329.46","79,131,638.57","12,299,103.01","29,051,539.75","50,547,437.14","79,846,272.46","22,586,281.98","42,720,301.97","69,560,956.40","99,605,816.06","17,992,327.44","37,314,867.81","60,162,683.43","100,960,121.15","26,716,478.81","53,062,512.46"
减:营业外支出,"1,687,746.81","2,771,785.09","595,875.79","128,781.88","1,371,293.17","5,048,920.79","5,414,477.85","5,942.01","38,810.17","380,750.80","484,807.20","10,295.58","12,576.81","444,889.90","639,237.96","340,337.22","814,682.63","952,456.96","2,745,861.19","403,893.57","672,356.29","748,440.81","1,010,733.46","75,932.77","348,120.07","491,753.81","2,772,508.44","201,268.35","331,113.21","1,170,896.02","877,864.29","584,529.49","1,299,938.52","1,896,333.54","9,653,732.40","125,892.34","463,772.37"
管理费用,"34,944,837.38","62,404,064.50","77,141,809.26","23,699,330.55","49,405,975.74","89,618,584.25","109,281,351.22","49,568,888.35","91,241,559.88","141,355,074.75","162,148,467.60","50,391,869.14","94,691,873.88","150,485,708.78","170,749,825.35","60,038,559.24","112,096,573.50","173,508,712.31","233,403,275.83","58,296,408.60","121,832,372.72","200,925,058.38","254,200,586.68","62,031,854.27","129,172,263.55","208,939,755.17","278,561,130.75","75,749,922.23","151,403,995.14","224,067,075.29","281,176,255.76","63,512,433.58","136,159,331.71","205,080,957.82","286,736,337.42","82,898,542.90","153,900,371.14"
其中:非流动资产处置净损失,,,,"52,453.55",,"-691,071.88","713,353.95",,,,"168,052.21",,"9,345.58",,"135,576.13",,"581,474.83",,"1,054,876.65",,,,"627,790.42","48,325.48","276,317.06","297,744.22","767,081.93","172,547.96","288,899.10","314,738.60","519,322.07","428,818.30","731,676.61","1,267,598.55",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"17,153,258.00","19,601,810.38","15,230,699.37","4,129,872.68","7,933,851.01","9,204,699.77","11,640,384.22","3,034,618.48","8,275,485.94","15,004,665.51","21,068,371.95","8,304,949.08","16,811,198.58","23,026,644.35","29,673,115.19","8,371,791.07","14,552,467.42","18,782,758.15","26,246,899.11","5,509,769.79","10,553,468.29","16,571,547.55","23,291,664.23","10,169,635.38","25,420,741.00","26,272,092.44","36,503,536.75","10,599,748.88","20,290,158.67","31,725,119.78","47,520,050.29","12,120,839.69","27,351,841.25","41,934,475.02","65,132,049.79","7,444,393.24","19,127,994.17"
三、利润总额,"70,918,231.90","85,603,594.71","146,014,406.97","33,760,009.69","67,199,890.56","122,161,048.14","167,630,470.54","12,096,010.64","39,200,489.70","63,761,506.10","42,790,360.07","7,581,588.95","34,150,966.07","48,101,791.72","37,673,423.32","4,347,474.86","-7,952,979.35","-36,089,191.62","-72,297,434.30","-19,678,570.19","-17,267,115.65","7,005,722.14","40,582,922.01","6,364,334.50","12,092,145.66","19,265,863.50","50,068,865.79","-12,425,363.71","-86,016,907.71","-52,077,530.83","9,902,253.81","-23,148,380.04","-51,423,211.76","-208,695,332.94","-586,848,622.20","8,798,051.57","-23,393,567.71"
