科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"159,513,892.12","172,347,544.48","137,381,917.65","1,610,920,720.35","1,633,963,850.86","1,409,056,876.47","1,489,285,424.94","1,437,459,001.03","1,282,302,684.74","1,201,623,371.64","1,267,022,842.82","1,270,011,593.64","1,079,251,901.20","1,123,602,911.77","907,866,483.07","966,936,469.41","726,710,174.61","418,746,480.31","875,264,952.47","379,621,995.25","350,458,856.87","586,301,161.99","817,774,574.41","594,100,723.41","631,542,938.03","383,626,024.83"
短期借款,,"100,000,000.00",,,,,,,,,,,,,"48,000,000.00","29,000,000.00",,"324,106,731.53",,,"50,000,000.00",,,"300,000,000.00","337,000,000.00","337,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"70,622,700.26","95,750,542.42","211,603,686.12","107,782,911.45","104,484,462.00","153,638,902.27","102,600,984.96","118,486,771.48","117,574,916.83","107,849,869.15","109,548,591.58","133,399,412.00","142,549,219.04","116,977,449.54","296,035,210.31","259,054,977.62","188,086,645.63","170,336,394.78","350,467,950.11","319,897,005.80","366,564,999.38","355,774,277.15","416,884,461.50","402,711,143.95","318,000,780.99","280,080,041.93"
应付票据,,,,,,,,,,,,,,,"24,727,492.09","26,289,373.00","27,303,232.40","93,836,284.53","76,657,354.48","66,990,126.77","31,411,235.14","12,455,805.77","22,659,269.75","28,595,228.09","29,053,829.66","23,838,737.29"
应收账款,"139,565,775.05","188,235,993.15","134,238,826.02","210,756,274.47","237,603,982.96","220,543,026.03","188,053,530.26","240,786,888.77","248,126,601.77","248,867,069.32","273,024,203.17","250,062,285.71","345,823,229.99","346,876,858.93","646,117,117.56","508,364,425.33","617,865,885.96","749,897,358.38","752,283,256.32","731,408,702.76","791,357,809.93","872,405,246.41","943,627,659.58","956,443,435.16","860,319,531.04","914,037,084.34"
应付账款,"97,611,542.29","100,596,588.35","111,161,491.03","103,956,972.30","124,393,553.29","127,879,927.83","165,626,284.78","173,229,264.82","233,719,603.48","148,788,982.38","158,175,963.07","145,992,885.25","310,714,131.05","311,491,234.06","415,253,699.29","426,987,598.82","371,876,638.61","541,889,714.12","624,695,910.42","566,180,375.88","579,724,567.92","556,236,826.98","678,940,409.63","654,918,071.98","723,370,486.11","951,201,230.66"
预付款项,"19,720,801.65","38,779,595.97","53,450,821.62","57,140,040.69","68,088,140.04","81,473,990.18","60,838,885.83","80,850,263.95","95,146,198.28","110,025,321.50","194,779,958.77","209,003,761.18","143,418,974.31","175,758,140.10","190,814,767.61","275,851,593.22","180,982,994.92","191,195,356.88","205,393,285.54","163,055,954.06","178,950,295.18","244,529,337.53","236,678,268.50","366,302,637.53","427,616,680.01","477,214,357.05"
预收款项,"79,082.94","1,069,912.34","17,339.88","251,522.21",,,"1,029,000.00","1,329,000.00","1,129,009.45","1,229,000.00","1,029,000.00","1,205,305.65","1,329,000.00","1,329,000.00","28,646,690.33","51,444,381.72","28,944,784.39","8,980,170.82","8,739,871.63","15,974,413.88","25,383,659.41","29,408,337.53","25,220,528.69","10,944,273.16","3,029,762.96","14,350,327.20"
