科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"88,166,068.67","155,852,748.82","176,134,612.15","128,706,973.34","12,643,475.71","138,688,374.25","99,371,567.59","97,889,957.28","82,225,146.56","514,554,542.06","88,225,647.89","94,295,349.05"
短期借款,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,,,,,,"10,280,540.00","4,438,700.00","1,047,200.00","775,200.00",,"29,400.00","292,900.00"
应付票据,,,,,,,,,,,,"5,000,000.00"
应收账款,"37,520,516.69","28,366,783.81","30,928,809.71","58,136,825.81","60,517,061.46","44,808,957.69","48,287,983.75","80,782,897.95","90,787,754.11","105,711,641.83","129,104,303.86","151,625,674.92"
应付账款,"6,782,561.36","4,905,855.65","12,899,342.15","9,461,515.73","8,867,324.58","12,128,641.82","12,407,199.28","8,103,321.38","11,355,784.36","18,831,256.07","16,870,546.90","21,201,094.82"
预付款项,"1,194,658.75","879,318.09","1,266,973.04","2,667,829.22","2,594,604.95","1,907,307.39","1,158,563.42","2,080,970.30","2,411,164.96","1,895,254.64","3,629,280.69","7,138,872.40"
预收款项,"6,736,781.89","45,921,337.34","44,225,528.27","3,319,808.34","3,370,215.07","36,187,046.22","9,038,090.84","8,022,157.54","4,762,405.26","2,917,464.82","2,074,524.00","1,946,912.02"
其他应收款,"613,194.07","739,933.18","1,229,714.42","2,152,234.92","1,967,653.13","1,305,054.23","2,030,118.82","2,705,054.46","3,130,890.44","2,424,566.76","3,638,694.11","3,393,467.85"
应付职工薪酬,"4,226,278.92","8,237,657.35","12,673,260.61","5,653,575.66","5,339,766.93","14,914,314.89","6,016,891.81","5,994,483.80","6,881,709.58","15,844,519.34","7,221,855.29","6,301,025.13"
应收关联公司款,,,,,,,,,,,,
应交税费,"9,221,764.12","4,094,749.54","1,914,601.03","5,083,741.04","2,588,789.15","3,996,919.74","3,743,772.56","3,638,666.02","1,918,089.40","12,376,414.32","3,653,708.94","4,666,523.45"
应收利息,,,,,,"706,917.81","937,850.68","2,453,631.50","934,065.74","949,715.07","4,829,739.72","3,205,745.21"
应付利息,,,,,,,,,,,,
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,,,,
存货,"19,722,698.51","29,326,564.54","58,173,256.45","57,140,936.43","60,986,938.72","54,306,320.13","57,942,387.20","57,129,115.83","59,873,724.04","54,283,743.53","63,105,196.18","81,104,217.08"
其他应付款,"560,841.07","346,765.71","422,341.92","57,024.50","177,218.90","244,935.32","77,557.10","79,973.77","1,027,098.77","28,934,248.77","28,422,348.77","32,452,469.26"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
