科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应收款,"210,403,151.19","211,943,142.03","218,265,405.24","72,434,169.86","84,305,785.23","58,099,513.50","54,617,233.87","27,078,411.22","27,174,835.35","21,348,174.91","9,834,708.67","13,745,207.41","13,700,228.18","18,427,233.66","20,094,825.51","3,141,965.64","2,377,427.55","1,294,191.85","4,699,807.35","2,059,349.81","1,935,105.84","1,643,797.31","1,527,242.10","1,738,693.39","2,242,259.97","1,865,629.28","3,732,645.84","1,352,981.12","1,813,564.73","1,794,333.41","2,855,829.28","2,112,971.76","1,805,485.24","1,482,969.86","1,667,006.39","2,947,467.00","514,849,293.28","250,768,839.94","254,800,051.32","261,583,360.11","263,734,574.41","974,191,637.42","245,219,641.58"
应付职工薪酬,"5,584,696.58","4,866,015.42",,"6,650,024.18","5,423,040.50","4,914,279.68","4,617,515.26","5,924,382.20","4,879,688.35","5,204,046.36","5,506,305.42","7,879,698.21","4,976,348.85","5,787,291.79","6,193,311.46","7,570,477.27","4,214,800.12","4,380,407.17","4,308,460.13","5,568,480.45","4,056,554.53","3,633,188.30","3,587,586.73","3,486,110.82","3,446,209.07","3,341,433.79","3,771,378.24","4,506,283.22","4,791,479.76","6,159,553.35","5,067,833.94","5,309,368.84","4,174,459.78","4,514,936.42","4,808,096.03","7,331,856.12","348,589,724.11","292,870,507.72","297,840,049.56","352,866,983.25","315,134,583.21","272,159,651.35","274,111,674.15"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"10,420,496.95","10,313,758.06",,"7,364,967.04","7,611,398.44","7,629,967.21","7,467,220.31","9,644,973.76","8,952,864.00","8,577,197.65","11,402,614.46","10,464,388.28","9,009,366.07","7,860,243.68","6,808,261.55","2,886,072.96","4,360,839.30","2,639,676.94","3,508,280.95","5,395,527.20","3,836,662.28","1,337,358.91","2,568,998.08","2,564,512.68","1,984,252.80","1,019,494.75","1,885,206.86","3,052,485.27","2,802,873.90","223,262.09","925,297.06","3,140,841.41","1,837,534.84","3,757,237.97","4,341,777.95","7,013,386.03","140,486,736.90","155,772,755.48","153,238,943.71","286,970,010.25","183,858,968.62","235,958,075.92","226,683,962.43"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,379,013.89","4,995,812.63","12,281,982.68","13,861,741.90"
应付利息,,,,,,,,"111,782,215.14","115,437,431.62","115,146,110.69","112,337,597.49","123,710,783.57","127,588,609.23","123,710,783.57","12,549,910.72",,,,,,,,,"26,149.00","26,149.00","26,149.00","26,149.00","22,501.74","22,501.74","22,501.74","22,501.74","14,485.88","14,485.88","14,485.88","14,485.88","3,784.27","16,544,451.85","16,599,945.76","13,336,509.83","8,484,190.29","11,782,841.66","11,231,988.11","9,185,140.42"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"952,950.00",,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"113,347,550.31","116,699,252.88","116,655,628.60","52,973,340.21","53,833,229.64","79,125,899.90","98,347,251.31","48,478,271.11","51,193,573.50","45,456,204.19","37,161,592.40","36,724,770.32","37,338,515.23","44,953,098.35","45,111,353.55","44,562,220.50","42,982,802.13","50,555,760.02","43,913,799.13","46,066,565.78","49,962,229.98","52,359,035.03","51,969,038.29","47,547,870.90","53,503,350.64","58,530,880.44","63,019,044.41","51,339,805.94","85,800,103.09","93,972,419.20","90,961,539.79","96,570,617.79","103,319,664.66","103,189,535.79","101,400,033.32","99,185,528.49","4,961,875,283.52","4,627,761,989.97","4,564,913,102.92","4,580,372,081.18","4,538,973,949.43","4,845,608,651.02","6,087,148,529.92"
其他应付款,"198,627,818.04","271,017,630.34","278,377,263.66","417,382,133.14","425,392,354.43","410,251,650.11","449,762,410.94","327,934,338.92","337,019,470.35","336,209,341.90","330,844,422.28","258,379,454.92","263,441,856.90","258,984,189.59","17,819,206.92","32,817,854.58","34,303,630.88","31,927,268.55","33,944,948.56","27,740,377.28","28,116,640.68","28,425,139.77","26,072,000.03","30,167,881.62","26,611,335.83","28,385,771.02","124,016,313.15","9,534,716.83","43,942,461.86","44,282,464.89","44,468,768.90","43,818,150.21","10,224,633.30","12,500,617.21","11,451,376.34","19,340,782.11","299,124,065.32","259,531,855.10","242,541,392.79","216,599,406.16","213,494,039.44","278,902,154.17","1,991,379,309.17"
其中:消耗性生物资产,,"3,385,008.26",,,,"2,363,938.36","2,560,765.96",,,"2,118,422.60","1,980,545.68",,"1,760,552.56",,"1,796,068.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,000,000.00","32,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",
一年内到期的非流动负债,"173,975,000.00","103,975,000.00","103,975,000.00","103,975,000.00","103,975,000.00","103,975,000.00","103,975,000.00","63,900,000.00","63,900,000.00","63,900,000.00","63,900,000.00","63,900,000.00","63,900,000.00","63,900,000.00",,,,,,,,,,"2,699,196.00","3,222,506.04","3,272,498.04","3,272,498.04","3,272,498.04","3,272,498.04","3,272,498.04","3,272,498.04","3,272,498.04","3,272,498.04","3,272,498.04","2,851,628.22","2,033,503.71","178,750,000.00","532,875,000.00","350,000,000.00","350,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00"
其他流动资产,"435,156.50",,,,,,,,,,,,,,,"703,738.57","703,738.57","703,738.57","703,738.57","703,738.57","703,738.57","703,738.57","703,738.57","703,738.57","703,738.57","703,738.57","80,703,738.57","142,000,000.00","168,000,000.00","146,950,000.00","208,580,000.00","98,063,453.71","91,950,000.00","64,634,252.42","43,000,000.00","101,754,407.25","658,319,658.85","586,410,780.76","422,239,034.61","482,918,206.46","795,914,394.04","603,154,286.70","669,220,763.06"
其他流动负债,"212,388,253.92","954,571.75","8,287,473.90","1,515,361.80","1,515,860.55","1,515,860.56","1,515,860.56","1,482,019.98","1,482,518.74","1,482,518.74","1,561,971.74","1,527,336.63","1,528,673.80","3,977,336.63","2,977,336.63","13,243,574.55","10,593,574.55","10,593,574.55","11,663,574.55","10,619,167.72","10,620,114.17","10,620,114.17","10,620,114.17","1,556,359.91","3,257,434.91","1,637,434.91","1,637,434.91","1,600,626.65","1,600,626.65","1,600,626.65","1,600,626.65","1,561,360.35","1,561,360.35","1,561,360.35","1,561,360.35","1,522,094.05","43,842,139.12","42,210,786.32","34,697,075.33","33,473,705.67","32,832,212.34","27,314,450.56","27,546,236.30"
流动资产合计,"495,692,417.56","499,817,746.30","501,161,987.57","229,481,717.69","221,032,557.93","192,762,818.29","219,006,683.62","131,343,122.91","143,303,752.53","123,934,033.10","112,910,394.14","105,394,178.03","117,778,512.29","104,449,841.47","124,708,076.51","147,178,924.88","133,778,984.29","127,681,086.02","138,271,858.19","148,680,680.13","129,716,878.46","119,310,494.60","126,984,803.88","109,858,025.61","106,295,425.12","108,177,614.64","210,897,472.85","272,596,467.37","309,025,362.51","350,436,014.52","366,777,434.52","260,384,220.97","245,730,872.59","247,464,341.71","228,020,377.56","343,846,577.54","15,110,087,583.22","14,820,481,909.89","14,521,865,164.10","15,607,897,620.96","14,820,021,167.25","16,310,890,982.04","16,203,921,832.66"
流动负债合计,"837,854,362.26","836,848,910.78","836,217,843.47","855,163,083.26","831,283,483.95","821,704,802.92","850,148,491.73","850,699,109.89","862,077,519.58","848,513,176.20","829,645,687.06","682,879,289.42","695,295,406.87","682,826,999.40","128,170,013.41","122,098,268.85","99,648,740.85","94,709,674.55","102,973,010.49","119,720,267.26","105,041,244.09","101,113,033.16","104,162,773.67","93,693,026.70","93,286,613.93","89,193,726.00","191,509,001.85","265,499,978.14","301,931,736.49","293,703,723.96","291,911,335.78","293,757,104.99","255,814,707.39","257,236,953.80","252,846,789.27","260,862,830.16","12,230,817,066.47","12,146,401,345.20","11,756,052,205.86","12,761,698,325.21","12,045,007,838.68","13,981,128,195.62","16,591,111,429.51"
可供出售金融资产,"42,163.20","42,163.20","42,163.20","42,163.20",,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00",,"113,010,000.00","113,010,000.00","113,010,000.00","132,000,000.00","20,000,000.00","81,750,000.00","111,565,380.86","100,294,363.00","93,253,233.40","98,246,138.80","93,400,943.80","96,643,412.20"
长期借款,,,,,,,,,,,,,,,,,,,,,,,"10,262,775.00","8,578,159.83","7,810,367.28","6,942,250.77","6,124,126.26","5,306,001.75","4,344,253.07","3,669,752.73","2,851,628.22","2,033,503.71","1,215,379.20","397,254.69",,,"1,810,000,000.00","1,460,000,000.00","1,460,000,000.00","1,460,000,000.00","1,310,000,000.00","1,310,000,000.00","1,160,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"884,816.79","974,603.64","1,022,538.77","1,046,612.00","1,129,640.37","1,208,064.73","1,239,468.73","1,301,866.18","1,383,658.39","1,455,156.35","1,453,479.42","874,187.24","1,418,837.98","818,883.43","774,983.85","732,199.15","809,730.60","775,004.01","601,468.67","663,831.25","607,254.23","633,548.20","356,049.79","340,951.52","259,747.49","276,079.75","267,874.37","248,447.21","228,043.48","197,607.32","204,089.86","240,821.69","248,133.07","333,190.49","390,183.64","145,609.62","251,509.62",,,,,,
