科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"174,255,166.55","222,918,491.04","82,215,540.94","336,306,201.33","82,827,477.07","193,279,278.03","288,288,880.19","366,350,764.76","61,312,364.15","182,477,796.31","336,291,989.46","402,228,022.09","112,218,713.15","217,532,753.77","304,800,564.30","323,324,621.49","83,717,767.29","180,060,036.77","287,522,032.04","376,582,618.10","80,554,768.28","232,042,840.85","329,623,170.41","451,703,111.77","69,359,716.43","163,573,106.52","283,151,038.05","470,195,101.59","74,236,746.53","154,298,017.74","264,457,258.70","494,836,469.95","91,606,679.12","194,816,624.81","283,190,283.65","597,893,360.77","67,266,832.41","286,866,030.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"162,660,000.00","168,660,000.00","180,000,000.00",,,,,,,"224,213,223.58","363,710,474.93",,"42,947,549.80","17,139,549.80","26,000,000.00",,"26,000,000.00"
收到的税费返还,"4,370,104.81","930,692.61",,"11,360,414.71","4,960,276.40","8,872,348.12","11,459,292.01","15,972,027.61","3,708,275.05","4,320,255.44","9,008,326.89","14,553,642.38","2,382,224.52","7,259,333.40","13,211,598.74","18,174,745.75","2,950,543.83","7,647,315.31","13,224,890.06","18,566,735.93","7,183,137.67","12,279,886.33","16,139,225.90","19,200,279.96","5,933,209.93","8,710,524.07","13,763,164.80","16,630,080.05","2,157,974.05","9,906,154.04","16,893,717.20","19,110,463.16","4,063,382.83","8,054,814.07","11,001,004.36","12,674,694.48","2,544,351.14","6,665,179.14"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"27,080,000.00",,,,,,,,,,,,,,,,,"11,711,199.93","11,711,199.93",,,
收到其他与经营活动有关的现金,"4,617,644.26","1,946,706.74","3,946,993.61","2,450,672.73","1,743,821.46","3,000,891.00","3,240,060.10","8,761,035.36","5,042,215.00","8,109,051.16","13,819,697.11","15,272,648.37","6,312,872.43","9,708,539.87","21,462,635.03","30,943,758.76","14,393,868.04","14,564,999.26","16,021,976.87","16,636,413.38","9,040,327.59","9,528,750.15","11,085,354.68","11,138,324.11","5,107,259.36","6,813,983.60","10,115,257.25","12,931,454.82","2,757,008.54","5,229,443.49","6,295,711.34","22,612,751.55","14,361,343.46","34,107,919.08","38,624,952.16","12,260,385.37","7,717,328.15","33,339,363.83"
投资活动现金流出小计,"6,537,157.00","31,488,468.33","3,602,732.15","17,953,073.04","160,707.42","740,748.33","12,316,190.80","18,768,675.48","6,640,833.44","13,868,116.65","17,565,403.78","24,975,455.09","5,844,624.54","11,851,745.77","19,376,059.63","22,765,903.46","30,733,759.15","105,327,685.41","111,373,330.08","211,680,485.27","213,569,344.64","249,606,085.16","307,247,084.80","260,409,278.98","41,239,981.40","60,490,986.79","62,526,887.72","117,054,909.29","1,902,000.00","64,149,838.84","311,358,795.22","437,563,761.30","496,155,058.74","650,687,226.85","672,891,409.43","810,251,353.76","39,264,054.55","198,516,779.05"
经营活动现金流入小计,"183,242,915.62","225,795,890.39","86,162,534.55","350,117,288.77","89,531,574.93","205,152,517.15","302,988,232.30","391,083,827.73","70,062,854.20","194,907,102.91","359,120,013.46","432,054,312.84","120,913,810.10","234,500,627.04","339,474,798.07","372,443,126.00","101,062,179.16","202,272,351.34","316,768,898.97","411,785,767.41","96,778,233.54","253,851,477.33","356,847,750.99","482,041,715.84","80,400,185.72","179,097,614.19","307,029,460.10","499,756,636.46","79,151,729.12","169,433,615.27","287,646,687.24","536,559,684.66","110,031,405.41","236,979,357.96","332,816,240.17","622,828,440.62","77,528,511.70","326,870,573.17"
投资活动产生的现金流量净额,"-6,537,157.00","-31,488,468.33","-3,602,732.15","-17,953,073.04","-160,707.42","-740,748.33","-12,316,190.80","-18,768,675.48","-6,640,833.44","-13,868,116.65","-17,565,403.78","-24,975,455.09","-5,844,624.54","-11,851,745.77","-19,376,059.63","-22,765,903.46","-30,733,759.15","-105,321,905.41","-111,367,550.08","-211,674,705.27","-178,565,029.57","-214,606,085.16","-272,247,084.80","-205,406,978.98","-41,239,981.40","-41,490,986.79","-43,526,887.72","-98,016,393.39","-1,654,003.68","-63,899,342.52","-259,106,798.88","-437,194,051.91","-127,722,229.55","-223,827,773.85","-216,236,103.66","-289,871,510.98","56,263,545.57","-17,009,745.37"
购买商品、接受劳务支付的现金,"130,065,954.82","191,681,512.57","56,210,775.73","265,111,630.30","67,768,662.24","148,300,927.96","209,552,402.32","282,226,852.59","58,369,591.44","125,429,004.78","233,726,172.30","316,106,897.18","70,573,954.47","147,287,186.55","214,540,496.25","253,489,815.51","61,488,041.36","129,895,249.74","204,106,152.60","286,267,791.02","81,519,255.12","200,843,395.73","243,745,018.80","335,353,375.13","67,980,303.82","163,282,697.19","260,332,057.79","319,845,265.88","62,081,170.59","143,471,013.37","231,919,602.43","264,546,952.27","106,227,329.37","151,217,633.36","203,316,128.79","330,373,822.47","38,436,771.74","242,175,862.25"
吸收投资收到的现金,"750,000.00","45,005,000.00",,,,"461,000,000.00","461,000,000.00","480,375,000.00",,,,,,,,,,,,,,,,,,,,,,,"479,002,998.41","479,880,187.08",,,,"150,000.00","190,000.00","290,000.00"
