科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"237,747,240.50","266,382,348.04","335,312,926.19","111,044,199.08","182,048,242.57","363,723,655.30","16,896,031.06","86,794,103.15","170,044,325.99","345,978,996.42","81,833,814.75","146,272,189.45","231,498,561.78","430,170,170.92","137,824,921.08","265,456,008.92","376,661,452.82","585,962,386.29","99,722,231.58","205,462,127.11","274,298,629.62","412,036,337.09","79,646,255.99","146,237,740.27","240,163,666.68","397,751,787.76","79,306,761.54","139,821,451.86","214,568,243.75","377,114,155.93","83,898,913.47","151,250,693.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"4,000,000.00",,,,,,,,,
收到的税费返还,"129,230.77","432,923.06","965,452.08","119,745.18","2,939,960.16","2,939,960.16",,"522,778.55","624,380.56","663,467.28","694,729.74","816,465.30","868,018.64","931,775.71","191,981.66","395,430.30","485,515.96","704,497.09","82,363.50","82,363.50","82,363.50",,,,,,,,,,,
支付其他与投资活动有关的现金,"497,646.60","6,175,493.52","438,616.20","2,836,026.80","2,836,026.80","1,554,569.02","564,391.20","2,068,687.68","3,280,796.42","10,624,755.07",,"5,552,607.52","7,874,930.53","3,005,528.83",,,,"5,598,696.45",,"680,272.80","680,272.80","1,276,979.68",,,"3,003,981.90","2,824,670.32",,"40,123,605.60","42,203,017.52","21,421,236.68","64,320.00","20,618,182.80"
收到其他与经营活动有关的现金,"11,981,370.98","18,882,907.44","10,238,356.91","4,649,064.20","7,855,407.99","15,420,707.71","2,273,663.93","11,795,911.42","21,277,881.11","12,028,604.15","32,997,371.80","39,079,380.09","56,021,300.15","10,665,593.61","6,956,957.68","15,499,517.06","27,830,706.41","12,526,422.23","8,249,864.85","18,141,927.04","39,351,868.38","11,090,210.39","6,027,154.32","22,962,669.54","53,162,970.51","11,770,417.16","6,715,563.24","15,917,181.61","26,942,037.61","23,019,103.98","4,886,553.32","8,274,345.28"
投资活动现金流出小计,"3,138,947.22","10,632,824.95","3,118,575.11","3,846,471.37","4,434,154.57","3,486,781.01","3,091,166.80","72,233,460.86","73,729,075.60","96,297,004.19","690,110.00","8,340,195.02","17,875,915.20","42,460,312.05","11,054,558.81","16,657,525.94","19,100,859.57","40,071,585.16","7,615,194.98","19,589,612.78","46,381,533.76","47,375,058.30","4,330,594.73","4,802,080.41","8,193,194.53","9,913,520.72","10,940.17","40,409,633.77","42,517,179.03","22,671,252.46","95,655.54","21,179,695.12"
经营活动现金流入小计,"249,857,842.25","285,698,178.54","346,516,735.18","115,813,008.46","192,843,610.72","382,084,323.17","19,169,694.99","99,112,793.12","191,946,587.66","358,671,067.85","115,525,916.29","186,168,034.84","288,387,880.57","441,767,540.24","144,973,860.42","281,350,956.28","404,977,675.19","599,193,305.61","108,054,459.93","223,686,417.65","313,732,861.50","423,126,547.48","85,673,410.31","169,200,409.81","293,326,637.19","409,522,204.92","86,022,324.78","155,738,633.47","241,510,281.36","400,133,259.91","88,785,466.79","159,525,039.20"
投资活动产生的现金流量净额,"-3,103,947.22","-10,370,711.35","3,481,606.41","-3,366,156.37","-1,030,878.57","-2,919,531.81","-1,536,597.78","-70,114,500.64","-70,105,818.90","-94,704,435.17","-690,110.00","3,839,129.07","-5,696,591.11","-31,835,556.98","-9,537,827.51","-13,119,542.45","-14,026,068.08","-37,066,056.33","-3,510,974.54","-3,990,739.90","-30,312,660.88","-32,488,634.65","-3,263,554.74","-2,497,960.74","-4,888,474.86","56,876,792.37","45,424,550.15","65,526,306.55","63,420,361.29","43,338,287.86","-90,540.30","4,507,805.64"
购买商品、接受劳务支付的现金,"156,986,971.13","182,561,518.34","184,959,164.02","93,221,866.09","148,054,248.51","292,071,536.77","48,048,460.63","81,686,090.33","136,901,337.30","222,202,247.76","102,594,170.45","182,816,311.92","246,247,169.84","357,475,304.00","100,637,893.39","229,207,604.02","300,439,092.42","379,701,768.77","106,957,861.00","170,874,940.77","251,329,498.25","300,712,336.67","69,467,388.28","143,283,806.10","202,188,490.48","285,021,301.56","69,734,952.87","145,369,589.58","195,955,530.86","304,576,037.34","80,235,299.92","136,842,877.27"
吸收投资收到的现金,"8,040,000.00",,,,,"358,330,000.00",,,,,,,,,,,,,,,"6,860,000.00","7,840,000.00","2,450,000.00","2,450,000.00","2,450,000.00","2,450,000.00",,,,,"490,000.00","490,000.00"
支付给职工以及为职工支付的现金,"14,714,866.81","22,533,492.65","32,542,789.15","20,612,260.03","28,530,768.17","36,617,030.33","11,608,029.09","27,892,883.73","41,800,371.19","56,147,810.64","15,096,802.64","31,629,389.34","47,260,447.34","65,463,757.84","17,849,983.93","35,352,330.98","54,181,869.80","75,360,994.15","19,521,603.84","33,939,173.78","43,315,569.88","50,732,173.02","10,674,887.19","16,955,614.21","24,011,352.97","34,465,551.81","8,531,944.34","17,019,761.25","23,276,231.13","33,258,303.23","11,846,573.29","19,446,312.25"
取得借款收到的现金,"39,000,000.00","38,975,700.00","38,310,000.00","15,000,000.00","20,000,000.00","55,000,000.00",,"25,000,000.00","55,000,000.00","55,000,000.00",,"30,000,000.00","30,000,000.00","80,000,000.00",,,"10,000,000.00","10,000,000.00",,,,,,"1,200,000.00","1,200,000.00","2,200,000.00",,,,,,
