科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,043,011,753.53","3,934,602,971.14","4,476,984,586.38","1,402,590,408.54","2,500,197,072.90","3,635,969,424.79","5,449,777,213.96","1,294,266,341.85","2,789,703,191.96","4,106,976,254.48","6,145,560,377.84","1,771,861,509.63","3,774,316,227.36","5,207,348,040.98","6,645,482,205.78","1,337,331,524.03","2,869,837,162.09","4,110,051,351.87","5,594,694,961.04","917,605,152.68","2,003,668,986.38","2,385,534,865.47","4,064,199,771.22","1,004,735,047.29","1,706,558,706.08","2,252,158,691.73","3,240,803,138.89","803,612,785.29","1,338,299,194.88","2,130,015,784.37"
取得子公司及其他营业单位支付的现金净额,"1,888,059.09","796,351.01",,,,,,,,,,,,,,,,,,,,,,"93,285,452.17","93,285,452.17","93,285,452.17","93,285,452.17",,,
收到的税费返还,,,,"11,191,627.60","27,471,797.40","50,417,781.45","2,843,952.12",,,,"2,748,260.60",,,,"2,000,000.00",,,,"4,617,161.89",,"3,385,599.59","6,352,720.12","36,087,150.52",,"7,170,781.65","11,744,280.96","28,952,242.54","47,488.34","5,210,665.58","5,561,636.51"
支付其他与投资活动有关的现金,,"567,089.64","698,643.78",,"944,409.26",,,,,,,,"18,162,681.46","18,162,681.46","1,490,477,084.11","134,000,000.00",,"839,460.00","666,562,000.00","522,000,487.75","73,597,078.00","221,140,664.00","705,825,026.00","276,100,000.00","180,873,750.00","490,864,320.00","577,057,106.91","44,252,339.50","167,311,752.00","80,785,167.37"
收到其他与经营活动有关的现金,"21,255,929.50","32,407,539.64","78,388,581.55","187,093,870.63","199,962,790.23","221,441,997.43","83,846,663.81","173,179,717.48","200,999,249.31","243,727,636.34","66,579,546.83","28,913,948.22","311,231,088.07","378,060,454.97","159,879,390.26","77,960,109.12","285,524,455.38","335,365,366.81","128,377,405.12","161,986,563.76","278,468,293.03","462,265,828.13","173,130,559.37","95,753,316.12","33,125,085.56","104,759,033.96","65,540,905.66","140,660,332.64","71,157,946.39","113,808,090.91"
投资活动现金流出小计,"150,283,695.26","466,768,933.72","237,295,670.40","54,099,200.39","104,259,147.77","154,679,204.95","185,994,424.40","55,907,145.38","93,773,317.55","185,213,058.13","212,364,284.79","39,539,072.55","143,522,403.77","332,062,554.10","1,865,528,163.07","256,049,994.43","143,694,338.74","247,326,631.30","1,010,578,539.94","600,016,849.76","310,076,476.76","442,219,451.61","1,094,615,700.94","414,884,736.17","368,995,718.67","701,385,817.28","1,363,380,663.15","69,318,923.26","214,836,325.95","145,059,345.81"
经营活动现金流入小计,"2,064,267,683.03","3,967,010,510.78","4,555,373,167.93","1,600,875,906.77","2,727,631,660.53","3,907,829,203.67","5,536,467,829.89","1,467,446,059.33","2,990,702,441.27","4,350,703,890.82","6,214,888,185.27","1,800,775,457.85","4,085,547,315.43","5,585,408,495.95","6,807,361,596.04","1,415,291,633.15","3,155,361,617.47","4,445,416,718.68","5,727,689,528.05","1,079,591,716.44","2,285,522,879.00","2,854,153,413.72","4,273,417,481.11","1,100,488,363.41","1,746,854,573.29","2,368,662,006.65","3,335,296,287.09","944,320,606.27","1,414,667,806.85","2,249,385,511.79"
投资活动产生的现金流量净额,"-146,257,016.77","-444,395,072.24","-213,983,888.81","-54,099,200.39","-104,258,114.77","-154,454,259.95","-184,971,724.43","-55,870,641.84","-93,509,697.61","-184,786,838.19","-210,148,926.98","-39,491,271.55","-139,369,135.86","-327,667,833.11","-1,853,462,653.46","462,319,282.00","728,618,807.88","959,507,169.76","514,671,915.74","250,974,845.92","135,413,035.39","232,661,189.52","-360,229,193.34","184,734,657.11","285,299,684.91","-47,943,555.21","-705,290,405.54","164,099,651.83","145,235,827.98","190,923,979.01"
购买商品、接受劳务支付的现金,"1,002,781,838.30","1,743,042,463.17","1,954,843,261.74","525,977,314.88","1,127,931,426.49","1,707,614,323.74","2,302,586,788.83","465,283,552.45","1,042,088,090.11","1,580,506,600.28","1,977,320,230.54","652,351,922.22","1,581,741,448.41","2,550,792,484.09","2,919,204,579.10","960,158,611.88","1,856,543,103.17","2,500,820,646.54","2,591,667,927.72","635,594,966.20","1,132,338,658.30","1,240,726,850.27","1,998,026,226.69","387,576,143.42","713,639,206.94","1,167,962,200.73","1,410,048,501.23","282,693,386.79","750,660,692.99","979,001,820.57"
吸收投资收到的现金,"7,000,000.00","224,000,813.80",,,"1,714,000,000.00","1,714,000,000.00","1,703,608,333.70",,,,,,,,,,"9,750,000.00","9,980,000.00","9,830,000.00",,"12,850,000.00","13,050,000.00","13,050,000.00",,,"2,400,000.00","3,380,000.00",,,
支付给职工以及为职工支付的现金,"115,763,786.31","291,061,712.80","392,181,037.17","151,408,684.50","281,252,752.56","413,817,216.95","465,130,503.63","150,812,605.80","271,851,643.70","382,883,678.57","502,878,815.92","136,298,404.49","265,565,830.87","431,290,715.70","566,997,666.18","160,078,267.23","323,744,319.00","471,765,133.38","635,317,660.74","155,310,497.13","307,505,386.18","471,396,270.84","630,499,893.33","139,032,615.84","275,283,263.97","372,023,334.66","551,353,734.38","123,332,084.07","256,108,944.07","389,981,888.70"
取得借款收到的现金,"503,063,115.13","504,000,000.00","661,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00",,,,"32,944,767.00",,,,,,,,,,,"323,000,000.00","336,755,430.15","291,488,902.67","546,585,118.89","1,667,611,016.64","2,223,357,919.05","363,917,433.49","601,096,332.75","1,376,116,030.56"
支付的各项税费,"190,919,919.54","444,597,079.15","523,558,996.57","194,926,943.19","404,163,850.40","646,018,867.43","784,340,064.51","214,154,381.67","473,546,723.95","694,546,854.83","911,526,836.28","190,604,365.52","503,200,022.38","730,433,665.70","916,672,568.16","183,988,144.41","374,894,984.70","583,930,758.76","756,927,970.09","132,764,227.47","198,957,519.85","302,789,053.81","375,733,946.29","251,527,033.31","389,849,118.71","466,771,283.59","548,823,226.68","85,218,326.12","201,955,826.10","283,559,958.53"
收到其他与筹资活动有关的现金,"24,000,000.00","7,098,313.40","10,900,382.20","15,400,374.89","55,400,374.89","65,400,374.89","15,400,374.89",,,,,,,,,,,,,,,,,,,,"80,000,000.00",,,
支付其他与经营活动有关的现金,"692,817,217.19","1,159,602,441.26","1,435,089,274.28","330,802,526.04","614,181,994.45","898,630,688.84","1,564,291,175.33","278,804,687.62","629,160,328.68","979,445,440.94","1,813,889,532.90","394,845,076.79","994,882,868.12","1,443,431,811.78","2,194,904,132.43","330,691,333.03","858,682,608.36","1,240,389,567.33","1,931,406,526.70","415,450,937.01","832,339,167.95","1,029,870,350.89","1,240,081,793.14","340,394,369.17","593,971,608.63","974,586,395.75","1,248,417,920.09","318,293,828.62","433,118,663.66","744,297,619.28"
筹资活动现金流入小计,"534,063,115.13","735,099,127.20","671,900,382.20","75,400,374.89","1,829,400,374.89","1,859,400,374.89","1,799,008,708.59",,,,"32,944,767.00",,,,,,"9,750,000.00","9,980,000.00","9,830,000.00",,"12,850,000.00","336,050,000.00","349,805,430.15","291,488,902.67","546,585,118.89","1,670,011,016.64","2,306,737,919.05","363,917,433.49","601,096,332.75","1,376,116,030.56"
经营活动现金流出小计,"2,002,282,761.34","3,638,303,696.38","4,305,672,569.76","1,203,115,468.61","2,427,530,023.90","3,666,081,096.96","5,116,348,532.30","1,109,055,227.54","2,416,646,786.44","3,637,382,574.62","5,205,615,415.64","1,374,099,769.02","3,345,390,169.78","5,155,948,677.27","6,597,778,945.87","1,634,916,356.55","3,413,865,015.23","4,796,906,106.01","5,915,320,085.25","1,339,120,627.81","2,471,140,732.28","3,044,782,525.81","4,244,341,859.45","1,118,530,161.74","1,972,743,198.25","2,981,343,214.73","3,758,643,382.38","809,537,625.60","1,641,844,126.82","2,396,841,287.08"
偿还债务支付的现金,"498,242,809.83","428,380,780.00","267,430,000.00","100,000,000.00","503,200,000.00","523,200,000.00","563,200,000.00","60,000,000.00","60,000,000.00","320,000,000.00","320,000,000.00",,"3,869,594.00","3,869,594.00",,,,,"1,000,000.00",,,,,"124,635,984.14","258,077,285.96","745,348,115.03","764,525,089.21","282,814,471.56","683,116,300.43","1,476,889,859.51"
经营活动产生的现金流量净额,"61,984,921.69","328,706,814.40","249,700,598.17","397,760,438.16","300,101,636.63","241,748,106.71","420,119,297.59","358,390,831.79","574,055,654.83","713,321,316.20","1,009,272,769.63","426,675,688.83","740,157,145.65","429,459,818.68","209,582,650.17","-219,624,723.40","-258,503,397.76","-351,489,387.33","-187,630,557.20","-259,528,911.37","-185,617,853.28","-190,629,112.09","29,075,621.66","-18,041,798.33","-225,888,624.96","-612,681,208.08","-423,347,095.29","134,782,980.67","-227,176,319.97","-147,455,775.29"
分配股利、利润或偿还利息支付的现金,"90,054,019.26","140,567,993.37","186,629,416.19","11,334,486.17","20,549,164.12","26,485,751.90","31,287,461.25","4,649,738.79","9,091,584.04","295,626,387.03","309,723,302.51",,"247,109,000.00","247,109,000.00","247,109,000.00",,"415,398,750.00","415,398,750.00","415,398,750.00",,,"1,945,389.98","6,481,285.30","5,727,575.39","13,498,033.89","23,914,525.08","43,865,273.51","13,960,419.17","32,343,384.04","49,151,927.08"
收回投资收到的现金,"1,500,000.00","21,131,068.49","20,000,000.00",,,,,,,,,1.00,,,,,,"30,000,000.00",,,,,,,,,,,,
支付其他与筹资活动有关的现金,"7,098,313.40","10,900,382.20","15,400,374.89","20,000,000.00","40,756,559.45","61,895,359.45","300,000.00",,,,,,"1,462,754.42","1,462,754.42","1,462,754.42",,"23,791,138.24","23,791,138.24",,"60,000.00","1,450,000.00","2,349,577.77","4,364,399.13","60,000.00","642,473.09","1,642,473.08","1,792,473.09","81,083,808.22","80,000,000.00","80,000,000.00"
取得投资收益收到的现金,"88,472.10","231,534.23","82,109.60",,,,,,,,,,,,"7,516,361.68","4,134,136.99","24,485,293.43","24,595,375.62","37,113,882.05","3,176,432.81","8,432,935.51","7,680,777.88","19,798,524.24","2,395,246.32","4,096,442.13","4,983,614.37","8,164,492.15","277,705.01","3,967,971.45","2,708,578.66"
筹资活动现金流出小计,"595,395,142.49","579,849,155.57","469,459,791.08","131,334,486.17","564,505,723.57","611,581,111.35","594,787,461.25","64,649,738.79","69,091,584.04","615,626,387.03","629,723,302.51",,"252,441,348.42","252,441,348.42","248,571,754.42",,"439,189,888.24","439,189,888.24","416,398,750.00","60,000.00","1,450,000.00","4,294,967.75","10,845,684.43","130,423,559.53","272,217,792.94","770,905,113.19","810,182,835.81","377,858,698.95","795,459,684.47","1,606,041,786.59"
处置固定资产、无形资产和其他长期资产收回的现金净额,"131,727.83","1,011,258.76","3,229,671.99",,"1,033.00","224,945.00","1,022,699.97","36,503.54","263,619.94","426,219.94","2,215,357.81","47,800.00","4,153,267.91","4,394,720.99","4,549,147.93","422,233.61","2,130,038.36","1,994,046.99","5,722,170.98","237,580.00","494,576.64","637,863.25","2,245,983.36","1,224,146.96","2,760,836.45","2,458,647.70","1,817,665.46","165,764.32","848,082.48","37,174,746.16"
筹资活动产生的现金流量净额,"-61,332,027.36","155,249,971.63","202,440,591.12","-55,934,111.28","1,264,894,651.32","1,247,819,263.54","1,204,221,247.34","-64,649,738.79","-69,091,584.04","-615,626,387.03","-596,778,535.51",,"-252,441,348.42","-252,441,348.42","-248,571,754.42",,"-429,439,888.24","-429,209,888.24","-406,568,750.00","-60,000.00","11,400,000.00","331,755,032.25","338,959,745.72","161,065,343.14","274,367,325.95","899,105,903.45","1,496,555,083.24","-13,941,265.46","-194,363,351.72","-229,925,756.03"
处置子公司及其他营业单位收到的现金净额,"2,306,478.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,"749,855.92",,"-119,684.82",,"-45,500.71",,"1,273,336.28","1,273,336.28","32,572.61",,"62,236.58","62,236.58","-343,149.80","-201,724.14","-744,342.77","89,357.65","-3,538,170.42","-28,874.19","657,638.86","74,958.33","3,137,204.37","123,175.79","-5,347,629.47","1,761,016.54"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,"713,812,905.83","845,697,814.83","1,150,244,378.45","1,482,414,402.65","847,577,682.87","436,562,000.00","666,562,000.00","712,342,000.00","596,000,000.00","647,438,125.00","646,000,000.00","648,108,100.00","232,975,105.76","355,256,100.00","296,100,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
