科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"755,362,629.52","902,684,684.88","407,570,538.01","723,914,564.50","1,145,306,750.33","359,335,837.15","661,829,336.30","1,145,669,244.42","1,818,814,620.14","583,149,853.35","1,003,246,147.98","1,633,896,787.10","2,382,434,788.48","614,320,304.90","1,036,490,112.66","1,847,721,787.66","2,724,953,861.21","615,351,177.56","1,078,073,329.79","1,722,646,961.76","2,524,209,416.40","657,308,577.96","1,112,279,848.48","1,879,993,912.91","2,761,400,573.51","705,394,935.16","1,249,976,092.85","2,046,094,586.02","2,915,633,891.98","762,846,279.96","1,343,083,310.65","2,155,264,290.48","3,152,216,442.15","1,057,767,260.42","1,981,435,890.62","3,182,670,009.32","4,661,850,865.51","1,171,508,749.60","2,196,906,569.27","3,451,681,484.44","4,812,808,573.97","1,144,180,489.26"
二、营业利润,"111,497,005.22","137,581,741.81","62,304,205.78","128,311,629.90","189,486,661.01","69,245,465.17","104,029,438.73","204,951,301.63","272,405,046.70","108,839,621.42","164,761,693.93","304,853,832.14","417,242,603.87","128,777,615.95","146,761,416.67","273,748,075.93","419,597,075.34","105,173,345.72","151,466,454.55","256,416,810.90","373,138,406.72","111,892,681.07","177,919,730.33","304,611,631.86","432,099,652.84","138,236,438.47","205,694,012.12","359,794,635.84","481,819,451.63","136,627,686.30","194,363,871.21","321,192,465.08","391,023,301.87","147,139,567.35","219,837,332.96","410,304,796.99","526,408,625.70","184,938,804.90","261,376,883.84","439,778,157.27","594,190,583.09","174,048,789.07"
减:营业成本,"492,404,923.29","568,121,133.83","245,422,172.28","441,509,914.73","697,436,260.83","217,129,319.08","401,643,789.75","712,739,208.16","1,131,280,282.60","349,417,553.03","593,673,817.30","987,289,834.53","1,377,436,916.35","327,439,565.81","583,133,528.05","1,075,633,938.99","1,574,584,274.82","354,907,772.18","613,641,321.99","987,390,552.35","1,414,058,164.54","364,584,481.94","614,113,615.22","1,049,502,064.09","1,522,590,313.74","368,353,515.80","646,044,667.88","1,070,685,858.40","1,488,077,938.76","382,181,848.41","676,890,906.01","1,105,706,598.52","1,624,554,797.76","586,351,416.39","1,090,223,199.48","1,773,993,047.99","2,635,590,846.21","666,621,300.82","1,200,957,199.22","1,953,613,952.27","2,622,922,929.11","642,136,371.69"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,488,397.64","2,255,947.33","1,255,018.11","2,354,174.79","4,176,943.63","769,782.76","1,301,715.54","1,551,522.00","3,629,038.82","5,459,671.65","7,795,564.73","12,671,718.36","19,437,504.95","5,066,982.69","7,258,365.52","13,533,150.76","22,326,739.90","5,275,688.63","9,723,886.59","12,926,448.15","23,672,166.36","5,527,106.53","11,308,254.77","17,807,929.55","27,435,568.34","7,554,547.18","12,017,562.20","20,220,350.57","30,934,802.02","7,704,992.58","13,315,984.83","20,342,783.28","32,879,503.96","9,865,506.82","14,894,526.47","24,728,521.48","32,932,432.36","13,849,213.38","19,260,305.05","29,093,419.89","36,298,512.12","9,955,459.37"
营业外收入,"1,305,351.04","2,143,208.62","5,011,250.08","5,622,129.38","8,216,882.41","306,738.97","10,506,330.81","11,081,732.95","11,502,189.32","9,335,826.35","23,195,170.88","23,673,545.81","28,791,959.94","736,991.53","12,541,591.51","22,572,257.73","25,725,825.12","1,236,909.16","12,402,328.41","20,315,275.60","23,036,917.63","5,396,342.35","5,979,681.01","15,925,152.66","27,679,898.23","1,262,648.01","12,411,077.71","21,022,194.91","31,200,038.58","1,711,428.02","10,253,156.76","15,293,382.17","31,515,785.46","1,357,217.05","2,835,337.11","16,434,561.65","28,741,647.74","17,736,596.47","23,790,936.76","39,929,318.54","53,241,875.10","6,602,050.54"
销售费用,"105,794,634.05","136,129,878.31","73,363,262.76","114,316,617.67","201,046,926.90","59,543,448.26","123,963,819.85","186,370,356.00","342,283,901.15","100,718,712.59","190,131,843.62","252,776,641.70","441,418,204.78","122,620,158.46","240,286,794.72","392,084,110.53","566,653,559.67","117,960,513.40","236,966,282.15","365,059,735.89","555,013,206.99","144,974,860.57","244,311,835.51","405,825,925.36","602,729,979.85","151,757,162.58","299,124,416.26","462,448,442.45","702,088,845.52","166,825,730.50","333,015,243.96","518,638,726.98","786,045,478.57","189,585,387.76","417,544,038.85","642,493,739.67","1,007,425,379.27","226,395,056.80","502,691,033.02","755,046,524.92","1,074,103,241.67","226,321,912.25"
减:营业外支出,"1,639,750.96","2,531,709.37","22,292.07","91,949.52","774,457.16","12,505.05","1,131,050.35","1,753,115.35","715,739.19","50,942.70","239,452.44","433,577.68","1,476,315.36","181,978.50","538,791.31","953,092.61","1,285,680.17","1,135,977.08","1,509,843.43","1,612,090.29","4,159,297.35","837,081.26","1,197,350.04","3,519,236.48","7,973,745.25","35,695.55","817,793.88","1,176,236.16","1,318,449.70","1,375,277.48","1,908,565.68","2,984,350.44","3,016,145.22","1,396,838.08","3,057,133.68","4,310,011.52","11,267,737.03","355,095.52","1,350,430.70","3,022,696.12","6,840,480.77","1,202,235.26"
管理费用,"39,988,361.55","50,602,456.74","24,891,093.99","36,218,004.36","54,529,063.93","14,004,284.33","31,523,521.99","49,568,897.00","76,624,889.43","22,465,149.68","52,930,645.89","95,195,047.70","145,851,485.24","36,267,100.84","70,303,997.91","107,818,106.62","155,585,073.68","42,789,633.46","78,974,700.06","114,401,332.89","172,813,849.14","43,236,491.38","83,119,643.41","126,303,234.49","199,260,636.24","44,760,306.32","109,574,535.88","167,560,243.09","250,439,497.83","80,503,404.65","135,839,900.40","200,845,799.02","306,957,023.29","126,733,545.47","217,049,153.30","305,179,569.81","412,185,796.77","90,367,590.79","188,159,567.47","304,103,117.34","379,134,770.36","87,181,720.09"
其中:非流动资产处置净损失,"1,516,529.05","169,368.56","14,468.98",,"196,954.43",,,,"102,312.77",,,,"376,627.38",,"355,433.64",,,,,,"246,659.68",,,,"1,056,232.54",,,,"391,153.17","34,584.79","282,765.87","165,784.81","450,121.14","165,784.81","567,133.53","880,670.30",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,451,980.81","1,374,912.33","-193,051.15","-806,903.54","-1,020,272.30","-2,462,071.08","-3,392,337.25","-12,888,786.66","-19,012,808.81","-5,493,875.69","-7,335,849.62","-17,411,511.80","-25,337,302.25","-4,426,213.44","-12,430,552.39","-16,272,157.35","-20,637,011.89","-5,998,847.03","-11,733,376.04","-16,614,304.87","-20,355,093.65","-7,911,472.39","-12,917,148.29","-17,942,236.75","-21,581,599.20","-4,232,774.92","-7,357,660.00","-10,314,957.32","-14,226,230.67","-731,727.52","-2,154,259.86","-1,871,592.45","-7,276,604.91","-1,043,511.73","22,668,170.60","23,895,992.73","27,676,321.76","260,047.72","1,307,558.08","-2,359,221.61","663,587.69","-5,085,008.56"
三、利润总额,"111,162,605.30","137,193,241.06","67,293,163.79","133,841,809.76","196,929,086.26","69,539,699.09","113,404,719.19","214,279,919.23","283,191,496.83","118,124,505.07","187,717,412.37","328,093,800.27","444,558,248.45","129,332,628.98","158,764,216.87","295,367,241.05","444,037,220.29","105,274,277.80","162,358,939.53","275,119,996.21","392,016,027.00","116,451,942.16","182,702,061.30","317,017,548.04","451,805,805.82","139,463,390.93","217,287,295.95","379,640,594.59","511,701,040.51","136,963,836.84","202,708,462.29","333,501,496.81","419,522,942.11","147,099,946.32","219,615,536.39","422,429,347.12","543,882,536.41","202,320,305.85","283,817,389.90","476,684,779.69","640,591,977.42","179,448,604.35"
资产减值损失,"1,747,683.12","6,621,635.07","527,836.24","2,011,126.59","-348,833.67","1,105,608.63","2,759,387.69","3,376,746.29","11,604,270.25","1,743,020.67","1,288,432.13","-1,478,775.53","6,385,375.54","-1,424,905.41","1,176,562.18","1,176,562.18","7,773,704.88","-3,118,573.26","2,314,149.34","7,270,320.96","11,326,349.44","-3,177,958.92","2,690,680.83","6,427,163.01","16,020,971.09",,"3,336,644.17","8,445,470.39","31,301,733.23","85,801.17","6,649,353.46","11,019,699.98","48,551,810.39","-89,647.65","26,957,049.12","29,317,797.83","65,575,512.20","-445,060.44","51,597,733.71","56,819,551.77","79,761,445.14","936,267.73"
减:所得税,"26,024,310.54","26,161,263.46","16,241,581.61","32,179,640.43","48,896,199.76","19,374,579.13","35,970,578.43","69,820,550.11","40,197,632.92","29,453,283.52","25,281,931.27","47,934,985.09","70,548,110.26","22,988,840.61","25,078,122.62","42,224,768.24","61,950,453.53","19,517,706.15","25,253,043.19","37,936,104.54","59,861,374.85","17,702,590.44","25,334,137.74","40,316,639.75","53,632,117.13","21,179,307.41","30,061,624.29","48,869,485.69","88,611,971.99","23,129,226.21","44,079,906.79","63,378,605.71","80,709,681.71","21,985,611.26","44,332,038.67","90,508,988.84","90,810,907.90","43,254,573.36","58,234,003.69","90,860,108.14","95,733,421.40","33,370,797.95"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"10,356.16","3,020.54",,,,,,,,,,,,,,,"929,555.19","1,638,355.54","3,280,088.85","4,203,934.51","5,457,633.14","1,817,612.22","8,266,763.30","12,541,798.70","17,154,949.39","1,034,260.27","18,458,085.66","32,745,457.40","54,802,146.34","10,351,456.13","14,837,689.36","20,610,189.93","30,518,868.78","775,003.99","27,737,580.16","27,243,457.18","46,344,509.02","10,478,204.37","28,971,556.49","95,242,273.63","100,245,371.45","10,640,900.36"
四、净利润,"85,138,294.76","111,031,977.60","51,051,582.18","101,662,169.33","148,032,886.50","50,165,119.96","77,434,140.76","144,459,369.12","242,993,863.91","88,671,221.55","162,435,481.10","280,158,815.18","374,010,138.19","106,343,788.37","133,686,094.25","253,142,472.81","382,086,766.76","85,756,571.65","137,105,896.34","237,183,891.67","332,154,652.15","98,749,351.72","157,367,923.56","276,700,908.29","398,173,688.69","118,284,083.52","187,225,671.66","330,771,108.90","423,089,068.52","113,834,610.63","158,628,555.50","270,122,891.10","338,813,260.40","125,114,335.06","175,283,497.72","331,920,358.28","453,071,628.51","159,065,732.49","225,583,386.21","385,824,671.55","544,858,556.02","146,077,806.40"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175,200.66",
归属于母公司所有者的净利润,"85,143,821.59","110,067,128.20","50,865,856.58","100,843,091.84","146,503,294.49","49,666,686.82","76,795,650.21","142,914,774.06","240,873,496.90","88,671,221.55","162,435,481.10","280,158,815.18","374,010,138.19","106,343,788.37","133,686,094.25","253,142,472.81","382,086,766.76","85,756,571.65","137,105,896.34","237,183,891.67","332,154,652.15","98,749,351.72","157,367,923.56","276,700,908.29","398,089,770.08","116,179,144.33","183,770,049.64","323,821,790.53","410,088,318.57","108,812,558.97","150,836,883.68","259,455,473.43","317,296,870.91","116,839,080.93","161,634,176.15","310,526,985.16","427,876,997.14","156,488,769.09","218,428,089.68","377,094,856.53","534,524,240.53","144,607,077.76"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-5,526.83","964,849.40","185,725.60","819,077.49","1,529,592.01","498,433.14","638,490.55","1,544,595.06","2,120,367.01",,,,,,,,,,,,,,,,"83,918.61","2,104,939.19","3,455,622.02","6,949,318.37","13,000,749.95","5,022,051.66","7,791,671.82","10,667,417.67","21,516,389.49","8,275,254.13","13,649,321.57","21,393,373.12","25,194,631.37","2,576,963.40","7,155,296.53","8,729,815.02","10,334,315.49","1,470,728.64"
