科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"29,721,030.74","41,507,142.54","54,299,476.17","53,293,137.52","41,767,666.08","33,333,273.30","83,696,625.73","52,518,746.57","48,734,509.04","107,642,091.49","73,915,846.86"
短期借款,"310,000,000.00","235,360,000.00","161,600,000.00","130,553,022.23","114,800,000.00","99,100,000.00",,"68,600,000.00","38,800,000.00","78,400,000.00","137,800,000.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"7,917,151.23","36,306,235.52","86,478,787.64","77,577,725.32","121,053,219.40","56,893,012.03","100,084,620.79","154,301,752.99","159,015,873.30","175,942,889.27","239,419,848.11"
应付票据,"30,000,000.00","81,634,673.54","90,421,029.99","111,784,453.73","78,359,747.59","77,241,000.00","103,880,936.52","87,677,648.96","76,000,000.00","80,281,797.70","91,753,862.11"
应收账款,"267,729,358.18","281,929,134.18","263,935,554.66","238,998,961.57","196,394,138.96","273,424,008.77","262,917,529.86","275,971,047.03","224,170,573.87","298,274,973.79","234,036,683.05"
应付账款,"202,336,907.54","207,722,167.09","214,114,140.51","171,101,723.40","181,076,166.00","226,574,266.60","219,511,916.23","221,677,919.69","210,781,557.09","239,467,098.53","220,769,278.55"
预付款项,"3,706,676.64","2,025,046.22","1,270,348.56","7,638,867.67","7,118,100.68","23,912,975.50","38,806,643.00","15,172,780.33","27,038,237.54","6,195,345.91","6,249,994.90"
预收款项,"3,349,291.18","1,157,414.10","1,545,615.43","1,263,914.72","3,834,604.21","942,021.90","1,780,250.27","1,929,139.23","2,027,187.56","1,518,605.76","2,385,225.71"
其他应收款,"6,149,966.33","5,409,896.16","3,661,645.38","3,484,662.24","5,800,763.93","3,525,548.94","4,801,924.32","6,283,619.42","4,860,506.59","2,125,353.78","2,783,453.84"
应付职工薪酬,"20,381,559.17","19,836,484.93","24,567,121.01","15,760,477.72","18,694,967.78","26,162,634.53","15,600,928.59","15,528,544.58","19,185,092.60","20,220,959.42","14,959,577.39"
应收关联公司款,,,,,,,,,,,
应交税费,"11,078,115.95","12,932,997.47","13,486,001.61","14,163,916.69","9,996,642.83","10,163,391.28","9,010,071.15","9,710,955.74","6,368,871.52","17,295,217.91","4,150,410.72"
应收利息,,,,,,,,,,,
应付利息,"581,569.44","414,081.85","224,821.41","187,920.70","141,109.17","130,391.24",,"96,652.24","51,816.96","102,659.52","181,612.02"
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
存货,"237,107,762.47","225,394,907.82","180,378,783.46","174,881,520.43","165,667,611.58","193,271,280.86","255,313,502.38","265,164,243.35","302,275,522.94","302,865,830.42","327,761,344.90"
其他应付款,"1,120,883.32","1,065,219.41","1,082,605.48","557,776.00","621,990.00","2,209,357.75","2,340,466.00","567,210.00","61,973,116.51","62,420,641.63","61,928,214.14"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,,,,"59,152.30","191,804.52","1,467,069.93","149,515,090.37","137,177,266.48","109,351,597.71","53,468,307.68","77,324,477.99"
其他流动负债,,,,,,,,,,,
流动资产合计,"552,331,945.59","592,572,362.44","590,024,595.87","555,934,027.05","537,993,305.15","585,827,169.33","895,135,936.45","906,589,456.17","875,446,820.99","946,514,792.34","961,491,649.65"
流动负债合计,"578,848,326.60","560,123,038.39","507,041,335.44","445,373,205.19","407,525,227.58","442,523,063.30","352,124,568.76","405,788,070.44","415,187,642.24","499,706,980.47","533,928,180.64"
可供出售金融资产,,,,,,,,,,,
长期借款,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,
专项应付款,,,,,,,,,,,
投资性房地产,"11,656,034.89","11,077,710.82","10,499,386.78","10,210,224.76","10,065,643.75","9,921,062.74","9,776,481.73","9,631,900.72","9,487,319.71","9,342,738.70","9,198,157.69"
预计负债,,,,,,,,,,,
固定资产,"186,531,561.66","185,566,235.76","204,536,200.61","201,566,652.00","200,660,506.85","208,574,146.02","215,097,659.90","239,718,406.01","249,388,947.96","281,291,452.13","290,039,841.76"
递延所得税负债,,,,,,,,,,,
在建工程,"1,498,290.60","3,029,988.73","3,424,884.25","9,016,894.75","8,647,035.63","15,282,385.10","11,934,050.53","30,762,815.41","53,035,463.84","68,541,164.57","79,322,116.38"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"4,255,788.67","5,779,615.44","5,166,235.54","4,859,545.59","7,184,772.28","6,947,617.83","6,719,479.80","6,491,341.77","6,263,203.74","6,035,065.71","5,806,927.68"
固定资产清理,,,,,,,,,,,
负债合计,"583,104,115.27","565,902,653.83","512,207,570.98","450,232,750.78","414,709,999.86","449,470,681.13","358,844,048.56","412,279,412.21","421,450,845.98","505,742,046.18","539,735,108.32"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","136,000,000.00","140,177,400.00","140,177,400.00","140,177,400.00"
油气资产,,,,,,,,,,,
资本公积,"164,067,345.16","164,067,345.16","164,067,345.16","164,067,345.16","164,067,345.16","164,067,345.16","528,833,346.27","472,833,346.27","531,615,454.26","537,393,192.57","542,052,435.26"
无形资产,"82,631,283.82","81,490,562.56","79,625,692.48","78,870,353.34","78,399,671.22","79,163,964.38","78,687,121.01","78,210,277.64","77,741,903.59","77,330,938.26","76,852,195.14"
盈余公积,"3,399,083.51","9,641,161.63","17,312,456.57","17,312,456.57","17,312,456.57","26,142,384.87","26,142,384.87","26,142,384.87","26,142,384.87","36,149,330.66","36,149,330.66"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,"61,282,458.00","61,282,458.00","61,282,458.00"
商誉,,,,,,,,,,,
未分配利润,"30,351,882.38","85,876,238.05","142,861,742.65","169,872,345.46","188,830,354.80","206,807,242.48","225,264,696.84","225,734,178.62","214,922,011.38","234,893,963.86","253,505,086.55"
长期待摊费用,,,,,,,"511,912.65",,,,
少数股东权益,,,,,,,,,,,
递延所得税资产,"3,947,737.33","4,606,688.33","6,015,124.39","5,886,746.07","6,314,745.93","7,718,926.07","7,941,314.27","8,076,466.02","7,925,182.40","10,052,389.27","10,387,617.97"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,"2,325,572.43","7,143,850.03","2,323,230.98",,"2,839,247.86",,,,,,"23,045,324.20"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"288,590,480.73","292,915,036.23","306,424,519.49","305,550,870.92","306,926,851.24","320,660,484.31","323,948,540.09","366,399,865.80","397,578,817.50","446,558,682.93","488,845,253.14"
所有者权益(或股东权益)合计,"257,818,311.05","319,584,744.84","384,241,544.38","411,252,147.19","430,210,156.53","457,016,972.51","860,240,427.98","860,709,909.76","851,574,792.51","887,331,429.09","910,601,794.47"
资产总计,"840,922,426.32","885,487,398.67","896,449,115.36","861,484,897.97","844,920,156.39","906,487,653.64","1,219,084,476.54","1,272,989,321.97","1,273,025,638.49","1,393,073,475.27","1,450,336,902.79"
负债和所有者(或股东权益)合计,"840,922,426.32","885,487,398.67","896,449,115.36","861,484,897.97","844,920,156.39","906,487,653.64","1,219,084,476.54","1,272,989,321.97","1,273,025,638.49","1,393,073,475.27","1,450,336,902.79"
