科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"211,320,128.84","246,760,781.68","270,054,852.21","160,407,905.09","235,262,594.21","335,743,665.24","82,207,649.42","185,658,050.95","299,255,684.36"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,,"484,313.96","1,540,200.73","393,339.37","603,894.07","902,148.39","722,166.64","1,021,034.99","1,409,897.22"
支付其他与投资活动有关的现金,,,,,,"31,216,500.00",,"52,433,856.00","108,183,816.00"
收到其他与经营活动有关的现金,"5,086,479.41","6,511,232.24","5,908,495.13","552,303.66","4,567,503.46","4,565,960.07","1,403,730.60","1,969,079.22","3,645,167.27"
投资活动现金流出小计,"17,032,814.78","321,048,844.89","410,268,345.76","139,205,700.00","237,603,287.00","452,697,592.83","292,160,445.00","727,603,496.82","798,263,905.67"
经营活动现金流入小计,"216,406,608.25","253,756,327.88","277,503,548.07","161,353,548.12","240,433,991.74","341,211,773.70","84,333,546.66","188,648,165.16","304,310,748.85"
投资活动产生的现金流量净额,"42,627,978.53","199,234.58","602,781.09","-7,099,053.48","-12,756,833.36","-95,874,057.00","-292,105,527.52","-412,112,986.33","-429,705,036.37"
购买商品、接受劳务支付的现金,"73,262,699.79","88,181,636.44","83,336,307.34","44,651,153.24","77,818,157.39","110,686,835.40","27,449,238.76","58,459,749.96","103,599,491.47"
吸收投资收到的现金,,,,,,"356,493,800.00",,,
支付给职工以及为职工支付的现金,"32,532,950.36","39,582,681.71","43,264,535.16","25,828,756.01","37,350,893.81","49,884,815.68","17,754,072.16","32,276,187.54","48,514,289.14"
取得借款收到的现金,,,,,,,,,
支付的各项税费,"34,598,913.33","40,776,854.32","36,702,027.21","17,718,408.92","29,341,127.80","42,255,513.25","12,976,303.11","24,889,347.08","37,872,929.10"
收到其他与筹资活动有关的现金,,,,,,,,,
支付其他与经营活动有关的现金,"19,734,302.67","20,865,849.57","21,566,691.82","10,637,499.13","17,199,430.07","24,875,144.28","7,582,276.98","16,202,013.93","23,103,510.84"
筹资活动现金流入小计,,,,,,"356,493,800.00",,,
经营活动现金流出小计,"160,128,866.15","189,407,022.04","184,869,561.53","98,835,817.30","161,709,609.07","227,702,308.61","65,761,891.01","131,827,298.51","213,090,220.55"
偿还债务支付的现金,"53,229,042.11",,,,,,,,
经营活动产生的现金流量净额,"56,277,742.10","64,349,305.84","92,633,986.54","62,517,730.82","78,724,382.67","113,509,465.09","18,571,655.65","56,820,866.65","91,220,528.30"
分配股利、利润或偿还利息支付的现金,"33,560,241.66","30,360,000.00","58,650,000.00","82,800,000.00","82,800,000.00","82,800,000.00",,"40,945,692.15","41,400,000.00"
收回投资收到的现金,"53,550,000.00","314,000,000.00","406,000,000.00","130,000,000.00","222,000,000.00","352,000,000.00",,"280,000,000.00","280,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"2,841,832.04","1,967,452.83","1,967,452.83","1,967,452.83"
取得投资收益收到的现金,"3,083,339.47","3,728,910.69","4,458,797.27","1,868,794.52","2,600,761.64","3,346,843.83",,"3,873,863.01","3,873,863.01"
筹资活动现金流出小计,"86,789,283.77","30,360,000.00","58,650,000.00","82,800,000.00","82,800,000.00","85,641,832.04","1,967,452.83","42,913,144.98","43,367,452.83"
处置固定资产、无形资产和其他长期资产收回的现金净额,"27,453.84","519,168.78","102,329.58","237,852.00","245,692.00","246,692.00","54,917.48","187,447.19","187,447.19"
筹资活动产生的现金流量净额,"-86,789,283.77","-30,360,000.00","-58,650,000.00","-82,800,000.00","-82,800,000.00","270,851,967.96","-1,967,452.83","-42,913,144.98","-43,367,452.83"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"-48,921.43","87,495.93","220,796.82","414,611.11","431,773.08","1,753,971.58","19,470.47","-1,415,627.09","-2,894,913.91"
收到其他与投资活动有关的现金,"3,000,000.00","3,000,000.00","310,000.00",,,"1,230,000.00",,"31,429,200.29","84,497,559.10"
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"59,660,793.31","321,248,079.47","410,871,126.85","132,106,646.52","224,846,453.64","356,823,535.83","54,917.48","315,490,510.49","368,558,869.30"
五、现金及现金等价物净增加额,"12,067,515.43","34,276,036.35","34,807,564.45","-26,966,711.55","-16,400,677.61","290,241,347.63","-275,481,854.23","-399,620,891.75","-384,746,874.81"
购建固定资产、无形资产和其他长期资产支付的现金,"16,132,814.78","7,948,844.89","4,268,345.76","9,205,700.00","15,603,287.00","69,481,092.83","12,160,445.00","15,169,640.82","20,080,089.67"
期初现金及现金等价物余额,"97,894,613.97","109,962,129.40","144,238,165.75","179,045,730.20","179,045,730.20","179,045,730.20","469,287,077.83","469,287,077.83","469,287,077.83"
投资支付的现金,"900,000.00","313,100,000.00","406,000,000.00","130,000,000.00","222,000,000.00","352,000,000.00","280,000,000.00","660,000,000.00","670,000,000.00"
期末现金及现金等价物余额,"109,962,129.40","144,238,165.75","179,045,730.20","152,079,018.65","162,645,052.59","469,287,077.83","193,805,223.60","69,666,186.08","84,540,203.02"
