科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"80,689,786.13","97,836,035.25","141,637,227.40","125,769,288.34","554,437,927.85","544,056,079.23","579,699,782.74","568,511,153.67","535,901,112.18","491,899,970.91","549,046,306.53","476,005,720.26","454,725,536.84","464,432,738.96","476,669,582.26","470,663,936.39","476,412,481.86","494,518,098.51","443,441,381.82","396,554,587.31","319,908,488.25","319,601,488.10","536,539,212.89","342,069,655.32","217,600,801.94","191,798,487.83","364,465,789.27","298,593,518.02","321,895,722.61","311,059,718.46"
短期借款,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,"21,882,135.33","98,543,200.00","98,543,200.00","127,543,200.00","99,043,200.00","102,295,200.00","103,209,400.00","73,621,200.00","74,321,350.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"312,000.00","741,000.00","1,229,000.00","1,510,000.00","987,000.00","787,000.00","1,284,000.00","3,000,000.00","1,150,000.00",,,,"4,483,620.00","50,000.00","550,000.00","1,050,000.00",,"1,206,000.00","390,000.00","1,137,500.00","387,500.00",,,"2,946,300.00","8,554,800.00","1,588,000.00","2,124,700.00","4,153,700.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"47,237,537.34","61,945,619.89","75,458,542.79","87,954,075.71","97,555,768.88","128,053,824.09","137,469,433.43","140,687,600.13","140,924,507.61","172,857,064.83","168,683,878.27","174,112,694.70","193,760,596.43","203,639,100.14","195,851,864.40","189,172,613.45","203,721,131.33","277,477,351.16","283,034,896.99","296,145,954.01","339,052,240.13","346,591,765.64","343,760,320.08","400,426,316.95","434,887,606.83","441,067,293.27","403,723,774.30","447,343,773.90","502,117,928.55","507,261,419.91"
应付账款,"6,671,710.79","10,092,373.29","16,054,396.98","13,347,834.37","10,298,190.37","13,169,634.43","25,661,131.96","27,866,887.36","26,265,738.72","29,926,918.98","41,762,713.88","37,909,092.93","43,724,890.72","41,620,281.84","50,956,903.58","47,046,817.11","47,520,701.51","45,812,779.93","57,950,039.59","55,616,145.27","57,994,484.38","48,013,987.53","79,060,360.44","83,324,460.28","84,720,906.09","72,140,284.78","87,430,705.64","82,148,842.80","81,526,830.34","95,772,545.80"
预付款项,,"560,750.00",,"714,600.00",,,"75,600.00",400.00,"100,400.00","29,636,156.00","29,467,138.00","59,033,338.52","65,458,526.00","58,933,626.00","14,198,150.00","17,288,978.00","2,345,985.12","3,367,201.80","372,908.08","843,829.83","6,504,673.84","1,460,598.31","379,846.18","12,430,938.47","56,598,060.50","27,062,111.04","8,284,359.80","18,465,782.30","17,220,093.92","18,867,813.84"
预收款项,"236,400.00","199,900.00",,,,,"371,000.00","371,000.00",,,,,,,,"903,089.58",,"1,785,703.47",20.00,"4,927,428.89","192,243.50","204,870.00","348,620.00","905,115.64","4,356,642.82","6,846,169.31","4,343,793.13","2,319,513.11","8,428,926.51","13,541,097.72"
其他应收款,"7,553,470.14","7,978,452.58","9,815,144.41","11,825,037.64","5,273,308.52","8,195,570.53","4,562,162.32","7,558,090.70","5,707,832.39","8,122,008.24","4,834,916.71","6,149,616.36","15,459,449.91","6,842,758.12","7,014,098.63","7,910,712.99","8,881,048.29","20,527,081.90","19,200,591.02","24,901,650.14","14,019,876.14","16,652,696.44","23,525,478.47","52,191,339.78","38,618,069.43","43,559,211.81","34,811,566.57","37,675,270.26","38,594,374.52","49,405,673.93"
应付职工薪酬,"57,240.00",196.56,"62,619.12","99,295.20","16,130.78","207,909.77","351,831.85","211,260.72","92,666.85","16,632.07","512,722.78","579,841.13","364,886.13","-1,108.68",,"-3,078.00","466,134.58","591,434.82","3,224,098.92","72,128.30","564,428.80","689,217.77","2,019,222.51","1,997,093.45","3,026,436.87","2,335,971.06","14,213,517.49","12,707,983.33","13,422,174.99","3,648,546.34"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,810,109.20","9,009,072.33","10,820,416.80","10,366,638.59","14,903,618.26","19,939,868.35","24,106,485.85","17,557,100.09","21,583,604.41","26,931,665.54","31,121,630.27","19,427,273.78","24,217,017.86","24,653,799.94","30,025,747.74","20,254,797.13","26,924,460.90","31,661,365.52","50,336,883.74","39,730,660.25","44,388,835.09","40,606,422.23","60,764,646.62","52,259,125.62","55,570,758.91","56,995,132.69","65,437,849.83","48,089,270.18","59,308,900.55","66,934,590.61"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,"385,830.00","385,830.00","385,830.00","385,830.00",,,,,,,,,,,,,,,,,"287,525.00","159,645.00"
存货,,,,,,,,,,,,,,,,,,"6,958,879.83","3,937,621.03","5,187,401.04","4,647,060.29","4,675,543.05","12,577,746.41","6,951,882.36","7,931,582.20","68,372,063.10","77,539,585.97","80,999,110.30","81,092,662.38","87,859,675.72"
其他应付款,"423,588.67","2,413,116.82","3,018,000.00","3,166,966.51","4,143,104.48","497,806.00","207,281.16","329,553.16","231,029.97","155,438.55","413,184.00","217,692.35","1,186,891.35","493,571.55","3,501,422.09","289,970.57","10,642,308.56","147,264,363.15","11,068,095.02","10,696,613.66","11,517,264.14","3,214,961.87","8,510,584.01","90,336,570.42","78,244,037.01","23,167,949.99","84,151,655.89","84,046,179.36","135,584,926.21","104,724,834.12"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,"13,000,000.00","111,631,200.00","75,000,000.00","75,124,706.02","75,000,000.00","25,340,859.20","18,904,711.79"
其他流动负债,"3,019,601.00","4,578,927.50","1,653,883.10","578,599.00","147,187.73","1,088.00","1,088.00","1,001,088.00","904,713.90","757,075.20","656,074.50","4,118,975.50","581,158.30","2,829.00",,,,"893,797.00",,,,,,,,,,,,
流动资产合计,"135,480,793.61","168,320,857.72","227,222,914.60","227,004,001.69","658,496,005.25","681,815,473.85","722,793,978.49","717,544,244.50","683,917,852.18","705,515,199.98","753,182,239.51","715,301,369.84","729,404,109.18","733,848,223.22","698,217,315.29","685,086,240.83","691,910,646.60","803,898,613.20","749,987,398.94","724,839,422.33","684,522,338.65","690,119,591.54","917,170,104.03","827,070,132.88","867,267,320.90","849,805,467.05","972,504,581.93","959,665,454.78","988,386,341.18","997,512,713.65"
流动负债合计,"29,218,649.66","26,293,586.50","31,609,316.00","27,559,333.67","29,508,231.62","33,816,306.55","50,698,818.82","47,336,889.33","49,463,583.85","58,173,560.34","74,852,155.43","62,638,705.69","70,074,844.36","66,769,373.65","84,484,073.41","68,491,596.39","85,553,605.55","228,009,443.89","122,579,137.27","111,042,976.37","114,657,255.91","114,611,594.73","249,246,633.58","327,365,565.41","353,461,981.70","260,528,707.83","357,872,721.98","332,521,188.78","372,180,483.60","359,102,609.59"
可供出售金融资产,,,,,,,,,,,,,,,,,,,"3,000,000.00","20,250,000.00","60,363,600.00","70,611,300.00","61,943,600.00","77,911,200.00","88,081,200.00","107,127,800.00","135,387,000.00","135,349,300.00","150,224,400.00","195,086,900.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,"11,800,000.00","14,943,771.20","15,111,191.22","18,233,974.32","22,248,875.77","20,996,140.01","20,659,978.88","22,476,706.28","22,487,310.26","24,514,754.98","26,042,307.83","19,969,866.22","19,653,341.08","16,112,220.38","14,056,320.51","18,526,130.06","17,939,754.57","17,469,645.91","19,724,034.26"
