科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"92,096,775.87","237,150,943.46","403,752,567.42","133,382,232.31","210,681,635.27","390,511,690.48","588,987,999.11","126,158,182.62","322,875,154.53","582,024,069.58","754,035,525.10","191,073,342.07","419,554,210.88","632,805,114.07","795,042,428.84","90,518,427.44","552,982,085.97","904,797,852.91","1,286,016,290.08","227,084,895.03","602,887,732.66","982,784,507.68","1,498,026,105.57","341,782,937.91","724,219,189.09","1,086,666,298.29","1,718,629,282.83"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"36,415,253.14","36,415,253.14","36,415,253.14",,,,,,,,
收到的税费返还,"14,156.32","345,583.61","1,473,698.26","177,632.92","253,604.93","1,188,920.38","1,310,550.09","1,165,872.21","1,303,419.11","1,669,929.47","1,669,929.47","262,774.36","582,417.13","1,675,809.28","2,483,282.78","362,549.64","583,535.83","583,535.83","2,451,022.86","1,258,314.40","18,168,001.45","25,965,066.65","23,015,862.18","7,702,439.00","18,802,824.94","28,119,649.93","28,761,403.18"
支付其他与投资活动有关的现金,"14,629,630.67","32,185,298.57","41,238,575.34",,"13,874,171.85","13,874,171.85",,,,,,,,,,,,,"8,200,000.00",,,,"401,000,000.00",,"712,000,000.00","1,208,000,000.00","1,540,760,000.00"
收到其他与经营活动有关的现金,"22,545,802.35","15,221,659.31","2,019,824.75","13,300,712.63","3,707,141.18","4,653,254.51","4,327,894.69","1,500,387.41","4,019,761.29","22,440,822.81","17,220,753.80","2,049,800.38","6,231,365.93","10,897,493.45","7,768,036.82","1,273,561.20","4,297,670.17","9,467,892.37","18,381,476.19","1,159,149.72","4,831,298.83","9,925,247.20","22,768,700.50","3,057,339.27","11,099,949.61","15,181,231.05","24,412,876.03"
投资活动现金流出小计,"58,408,509.58","151,506,802.70","81,380,620.93","15,999,476.00","165,888,411.04","217,925,895.70","281,979,517.94","62,908,066.84","174,034,960.13","264,556,260.09","337,670,049.90","35,758,233.12","113,752,710.45","192,389,230.16","271,949,453.43","69,101,653.39","181,350,935.42","282,527,751.07","301,873,574.28","55,784,721.00","117,272,157.20","159,786,381.01","578,890,526.09","19,250,498.91","747,884,657.95","1,273,049,675.60","1,656,994,790.06"
经营活动现金流入小计,"114,656,734.54","252,718,186.38","407,246,090.43","146,860,577.86","214,642,381.38","396,353,865.37","594,626,443.89","128,824,442.24","328,198,334.93","606,134,821.86","772,926,208.37","193,385,916.81","426,367,993.94","645,378,416.80","805,293,748.44","92,154,538.28","557,863,291.97","914,849,281.11","1,306,848,789.13","229,502,359.15","625,887,032.94","1,018,674,821.53","1,543,810,668.25","352,542,716.18","754,121,963.64","1,129,967,179.27","1,771,803,562.04"
投资活动产生的现金流量净额,"-58,408,509.58","-114,490,503.32","-47,740,850.10","-15,999,476.00","-144,777,775.57","-196,815,260.23","-281,979,517.94","-62,908,066.84","-171,404,960.13","-261,926,260.09","-335,850,049.90","-34,636,837.12","-112,586,340.45","-191,087,886.16","-261,862,109.43","-64,076,679.39","-173,235,012.13","-268,011,827.78","-273,491,386.19","-55,784,721.00","-109,151,557.20","-144,344,381.01","-558,351,411.03","356,840,920.13","33,142,623.91","-30,700,641.98","-36,902,953.56"
购买商品、接受劳务支付的现金,"49,095,972.91","138,952,886.32","252,819,481.84","130,993,269.59","187,194,105.94","328,116,256.25","453,186,660.81","127,515,666.21","235,936,935.73","361,857,444.92","489,951,241.89","127,657,154.04","276,645,669.05","420,626,132.04","571,443,115.31","30,011,530.33","314,547,965.13","516,845,737.63","764,562,311.15","188,213,524.54","485,144,406.85","721,675,981.28","1,096,791,543.14","238,324,736.88","506,630,411.13","767,836,997.92","1,100,762,836.49"
吸收投资收到的现金,,"21,525,000.00",,"494,787,865.66","504,600,000.00","504,600,000.00","504,600,000.00",,,"12,462,000.00","12,462,000.00",,,"1,356,390.00","1,356,390.00",,"79,200,003.22","79,200,003.22","79,200,000.00","80,640,000.00","833,640,000.00","845,937,600.00","833,640,000.00",,,,
