科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"53,598,967.36","99,100,514.10","213,067,369.22","199,125,575.66","278,444,420.20","481,244,850.45","243,037,166.51","232,105,130.78","532,832,828.43","343,047,233.65","338,223,058.54","213,030,226.99","256,461,713.89","188,087,691.28","231,393,013.79","366,578,342.87","475,458,243.24","366,688,715.62","957,522,722.04","410,747,884.41","459,111,226.24","278,966,574.46"
短期借款,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,"10,003,599.80",,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"50,000.00",,,,,,,,,,,,,,,,,,,"541,900.80"
应付票据,,,,,,,,,,,,,,,,,,,,,,
应收账款,"3,964,507.93","4,658,240.86","6,527,339.96","4,467,695.46","7,223,394.55","11,775,730.10","11,210,780.35","10,373,656.09","3,893,655.75","6,807,648.63","6,914,601.37","4,822,361.07","3,908,763.39","8,414,702.61","6,213,337.39","8,531,166.36","7,747,331.57","16,559,474.74","29,704,363.76","26,090,570.29","13,790,647.30","40,148,326.47"
应付账款,"49,808,879.14","39,273,907.82","65,756,493.44","56,864,086.30","65,401,698.06","63,021,063.31","66,826,079.83","62,094,411.99","75,127,298.96","55,078,303.11","75,927,368.53","78,525,414.51","128,347,021.57","84,486,804.17","117,785,511.90","136,272,531.38","169,735,988.09","131,208,462.13","218,006,591.41",,"253,525,187.46",
预付款项,"5,189,856.10","4,481,954.27","5,898,645.00","7,347,131.61","5,135,329.23","24,250,356.94","7,294,004.94","6,933,507.76","5,194,559.62","6,220,296.16","6,701,416.90","17,686,678.69","20,129,854.38","12,437,310.27","14,327,911.29","27,122,122.76","8,186,870.35","12,328,238.77","52,138,349.61","13,650,282.59","15,086,570.01","22,366,412.18"
预收款项,"24,046,875.06","23,634,899.69","72,269,030.98","49,179,567.40","75,797,613.38","38,613,702.16","68,850,099.34","78,685,297.74","83,406,768.46","59,970,248.62","110,052,818.07","82,748,008.03","111,076,608.97","63,571,269.77","108,225,325.09","86,510,356.64","93,778,007.79","56,488,668.98","90,775,069.68","69,010,650.95","108,328,671.52","79,410,431.94"
其他应收款,"2,233,309.13","1,757,194.08","2,807,596.56","7,182,549.63","6,445,652.23","7,570,345.71","7,502,145.53","9,176,376.96","4,830,955.99","4,912,326.05","4,367,967.15","4,889,940.36","4,862,658.85","4,705,122.59","4,193,130.49","5,565,928.50","5,520,623.91","16,780,231.16","6,812,495.48","8,445,237.73","8,899,497.81","10,202,919.83"
应付职工薪酬,"141,794.51",,"205,095.00","240,281.00","333,120.30","260,211.00","302,280.00","519,817.73","7,208,486.06","7,304,474.07","9,315,759.45","9,730,405.32","23,030,651.29","9,909,596.16","18,300,661.90","22,928,751.04","25,577,698.52","23,445,643.40","26,161,274.76","24,464,854.76","35,613,082.87","17,446,389.76"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,882,402.37","11,475,208.42","11,727,010.52","14,060,907.41","14,091,166.16","1,496,384.49","18,668,189.42","18,582,524.84","21,638,467.20","14,003,476.01","35,386,478.35","53,110,004.88","28,183,527.91","20,759,080.97","32,878,601.99","47,927,687.37","50,822,287.35","25,839,133.98","46,319,317.07","48,686,841.10","54,940,457.84","54,559,579.06"
应收利息,,,,,,,,,,"1,016,995.89","1,128,060.22","402,251.53","402,522.66","673,704.02","769,286.68","1,701,682.15","1,384,712.02","1,215,203.96","893,205.01","714,000.00","835,833.33","524,958.34"
应付利息,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,"104,435,171.24",,,
存货,"18,062,529.37","20,921,638.79","26,624,903.53","26,939,396.35","33,527,236.73","32,157,428.20","37,791,529.95","34,639,331.61","35,986,027.52","35,172,968.38","35,623,135.28","38,740,009.15","51,809,524.95","49,246,370.83","48,287,394.69","51,068,370.31","51,382,644.69","56,878,459.13","63,681,333.15","81,070,642.65","73,926,293.97","86,327,353.86"
其他应付款,"5,026,568.51","7,624,001.79","12,443,824.30","17,534,054.90","18,526,259.70","18,539,497.67","22,748,360.25","21,528,610.63","24,400,530.81","23,449,680.31","109,282,867.90","114,687,778.56","121,353,087.63","123,210,832.28","106,228,503.92","103,438,891.87","101,294,947.46","131,728,977.83","119,671,193.00","108,372,344.81","84,771,257.15","39,817,507.85"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,"802,438.48","985,384.62","1,195,243.62",,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"5,431,701.72","8,650,160.22","16,232,612.89","19,654,173.78","4,472,589.06","6,727,498.67","244,649,985.97","296,572,915.97","7,629,511.53","155,742,739.94","342,266,673.27","473,643,915.20","547,447,263.87","490,418,922.97","523,817,510.21","1,015,288,102.27","1,050,274,999.07","1,009,022,848.32","543,725,415.62","947,254,735.35","879,780,980.95","831,075,145.50"
其他流动负债,,,,,,,,,,,,,,"40,561.49","45,720.77","95,883.29","78,262.69","67,277.76","49,084.89","40,415.10","47,311.31","29,714.62"
流动资产合计,"98,484,471.41","140,372,140.80","272,193,851.78","265,911,766.11","335,248,622.00","563,726,210.07","551,485,613.25","589,800,919.17","590,367,538.84","552,920,208.70","735,224,912.73","753,215,382.99","885,022,301.99","753,983,824.57","829,001,584.54","1,475,855,715.22","1,599,955,424.85","1,479,473,171.70","1,654,477,884.67","1,487,259,353.02","1,450,595,216.28","1,269,628,633.10"
