科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,124,029,340.92","1,085,859,649.33","1,676,146,492.31","1,461,480,324.66","2,229,791,089.69","2,883,024,472.90","856,894,494.46","1,659,455,408.97","2,566,587,826.54","3,526,110,610.07","1,088,825,364.61","1,695,458,425.11","2,684,379,188.08","2,988,240,150.74","418,885,469.95","1,697,116,242.50","2,886,576,850.17","4,036,365,676.35","1,000,151,264.15","2,446,515,802.97","3,298,569,599.16","4,234,391,214.40","886,536,602.29","1,920,247,782.72","3,092,582,342.28","4,981,722,096.81","1,441,417,511.16","3,447,158,835.94","5,452,400,342.34","7,502,119,003.58"
取得子公司及其他营业单位支付的现金净额,,"10,100,000.00","14,900,000.00",,,,"136,093,630.07","136,093,630.07","136,093,630.07","136,093,630.07",,,,,,,,,,,,,,,"39,857,325.78",,,,,
收到的税费返还,"522,872.64","947,974.64","1,390,019.15",,"462,178.59","1,223,408.90","797,385.00","797,385.00","2,433,082.46","3,899,715.61","1,271,840.10","1,940,221.43","3,195,272.57","4,191,068.22","792,019.47","2,023,963.20","5,507,696.53","8,680,927.33","420,229.04","556,227.37","11,178,636.48","14,010,550.39",,"699,163.17","10,401,442.02","14,820,882.62","2,268,706.47","10,057,180.14","26,869,648.70","40,161,379.28"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"8,330,000.00","6,411,094.45","7,281,438.79",,"1,440,214.00","231,965,167.32","1,017,850,605.45"
收到其他与经营活动有关的现金,"892,426.06","3,375,556.35","18,673,299.54","5,073,393.51","6,509,600.62","11,639,793.41","5,058,910.36","18,620,158.76","32,604,044.28","42,608,436.09","35,852,953.04","47,246,719.20","53,725,291.09","41,204,089.35","9,710,475.68","16,313,765.89","24,040,750.61","75,441,625.51","78,491,616.87","88,614,129.91","100,400,721.61","286,619,449.92","95,696,402.00","392,745,862.09","190,120,136.27","99,607,806.72","105,335,137.80","169,898,011.00","195,449,087.74","184,205,070.44"
投资活动现金流出小计,"21,491,105.19","103,337,749.89","174,280,152.66","79,510,624.73","95,171,084.34","164,885,261.47","210,779,959.38","235,918,491.81","372,869,508.56","965,406,018.94","387,478,235.21","472,494,123.58","1,197,066,594.45","1,779,976,067.02","129,249,410.72","636,518,445.14","733,097,864.18","579,254,627.43","27,340,848.82","94,926,265.47","161,111,510.79","276,510,854.14","49,370,509.83","229,499,737.14","434,847,280.20","421,362,379.99","26,756,271.62","388,091,201.79","738,838,651.52","1,602,711,211.01"
经营活动现金流入小计,"1,125,444,639.62","1,090,183,180.32","1,696,209,811.00","1,466,553,718.17","2,236,762,868.90","2,895,887,675.21","862,750,789.82","1,678,872,952.73","2,601,624,953.28","3,572,618,761.77","1,125,950,157.75","1,744,645,365.74","2,741,299,751.74","3,033,635,308.31","429,387,965.10","1,715,453,971.59","2,916,125,297.31","4,120,488,229.19","1,079,063,110.06","2,535,686,160.25","3,410,148,957.25","4,535,021,214.71","982,233,004.29","2,313,692,807.98","3,293,103,920.57","5,096,150,786.15","1,549,021,355.43","3,627,114,027.08","5,674,719,078.78","7,726,485,453.30"
投资活动产生的现金流量净额,"-21,408,121.19","-103,243,156.33","-174,084,654.91","-79,427,123.23","-95,018,465.20","-164,102,631.64","-210,742,910.06","-234,624,985.65","-371,576,002.40","-963,373,501.09","-387,389,386.79","-469,427,050.17","-1,193,970,155.67","-1,765,266,644.30","-128,455,699.95","-636,224,734.76","-732,762,552.74","-554,228,013.24","-14,046,067.18","-93,596,495.91","-157,672,787.42","-263,959,614.95","-49,257,636.68","-225,549,357.90","-425,812,139.44","-394,747,238.45","-21,792,639.72","-370,237,289.58","-724,574,849.60","-1,565,344,068.84"
购买商品、接受劳务支付的现金,"888,491,719.85","905,709,952.16","1,345,392,210.06","1,262,993,031.57","1,858,591,370.71","2,656,765,515.84","787,266,091.35","1,370,409,040.45","1,812,328,351.26","2,465,164,338.37","768,750,795.85","1,538,127,891.95","2,374,748,524.76","2,475,785,828.20","709,010,722.71","1,449,376,321.04","2,892,175,796.97","4,383,220,843.75","623,698,379.77","1,708,671,955.81","2,350,337,538.14","2,585,582,140.09","505,657,306.70","1,708,653,154.84","2,581,991,451.22","3,680,379,858.47","1,380,785,561.69","3,099,589,558.28","4,311,383,743.15","6,349,455,428.12"
吸收投资收到的现金,"13,000,000.00",,"45,244,189.07",,,"1,911,200,000.00",,,,,,,,,,,,,,,,,,,,,,"4,900,000.00","2,981,179,993.18","2,979,619,552.31"
支付给职工以及为职工支付的现金,"24,990,423.67","27,169,616.17","40,392,450.65","25,758,189.43","38,280,634.57","63,795,863.42","16,496,877.64","33,522,866.86","50,951,317.71","71,911,482.40","31,088,893.28","54,327,331.26","79,868,846.05","109,279,000.99","47,423,604.83","71,051,343.81","96,908,993.50","150,651,588.02","48,494,028.66","83,173,451.96","117,214,303.96","153,603,308.79","51,063,980.83","88,706,197.83","122,934,098.21","164,846,939.19","63,530,027.13","105,552,618.31","144,147,673.79","191,940,803.55"
取得借款收到的现金,"206,056,000.00","383,776,942.31","521,293,154.01","446,500,000.00","515,500,000.00","828,490,000.00","14,565,448.28","95,549,417.06","130,401,304.17","129,358,167.99","7,836,125.00","68,893,187.26","880,617,015.78","2,059,930,186.39","432,767,643.06","1,356,252,988.96","2,119,003,819.03","3,140,234,440.46","989,018,655.12","1,970,536,489.28","2,913,611,274.68","3,441,877,750.98","821,068,012.00","1,693,612,669.94","2,182,948,626.38","3,091,294,179.74","1,286,262,383.37","1,948,954,076.62","1,653,126,379.82","3,722,962,384.90"
