科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,373,566,023.31","1,258,446,093.13","1,229,651,224.40","583,242,993.92","883,381,551.04","1,213,484,494.67","222,254,526.26","517,743,002.63","815,366,843.90","1,182,220,925.30","277,211,906.04","622,487,633.43","972,088,598.77","1,369,900,471.30","510,370,959.81","938,166,748.59","1,476,990,070.30","2,033,609,872.99","496,195,752.65","1,047,924,844.68","1,749,639,523.26","2,537,246,074.82","636,463,327.79"
取得子公司及其他营业单位支付的现金净额,,,17.92,,,,,,,,,,,,,"216,000,000.00","216,000,000.00","216,000,000.00",,,,,
收到的税费返还,"126,573,671.39","110,294,246.92","101,111,798.88","37,703,516.59","54,603,730.65","65,801,742.96","24,031,578.02","49,457,478.02","66,530,340.82","71,040,321.78","15,756,293.93","29,143,393.78","41,597,244.25","56,443,702.42","23,725,695.62","38,980,876.55","57,404,055.19","76,252,004.00","35,474,353.73","65,290,465.30","81,326,260.58","104,748,074.57","36,229,852.57"
支付其他与投资活动有关的现金,,,"18,399,651.88",,"1,390,727.50","1,529,532.50","220,000,000.00","320,000,000.00","370,000,000.00","500,828,813.00","120,122,050.00","172,129,300.00","224,142,173.16","277,635,892.64","82,900,736.40","151,268,053.75","151,268,053.75","166,920,024.05",,"19,748,093.27","19,748,093.27","38,241,217.00","3,175,717.00"
收到其他与经营活动有关的现金,"17,851,175.96","31,440,735.98","11,658,927.88","8,110,181.33","9,653,243.43","8,853,080.09","4,106,127.40","10,431,626.39","14,845,774.01","12,048,360.90","5,823,433.18","13,966,964.14","22,410,888.44","14,705,410.70","5,076,179.97","15,750,691.58","39,866,590.90","19,052,934.27","5,265,079.34","23,167,902.92","57,061,774.62","76,189,180.23","7,806,508.88"
投资活动现金流出小计,"65,011,287.82","63,508,830.95","49,537,208.15","15,597,067.42","25,354,938.63","35,497,490.82","229,969,409.40","347,896,284.57","409,104,195.84","559,852,251.77","140,137,914.88","232,497,701.16","281,690,556.22","388,434,768.28","334,538,713.06","421,747,070.64","439,357,911.00","511,419,194.95","21,662,780.59","75,378,982.30","209,337,498.21","261,117,810.77","29,250,173.39"
经营活动现金流入小计,"1,517,990,870.66","1,400,181,076.03","1,342,421,951.16","629,056,691.84","947,638,525.12","1,288,139,317.72","250,392,231.68","577,632,107.04","896,742,958.73","1,265,309,607.98","298,791,633.15","665,597,991.35","1,036,096,731.46","1,441,049,584.42","539,172,835.40","992,898,316.72","1,574,260,716.39","2,128,914,811.26","536,935,185.72","1,136,383,212.90","1,888,027,558.46","2,718,183,329.62","680,499,689.24"
投资活动产生的现金流量净额,"-55,907,163.26","-48,681,037.52","-27,093,357.20","5,281,059.09","-3,079,685.13","-13,080,685.60","-179,404,573.69","-196,308,722.93","-206,562,365.04","-220,431,363.23","-4,323,500.18","8,624,231.79","12,652,892.36","66,978,411.77","-242,336,873.93","-274,011,464.39","-291,066,107.92","-219,891,016.15","-19,011,141.04","-64,643,771.44","-198,661,182.76","-225,648,800.25","-29,044,250.86"
购买商品、接受劳务支付的现金,"1,183,287,595.88","1,072,550,258.80","1,054,432,607.43","426,239,535.71","673,652,821.29","915,149,644.23","220,019,068.81","453,431,569.64","660,233,161.05","876,137,595.93","229,717,286.55","497,372,299.36","743,632,201.29","1,012,215,859.69","455,581,249.68","707,920,397.39","1,110,159,060.70","1,565,424,208.77","491,309,163.63","836,085,190.07","1,405,657,995.51","1,898,329,812.73","557,568,795.11"
吸收投资收到的现金,"13,500,000.00",,"1,910,648.28","600,000.00","600,000.00","600,000.00","337,400,000.00","337,400,000.00","337,400,000.00","326,690,955.00",,,,,"234,220,000.00","229,944,162.46","302,122,212.46","302,122,212.46",,,,,
支付给职工以及为职工支付的现金,"95,649,805.78","96,790,782.72","96,469,357.85","50,648,823.11","73,052,843.11","99,905,166.89","29,400,332.18","48,730,048.61","73,468,015.86","114,781,852.26","35,115,243.92","57,190,700.73","93,039,026.62","123,943,107.98","50,531,264.12","99,128,834.78","136,170,193.64","194,162,650.20","54,227,161.16","116,875,910.59","173,351,873.03","237,873,080.32","71,247,743.30"
取得借款收到的现金,"99,486,363.00","191,930,000.00","244,733,735.00","36,596,591.20","35,735,457.83","33,370,639.20",,"50,000,000.00","69,523,199.59","69,494,264.00",,,,,"13,800,000.00","28,800,000.00","28,800,000.00","28,800,000.00","1,200,000.00","74,124,596.00","178,217,572.00","353,100,742.00",
支付的各项税费,"21,449,920.09","34,521,468.53","41,993,875.83","22,004,251.57","36,658,117.15","42,221,338.49","16,409,839.24","23,651,560.73","39,100,963.39","41,511,882.27","11,888,848.03","31,051,682.43","42,635,171.29","54,584,876.11","25,725,896.30","57,714,685.54","86,615,327.13","101,251,442.41","20,297,259.09","40,111,230.80","63,477,090.51","94,959,816.33","18,457,649.78"
收到其他与筹资活动有关的现金,,,"2,200,000.00",,,,,,,,,,"19,480,800.00","25,540,295.00",,,,,,,,,
支付其他与经营活动有关的现金,"102,077,966.23","90,645,927.19","88,835,539.71","38,676,268.07","64,161,890.91","78,259,983.72","15,906,074.56","42,113,121.81","65,047,406.43","86,412,743.95","20,984,602.71","49,169,533.80","70,564,566.95","105,483,238.59","37,191,994.80","141,569,900.52","149,330,330.12","195,985,866.81","54,223,773.63","135,153,822.94","218,714,559.89","192,623,004.02","87,912,061.06"
筹资活动现金流入小计,"112,986,363.00","191,930,000.00","248,844,383.28","37,196,591.20","36,335,457.83","33,970,639.20","337,400,000.00","387,400,000.00","406,923,199.59","396,185,219.00",,,"19,480,800.00","25,540,295.00","248,020,000.00","258,744,162.46","330,922,212.46","330,922,212.46","1,200,000.00","74,124,596.00","178,217,572.00","353,100,742.00",
经营活动现金流出小计,"1,402,465,287.98","1,294,508,437.24","1,281,731,380.82","537,568,878.46","847,525,672.46","1,135,536,133.33","281,735,314.79","567,926,300.79","837,849,546.73","1,118,844,074.41","297,705,981.21","634,784,216.32","949,870,966.15","1,296,227,082.37","569,030,404.90","1,006,333,818.23","1,482,274,911.59","2,056,824,168.19","620,057,357.51","1,128,226,154.40","1,861,201,518.94","2,423,785,713.40","735,186,249.25"
偿还债务支付的现金,"93,900,000.00","260,416,363.00","179,059,486.64","66,674,248.36","66,674,248.36","121,046,230.74","50,000,000.00","108,988,497.36","108,988,497.36","117,552,410.42",,"29,090,510.40","29,090,510.40","29,090,510.40",,"75,000,000.00","75,000,000.00","75,000,000.00",,,,"261,900,742.00","35,000,000.00"
经营活动产生的现金流量净额,"115,525,582.68","105,672,638.79","60,690,570.34","91,487,813.38","100,112,852.66","152,603,184.39","-31,343,083.11","9,705,806.25","58,893,412.00","146,465,533.57","1,085,651.94","30,813,775.03","86,225,765.31","144,822,502.05","-29,857,569.50","-13,435,501.51","91,985,804.80","72,090,643.07","-83,122,171.79","8,157,058.50","26,826,039.52","294,397,616.22","-54,686,560.01"
分配股利、利润或偿还利息支付的现金,"15,136,264.45","13,248,812.48","31,280,150.87","27,801,216.29","30,609,098.77","31,837,895.63","1,347,151.32","41,829,594.18","42,596,511.43","43,622,875.79","613,990.62","41,257,549.51","42,830,931.78","43,076,735.16","763,954.21","106,968,231.02","126,208,324.10","109,214,108.72","513,510.74","98,782,956.82","100,111,898.07","103,007,056.36","1,094,087.54"
收回投资收到的现金,,,,,,,,,,,,"1,892,610.00","3,259,495.00",,"9,750,000.00","9,750,000.00","9,750,000.00","9,750,000.00",,,"4,875,000.00","4,875,000.00",
支付其他与筹资活动有关的现金,,,"2,200,000.00","435,000.00","600,000.00","600,000.00","8,231,732.00","10,634,232.00","10,634,232.00","19,480,800.00",,,,,"5,390,040.00",,,"1,360,000.00",,,,"2,562,572.67",
取得投资收益收到的现金,"8,279,550.00","11,813,958.50","10,618,433.50","3,127,653.50","3,900,000.00","3,900,000.00","172,602.70","1,083,561.64","1,953,330.80","4,498,273.98","2,475,928.09","4,033,458.84","5,367,075.35","5,491,897.20","2,126,013.69","2,837,187.05","3,440,803.49","4,881,551.61","86,439.55","66,512.09","45,247.43","132,587.54",
筹资活动现金流出小计,"109,036,264.45","273,665,175.48","212,539,637.51","94,910,464.65","97,883,347.13","153,484,126.37","59,578,883.32","161,452,323.54","162,219,240.79","180,656,086.21","613,990.62","70,348,059.91","71,921,442.18","72,167,245.56","6,153,994.21","181,968,231.02","201,208,324.10","185,574,108.72","513,510.74","98,782,956.82","100,111,898.07","367,470,371.03","36,094,087.54"
处置固定资产、无形资产和其他长期资产收回的现金净额,"274,038.46","1,227,787.37","189,895.39","659,752.51","999,479.84","1,117,153.34","392,233.01","504,000.00","588,500.00","680,753.75","338,486.61","2,195,864.11","716,878.23","2,423,115.55","325,825.44","2,493,258.42","2,493,258.42","3,761,480.33",,"2,235,236.93","2,128,178.68","5,353,337.04","43,103.44"
筹资活动产生的现金流量净额,"3,950,098.55","-81,735,175.48","36,304,745.77","-57,713,873.45","-61,547,889.30","-119,513,487.17","277,821,116.68","225,947,676.46","244,703,958.80","215,529,132.79","-613,990.62","-70,348,059.91","-52,440,642.18","-46,626,950.56","241,866,005.79","76,775,931.44","129,713,888.36","145,348,103.74","686,489.26","-24,658,360.82","78,105,673.93","-14,369,629.03","-36,094,087.54"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,"3,556,188.45",,,,,,,,,
四、汇率变动对现金的影响,"-66,206.24","15,051.49","-317,097.30","1,028,236.75","-1,482,409.45","-3,417,040.90","-4,225,251.19","-1,711,540.57","-3,045,035.24","-3,633,404.51","4,749,099.59","4,836,044.52","5,078,776.94","1,804,692.25","668,940.71","3,114,640.81","2,818,145.89","5,511,163.53","-2,858,718.63","622,238.73","3,190,693.01","1,984,520.17","113,643.61"
收到其他与投资活动有关的现金,"550,536.10","1,786,047.56","11,635,522.06","17,090,720.50","17,375,773.66","17,399,651.88","50,000,000.00","150,000,000.00","200,000,000.00","334,241,860.81","133,000,000.00","233,000,000.00","285,000,000.00","443,941,978.85","80,000,000.00","132,655,160.78","132,607,741.17","273,135,146.86","2,565,200.00","8,433,461.84","3,627,889.34","25,108,085.94","162,819.09"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"9,104,124.56","14,827,793.43","22,443,850.95","20,878,126.51","22,275,253.50","22,416,805.22","50,564,835.71","151,587,561.64","202,541,830.80","339,420,888.54","135,814,414.70","241,121,932.95","294,343,448.58","455,413,180.05","92,201,839.13","147,735,606.25","148,291,803.08","291,528,178.80","2,651,639.55","10,735,210.86","10,676,315.45","35,469,010.52","205,922.53"
五、现金及现金等价物净增加额,"63,502,311.73","-24,728,522.72","69,584,861.61","40,083,235.77","34,002,868.78","16,591,970.72","62,848,208.69","37,633,219.21","93,989,970.52","137,929,898.62","897,260.73","-26,074,008.57","51,516,792.43","166,978,655.51","-29,659,496.93","-207,556,393.65","-66,548,268.87","3,058,894.19","-104,305,542.20","-80,522,835.03","-90,538,776.30","56,363,707.11","-119,711,254.80"
