科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,540,810,741.87","3,134,508,627.29","3,319,811,061.45","943,149,623.04","1,834,839,454.99","3,911,086,269.21","1,244,863,349.07","2,375,830,945.68","3,497,544,104.06","4,894,344,679.10","1,345,842,050.34","2,373,231,298.94"
取得子公司及其他营业单位支付的现金净额,,,,,,"-54,615,401.24","19,000,000.00",,,"-1,846.04",,"93,977,525.00"
收到的税费返还,,,,,,,"9,843.99",,,,,
支付其他与投资活动有关的现金,,"1,239,000.00",,,,"609,000,000.00",,"110,490,000.00","759,072,172.24",,,
收到其他与经营活动有关的现金,"76,532,712.75","103,757,560.79","163,614,870.90","26,210,649.18","85,656,974.90","194,465,862.04","37,780,791.08","118,017,462.69","159,989,279.44","189,055,875.43","69,257,778.48","208,617,526.78"
投资活动现金流出小计,"26,044,205.15","20,860,566.67","101,120,718.12","7,245,042.62","12,967,503.49","578,360,888.74","24,561,993.18","129,635,113.74","948,233,421.25","1,640,799,228.18","274,382,388.12","495,623,133.17"
经营活动现金流入小计,"2,617,343,454.62","3,238,266,188.08","3,483,425,932.35","969,360,272.22","1,920,496,429.89","4,105,552,131.25","1,282,653,984.14","2,493,848,408.37","3,657,533,383.50","5,083,400,554.53","1,415,099,828.82","2,581,848,825.72"
投资活动产生的现金流量净额,"-25,523,919.26","-15,301,098.32","-99,852,124.19","-7,170,322.62","-12,865,539.49","-260,378,009.01","-23,866,810.14","-128,892,765.14","-230,631,366.68","-289,055,021.93","-252,989,112.16","-473,974,789.24"
购买商品、接受劳务支付的现金,"2,053,135,786.87","2,487,491,834.88","2,657,013,063.85","893,479,186.86","1,555,443,091.23","3,120,937,684.06","1,420,149,950.90","2,464,508,014.31","3,475,876,529.59","4,472,666,208.34","1,374,890,761.13","2,520,742,214.92"
吸收投资收到的现金,,,,,"4,900,000.00","583,637,200.00",,,"24,500,000.00","80,700,000.00",,
支付给职工以及为职工支付的现金,"82,177,893.09","109,007,222.46","152,145,861.66","48,523,022.83","84,235,271.55","164,835,116.89","54,930,680.30","94,713,661.58","134,701,706.59","183,869,211.16","65,425,256.24","114,774,637.03"
取得借款收到的现金,"71,000,000.00","397,000,000.00","777,314,000.00","17,925,000.00","17,925,000.00","127,925,000.00","338,193,500.00","338,193,500.00","638,193,500.00","641,133,500.00","428,258,200.00","1,100,008,000.00"
支付的各项税费,"135,534,863.89","171,311,263.34","183,125,522.38","49,331,141.10","97,233,639.18","213,123,247.49","71,569,684.00","114,854,106.76","154,280,442.86","217,204,782.04","63,569,594.72","121,692,626.18"
收到其他与筹资活动有关的现金,,,"20,459,193.45","24,000,000.00","24,000,000.00","28,037,100.00","21,660,141.91","22,660,141.91","22,660,141.91","22,660,141.91","21,000,000.00","28,910,000.00"
支付其他与经营活动有关的现金,"124,286,255.63","155,395,071.82","142,739,979.32","36,757,836.27","65,171,481.65","161,561,650.42","44,675,261.49","120,746,324.62","169,689,747.71","256,342,917.50","122,018,649.07","334,989,112.69"
