科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"769,977,617.64","1,217,321,459.64","1,162,656,316.62","1,140,494,071.66","1,608,896,870.30","2,470,197,509.04","496,456,712.22","502,932,816.47","1,347,980,995.23","1,921,512,537.72","404,035,270.09","635,868,297.26","998,225,379.60","1,188,667,716.10","88,888,391.78","203,829,618.14","276,617,384.73","493,872,974.11","83,600,282.22","153,776,248.34","213,800,123.32","1,251,396,923.87","387,091,720.00","458,778,720.00","1,207,830,944.40","2,422,079,713.17","1,201,164,029.85","3,815,905,112.73","4,842,419,409.23","6,722,357,744.30","1,067,754,012.31","4,613,954,206.02","7,127,710,872.99","11,687,366,331.52","3,869,617,172.65","6,708,701,307.71","9,475,956,347.92","13,842,041,654.13","3,106,515,349.62"
取得子公司及其他营业单位支付的现金净额,,,"28,836,934.49",,,,,"59,429,699.40","59,429,699.40","58,587,463.48",,"16,496,900.00","16,496,900.00",,,,,,,,,,,,"35,950,000.00","19,885,935.96",,,"-300,063.10","9,646,096.39",,,,,,,,,
收到的税费返还,"81,298,021.41","124,286,702.66","138,295,561.05","79,900,467.87","137,212,836.95","206,438,687.56","96,863,879.16","32,249,161.85","344,613,716.76","442,463,726.47","33,040,501.59","159,901,450.70","221,939,084.66","253,567,702.09","632,044.34","632,044.34","632,044.34","632,044.34",,,,"12,208,588.44",,,,,,,,"59,286,590.31","44,201,339.89","99,953,737.14","143,624,018.69","239,468,871.27","146,674,441.93","182,748,737.29","295,277,826.45","540,792,419.06","205,537,811.21"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"67,075,837.18","137,165.25","90,000.00","90,000.00",,"1,168,001.83",,,"218,697,031.61","164,554,161.66","225,581,595.58","257,219,031.36","404,764,026.88","852,234.61","332,294,047.00","710,883,441.96","3,925,002.70","4,700.00"
收到其他与经营活动有关的现金,"299,403,521.56","195,630,483.71","215,094,144.79","35,151,014.00","48,508,311.38","157,414,519.22","112,278,157.56","48,540,043.28","83,514,991.79","198,236,119.54","63,367,624.63","8,827,528.81","72,930,645.43","98,890,970.07","1,183,657.35","281,402,526.88","288,759,055.88","69,061,032.89","1,685,921.44","38,719,621.41","38,851,388.78","12,613,232.12","32,449,135.07","60,935,385.85","64,170,888.52","375,822,962.46","49,002,776.31","218,233,363.21","241,773,713.45","512,658,695.55","367,934,399.36","275,293,910.41","286,315,733.43","1,220,689,063.35","151,947,280.10","789,884,746.40","1,027,460,370.43","6,119,773,648.56","768,992,863.17"
投资活动现金流出小计,"98,517,658.58","222,926,517.85","210,484,574.80","68,484,332.80","210,225,888.79","246,307,232.48","223,958,684.61","365,904,794.00","1,193,651,850.26","2,034,328,506.19","178,413,861.92","285,023,615.06","284,636,567.01","1,661,053,065.63","14,033,161.02","286,452,966.17","308,376,949.91","144,450,923.94","15,833,867.93","24,010,222.11","36,115,333.17","179,290,941.89","585,165.25","44,730,277.81","87,769,492.48","132,416,576.06","53,653,832.80","152,215,711.60","527,536,800.90","2,402,459,706.31","949,015,050.71","879,193,708.16","988,011,355.53","1,154,754,745.89","988,372,501.84","1,407,712,346.09","1,812,725,144.15","1,755,175,609.55","215,224,868.89"
经营活动现金流入小计,"1,150,679,160.61","1,537,238,646.01","1,516,046,022.46","1,255,545,553.53","1,794,618,018.63","2,834,050,715.82","705,598,748.94","583,722,021.60","1,776,109,703.78","2,562,212,383.73","500,443,396.31","804,597,276.77","1,293,095,109.69","1,541,126,388.26","90,704,093.47","485,864,189.36","566,008,484.95","563,566,051.34","85,286,203.66","192,495,869.75","252,651,512.10","1,276,218,744.43","419,540,855.07","519,714,105.85","1,272,001,832.92","2,797,902,675.63","1,250,166,806.16","4,034,138,475.94","5,084,193,122.68","7,294,303,030.16","1,479,889,751.56","4,989,201,853.57","7,557,650,625.11","13,147,524,266.14","4,168,238,894.68","7,681,334,791.40","10,798,694,544.80","20,502,607,721.75","4,081,046,024.00"
投资活动产生的现金流量净额,"-98,152,812.01","-220,921,530.92","-207,406,024.16","-38,123,061.68","-179,412,178.06","-212,818,590.92","-221,644,880.63","-361,817,294.42","-1,185,626,224.69","-2,026,717,475.77","-178,400,435.92","-280,959,654.35","-280,000,704.17","-1,661,008,929.63","-14,021,130.66","-285,992,646.17","-307,916,629.91","-30,419,501.02","-15,761,387.93","2,415,653.89","-9,669,457.17","-159,357,861.27","-585,165.25","-44,730,277.81","-87,769,492.48","108,661,673.50","-53,653,832.80","-145,215,711.60","-520,536,800.90","-163,069,328.07","-22,247,178.49","-38,194,906.04","-147,012,238.56","77,870,438.55","-988,257,501.84","-1,236,195,956.06","-1,513,622,366.12","-1,597,925,446.88","-81,224,868.89"
购买商品、接受劳务支付的现金,"763,705,743.27","1,193,483,360.87","1,103,933,027.58","989,918,790.13","1,760,693,581.53","3,013,410,670.70","1,342,644,364.97","1,965,279,725.90","2,439,083,112.16","2,854,985,878.95","984,779,331.01","990,152,523.47","1,320,061,800.59","1,227,133,378.02","143,678,343.31","68,501,100.56","82,028,216.88","254,614,614.74","41,597,040.49","76,426,395.08","446,742,106.22","1,770,770,809.12","356,380,313.91","875,322,505.19","1,700,025,246.42","3,287,145,064.48","2,541,839,231.92","4,140,783,857.67","5,881,889,040.80","9,438,491,376.99","1,771,059,775.04","3,921,431,272.57","5,900,247,839.36","8,961,708,490.56","1,166,869,802.95","4,216,585,497.14","5,284,357,648.12","9,765,094,980.21","1,925,683,948.82"
吸收投资收到的现金,"90,000,000.00",,"85,330,000.00","5,055,295.51","5,055,295.51","2,301,405,295.51",,"2,000,000.00","2,059,936.00","2,000,000.00",,,,,,,,,,,,"940,832,127.84",,,,"600,000,000.00",,"2,500,000.00","2,500,000.00","1,875,000.00",,"150,000.00","150,000.00","826,911,627.85","34,880,000.00","34,880,000.00","34,880,000.00","41,333,594.00",
支付给职工以及为职工支付的现金,"8,610,871.88","22,940,138.28","33,335,712.64","28,145,925.74","43,385,305.28","59,360,381.98","21,566,716.37","47,816,179.80","54,458,203.10","106,666,548.05","32,267,309.93","60,429,971.24","89,008,745.99","119,844,372.50","8,680,426.17","36,730,713.42","51,486,192.93","34,668,792.59","11,603,462.86","33,332,743.97","44,246,941.03","70,310,145.15","15,051,345.80","32,933,442.65","56,529,814.43","117,014,700.78","170,175,173.08","328,290,183.73","442,798,892.27","638,821,733.28","218,857,874.79","379,255,791.14","557,473,599.22","731,523,991.10","232,790,759.20","377,658,340.18","518,363,059.15","661,015,604.65","177,332,286.12"
取得借款收到的现金,"4,550,000.00","250,826,081.15","415,086,625.93","414,656,344.26","727,547,879.06","1,486,135,079.06","607,627,100.00","1,568,327,100.00","2,173,459,867.03","3,307,412,520.55","1,339,598,850.00","1,834,926,494.11","2,449,926,494.11","1,435,573,212.25",,,,"4,862,263.48",,,,,,"950,000,000.00","2,350,000,000.00","3,436,814,444.53","676,572,800.00","1,750,620,900.00","4,249,873,100.00","8,644,602,474.93","1,555,759,608.85","2,966,173,509.57","6,214,882,683.22","6,489,421,370.75","3,102,391,433.96","3,884,487,538.57","6,645,127,850.26","7,504,964,077.43","2,243,546,850.97"
