科目,2007-12-31,2008-06-30,2008-12-31,2009-06-30,2009-12-31,2010-06-30,2010-12-31,2011-06-30,2011-12-31,2012-06-30,2012-12-31,2013-06-30,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"8,658,069.17","25,100,412.89","41,137,260.34","18,022,186.04","72,170,282.73","34,126,461.90","74,405,123.64","52,732,325.95","80,505,039.80","67,057,026.19","217,125,436.77","119,634,933.05","260,293,553.93","160,791,850.13","280,149,746.82","223,935,948.97","479,469,982.02","284,251,875.30","370,582,166.10","297,763,063.96","321,251,178.98","267,800,452.14","299,915,478.39","199,526,112.18","143,628,201.22","477,502,968.60","365,760,113.60","279,762,910.08"
短期借款,"13,000,000.00","12,000,000.00","17,000,000.00","23,000,000.00","30,000,000.00","61,345,000.00","56,345,000.00","74,345,000.00","50,000,000.00","65,000,000.00","75,000,000.00","65,000,000.00","55,000,000.00","45,000,000.00","65,000,000.00","85,000,000.00","40,000,000.00","50,000,000.00","50,000,000.00","42,000,000.00","70,000,000.00","24,000,000.00","52,000,000.00","62,000,000.00","93,000,000.00","284,762,871.90","475,894,984.00","618,814,642.53"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"500,000.00","1,550,000.00",,"1,000,000.00",,,,"950,000.00",,,,"1,211,000.00","4,490,000.00",,,"7,630,000.00","600,000.00","2,637,000.00","16,565,397.00","650,000.00","3,842,923.40","2,140,000.00","25,222,126.95","4,010,400.00","578,838.00","45,403,635.63","103,448,904.64","60,304,237.67"
应付票据,,,,,,,,"5,900,000.00","6,420,000.00","30,000,000.00","42,950,000.00","40,080,000.00","89,995,000.00","149,430,000.00","154,590,000.00","130,128,396.00","158,329,771.20","212,078,455.20","224,822,974.00","243,159,621.92","330,882,035.42","335,821,921.00","301,262,621.60","334,592,059.49","365,432,401.11","382,967,591.70","445,303,417.80","563,937,900.12"
应收账款,"42,712,182.39","37,684,001.03","50,523,387.22","57,212,224.98","65,986,812.65","102,961,947.06","106,970,337.49","144,815,196.69","157,722,180.44","203,227,847.84","164,675,002.96","234,706,651.92","244,476,024.40","344,397,716.99","371,833,763.34","388,918,838.75","503,808,642.82","526,862,290.75","546,854,490.71","523,313,562.20","602,451,507.82","758,220,465.98","808,950,780.31","753,058,486.81","955,869,968.35","1,124,291,040.38","1,260,779,915.47","1,284,489,633.92"
应付账款,"16,699,425.85","13,828,926.87","21,363,197.13","16,779,608.79","50,973,618.95","45,098,009.21","70,233,360.18","62,349,157.71","131,212,403.71","117,222,782.81","174,847,282.74","228,900,484.93","261,008,096.55","245,620,666.90","291,087,338.72","312,182,500.60","397,328,282.47","382,455,823.49","467,741,195.78","429,502,355.53","426,422,138.43","500,978,129.52","659,582,937.12","566,954,496.40","702,870,591.14","786,011,859.05","872,759,088.49","888,067,568.08"
预付款项,"2,710,966.21","3,900,218.73","4,208,307.90","11,803,672.97","2,658,062.38","2,462,492.38","3,055,491.31","2,913,704.49","3,168,927.05","3,221,922.00","7,726,862.46","8,214,170.22","3,860,833.32","10,016,044.11","15,416,136.79","14,695,207.07","39,145,092.38","40,177,401.68","17,541,352.13","26,951,035.78","26,268,142.59","9,885,445.03","20,391,063.29","25,024,960.22","31,072,568.29","26,328,138.21","25,591,918.29","349,398,902.08"
预收款项,"7,171,707.00","7,351,164.34","6,125,944.95","5,689,308.45","4,170,242.45","1,209,363.34","3,933,286.00","1,921,942.13","7,687,611.90","9,529,667.85","13,269,420.85","4,154,828.43","12,924,553.95","13,853,580.02","14,540,632.52","21,625,775.12","22,076,771.73","10,615,913.20","10,321,058.03","21,854,565.22","24,198,023.67","46,835,063.26","23,696,427.10","30,775,349.30","23,441,210.41","21,067,128.61","17,994,657.11","20,417,518.91"
