科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,272,653,633.98","1,137,986,263.49","1,239,532,459.94","188,621,923.89","520,774,648.27","871,796,181.07","1,926,703,160.37","414,094,819.84","941,696,197.46","1,368,359,662.17","2,220,403,335.08","425,824,068.05","1,020,101,637.86","1,722,472,354.07"
取得子公司及其他营业单位支付的现金净额,,,,,,,"6,554,038.45",,"1,696,965.24","1,696,965.24","1,696,965.24",,,
收到的税费返还,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"13,607,109.73","36,682,029.28",,,,,"373,000,000.00","158,000,000.00","363,000,000.00","613,000,000.00",,,,
收到其他与经营活动有关的现金,"14,894,195.03","42,512,707.12","100,897,028.13","10,912,419.55","35,653,257.40","66,929,346.29","92,914,986.55","1,241,062.46","60,731,105.96","109,787,706.11","187,502,891.98","109,736,225.63","149,109,129.68","203,024,224.81"
投资活动现金流出小计,"279,044,192.63","205,407,752.95","79,853,108.03","11,496,946.33","21,182,719.44","64,216,389.56","449,515,057.61","178,436,456.87","447,186,536.51","765,185,480.36","1,329,441,248.06","32,089,608.76","930,921,501.00","339,202,094.67"
经营活动现金流入小计,"1,287,547,829.01","1,180,498,970.61","1,340,429,488.07","199,534,343.44","556,427,905.67","938,725,527.36","2,019,618,146.92","415,335,882.30","1,002,427,303.42","1,478,147,368.28","2,407,906,227.06","535,560,293.68","1,172,384,174.54","1,929,394,828.88"
投资活动产生的现金流量净额,"-238,741,862.50","-171,345,402.95","-69,595,158.21","-11,496,946.33","-20,983,119.44","-63,922,311.56","-449,094,684.61","64,563,643.13","148,598,635.09","-22,361,672.99","-304,560,295.01","368,598,876.47","332,673,699.35","127,758,959.11"
购买商品、接受劳务支付的现金,"645,595,037.71","439,010,239.32","319,687,257.29","150,330,305.66","277,180,146.45","489,924,333.20","884,149,881.71","340,059,235.65","610,565,417.12","779,092,011.61","899,748,892.27","162,098,501.49","355,487,646.05","716,124,286.02"
吸收投资收到的现金,"1,037,476.34","3,000,000.00",,,"1,441,066,800.00","1,441,066,800.00","1,427,392,300.00",,,"5,300,000.00","5,300,000.00",,,"1,000,000.00"
支付给职工以及为职工支付的现金,"144,724,531.09","173,703,797.21","207,549,164.51","65,143,904.72","119,020,115.00","171,284,750.86","222,926,956.43","58,617,458.35","118,221,411.93","188,224,050.88","257,905,443.80","59,362,241.01","116,449,270.57","172,978,887.95"
取得借款收到的现金,"345,000,000.00","965,000,000.00","800,000,000.00","120,000,000.00","920,000,000.00","920,000,000.00","1,250,293,450.02",,"1,230,000,000.00","1,430,000,000.00","1,630,000,000.00","12,600,000.00","514,600,000.00","1,022,600,000.00"
