科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"794,682,107.53","959,552,970.79","989,276,076.13","459,055,820.26","1,047,115,051.29","226,264,178.39","488,642,774.70","756,919,206.15","1,073,053,326.75","216,579,267.40","494,603,845.13","795,335,935.00","1,139,071,796.96","233,978,773.00","511,815,266.90","837,980,158.40","1,202,677,104.70","289,630,319.63","648,487,549.47","996,468,808.52","1,400,369,910.46"
取得子公司及其他营业单位支付的现金净额,"35,279,445.60","900,000.00","4,697,925.28",,,,"16,579,569.74","17,043,678.02",,,,"5,922,577.13","1,170,264.56",,,,,,,,
收到的税费返还,"10,924,669.92","15,481,498.80","27,571,441.94","7,828,719.84","22,418,530.66","526,667.65","4,120,048.04","8,949,792.67","20,189,602.28","1,645,160.38","5,356,242.51","18,244,960.60","29,681,788.99","5,541,008.49","9,752,284.87","11,786,377.27","25,412,194.41","7,399,207.52","12,934,458.20","24,018,036.11","33,135,259.60"
支付其他与投资活动有关的现金,,,,,,,,"29,424,665.98","35,522,610.91","58,910,000.00","180,680,705.63","321,150,705.63","468,388,045.00","148,405,924.09","350,543,175.91","633,606,643.62","868,116,000.00","249,000,000.00","519,100,000.00","934,100,000.00","1,352,100,000.00"
收到其他与经营活动有关的现金,"194,457,334.99","8,129,147.69","16,779,310.78","5,565,135.15","16,773,551.05","2,639,179.02","11,440,575.80","16,444,609.34","21,801,644.01","15,056,560.14","22,560,848.89","32,653,750.35","31,074,302.22","4,240,244.38","6,978,653.78","4,902,648.83","13,784,923.99","9,894,364.29","18,724,808.52","20,761,324.32","19,980,751.73"
投资活动现金流出小计,"45,331,952.03","10,770,844.62","15,409,204.93","6,669,158.18","10,020,644.84","2,073,828.36","23,771,389.28","57,645,338.56","63,466,229.75","69,769,785.23","331,794,388.78","597,181,473.98","775,237,075.89","173,923,151.97","483,305,126.96","830,599,700.52","1,115,444,920.43","275,561,318.15","564,688,409.59","1,012,277,942.80","1,479,852,531.93"
经营活动现金流入小计,"1,000,064,112.44","983,163,617.28","1,033,626,828.85","472,449,675.25","1,086,307,133.00","229,430,025.06","504,203,398.54","782,313,608.16","1,115,044,573.04","233,280,987.92","522,520,936.53","846,234,645.95","1,199,827,888.17","243,760,025.87","528,546,205.55","854,669,184.50","1,241,874,223.10","306,923,891.44","680,146,816.19","1,041,248,168.95","1,453,485,921.79"
投资活动产生的现金流量净额,"-41,406,695.38","-10,160,107.40","-15,118,869.93","-6,653,158.18","-10,004,114.84","-2,073,498.26","-23,768,489.28","-57,625,087.76","-63,410,106.60","-36,748,301.91","-209,672,206.69","-374,559,638.11","-382,745,980.94","-46,678,119.07","-158,527,925.49","-285,228,681.45","-397,109,642.68","-14,972,313.56","-24,602,075.74","-154,980,732.05","-241,839,166.58"
购买商品、接受劳务支付的现金,"170,736,816.22","182,670,516.12","188,389,761.33","102,442,815.96","236,230,925.07","54,714,894.58","116,519,174.93","172,374,329.09","237,799,607.41","50,012,913.78","109,696,145.56","157,571,624.14","222,024,008.19","52,155,103.51","93,711,024.80","146,868,837.77","200,055,389.25","66,372,915.14","126,612,021.40","187,499,420.85","242,137,319.21"
吸收投资收到的现金,"206,474,800.00",,,,,"564,598,500.00","564,598,500.00","564,598,500.00","542,784,977.97",,,"7,147,835.57",,,"42,070,306.05","41,663,495.05","42,595,662.58","200,000.00","250,000.00","28,861,000.00","33,361,000.00"
支付给职工以及为职工支付的现金,"349,214,349.93","470,250,689.03","556,967,408.47","285,123,001.96","553,508,198.75","173,177,679.43","304,936,140.02","447,557,448.91","593,098,307.36","151,321,488.57","283,500,381.62","422,358,067.94","568,939,174.80","196,623,618.24","335,241,273.87","489,944,379.71","646,372,741.89","228,223,322.18","377,350,266.02","543,127,070.06","714,796,530.40"
取得借款收到的现金,"128,896,355.00",,"618,416,200.00","306,016,000.00","760,914,000.00","171,894,050.58","408,360,779.50","490,754,657.54","945,701,533.00","190,157,388.78","585,730,257.59","723,568,214.20","934,490,000.00","448,032,939.19","738,295,463.72","1,395,889,130.41","1,923,628,000.00","636,283,736.46","1,392,391,357.15","2,228,252,390.88","2,853,279,000.00"
支付的各项税费,"61,267,337.85","82,288,438.22","98,578,956.75","47,668,555.11","107,040,562.60","30,493,174.86","56,352,778.23","86,835,838.36","103,733,561.44","23,585,365.64","46,518,453.22","77,133,094.22","96,633,010.68","17,569,094.12","43,335,546.22","66,524,480.26","119,906,860.26","23,718,523.86","55,898,797.95","83,842,132.20","106,521,192.23"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"310,228,781.49","150,214,857.56","146,434,926.36","73,921,149.49","147,472,907.48","48,521,982.30","114,139,995.36","161,486,524.81","181,302,665.07","47,072,913.39","92,757,803.13","141,808,169.99","186,482,924.94","47,812,494.96","106,145,140.30","145,009,194.65","173,192,928.09","40,255,047.68","93,682,368.91","138,681,623.05","164,793,805.60"
