科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
经营活动现金流出小计,"2,345,424,592.27","2,848,042,358.67","3,123,147,241.98","876,710,064.10","1,966,120,030.85","2,793,136,166.24","3,515,937,664.60","763,126,373.75","1,524,265,164.32","2,530,588,648.00","4,347,469,573.90","1,175,119,754.23","2,495,357,596.45","3,781,307,891.12","4,275,816,803.88","954,146,167.04","2,348,462,212.48","3,679,593,413.83","4,633,390,306.13","1,299,894,810.33","2,494,966,747.38","3,811,108,970.47","5,014,512,670.74","2,052,698,156.64","3,953,627,610.63","6,444,198,835.61","8,499,754,468.19","1,931,369,618.04","4,117,231,357.23","5,987,200,645.50","9,362,944,501.04","3,696,066,918.52"
偿还债务支付的现金,"159,056,331.00","447,902,202.65","511,356,680.00","196,757,612.17","380,777,984.14","539,396,160.45","662,296,017.91","34,591,221.28","70,068,707.54","151,904,656.80","229,174,532.29","131,164,558.45","162,033,290.44","201,688,206.62","232,744,294.59","6,673,744.19","56,746,359.44","137,478,726.79","202,483,778.02","98,996,435.19","455,278,824.03","536,557,648.06","414,566,287.39","29,670,000.00","509,612,768.51","561,448,637.39","1,823,536,085.06","422,408,000.07","1,275,520,863.40","1,923,998,863.47","2,769,593,478.81","140,185,533.19"
经营活动产生的现金流量净额,"-59,864,186.58","259,754,414.67","302,477,466.35","-132,642,638.89","-241,542,876.48","-51,754,414.22","-151,957,312.29","-91,261,680.67","23,201,823.21","211,137,567.00","195,652,197.03","17,160,040.71","127,540,069.14","212,472,083.87","465,671,849.10","37,333,103.97","149,812,271.97","537,253,518.21","776,015,948.95","-81,252,241.93","84,681,207.93","560,215,724.28","652,635,622.46","-500,308,808.46","-706,465,597.20","-953,992,390.11","-833,370,262.97","320,338,754.58","-52,592,743.99","199,663,882.90","-124,702,969.61","-596,251,689.62"
分配股利、利润或偿还利息支付的现金,,,,"7,678,127.32","11,340,281.78","16,054,478.40","13,758,457.20","49,136.02","16,261,908.90","16,493,008.04","17,312,176.17",,"37,516,434.01","38,516,892.34","38,521,403.58","184,404.21","45,081,630.17","45,146,835.01","48,514,268.73","7,432,431.53","14,045,983.47","56,498,722.22","62,053,406.11","18,294,729.66","85,397,220.67","104,426,292.49","149,926,777.72","97,726,075.17","133,405,125.18","230,767,419.41","233,586,873.53","20,525,414.25"
收回投资收到的现金,,,,,,,,,,,"733,050,000.00","525,200,000.00","1,047,932,724.71","1,474,112,724.70","1,958,912,724.71","431,500,000.00","1,667,700,000.00","2,962,200,000.00","4,679,778,000.00","1,134,000,000.00","1,671,000,000.00","2,108,084,082.19","3,127,998,991.24","5,000,000.00","2,643,000,000.00","3,295,800,000.00","3,934,756,800.00","856,407,800.00","3,329,757,800.00","4,697,637,800.00","4,752,637,800.00","232,775,460.00"
支付其他与筹资活动有关的现金,"38,672,099.58","-10,850,659.09","82,900,766.26","-59,793,709.30","-24,564,557.63","-36,079,192.68",,,,"70,218,396.81","38,977,417.17","1,787.50","42,378,339.39",,"62,139,467.71","642,022.26",,,,"28,133,432.67",,"119,021,628.00","163,022,793.45",,"200,000,000.00","215,900,000.00","370,991,622.85","909,237,092.82","188,458,762.45","368,755,558.16","640,787,775.24","62,916,359.14"
取得投资收益收到的现金,,,,,,,,"211,807.86",,,"687,268.34","1,717,465.16","2,855,898.51","3,405,200.71","4,123,582.07","713,112.28","2,825,915.60","5,639,815.62",,"3,210,423.16","3,986,190.70","4,906,260.44","6,066,550.46","818,102.53","6,127,820.34","11,762,784.42","29,414,353.10","6,262,698.56","58,758,143.31","62,069,331.39","63,760,050.50","4,357,204.11"
筹资活动现金流出小计,"197,728,430.58","437,051,543.56","594,257,446.26","144,642,030.19","367,553,708.29","519,371,446.17","676,054,475.11","34,640,357.30","86,330,616.44","238,616,061.65","285,464,125.63","131,166,345.95","241,928,063.84","240,205,098.96","333,405,165.88","7,500,170.66","101,827,989.61","182,625,561.80","250,998,046.75","134,562,299.39","469,324,807.50","712,077,998.28","639,642,486.95","47,964,729.66","795,009,989.18","881,774,929.88","2,344,454,485.63","1,429,371,168.06","1,597,384,751.03","2,523,521,841.04","3,643,968,127.58","223,627,306.58"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"234,100.00","234,100.00","234,100.00",,,"16,500.00","33,000.00","48,982.91","4,680.00","4,680.00","48,480.00","280,003.00","37,350.00","48,461.11","50,784.11","46,883,211.79",370.00,"499,251.18","499,251.18","531,575.53",,,,"6,990,687.19","4,304,058.27","4,304,058.27","9,404,058.27",,
筹资活动产生的现金流量净额,"58,251,346.89","-60,033,810.49","13,191,611.04","72,670,336.49","364,244,542.16","242,916,670.01","224,181,472.29","70,775,177.12","16,556,050.17","-101,026,007.27","40,130,769.45","-49,893,271.19","-171,245,234.46","-100,065,925.80","-210,675,022.96","118,571,497.70","131,497,673.83","82,806,949.50","617,561,602.65","-29,858,308.41","-13,458,632.03","-314,110,926.22","47,652,388.02","3,216,110,292.98","3,154,928,791.93","4,133,962,398.39","3,965,755,796.86","-579,487,982.14","-42,172,421.23","-266,309,511.24","-876,655,796.78","671,758,851.34"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,"115,784.11",,,,,,,,,,,,,"2,000,000.00"
四、汇率变动对现金的影响,"13,124,129.35","6,940,488.43","15,761,060.93","-3,468,741.03","-7,877,044.93","-11,786,660.23","15,433,279.70","-3,775,422.89","-2,571,966.26","5,866,211.39","9,094,548.95","9,121,950.50","-5,913,717.55","11,943,745.86","5,016,627.42","15,500,245.29","24,132,189.00","24,337,133.23","6,882,991.03","-1,418,578.81","-4,623,705.15","3,933,659.58","3,673,642.00","5,603,552.17","-5,290,188.41","-9,760,421.32","-25,076,751.37","-8,141,026.71","53,023,009.71","31,171,431.69","-103,177,578.03","-17,492,039.00"
收到其他与投资活动有关的现金,,,,,,,,"2,292,595.30",,,,,,,,,,,,,,,,,,,,,,,,"313,633.93"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,"234,100.00","234,100.00","234,100.00",,"2,504,403.16","16,500.00","33,000.00","733,786,251.25","526,922,145.16","1,050,793,303.22","1,477,566,405.41","1,963,316,309.78","432,250,462.28","1,670,574,376.71","2,967,890,599.73","4,726,776,995.90","1,137,210,793.16","1,675,485,441.88","2,113,489,593.81","3,134,597,117.23","5,818,102.53","2,649,127,820.34","3,307,562,784.42","3,971,161,840.29","866,974,556.83","3,392,820,001.58","4,769,111,189.66","4,816,397,850.50","239,446,298.04"
五、现金及现金等价物净增加额,"-7,757,067.10","53,899,842.55","132,064,366.93","-79,944,811.64","72,310,162.23","25,975,683.48","-77,827,704.82","-36,157,549.35","-13,245,192.94","42,192,755.05","59,714,322.25","-42,280,526.22","-13,285,542.29","36,256,263.76","801,038.67","28,581,102.06","104,500,183.29","308,276,567.50","303,614,296.28","138,473,603.48","216,264,480.91","470,382,148.61","622,068,949.69","2,521,881,826.68","55,021,042.00","251,102,653.02","-567,014,666.95","55,258,140.03","211,782,980.20","484,715,600.27","-19,782,287.45","284,851,935.59"
购建固定资产、无形资产和其他长期资产支付的现金,"19,268,356.76","147,871,750.06","199,365,771.39","16,737,868.21","42,748,558.52","153,634,012.08","165,485,144.52","14,400,026.07","50,447,600.06","73,818,016.07","93,899,444.43","20,391,391.40","58,527,237.93","183,547,320.88","355,615,999.96","128,574,207.18","203,816,328.22","266,811,633.17","328,718,555.80","34,208,060.53","109,669,831.72","113,288,548.18","116,089,820.02","61,341,312.54","218,036,127.65","314,603,030.17","432,222,026.45","42,088,162.53","225,406,865.87","233,033,392.74","172,218,785.16","12,598,137.11"
期初现金及现金等价物余额,"156,793,595.99","149,036,528.89","202,936,371.44","335,000,738.37","335,000,738.37","335,000,738.37","335,000,738.37","253,135,002.14","257,173,033.55","257,173,033.55","257,173,033.55","316,887,355.80","316,887,355.80","316,887,355.80","316,887,355.80","317,688,394.47","317,688,394.47","317,688,394.47","317,688,394.47","621,302,690.75","621,302,690.75","621,302,690.75","621,302,690.75","1,243,371,640.44","1,243,371,640.44","1,243,371,640.44","1,243,371,640.44","676,356,973.49","676,356,973.49","676,356,973.49","676,356,973.49","87,357,077.30"
投资支付的现金,,"4,889,500.00",,,,,,,,,"825,050,000.00","525,200,000.00","955,932,724.71","1,382,112,724.70","1,866,912,724.71","446,500,000.00","1,667,700,000.00","3,037,200,000.00","4,971,778,000.00","852,000,000.00","1,416,150,000.00","1,779,857,354.66","3,100,400,000.00","144,000,000.00","4,819,243,657.01","5,912,066,688.19","7,213,263,263.31","502,338,000.00","2,913,888,000.00","4,015,888,000.00","3,533,888,000.00",
期末现金及现金等价物余额,"149,036,528.89","202,936,371.44","335,000,738.37","255,055,926.73","407,310,900.60","360,976,421.85","257,173,033.55","216,977,452.79","243,927,840.61","299,365,788.60","316,887,355.80","274,606,829.58","303,601,813.51","353,143,619.56","317,688,394.47","346,269,496.53","422,188,577.76","625,964,961.97","621,302,690.75","759,776,294.23","837,567,171.66","1,091,684,839.36","1,243,371,640.44","3,765,253,467.12","1,298,392,682.44","1,494,474,293.46","676,356,973.49","731,615,113.52","888,139,953.69","1,161,072,573.76","656,574,686.04","372,209,012.89"
