科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年度,2015年1-6月,2015年度
一、营业收入,"6,473,575.30","15,407,779.13","24,350,823.82","40,076,443.37","24,773,446.63","34,672,437.27","44,913,485.64","57,721,624.69","8,869,762.34","16,103,559.15","23,012,939.13","32,882,872.27","8,518,143.51","16,245,345.77","22,248,744.30","32,355,980.35","13,765,051.69","15,395,082.11","19,343,567.30","26,757,980.21","2,388,081.69","5,245,030.92","8,681,325.41","14,198,934.80","2,403,192.51","4,590,123.94","8,795,300.78","16,305,670.29","8,793,505.16","15,787,928.91","39,492,086.87","6,802,744.85","49,120,717.70"
二、营业利润,"-5,583,600.58","-11,345,924.86","-11,560,497.34","932,452.09","-3,146,582.35","-2,568,002.80","-3,297,932.10","-4,453,885.05","-685,634.24","-1,552,113.11","-2,346,823.11","-4,263,192.71","-1,172,138.22","-2,358,219.38","-3,558,687.12","-6,011,175.31","-968,450.65","-2,546,844.15","-3,898,757.86","-8,049,454.29","-821,369.89","-2,042,483.63","-3,713,012.47","-5,942,749.15","-1,054,668.02","-2,413,092.95","-4,878,431.07","-5,649,552.76","-984,097.72","-2,073,819.46","-5,285,764.75","-2,165,112.60","3,805,699.42"
减:营业成本,"5,638,931.13","13,845,278.99","21,821,728.40","35,882,604.14","23,634,455.19","32,690,559.18","41,977,143.48","54,097,829.28","8,191,062.10","15,039,181.54","21,640,877.89","31,662,686.46","7,963,388.46","14,934,000.77","20,775,829.86","30,073,113.19","13,439,428.83","14,874,624.55","18,530,928.63","25,419,443.14","2,051,473.65","4,605,598.30","7,860,114.30","12,612,640.98","2,151,408.92","4,120,756.02","7,932,277.28","14,834,078.39","7,962,036.38","14,226,047.36","37,027,630.86","6,427,706.80","38,104,055.40"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,388.81,,,,172.05,,,,66.60,,,,212.58,,,,"1,496.50",,,,"15,271.50",,"1,521.14","1,521.14",103.41,,,123.17,,"348,157.17"
营业外收入,"1,027,015.41","326,098,804.41","335,832,843.76","357,957,739.50","1,047,710.47","2,079,322.13","2,629,703.58","4,061,230.71","426,423.87","768,549.80","1,944,933.42","3,548,384.72","729,568.15","2,044,021.58","2,893,586.00","9,293,853.55","532,832.25","1,085,680.82","2,664,991.38","8,622,037.89","672,705.18","1,347,032.23","3,303,285.18","5,128,378.41","852,406.30","2,108,724.35","4,336,050.63","6,928,781.40","806,994.50","15,317,514.79","18,243,201.77","1,685,668.56","3,137,476.25"
销售费用,"558,084.23","936,437.58","1,972,749.81","2,855,419.34","1,498,003.59","1,925,662.03","2,642,645.56","2,836,061.41","366,778.54","511,555.02","583,613.42","478,538.02","408,831.30","533,028.52","801,344.26","847,139.59","87,904.41","136,754.79","291,879.96","451,020.89","85,036.54","157,492.83","401,279.28","414,323.29","65,672.77","220,738.45","368,165.03","449,771.69","394,580.08","953,684.72","1,411,714.37","536,529.30","1,138,112.66"
减:营业外支出,"113,606.63","420,982.89","1,701,172.26","48,243.08","359,095.96","3,056.82","3,056.82","4,228.82",,,,68.00,231.00,231.00,422.00,"113,167.51",,,,,,"7,393.75","7,508.75","25,511.21",,,,"23,886.85",,,,,
管理费用,"1,069,722.39","2,242,972.63","3,282,930.08","4,399,013.26","1,227,884.97","2,653,578.98","3,480,479.54","4,885,356.27","846,225.18","1,871,304.62","2,816,851.32","4,990,448.38","1,103,786.81","2,483,063.64","3,420,743.22","5,253,103.17","1,031,097.42","2,587,267.86","3,901,588.23","6,072,971.82","912,147.66","2,202,701.88","3,660,180.99","6,238,504.42","1,089,101.47","2,343,865.40","4,886,420.80","5,869,354.27","1,257,499.96","2,164,087.41","5,809,866.15","2,051,942.31","5,266,814.81"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,"7,393.75",,,,"23,886.85",,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
