科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"2,851,663.97","12,846,546.85","3,467,293.94","16,407,638.91","395,792,170.73","361,484,801.96","372,727,393.32","335,331,518.90","259,201,707.06","196,982,727.89","156,109,872.12","151,158,748.79","112,940,447.23","127,054,891.57","121,314,996.35","133,212,623.36","95,156,749.95","54,719,028.83","71,611,854.51","92,503,444.85","141,906,225.00","81,951,881.50","256,410,600.84","108,879,321.35","81,566,293.00","101,944,591.11","128,878,437.46","102,130,570.75","118,559,078.24"
短期借款,"18,553,672.44","54,751,498.55","53,879,773.83","52,820,000.00","7,498,069.67","2,000,000.00",,,,,"52,000,000.00","40,000,000.00","60,000,000.00","68,049,700.20","97,624,151.03","162,523,869.77","193,219,206.98","220,694,015.15","246,021,815.15","256,181,999.93","296,655,460.17","333,242,118.30","300,032,044.70","310,205,580.00","292,000,000.00","351,875,200.00","376,691,700.00","447,720,000.00","432,620,000.00"
交易性金融资产,,,,,,,,,,,,,,"255,500.00",,,,"2,081,450.42","3,227,302.86","3,242,023.98",,,"90,612.67",,"7,100,000.00",,,,
交易性金融负债,,,,,,,,,,,,,,,,"402,540.56","109,327.79",,,,,"303,271.63","64,249.88","115,136.93",,,,,
应收票据,,,"1,225,000.00","524,000.00","1,560,000.00","1,187,500.00","1,762,500.00",,"500,000.00","300,000.00",,"440,000.00",,"100,000.00","100,000.00","1,480,000.00","102,680.00","1,168,000.00","433,045.00","2,820,000.00","510,000.00","3,195,000.00","4,912,838.00","2,520,571.00","5,374,800.00","5,468,010.00","4,041,195.14","5,988,496.97","3,227,500.00"
应付票据,,,,,,"3,082,000.00","1,342,000.00","1,920,128.00","4,400,000.00","6,137,600.00","11,083,125.00","23,059,800.00","45,263,392.00","66,669,606.00","76,328,886.46","101,544,577.43","68,942,580.00","55,985,719.00","85,086,004.90","94,138,793.30","97,715,077.00","92,389,784.70","91,417,974.40","97,495,468.41","84,384,464.71","90,280,133.60","120,578,602.49","132,579,517.88","155,795,807.05"
应收账款,"25,014,273.39","30,723,950.10","47,087,683.58","24,320,757.94","39,749,668.52","72,776,838.43","57,254,283.96","69,648,424.26","65,309,756.06","88,946,232.43","151,799,506.89","111,013,737.78","150,430,805.83","142,692,622.09","135,859,712.60","154,292,071.47","146,132,060.52","158,060,607.32","257,299,074.93","232,165,894.39","190,243,324.97","232,800,622.34","240,338,796.37","298,348,027.97","315,103,207.74","293,963,850.65","376,139,712.30","376,310,551.51","387,359,851.35"
应付账款,"37,560,053.00","21,436,522.07","20,821,063.44","25,123,546.78","33,154,123.05","32,378,757.78","29,023,702.01","31,456,140.56","28,689,605.99","35,168,248.95","23,828,301.96","71,777,606.90","70,134,895.58","95,510,102.43","125,905,716.85","224,214,530.76","132,343,299.47","168,298,846.84","161,091,742.44","171,173,758.23","154,147,927.30","196,304,664.85","207,611,591.48","191,897,093.37","225,943,866.93","217,481,827.55","225,311,787.63","241,614,160.36","285,897,987.48"
预付款项,"2,884,085.03","5,666,804.48","8,250,241.63","8,982,672.72","20,014,096.41","18,315,280.87","15,579,400.93","43,480,993.09","64,213,698.89","61,918,652.69","99,367,910.62","93,978,903.40","113,642,828.76","101,384,556.99","72,724,497.04","188,119,620.61","88,283,415.60","13,516,585.00","21,412,887.54","19,190,852.97","14,209,754.17","10,392,085.03","20,039,115.52","20,315,832.49","19,845,436.32","16,966,770.15","24,511,954.83","233,997,399.42","48,901,969.76"
预收款项,"1,957,500.01","623,383.44","252,450.00","291,530.00","287,800.00","281,275.00","374,347.00","523,582.05","410,415.00","130,376.67","263,534.85","333,823.60","204,144.00","103,899.46","628,177.21","109,245.50","355,487.66","233,018.50","274,494.27","779,319.90","2,606,973.32","821,903.22","6,854,433.96","15,291,123.23","22,750,118.54","3,095,209.64","13,834,069.89","6,915,177.08","18,737,977.12"
其他应收款,"5,684,532.88","3,663,999.50","2,410,491.92","3,062,885.61","595,548.78","1,537,066.46","4,333,077.07","1,620,891.76","397,652.21","2,043,457.06","4,212,236.73","3,812,722.04","5,761,292.59","3,212,329.14","5,884,925.61","5,467,672.09","5,751,866.39","9,049,560.97","6,940,572.77","3,681,536.23","11,404,798.08","17,755,284.48","8,337,146.48","14,319,349.46","19,095,431.98","23,680,364.51","20,535,768.22","25,643,916.86","36,765,407.70"
应付职工薪酬,"161,704.09","246,798.99","436,674.02","582,412.19","614,215.24","557,160.73","517,492.53","621,569.61","435,080.71","1,022,957.49","378,788.89","410,903.68","313,051.28","1,089,296.67","316,757.55","337,192.22","392,435.70","2,829,017.98","1,946,119.70","1,662,143.48","1,679,159.25","3,824,789.51","2,006,393.60","2,053,375.99","1,938,839.41","4,221,100.85","2,321,701.26","2,009,198.64","1,812,889.02"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"486,857.70","3,742,323.89","3,867,963.49","492,194.67","722,290.08","1,937,459.12","776,557.72","-103,720.03","-906,480.83","-860,120.22","2,761,290.21","3,005,828.46","327,582.39","-1,734,602.38","-8,361,335.85","-10,288,755.44","-16,905,466.59","5,194,913.47","8,706,063.58","6,002,725.92","2,397,616.07","3,412,790.25","5,357,936.25","5,819,830.23","2,174,599.95","4,409,359.41","3,026,342.64","4,063,992.57","6,724,961.05"
应收利息,,,,,,"2,610,082.19","1,822,464.96","3,821,698.63","290,498.08","1,277,173.47","1,049,694.80","981,810.22","531,494.62","356,985.69","16,875.00",,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,"158,528.02","35,555.56","266,942.20","168,887.20","658,201.46","831,072.45","423,753.00","669,332.15","1,003,330.31","629,064.60","538,825.62","439,575.00","623,793.19","240,701.39","1,161,994.52","275,657.50"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"81,600.00",,,,,,,,"15,092,480.00",,,,,,"1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00"
存货,"19,860,727.29","31,216,287.77","39,611,864.88","57,396,055.91","54,205,074.12","62,918,343.11","67,932,002.96","70,506,216.57","80,390,235.07","99,131,618.10","96,465,968.45","100,727,391.19","109,243,402.05","115,540,177.15","127,416,537.73","128,884,293.53","130,480,135.36","152,194,611.66","142,710,030.14","155,943,228.99","166,960,330.69","198,107,857.88","230,565,199.92","251,255,471.59","226,632,849.83","281,674,757.34","269,294,271.66","263,313,496.10","285,155,669.61"
其他应付款,"4,990,522.17","5,403,887.74","689,603.86","461,310.46","3,223,617.30","2,524,597.79","1,443,205.18","45,991,643.59","659,735.73","285,188.68","242,485.00","110,440.82","205,965.78","695,486.20","4,609,218.61","2,883,445.62","1,089,452.47","4,923,795.87","11,649,473.12","4,392,206.77","4,031,156.14","4,142,286.56","85,306,285.46","51,786,850.58","52,473,784.94","52,439,589.26","52,162,607.65","48,577,282.38","44,525,171.64"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,"950,896.28","950,896.28","950,896.28","887,830.49","835,894.44","793,850.58","709,762.90","709,762.90","1,595,179.34","1,546,088.42","847,073.93","513,391.20"
一年内到期的非流动负债,"10,000,000.00",,,,,,,,,,,,,"20,000,000.00","31,000,000.00","26,000,000.00","21,000,000.00","38,000,000.00","30,000,000.00","60,000,000.00","60,000,000.00","70,000,000.00","60,000,000.00","30,000,000.00","30,000,000.00","80,000,000.00","79,000,000.00","49,000,000.00","49,000,000.00"
其他流动资产,,,,,,,,,,,,,,,,,,"31,851,893.26","33,590,695.92","35,051,091.69","37,553,395.06","43,222,595.96","45,015,741.64","45,842,323.35","45,080,113.48","48,333,089.81","36,442,591.73","28,072,957.91","16,885,349.06"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"56,295,282.56","84,117,588.70","102,052,575.95","110,694,011.09","511,916,558.56","520,829,913.02","521,411,123.20","524,409,743.21","470,303,547.37","450,599,861.64","509,005,189.61","462,113,313.42","492,550,271.08","490,597,062.63","463,317,544.33","611,456,281.06","465,906,907.82","423,592,633.74","538,176,359.95","545,548,969.38","563,675,658.46","588,261,221.63","806,503,902.02","742,190,660.11","720,507,895.25","773,626,612.91","861,390,019.76","1,036,304,463.45","897,368,216.92"
流动负债合计,"73,710,309.41","86,204,414.68","79,947,528.64","79,770,994.10","45,500,115.34","42,761,250.42","33,477,304.44","80,409,343.78","33,688,356.60","41,884,251.57","90,557,525.91","138,780,003.46","176,449,031.03","250,542,016.60","328,087,127.42","507,993,588.62","400,715,210.68","496,817,528.27","545,606,785.61","609,847,180.53","619,902,701.40","705,444,939.33","759,279,974.33","705,203,284.36","712,105,249.48","805,676,213.50","874,417,512.95","934,891,323.43","996,640,450.86"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,"68,000,000.00","98,000,000.00","128,000,000.00","100,000,000.00","180,000,000.00","140,000,000.00","150,000,000.00","110,000,000.00","119,000,000.00","110,000,000.00","110,000,000.00","30,000,000.00","30,000,000.00","137,756,680.00","128,756,680.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,"38,021.89","159,623.94",,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"47,922,730.28","52,571,643.14","72,620,926.86","70,907,970.53","72,831,770.68","97,541,470.48","97,609,434.80","96,193,458.15","103,995,224.15","148,765,425.74","144,433,239.16","168,440,870.29","165,593,648.97","182,647,022.48","355,176,512.94","352,264,200.00","347,665,235.74","417,660,195.20","414,728,486.73","438,330,598.47","447,299,430.94","789,242,676.62","794,265,196.42","794,350,483.49","791,120,237.75","811,581,475.15","796,956,727.79","789,076,364.01","905,232,179.24"
递延所得税负债,,,,,,,,,,,,,,"38,325.00",,,,"6,777,543.07","6,685,695.76","6,571,141.43","6,479,294.12","6,182,428.36","7,937,752.51","7,694,210.19","7,597,132.71","5,788,342.71","5,648,554.17","5,468,791.71","5,337,320.18"
在建工程,"950,077.50","9,252,788.32","5,138,075.65","19,591,128.69","29,433,683.38","11,898,530.77","14,752,452.77","35,333,326.71","35,139,711.93","34,907,306.49","42,997,320.87","97,541,551.52","95,658,384.87","157,172,170.61","170,810,641.28","227,458,583.65","290,326,695.98","359,435,442.84","362,699,165.89","368,117,622.21","371,463,440.39","77,447,761.41","83,687,770.85","85,122,714.13","88,619,834.32","65,702,230.36","68,103,376.80","72,287,731.18","88,567,717.82"
其他非流动负债,,,"216,000.00","336,000.00","826,000.00",,,,,,,,,"395,000.00","395,000.00","695,000.00","695,000.00",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,"1,813,931.62","8,881,747.20","17,969,155.73","32,608,565.10","48,316,733.01","12,130,578.89","23,607,459.58","21,825,071.16","18,768,871.90","16,520,916.11","12,027,413.41","7,900,479.09","7,000,647.56","7,433,760.23","8,045,370.93","10,435,981.07","12,980,925.06"
非流动负债合计,,,"216,000.00","336,000.00","826,000.00",,,,,,,,,"433,325.00","68,395,000.00","98,695,000.00","128,695,000.00","106,897,543.07","186,805,695.76","146,729,163.32","156,758,918.06","117,314,758.12","128,069,944.97","118,822,977.59","118,725,558.22","37,970,009.38","37,830,220.84","145,407,138.38","136,275,666.85"
固定资产清理,,,,,,,,,,,,,,,,,"70,725.94",,,,,,,,,,,,
负债合计,"73,710,309.41","86,204,414.68","80,163,528.64","80,106,994.10","46,326,115.34","42,761,250.42","33,477,304.44","80,409,343.78","33,688,356.60","41,884,251.57","90,557,525.91","138,780,003.46","176,449,031.03","250,975,341.60","396,482,127.42","606,688,588.62","529,410,210.68","603,715,071.34","732,412,481.37","756,576,343.85","776,661,619.46","822,759,697.45","887,349,919.30","824,026,261.95","830,830,807.70","843,646,222.88","912,247,733.79","1,080,298,461.81","1,132,916,117.71"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"28,897,193.99","31,872,021.56","68,000,000.00","68,000,000.00","90,700,000.00","90,700,000.00","90,700,000.00","145,120,000.00","145,120,000.00","145,120,000.00","145,120,000.00","232,192,000.00","232,192,000.00","232,192,000.00","232,192,000.00","301,849,600.00","301,849,600.00","301,849,600.00","301,849,600.00","301,849,600.00","392,404,480.00","392,404,480.00","413,057,322.00","536,974,518.00","536,974,518.00","536,974,518.00","536,974,518.00","536,974,518.00","536,974,518.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,,"11,334,534.23","4,046,537.41","4,046,537.41","424,720,078.48","424,720,078.48","424,720,078.48","370,300,078.48","370,300,078.48","370,300,078.48","370,300,078.48","283,228,078.48","283,228,078.48","283,228,078.48","283,228,078.48","213,570,478.48","213,570,478.48","213,570,478.48","213,570,478.48","213,570,478.48","123,015,598.48","123,015,598.48","384,872,075.82","261,015,445.86","261,015,445.86","261,015,445.86","261,015,445.86","261,015,445.86","261,015,445.86"
无形资产,"9,378,827.75","9,167,125.62","8,962,056.76","8,856,205.72","8,803,280.20","8,750,354.68","8,732,712.84","8,644,503.64","8,591,578.12","8,538,652.60","8,485,727.08","8,432,801.56","22,521,464.08","22,379,683.56","44,364,086.49","43,738,513.54","43,227,362.74","42,722,354.53","42,296,282.74","41,870,210.95","41,444,139.16","41,018,067.37","50,806,735.50","50,194,941.18","49,583,146.86","48,041,530.21","47,347,708.42","46,653,886.63","57,219,409.52"
盈余公积,"1,208,967.48","3,883,998.16","3,684,345.93","3,684,345.93","3,684,345.93","7,551,628.41","7,551,628.41","7,551,628.41","7,551,628.41","12,981,157.59","12,981,157.59","12,981,157.59","12,981,157.59","18,358,138.29","18,358,138.29","18,358,138.29","18,358,138.29","23,162,343.10","23,162,343.10","23,162,343.10","23,162,343.10","26,652,182.37","26,652,182.37","26,652,182.37","26,652,182.37","27,777,971.94","27,777,971.94","27,777,971.94","27,777,971.94"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,"1,776,574.86","1,776,574.86","1,776,574.86","1,776,574.86","1,776,574.86","1,776,574.86","12,301,323.04","12,301,323.04","12,301,323.04","12,301,323.04","12,301,323.04","12,301,323.04","12,301,323.04","12,301,323.04","12,301,323.04","12,301,323.04","16,655,401.74","16,655,401.74","16,655,401.74","16,655,401.74","16,655,401.74","134,054,518.51","134,004,026.46","134,004,026.46","136,068,980.52","136,068,980.52","136,068,980.52","172,032,453.93"
未分配利润,"10,880,707.30","24,054,965.06","35,081,643.10","56,361,316.02","59,778,645.43","75,595,294.20","88,257,900.95","73,927,745.21","78,791,830.03","92,325,851.41","106,347,231.14","90,130,089.97","95,228,538.69","101,863,300.93","113,272,368.65","118,737,756.30","124,419,384.73","135,969,079.57","151,888,149.66","158,171,872.28","168,917,393.14","178,617,730.38","188,942,857.30","182,803,397.39","191,857,149.76","185,435,951.68","202,726,958.41","205,627,057.43","214,431,702.42"
长期待摊费用,"93,000.07",,,,,,,,"4,643,002.80","4,643,002.80","4,643,002.80","5,168,035.63","5,638,727.06","6,381,792.10","6,613,751.74","7,469,337.59","7,759,026.55","7,493,338.13","7,540,821.91","7,366,867.32","7,727,179.09","7,538,608.62","8,345,256.79","8,484,833.68","8,330,535.64","10,422,661.42","10,226,204.38","10,407,242.29","10,570,848.76"
少数股东权益,,,,,,,,,,,,,,,"33,917,680.28","35,086,718.34","35,530,379.62","34,000,635.32","34,684,775.49","34,721,909.90","35,153,052.10","35,313,862.86","38,603,931.65","39,457,506.46","39,515,829.01","40,568,122.69","40,526,222.34","41,175,442.05","41,532,723.17"
递延所得税资产,"57,260.02","464,213.05","425,845.00","373,302.57","447,317.50","531,407.70","424,613.81","426,441.13","477,506.11","2,855,766.74","3,440,190.56","3,313,434.04","4,001,055.07","6,256,057.68","6,897,377.57","6,994,476.05","7,564,180.98","9,699,708.08","9,699,708.08","11,473,215.23","11,460,366.94","7,304,380.61","6,987,407.08","8,526,819.58","8,309,192.50","11,157,609.00","7,613,747.75","6,126,034.92","9,377,827.46"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,"22,877,554.66","42,164,141.48","36,864,591.15","40,819,997.66","34,774,517.43","42,800,087.86","40,154,354.31","79,370,416.36","31,383,373.25","45,516,713.99","45,506,781.58","62,473,569.73"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"58,401,895.62","73,232,344.99","88,923,479.13","101,505,182.37","113,292,626.62","120,498,338.49","123,295,789.08","152,899,052.67","165,148,346.15","212,011,477.41","216,300,803.51","295,198,016.08","307,528,534.71","396,019,796.67","614,132,848.79","682,834,998.97","757,231,283.98","888,674,574.07","919,391,468.15","942,503,578.23","955,638,827.82","990,502,329.91","1,132,974,386.42","1,128,738,651.92","1,166,338,037.45","1,121,791,620.14","1,119,878,830.58","1,116,563,002.20","1,318,454,931.52"
所有者权益(或股东权益)合计,"40,986,868.77","71,145,519.01","110,812,526.44","132,092,199.36","578,883,069.84","598,567,001.09","611,229,607.84","596,899,452.10","601,763,536.92","620,727,087.48","634,748,467.21","618,531,326.04","623,629,774.76","635,641,517.70","680,968,265.70","687,602,691.41","693,727,981.12","708,552,136.47","725,155,346.73","731,476,203.76","742,652,866.82","756,003,854.09","1,052,128,369.14","1,046,903,050.08","1,056,015,125.00","1,051,772,010.17","1,069,021,116.55","1,072,569,003.84","1,082,907,030.73"
资产总计,"114,697,178.18","157,349,933.69","190,976,055.08","212,199,193.46","625,209,185.18","641,328,251.51","644,706,912.28","677,308,795.88","635,451,893.52","662,611,339.05","725,305,993.12","757,311,329.50","800,078,805.79","886,616,859.30","1,077,450,393.12","1,294,291,280.03","1,223,138,191.80","1,312,267,207.81","1,457,567,828.10","1,488,052,547.61","1,519,314,486.28","1,578,763,551.54","1,939,478,288.44","1,870,929,312.03","1,886,845,932.70","1,895,418,233.05","1,981,268,850.34","2,152,867,465.65","2,215,823,148.44"
负债和所有者(或股东权益)合计,"114,697,178.18","157,349,933.69","190,976,055.08","212,199,193.46","625,209,185.18","641,328,251.51","644,706,912.28","677,308,795.88","635,451,893.52","662,611,339.05","725,305,993.12","757,311,329.50","800,078,805.79","886,616,859.30","1,077,450,393.12","1,294,291,280.03","1,223,138,191.80","1,312,267,207.81","1,457,567,828.10","1,488,052,547.61","1,519,314,486.28","1,578,763,551.54","1,939,478,288.44","1,870,929,312.03","1,886,845,932.70","1,895,418,233.05","1,981,268,850.34","2,152,867,465.65","2,215,823,148.44"
