科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"4,647,114,902.82","3,752,755,611.37","5,946,632,152.65","3,886,377,781.20","5,821,421,607.67","7,316,951,282.26","1,409,429,196.14","2,824,373,515.70","4,400,210,728.11","5,972,594,364.20","1,283,948,036.79","2,814,728,387.97","4,481,301,930.42","3,176,949,519.61","1,017,197,308.84","1,632,056,346.30","2,759,593,385.44","3,978,856,688.56","1,041,048,856.20","2,209,994,042.19","3,512,418,190.33","4,497,531,041.40","1,052,397,596.07","2,262,256,412.98","3,473,751,580.64","5,306,565,665.15","1,375,908,857.34","3,426,109,197.80","4,867,900,899.03","5,538,539,947.45"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"28,438,821.66","28,438,821.66","28,438,821.66",,,,,,,,,,"55,794,332.71","75,794,332.71","55,794,332.71"
收到的税费返还,"68,549,453.77","24,736,136.90","88,043,892.27","153,327,510.35","205,677,094.52","262,182,486.59","37,473,492.30","67,111,159.01","117,752,512.85","132,986,565.06","40,293,542.98","58,633,833.48","83,469,769.22","127,268,684.46","19,925,264.41","54,288,042.35","128,519,205.78","198,548,619.54","97,411,827.10","144,869,601.95","192,775,472.61","219,387,635.03","40,812,938.55","82,678,828.59","127,906,136.28","185,237,256.76","63,127,591.06","144,858,616.25","205,295,763.15","342,416,598.93"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"79,610,540.18","39,352,558.30","28,318,118.29","17,216,118.29","100,000.00"
收到其他与经营活动有关的现金,"17,162,675.31","158,142,059.82","104,674,760.48","12,391,533.07","69,081,795.35","236,203,704.81","35,670,350.01","46,646,034.82","56,283,314.89","83,287,154.03","15,088,831.85","32,551,653.44","43,284,678.16","40,190,570.10","9,725,659.44","20,520,957.19","28,766,558.69","39,409,771.33","33,486,727.59","44,240,892.27","38,739,197.70","41,904,448.48","3,689,275.67","9,310,874.12","11,647,543.60","26,794,011.73","4,233,500.54","12,691,112.04","18,096,185.45","63,968,039.92"
投资活动现金流出小计,"183,548,463.89","80,388,237.64","147,143,878.22","104,122,403.83","166,238,632.80","211,415,872.84","26,736,594.63","64,118,136.34","145,541,515.17","180,979,599.45","27,417,642.47","74,364,723.79","112,177,821.54","1,133,445,519.45","624,134,642.37","1,595,139,957.66","1,921,373,672.85","3,827,708,566.42","1,113,356,752.38","1,623,295,084.61","2,771,002,424.92","4,333,268,756.89","1,434,676,617.22","2,801,212,405.53","3,493,920,850.54","5,046,233,543.21","734,100,997.71","1,847,556,962.04","3,036,207,041.22","4,934,775,990.65"
经营活动现金流入小计,"4,732,827,031.90","3,935,633,808.09","6,139,350,805.40","4,052,096,824.62","6,096,180,497.54","7,815,337,473.66","1,482,573,038.45","2,938,130,709.53","4,574,246,555.85","6,188,868,083.29","1,339,330,411.62","2,905,913,874.89","4,608,056,377.80","3,344,408,774.17","1,046,848,232.69","1,706,865,345.84","2,916,879,149.91","4,216,815,079.43","1,171,947,410.89","2,399,104,536.41","3,758,085,358.92","4,773,745,520.52","1,097,567,176.62","2,355,291,721.53","3,619,007,466.38","5,523,613,722.89","1,444,354,494.49","3,585,492,866.51","5,093,126,788.05","5,948,075,663.83"
投资活动产生的现金流量净额,"-166,865,607.89","-63,472,375.84","-139,857,789.40","-103,235,151.08","-163,540,035.19","-206,478,458.23","-25,893,394.63","-61,493,736.34","-135,209,778.63","-171,701,499.98","-27,417,642.47","-74,114,723.79","-111,570,206.58","-297,891,774.64","-217,072,734.28","-641,658,998.22","-236,790,935.45","-280,169,493.89","-78,134,124.08","328,177,423.97","62,096,674.95","-710,792,283.12","-30,647,017.60","283,290,449.68","365,031,981.61","-34,580,640.82","85,321,225.62","-45,281,913.97","-6,610,658.30","-923,200,626.47"
购买商品、接受劳务支付的现金,"4,024,876,125.07","3,717,524,956.03","5,734,138,716.61","3,716,532,344.79","5,601,666,875.94","7,171,064,295.07","1,434,652,823.00","2,895,011,025.05","4,320,075,770.89","5,791,746,267.74","1,284,414,499.41","2,672,654,721.43","4,463,087,080.52","3,020,900,556.58","628,267,577.04","706,784,436.04","2,020,982,646.24","2,987,993,031.78","1,171,761,389.84","2,602,991,691.93","3,910,814,280.42","4,422,715,355.53","989,682,909.80","2,227,957,020.56","3,380,463,252.62","4,889,889,909.87","1,419,148,919.00","3,043,507,813.58","4,913,780,747.75","5,553,204,334.78"
吸收投资收到的现金,,"93,600,000.00",,,"1,129,486,400.00","1,135,486,400.00",,,,"52,500,000.00",,,,,,,,"100,536,000.00",,,,"736,450,000.00",,,,"226,843,600.00","18,175,000.00","-51,825,000.00","18,175,000.00","1,089,498,753.09"
