科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"332,113,539.91","460,126,915.68",,"309,865,880.93","201,005,863.35","326,165,280.72","416,013,222.88","171,921,759.33","194,887,916.89","408,257,100.83","824,446,702.94","207,815,936.80","293,871,441.09","588,537,443.06","1,079,766,474.23","342,548,357.47","682,254,437.73","1,122,010,785.59","1,947,890,733.72","443,089,150.71","1,293,343,248.00"
取得子公司及其他营业单位支付的现金净额,,,,,"5,235,257.02","5,235,257.02","5,235,257.02",,,,"169,559,983.24",,,,,"125,370,000.00","125,370,000.00","125,370,000.00","235,124,577.25","6,490,000.00","108,629,160.44"
收到的税费返还,,,,"113,297.58",,,,,,"813,120.90","1,237,798.80","244,588.29","668,406.99","922,285.96","1,727,935.87","316,133.82","640,734.62","883,769.11","3,122,140.68","490,181.54","875,695.18"
支付其他与投资活动有关的现金,,,,,,,,,,,"90,000,000.00",,,,"25,000,000.00","1,000,000.00","11,000,000.00","11,000,001.00","63,750,000.00","15,000.00","24,000.00"
收到其他与经营活动有关的现金,"33,791,605.65","28,523,818.23",,"27,135,952.50","13,116,984.12","9,270,552.09","9,170,774.92","189,554,569.62","21,521,438.27","59,494,809.45","29,521,926.98","74,553,989.76","134,312,311.62","263,995,211.75","54,340,971.82","163,632,959.86","169,973,813.59","259,126,716.77","75,185,249.79","200,967,146.71","242,104,968.15"
投资活动现金流出小计,"35,058,541.41","57,942,168.66",,"14,049,366.48","38,055,645.31","119,345,020.19","164,030,453.62","3,615,962.83","8,990,888.71","69,955,486.92","453,929,714.73","63,380,058.21","102,315,559.50","237,928,072.67","395,267,025.82","206,675,052.62","432,400,705.94","584,726,209.87","959,838,644.19","279,479,400.77","630,389,118.37"
经营活动现金流入小计,"365,905,145.56","488,650,733.91",,"337,115,131.01","214,122,847.47","335,435,832.81","425,183,997.80","361,476,328.95","216,409,355.16","468,565,031.18","855,206,428.72","282,614,514.85","428,852,159.70","853,454,940.77","1,135,835,381.92","506,497,451.15","852,868,985.94","1,382,021,271.47","2,026,198,124.19","644,546,478.96","1,536,323,911.33"
投资活动产生的现金流量净额,"-34,643,444.07","25,319,154.68","-6,874,500.00","-13,346,259.00","-21,897,187.15","-103,041,386.41","-149,806,641.49","-3,615,962.83","-8,990,888.71","-69,955,486.92","-453,929,714.73","-63,380,058.21","-86,761,561.16","-222,374,074.33","-370,093,225.94","-177,271,785.69","-389,949,884.67","-530,686,578.49","-774,314,757.79","-259,343,231.58","-575,011,867.88"
购买商品、接受劳务支付的现金,"308,714,298.51","386,175,418.85",,"445,401,406.78","181,194,016.67","312,789,190.46","424,001,874.22","151,405,124.24","244,212,116.43","357,681,050.92","593,374,808.22","195,271,967.88","279,418,757.12","544,020,137.41","862,166,002.64","326,388,755.00","559,011,334.05","848,037,504.59","1,380,205,362.18","373,629,921.89","948,719,556.67"
吸收投资收到的现金,"277,203,730.44","2,500,000.00",,"700,000.00",,,"706,012,000.00",,"7,000,000.00","7,000,000.00","7,000,000.00",,"109,125,990.00","134,435,990.00","144,435,990.00","4,238,800.00","15,600,920.00","16,580,920.00","35,330,920.00","1,350,000.00","2,720,000.00"
