科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"26,169,045.86","36,908,974.99","34,769,810.98","39,970,511.27",,"207,920,506.70","180,788,395.65","186,022,277.44","164,284,368.79","153,199,583.35","149,644,322.26","130,207,716.96","112,072,849.74","113,374,695.52","104,647,251.68"
短期借款,"94,500,000.00","86,574,977.84","134,950,000.00","162,970,000.00",,"186,420,000.00","183,450,000.00","218,425,000.00","232,245,000.00","219,815,000.00","217,047,000.00","254,757,000.00","276,737,000.00","292,748,000.00","269,688,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"17,269,712.08","23,511,511.30","13,541,555.01","17,285,097.50",,"26,697,454.65","20,192,127.74","22,747,945.63","31,082,891.64","26,443,629.12","17,854,308.72","16,976,004.67","25,844,516.07","38,891,284.83","17,379,962.66"
应付票据,"40,581,653.00","75,320,000.00","62,190,000.00","55,500,000.00",,"52,590,000.00","37,410,000.00","35,744,782.00","40,248,614.00","37,764,527.00","48,153,730.00","55,654,049.48",,"69,963,300.00",
应收账款,"125,904,928.35","129,602,289.44","141,450,273.09","142,724,071.64",,"165,970,187.21","173,479,131.97","182,166,802.95","198,692,426.57","197,429,495.77","207,323,358.60","224,300,096.53","238,589,782.90","231,482,776.75","236,686,353.36"
应付账款,"48,448,496.79","43,188,710.36","35,913,441.84","38,586,251.47",,"49,228,416.95","41,400,304.86","46,752,960.51","47,667,639.85","66,713,071.74","51,665,912.52","50,954,043.97",,"65,815,062.85",
预付款项,"14,787,765.65","18,978,260.77","15,672,129.30","15,967,617.54",,"18,122,341.56","19,854,252.95","18,248,999.88","22,667,754.56","21,539,828.38","22,015,250.38","33,765,312.76","33,426,373.50","31,174,769.82","34,369,680.77"
预收款项,"145,935.07","451,431.44","97,136.73","202,752.59",,"100,708.53","70,576.41",,,"19,207.76",,"71,558.49",,"47,113.28","48,869.33"
其他应收款,"2,538,009.59","3,117,419.20","3,659,842.18","3,090,915.18",,"2,980,711.02","3,856,519.96","3,498,674.91","3,721,488.10","3,210,106.57","4,126,891.64","4,073,054.57","7,138,255.67","5,088,638.87","5,447,810.67"
应付职工薪酬,"6,087,563.09","6,164,164.63","4,422,096.38","4,764,384.66",,"6,011,318.73","4,917,464.03","5,732,616.49","5,506,857.06","5,851,885.98","6,792,850.01","6,046,130.90","6,953,867.93","6,828,353.91","6,011,659.07"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"7,079,592.65","8,311,835.16","5,540,688.71","6,390,613.61",,"2,148,588.61","2,655,410.76","1,303,598.00","3,729,405.57","3,764,405.69","3,822,494.19","1,530,312.42","1,371,508.25","2,142,382.05","700,097.99"
应收利息,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,
