科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"27,152,000.66","34,912,777.69","70,868,033.76","82,520,423.16","83,166,872.86","390,175,887.42","231,749,308.81","255,347,584.28","66,484,228.55","192,259,783.04","131,883,536.04","258,180,487.71","276,387,452.63","239,896,673.84","237,769,628.67"
短期借款,"39,000,000.00","29,000,000.00","29,000,000.00","38,000,000.00","42,000,000.00","19,500,000.00",,,,,"42,646,400.00","42,646,400.00","30,000,000.00","60,000,000.00","45,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,,,,,,"65,280.03","29,059.29","69,514.38",,,,,"3,007,548.18",
应付票据,"8,182,805.41","15,076,032.07","30,454,963.54","28,873,589.48","36,949,689.09","51,131,250.90","51,549,209.55","53,604,137.59","45,926,974.13","43,943,754.15","81,858,250.67","159,222,717.73",,"200,592,337.51",
应收账款,"89,237,025.24","97,226,577.04","112,740,737.88","129,360,357.12","149,744,824.15","155,958,660.92","159,775,330.61","153,098,652.46","177,638,007.29","198,224,695.63","244,084,956.08","203,546,942.05",,"249,923,386.04","307,138,004.12"
应付账款,"99,939,591.05","96,427,971.93","106,557,278.42","126,407,539.98","115,503,216.10","151,192,937.39","119,371,950.91","154,029,715.69","161,643,456.54","355,477,061.45","259,476,963.25","265,427,129.60",,"341,504,026.80",
预付款项,"1,661,833.37","4,302,935.18","4,862,079.31","4,599,902.84","10,535,006.32","3,485,319.07","6,190,399.73","4,247,242.61","21,331,887.82","4,693,790.12","5,962,226.56","7,211,544.30","18,640,866.67","12,414,556.39","24,285,760.17"
预收款项,"120,850.13","283,515.00","656,446.18","1,103,601.78","496,057.46","54,080.00","290,941.00","1,384,199.62","184,457.51","3,206,121.80","1,517,718.24","54,826,334.98","45,833,784.58","13,164,600.62","12,933,663.44"
其他应收款,"15,005,186.34","17,587,884.55","12,476,696.40","15,661,733.50","13,787,129.31","12,200,243.06","11,795,972.18","11,594,864.21","9,734,214.29","11,124,514.71","11,412,305.93","10,728,105.49","13,066,642.19","39,010,747.57","14,451,996.76"
应付职工薪酬,"9,604,925.43","14,112,625.13","19,201,807.21","18,883,920.82","20,128,575.01","25,404,444.38","21,245,217.28","23,347,781.07","29,832,329.81","30,027,109.59","23,565,512.15","26,482,673.38","32,897,641.13","39,994,459.97","34,307,232.33"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"6,466,861.22","9,168,358.86","7,213,442.74","3,569,503.81","6,918,580.06","9,158,882.94","7,124,499.47","7,482,660.15","7,758,813.58","27,273,885.77","4,650,894.04","12,002,922.82","15,821,463.12","42,953,295.81","29,079,498.79"
应收利息,,,,,,,,,,,,,,"1,376,143.05","1,103,506.94"
应付利息,"71,848.34","48,483.33","41,804.07","60,985.55","69,056.81","23,616.88","23,616.88",,,,,,,"36,250.00","106,250.00"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,"4,000,000.00",,,,,,,,,,"6,863,200.00"
存货,"46,379,359.60","59,644,617.98","83,444,861.60","90,500,091.25","80,040,640.77","110,258,211.97","90,241,090.69","126,631,540.26","131,180,737.91","283,375,618.19","276,056,552.30","346,630,616.55","306,280,365.40","413,480,875.73","404,461,623.14"
其他应付款,"2,783,605.03","1,271,814.12","1,455,294.82","1,316,129.79","3,747,435.55","4,069,370.53","7,682,555.70","4,968,597.23","23,784,766.16","21,841,865.64","29,182,067.91","27,498,275.20","24,409,990.81","23,058,983.05","80,888,498.48"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,
其他流动资产,"2,263,834.05","1,094,419.08","3,953,581.35","9,498,305.06","5,217,954.39","15,970,745.83","163,284,553.98","145,568,217.49","192,152,435.32","150,670,967.27","163,384,102.00","160,814,549.04","230,550,237.72","210,421,417.30","66,800,724.60"
其他流动负债,,,,,,,,,,,,,,,"532,504.75"
流动资产合计,"181,699,239.26","214,769,211.52","288,345,990.30","332,140,812.93","342,492,427.80","688,049,068.27","663,101,936.03","696,517,160.60","598,591,025.56","840,349,368.96","832,783,678.91","987,112,245.14","1,117,828,050.40","1,168,155,205.05","1,054,907,737.46"
流动负债合计,"166,170,486.61","165,388,800.44","194,581,036.98","218,215,271.21","229,812,610.08","260,534,583.02","207,287,990.79","244,817,091.35","269,130,797.73","481,769,798.40","442,897,806.26","588,106,453.71","645,990,880.28","721,267,703.76","703,989,077.59"
可供出售金融资产,,,,,,,,"3,585,000.00","4,585,000.00","4,585,000.00","7,745,000.00","5,585,000.00","5,585,000.00","4,000,000.00",
长期借款,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,
长期股权投资,,,,"248,262.84","216,700.63","214,952.03",,"490,000.00","970,000.00","3,709,951.84","3,402,426.48","8,472,916.99","13,832,858.97","13,087,402.00","17,594,256.21"
专项应付款,,,,,,,,,,,,,,,
投资性房地产,,"3,384,402.54","3,184,959.85","3,085,238.50",,"30,748,069.53","30,366,313.93","29,982,326.89","29,598,339.85","33,229,738.11","32,399,036.57","31,967,220.38","31,535,404.19","31,530,488.55","30,895,721.64"
预计负债,,,,,,,,,,,,,,,
固定资产,"74,219,196.52","66,933,782.02","63,135,956.60","107,495,661.42","108,675,932.41","77,515,961.05","81,901,385.24","83,400,196.35","84,083,865.59","86,784,743.97","92,404,437.59","93,029,684.47","92,361,628.63","95,638,261.82","132,021,950.44"
递延所得税负债,,,,,,,,,,,,,,,"5,235,581.60"
在建工程,,,"392,135.48","457,822.40","692,350.27","583,224.71","583,224.71","996,924.73","1,008,245.48","2,325,514.14","5,002,278.73","5,146,633.00","6,025,694.32","5,776,965.58","32,658,911.45"
其他非流动负债,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,
非流动负债合计,"11,116,250.00","10,456,750.03","9,797,250.07","9,467,500.09","9,302,625.10","9,137,750.11","8,972,875.13","8,808,000.13","8,643,125.14","9,221,746.52","9,056,871.53","8,816,386.72","8,613,706.88","9,912,527.00","14,868,428.71"
固定资产清理,,,,,,,,,,,,,,,
负债合计,"177,286,736.61","175,845,550.47","204,378,287.05","227,682,771.30","239,115,235.18","269,672,333.13","216,260,865.92","253,625,091.48","277,773,922.87","490,991,544.92","451,954,677.79","596,922,840.43","654,604,587.16","731,180,230.76","718,857,506.30"
生产性生物资产,,,,,,,,,,,,,,,
实收资本(或股本),"26,600,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","66,670,000.00","66,670,000.00","120,006,000.00","120,762,720.00","120,762,720.00","120,953,060.00","217,715,508.00","217,675,980.00","217,614,949.00","217,516,880.00"
油气资产,,,,,,,,,,,,,,,
资本公积,"4,440,000.00","60,141,701.49","60,141,701.49","62,932,707.52","57,426,683.30","338,378,113.39","338,378,113.39","285,042,113.39","156,159,661.46","158,511,792.27","165,794,301.07","71,122,831.31","74,900,302.04","73,764,812.36","73,340,554.10"
无形资产,"11,278,278.28","10,981,399.70","10,700,992.69","10,577,117.84","10,481,541.29","10,336,464.73","10,391,055.33","10,074,726.75","10,614,998.47","10,074,249.65","9,952,735.06","9,848,610.13","10,268,909.52","11,686,996.76","26,531,242.27"
