科目,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"37,986,065.03","55,624,831.08","50,979,494.64","85,783,998.34","1,258,886,592.42","1,233,337,482.96","1,227,381,401.09","1,201,127,056.83","1,249,334,150.94","1,185,777,886.45","1,158,710,275.81","1,184,079,471.64","1,132,311,947.63","1,042,147,299.15","1,009,199,306.79","1,043,753,637.21","1,029,772,432.62","1,001,643,505.56","949,602,277.04","948,443,039.61","905,930,982.33","944,020,578.95","959,140,094.64","1,063,246,683.66","861,245,851.93","850,852,587.80","836,866,306.88","960,426,061.67","890,514,179.24","809,408,106.58","820,125,211.20","750,644,508.36","524,726,714.35","498,202,167.91","584,749,237.59","607,267,065.57","455,304,434.64"
短期借款,"10,000,000.00","14,000,000.00","19,000,000.00","19,000,000.00",,,"500,000.00",,,,,,,,,,,"11,613,251.53","15,926,148.98","21,845,874.05",,,,"68,206,000.00","60,800,000.00","60,200,000.00","45,927,000.00","135,827,000.00","145,927,000.00","95,927,000.00","120,000,000.00","55,000,000.00","95,000,000.00","85,000,000.00","53,000,000.00","111,878,784.83","111,878,784.83"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"561,000.00","27,952,498.14","27,952,498.14",,,,,,,"861,600.00",,,"1,160,119.35","1,160,119.35","306,800.00","1,075,200.00",,,,"131,200.00","788,914.40",,"345,200.00",,,,,"578,872.00",,"345,000.00","868,308.00","1,656,308.00","888,000.00","1,967,758.20","93,012,149.76","21,660,421.46"
应付票据,,"1,684,368.00",,,,,,,,,,,"2,378,516.00",,,,,,,,,,,,,,,"800,000.00","784,000.00",,,,,,"1,642,462.45","76,210,100.00","47,826,344.58"
应收账款,"34,199,104.48","55,909,378.29","74,112,434.20","71,626,286.07","84,793,814.85","110,733,457.05","148,978,037.60","195,352,041.03","200,668,060.51","201,400,478.59","202,854,348.16","194,446,833.80","225,547,109.32","257,260,002.42","263,119,980.58","232,180,471.28","231,196,658.87","226,074,564.90","224,994,120.23","225,874,953.72","244,953,763.65","222,624,990.10","233,368,591.30","354,333,413.54","368,519,329.22","461,704,719.34","500,425,145.84","504,041,173.77","522,982,894.00","550,250,849.70","549,252,665.77","482,479,412.35","534,034,770.66","585,355,944.01","695,154,827.27","512,007,626.46","566,457,751.80"
应付账款,"3,208,066.36","12,508,925.60","13,397,522.61","24,388,033.09","25,644,218.60","16,438,163.17","22,454,891.71","26,226,146.44","27,362,613.29","21,686,075.82","27,066,956.53","26,493,473.52","26,574,288.46","22,403,956.11","29,405,572.95","28,711,530.93","28,060,332.80","34,143,242.77","29,197,001.72","31,088,910.79","48,764,804.26","31,322,778.77","30,416,275.91","60,848,873.63","62,283,146.37","79,982,480.77","97,751,423.64","71,246,431.94","79,059,876.67","88,427,968.90","88,097,663.59","126,461,496.02","130,839,884.64","161,807,478.36","180,567,467.97","106,172,603.10","107,872,674.25"
预付款项,"5,292,850.09","5,535,708.77","17,328,311.62","10,605,850.30","4,672,956.12","3,090,719.86","5,267,722.91","3,301,360.47","6,820,228.98","4,517,809.78","7,355,967.15","6,695,753.37","5,864,232.93","7,676,930.42","9,950,493.49","5,437,513.77","6,183,648.15","8,827,219.08","6,638,035.91","6,758,278.43","8,578,520.35","7,464,339.38","6,146,333.49","11,236,562.90","10,944,098.12","11,483,133.44","11,125,797.72","8,008,934.51","12,668,561.94","16,716,712.22","42,578,249.00","10,214,747.47","222,189,245.16","224,703,410.85","67,580,621.30","79,555,085.48","156,010,725.02"
预收款项,"344,760.00","1,270,908.00","4,074,892.00","4,533,295.07","6,761,957.27","6,086,382.07","4,330,052.00","3,800,532.00","2,385,881.00","2,629,489.00","1,908,580.00","1,805,910.00","1,890,030.07","1,629,230.07","1,453,166.40","3,594,031.82","4,741,997.49","5,177,219.07","4,224,434.90","6,296,477.75","4,518,578.25","2,745,294.56","2,905,906.23","25,621,559.39","15,291,388.16","24,269,105.89","7,741,775.37","28,065,524.83","8,977,648.86","8,654,714.29","7,890,584.78","17,726,290.95","12,958,617.86","10,062,956.17","58,746,123.04","69,317,342.01","122,396,460.58"
