科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"37,360,285.42","55,936,888.53","43,587,359.40","401,540,830.38","419,139,147.10","381,321,944.39","340,005,994.96","330,837,179.41","414,317,210.63","373,140,169.40","287,489,916.97","267,402,205.02","336,015,003.39","280,769,351.65","226,880,086.05","158,848,600.32","231,128,801.80","223,904,461.80","195,236,167.23","140,221,786.04","234,712,889.08","189,549,923.35","148,558,370.91","140,264,953.26","287,187,584.43","285,811,896.79","249,790,043.00","295,247,614.81","849,766,266.10","707,611,579.69","656,423,762.48","458,771,993.15","708,631,055.66","539,790,878.19","1,146,362,507.29","1,153,470,085.96","932,948,125.31","1,320,047,611.36","784,284,447.85"
短期借款,"27,200,000.00","25,000,000.00","25,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"78,047,200.00","80,643,200.00","81,175,000.00","82,418,000.00","80,424,800.00","81,143,100.00","94,745,600.00","95,556,300.00","185,825,300.00","285,115,800.00","284,166,500.00"
交易性金融资产,,,,,,,,,,,,,,,,"44,138,408.22","70,685,791.77","40,251,823.29","70,739,058.90","70,518,835.60","80,788,375.18","71,374,224.79","70,194,181.65","50,463,445.36","50,799,905.59","50,611,323.03","50,818,729.29","90,684,171.51",,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,"2,778,000.00","280,000.00",,,"400,000.00","200,000.00","700,000.00",,,"245,235.00","1,359,155.00",,"1,163,920.00","2,474,783.60","1,350,863.60","1,663,920.00","1,826,440.00","5,920,623.00","2,098,204.00","954,000.00","488,700.00","150,000.00","700,000.00","3,891,172.90"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"573,750.00",,,,,"2,329,466.00","3,427,232.00","1,737,902.00",
应收账款,"15,839,892.80","33,126,536.90","32,467,076.35","32,160,634.69","36,245,407.74","27,488,785.73","37,735,523.03","36,308,904.10","24,122,244.15","32,990,670.23","46,644,504.25","52,155,590.25","57,943,402.00","48,771,228.30","59,185,728.75","71,865,561.42","61,047,578.77","56,774,862.99","67,664,619.11","79,400,916.19","67,084,987.90","71,962,303.73","91,782,641.30","102,537,384.04","65,227,158.98","90,504,510.95","123,182,530.91","158,834,412.84","186,830,460.68","186,533,110.39","255,217,251.49","356,486,118.08","305,783,701.00","246,980,582.64","375,392,764.78","414,329,022.63","488,216,872.31","448,071,968.92","509,075,558.19"
应付账款,"3,854,494.00","1,765,419.70","2,080,830.20","957,092.20","429,070.20","439,932.20","464,186.20","1,138,530.20","2,189,937.82","2,347,962.95","1,873,743.00","2,557,112.92","2,084,752.92","1,959,270.92","1,993,342.92","2,214,207.92","2,937,239.92","2,128,939.92","2,029,209.92","2,477,608.70","2,973,322.20","2,956,834.30","3,108,811.80","2,404,039.00","1,336,073.64","1,864,401.84","5,189,316.95","8,625,866.45","87,118,729.15","35,771,502.09","65,344,648.92","43,067,759.54","101,283,412.07","24,142,546.89","122,094,745.54","120,315,149.98","217,539,788.59","169,388,814.28","69,852,574.70"
预付款项,"2,720,129.96","1,522,917.13","2,011,260.22","1,271,689.22","1,489,158.22","2,342,606.82","6,273,459.88","5,652,920.66","1,821,401.15","2,168,164.96","1,940,198.74","3,829,253.17","2,592,756.57","8,549,152.26","2,947,671.62","3,738,286.58","1,469,727.83","3,578,063.84","3,960,967.31","3,357,438.83","3,692,601.45","5,514,012.19","4,710,466.37","2,091,792.05","7,141,358.34","3,908,375.36","10,834,822.02","19,498,195.09","26,810,369.53","31,589,197.14","52,075,639.06","65,572,535.52","44,084,001.60","45,011,806.86","56,865,556.65","67,658,179.72","44,464,060.78","94,693,468.37","117,016,914.43"
预收款项,"8,090,734.78","3,312,459.78","2,020,596.78","2,029,149.78","1,101,904.00","2,320,390.00","2,149,540.00","2,583,745.00","3,481,572.30","2,383,962.00","7,318,295.00","2,144,185.00","4,285,507.00","3,674,957.00","4,372,702.00","3,246,081.00","1,769,636.00","2,091,013.00","2,151,732.00","3,449,852.00","2,331,493.98","2,228,161.98","3,229,418.18","2,597,044.40","5,737,912.40","9,932,402.20","7,197,167.49","9,018,573.49","137,598,263.54","112,454,754.53","123,669,563.45","120,784,555.34","138,418,655.24","97,324,091.62","92,106,805.62","105,181,991.31","112,939,472.36","66,765,981.73","46,330,238.29"
其他应收款,"4,555,326.59","4,475,054.93","4,157,723.67","5,441,868.01","4,417,219.78","6,657,456.66","7,411,762.68","9,167,466.87","5,518,549.26","6,415,250.22","7,798,660.68","8,807,995.16","6,469,127.22","10,923,589.23","10,350,230.36","9,728,399.76","11,366,382.16","13,908,069.87","11,959,720.10","12,891,681.92","14,674,840.04","15,771,134.92","15,431,092.34","23,992,820.25","19,623,716.50","30,842,604.34","22,338,231.62","29,887,509.40","42,525,034.00","48,731,170.09","50,629,199.83","55,505,540.34","130,579,168.13","160,087,851.75","83,314,374.65","106,913,379.03","92,379,870.29","105,038,488.28","80,410,993.03"
应付职工薪酬,"3,236,783.87","5,151,757.75","2,301,882.16","2,107,904.50","6,241,118.37","2,433,403.87","2,391,579.55","2,391,473.99","18,118,767.89","2,702,207.29","2,848,720.10","2,652,897.72","17,833,312.33","3,154,673.36","3,412,240.93","3,372,495.59","20,154,165.35","4,804,716.01","4,502,654.22","3,957,885.75","32,581,140.45","4,996,324.34","4,026,756.46","2,399,480.59","42,718,300.55","11,766,413.26","11,348,157.94","8,690,550.95","70,347,353.95","20,449,878.32","22,548,749.57","22,589,035.63","91,834,922.56","26,405,235.20","32,867,252.04","30,256,557.10","100,783,449.01","17,582,806.27","20,257,466.77"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"6,275,429.78","7,814,339.76","1,790,094.89","-128,947.23","6,755,510.54","991,014.23","1,589,226.48","-287,933.94","6,201,545.66","-70,982.40","1,111,741.34","-388,158.40","4,547,653.18","12,229.09","1,154,784.31","354,688.60","5,181,868.11","380,938.17","-122,994.71","480,667.86","8,744,472.73","3,325,645.75","1,296,306.11","3,335,175.89","9,037,686.34","4,358,101.33","5,982,315.26","6,637,883.78","27,014,267.60","16,273,443.61","9,305,016.90","14,714,355.23","28,637,800.01","12,065,663.49","19,029,293.73","22,323,910.27","45,379,181.33","22,584,871.57","18,827,065.88"
应收利息,,,,,,,,"117,914.10",,,,,,,,,,,,,,,,,,,,,,,,,,"65,418.45","244,117.08","423,682.19","1,075,506.77","1,723,865.48","2,294,296.17"
应付利息,,,,,,,,,"687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46","687,583.46",,,,"463,600.36","463,600.36","474,581.24","489,265.92","268,719.75","130,649.99","150,358.46","890,449.08","1,488,394.40","2,025,362.75","393,639.31"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,"80,000.00","80,000.00",,,,,,,,,,,,,,"100,000.00","100,000.00","100,000.00","100,000.00",,,,"21,313,097.34"
存货,"2,857,737.35","5,440,517.04","6,964,762.03","6,854,498.33","2,840,839.33","3,018,554.01","2,834,133.86","3,629,949.05","1,663,101.17","1,954,714.18","2,271,331.16","793,822.25","251,510.60","714,173.52","1,241,399.41","487,371.80","519,813.04","829,795.67","1,046,473.80","1,273,198.50","1,210,750.04","1,531,956.95","1,703,743.00","1,437,838.99","71,665.90","657,219.21","710,462.38","1,073,021.38","87,371,268.35","79,812,837.15","74,974,367.44","81,494,154.85","65,740,578.60","57,339,030.90","57,233,304.09","57,993,072.33","56,658,351.64","34,571,848.33","25,464,320.85"
