科目,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"232,010,798.72","78,548,166.01","177,222,067.18","117,444,974.99","170,840,688.53","216,810,922.67","62,052,474.12","108,879,809.69","146,306,004.01","182,051,933.27","38,436,355.76","88,714,242.47","141,769,379.08","196,701,996.28","54,446,808.92","126,890,389.00","201,853,989.95","273,979,343.56","68,253,571.10","153,315,412.64","235,743,803.27","331,615,821.48","78,570,474.77","183,698,767.05","287,663,471.86","439,980,365.54","115,948,130.85","271,777,504.14","397,011,018.15","491,430,959.90","115,473,371.69","271,499,508.87","405,790,311.49","498,860,618.53","115,727,327.02","282,395,496.74","418,230,829.06"
二、营业利润,"28,991,348.54","21,019,226.23","33,736,357.69","20,266,734.84","30,675,204.33","37,949,651.95","11,240,590.65","25,682,404.89","39,244,325.85","47,760,000.14","9,823,562.35","22,063,305.66","35,009,386.60","47,945,465.79","10,443,970.06","32,771,037.47","51,851,795.98","72,263,521.98","15,655,627.66","38,751,257.96","57,280,732.25","78,605,308.09","17,519,207.83","47,074,745.69","68,222,816.91","111,137,280.00","26,051,648.79","66,873,042.11","95,595,089.73","44,648,745.72","23,824,003.21","63,687,054.19","92,667,870.50","17,224,560.15","28,261,887.89","81,738,971.75","118,334,151.40"
减:营业成本,"170,535,818.32","43,026,064.20","103,078,195.11","75,252,056.21","104,695,038.18","129,171,665.87","38,449,513.52","58,325,567.61","66,918,512.08","75,350,928.59","9,357,420.89","22,046,755.50","35,501,545.88","49,847,793.33","13,651,220.62","32,062,134.38","51,934,689.53","70,621,466.71","20,341,249.04","46,909,263.42","69,085,159.96","94,989,218.30","22,388,246.74","50,831,407.28","83,534,338.03","120,252,028.21","29,812,073.63","70,823,926.38","105,110,603.61","131,126,594.89","32,564,121.78","79,771,274.29","125,381,521.62","154,453,369.15","41,118,342.40","101,384,785.14","146,439,857.19"
加:补贴收入,"769,705.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"840,431.57","456,846.74","1,037,283.97","587,505.63","900,646.70","1,156,076.34","312,836.97","735,804.15","1,197,573.00","1,513,952.93","508,949.60","954,130.33","1,560,260.09","2,137,345.02","588,058.17","1,309,234.27","1,954,464.44","2,371,039.19","958,474.61","1,809,745.15","2,941,557.14","4,119,124.09","1,032,287.93","2,284,393.91","3,751,011.24","4,663,046.71","1,523,225.12","3,456,272.77","4,739,089.87","5,423,470.19","1,062,354.78","3,279,349.74","4,903,004.86","6,171,748.78","2,044,702.16","4,120,881.15","6,203,963.55"
营业外收入,,"40,800.00","78,322.97","322,371.40","963,507.74","3,902,341.07","605,690.00","630,590.00","730,590.00","2,615,568.64","250,000.00","1,051,460.00","2,915,124.36","5,918,563.95","2,385,131.00","2,660,131.00","2,968,214.34","3,613,035.35","55,625.01","105,250.02","613,625.03","1,439,500.04","774,686.01","1,600,561.02","4,108,886.02","4,941,011.12","850,966.25","1,781,149.50","2,614,474.50","5,005,753.93","1,465,868.52","2,319,544.38","3,151,669.39","5,989,863.02","2,802,672.01","2,385,292.02","3,400,761.12"
销售费用,"22,154,311.09","11,141,373.75","27,526,214.53","13,781,050.51","23,251,466.84","35,487,032.47","7,963,316.28","18,527,250.26","29,369,828.08","45,181,224.56","14,613,406.61","36,670,286.66","57,105,822.95","84,082,671.38","23,068,826.35","48,816,798.94","78,815,200.43","112,263,714.52","24,903,591.04","55,966,729.95","90,725,374.87","131,103,562.82","28,690,041.64","67,722,293.27","111,261,447.95","168,174,659.91","41,394,370.14","92,716,231.30","137,372,251.58","180,841,715.02","42,011,438.89","88,913,172.79","137,543,365.03","186,618,508.83","35,949,208.16","79,044,528.86","124,149,214.31"
减:营业外支出,"39,834.33","174,725.34","208,122.88","122,752.44","144,338.00","182,192.00","27,000.00","239,734.02","394,395.02","503,669.60","29,500.00","157,977.00","177,977.00","264,289.80","100,255.00","273,893.92","446,913.52","564,813.52",,"1,133,002.00","1,192,170.00","1,227,050.92","28,280.00","323,394.00","1,069,349.19","2,099,167.19","908,083.10","1,108,746.05","1,198,175.76","1,649,798.20","248,828.54","618,416.98","838,157.64","1,005,546.64","77,901.00","920,644.00","1,369,083.25"
管理费用,"8,570,204.59","1,830,890.34","11,172,789.19","7,201,048.48","10,682,770.57","13,261,024.43","3,119,327.95","7,278,152.47","11,160,717.00","16,369,166.36","3,719,042.52","8,203,549.81","13,365,673.42","19,302,389.66","6,277,770.66","11,924,319.02","17,007,751.05","22,155,368.86","6,484,662.05","12,512,167.25","19,067,094.89","28,706,632.84","7,968,986.22","15,397,828.99","23,678,941.57","38,061,975.25","14,635,742.98","32,506,723.40","49,321,686.19","63,920,546.21","15,642,181.59","32,941,581.44","43,288,725.89","58,254,754.92","7,536,976.49","14,758,549.15","23,899,929.52"
其中:非流动资产处置净损失,,,,,,795.56,,,180.00,"16,593.58",,,,"21,539.80",,,"79,044.60","79,044.60",,,,"1,765.92",,,"7,069.19","7,067.19",,"451,424.05","451,424.05","381,619.49",,"136,461.28","136,461.28","136,461.28",,,"29,770.25"
