科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"467,521,956.75","662,053,660.35","809,367,390.79","165,894,591.61","361,508,867.34","604,329,593.43","787,183,244.88","185,487,945.37","418,468,187.90","799,903,190.66","1,059,205,198.77","156,215,137.29","386,883,733.91","794,644,122.34","1,080,456,778.78","262,979,656.68","708,195,202.45","1,228,090,034.95","1,724,494,519.75","310,476,636.19","750,079,427.97","1,386,138,414.11","2,103,581,994.90","354,612,407.85","909,779,497.89","1,794,237,720.09","3,209,860,300.41","637,589,837.57","1,426,204,733.57"
二、营业利润,"79,792,345.65","96,263,158.79","99,841,904.50","15,976,855.89","41,148,556.62","69,646,036.76","82,846,429.21","20,765,085.65","54,033,658.71","106,428,528.50","140,850,238.24","22,968,781.89","64,015,424.18","124,384,743.54","161,804,558.09","41,689,406.30","113,024,571.10","222,146,516.74","329,058,238.83","62,782,562.30","138,384,132.30","273,700,321.45","422,389,867.03","43,582,991.04","138,483,042.18","319,391,481.72","501,078,491.36","58,275,695.13","163,249,263.17"
减:营业成本,"322,388,125.66","485,130,987.05","614,346,697.63","128,914,591.66","276,024,259.97","455,968,526.48","590,529,725.58","137,596,177.82","310,376,761.80","591,556,434.95","781,661,905.71","116,823,717.08","291,294,668.29","603,911,694.37","823,460,291.51","194,120,578.15","522,875,692.66","885,054,828.13","1,221,797,313.77","212,506,843.14","520,930,968.66","968,678,217.79","1,453,993,868.87","257,800,055.07","649,662,981.90","1,273,045,337.57","2,315,390,745.10","495,547,962.70","1,131,040,519.82"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,485,556.87","2,566,541.01","5,521,244.27","798,349.46","1,814,449.68","4,092,400.82","6,463,709.38","2,116,256.40","2,945,176.39","4,761,569.04","6,756,282.15","1,597,232.08","1,824,500.29","3,652,461.80","6,182,202.43","2,433,343.40","4,235,963.85","7,604,004.97","9,582,672.55","-152,787.19","778,466.70","5,002,304.59","11,192,203.89","1,657,659.84","4,341,901.59","6,935,704.17","16,849,366.03","1,906,618.32","4,981,794.58"
营业外收入,"6,085,852.44","6,116,875.31","8,063,929.16","675,590.45","1,914,268.87","2,702,387.58","5,460,931.64","1,274,282.24","2,799,227.81","14,152,348.32","13,099,237.35","2,903,310.42","4,043,091.79","5,479,892.64","6,510,335.28","3,222,757.11","4,457,442.51","5,591,606.19","11,817,561.14","1,051,607.07","3,219,548.97","4,585,472.70","19,155,466.99","9,539,091.99","14,893,362.42","8,337,134.38","5,150,949.80","1,886,482.65","2,497,820.17"
销售费用,"19,314,188.40","25,441,760.41","32,166,740.74","7,469,354.30","15,769,625.99","27,243,795.69","35,964,957.36","8,859,966.39","18,027,896.04","35,905,037.64","49,596,091.59","6,346,245.94","13,129,717.57","24,495,782.67","39,191,906.99","8,007,979.29","17,316,280.53","31,798,343.07","46,699,647.96","6,959,701.11","17,686,195.95","28,123,124.71","42,355,979.10","10,990,240.38","20,785,297.27","33,289,062.20","52,160,137.88","11,467,350.57","25,216,714.43"
减:营业外支出,"223,371.13","2,453,389.23","169,108.65","329,506.89","358,824.06","473,740.11","696,535.18","1,704,372.95","1,725,778.35","1,751,295.08","2,150,197.49","79,984.26","167,861.95","237,591.51","524,844.16",,"89,852.06","138,498.80","336,823.95","131,116.84","391,815.60","561,405.49","590,770.18","133,832.56","187,509.17","731,696.51","2,231,669.58","100,302.05","821,536.15"
管理费用,"37,895,069.33","43,624,995.68","47,126,463.02","12,696,857.40","27,867,455.19","42,660,996.50","57,548,283.54","14,337,436.51","32,860,992.37","55,740,458.20","79,302,362.75","15,317,602.60","36,527,939.67","59,249,874.92","74,870,422.77","28,830,615.69","65,688,201.02","112,396,450.74","152,557,826.64","33,995,076.25","82,217,388.34","123,855,425.91","183,615,789.18","40,859,112.56","89,148,987.26","155,782,632.79","267,083,268.66","69,018,758.12","143,428,352.75"
其中:非流动资产处置净损失,,,"16,334.40",,"138,741.11",,"131,626.66",,"5,778.35",,"280,263.49",,"71,991.64",,"365,026.18",,,,"119,424.02",,,,"333,052.49",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"5,521,891.05","8,378,321.68","10,322,293.22","1,195,701.18","552,460.84","-456,672.73","-627,446.99","2,072,695.64","1,402,753.29","5,328,868.89","1,726,421.57","-4,013,345.83","-9,345,290.52","-12,514,749.34","-14,290,756.04","-6,168,343.38","-7,385,249.79","-23,044,413.45","-28,747,246.16","1,220,699.56","-6,089,306.24","-8,553,077.21","-17,411,785.24","5,557,388.45","14,931,488.52","19,400,003.60","58,911,252.26","43,358,862.58","22,277,950.21"
