科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"256,737,247.75","276,081,644.80","321,736,962.14","177,231,074.70",,"389,487,241.45","84,825,608.95","247,992,564.84","342,414,888.25","526,207,989.15","147,130,794.59","297,483,360.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"5,720,264.18","5,134,672.36","4,881,892.16","2,819,942.55",,"9,290,156.55","1,842,120.00","1,978,134.00","4,307,496.09","6,383,306.33","725,107.15","3,504,550.11"
支付其他与投资活动有关的现金,,,,,,,,,"2,380,000.00",,,
收到其他与经营活动有关的现金,"1,398,760.96","1,127,735.07","4,378,259.11","464,885.19",,"1,719,442.68","3,335,509.27","5,250,486.06","6,560,245.95","5,704,652.53","619,984.65","4,922,506.83"
投资活动现金流出小计,"35,973,969.77","14,988,911.24","40,498,182.15","25,209,592.16",,"46,701,573.85","304,493,342.27","444,222,627.16","723,905,857.13","939,554,012.03","311,281,972.78","481,484,881.51"
经营活动现金流入小计,"263,856,272.89","282,344,052.23","330,997,113.41","180,515,902.44",,"400,496,840.68","90,003,238.22","255,221,184.90","353,282,630.29","538,295,948.01","148,475,886.39","305,910,417.89"
投资活动产生的现金流量净额,"-35,796,039.98","-12,752,986.76","-38,844,363.49","-22,628,199.41","-32,588,293.71","-43,975,093.34","-304,393,232.68","-247,790,682.78","-314,298,789.46","-255,507,197.23","-85,776,607.60","37,051,476.51"
购买商品、接受劳务支付的现金,"123,011,151.12","59,005,010.63","101,638,688.29","31,827,673.12",,"68,580,130.53","34,190,210.42","101,629,333.20","115,982,859.85","193,389,938.95","54,098,868.11","111,731,522.20"
吸收投资收到的现金,"1,680,000.00",,,,,"462,310,400.00",,,,,,
支付给职工以及为职工支付的现金,"50,890,572.58","54,465,032.27","68,478,586.97","41,959,396.44",,"93,067,637.90","33,560,296.93","67,193,587.00","92,654,846.16","130,255,565.07","42,643,633.33","78,385,870.76"
取得借款收到的现金,"149,750,000.00","82,400,000.00","110,450,000.00","69,000,000.00",,"85,000,000.00",,,,,,
支付的各项税费,"36,000,729.24","24,589,255.18","49,765,641.99","37,996,688.11",,"79,105,586.30","22,115,906.15","57,331,131.65","72,334,023.08","90,314,233.33","18,746,030.10","54,231,749.06"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"34,081,086.52","30,071,465.38","40,004,802.23","22,665,088.25",,"53,567,464.98","17,423,552.59","34,451,332.74","38,050,057.71","67,209,064.59","14,063,522.95","24,475,812.71"
