科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"170,738,844.81","311,645,065.36","224,312,769.09","165,534,758.90","198,716,695.49","140,689,768.11","227,831,886.93","272,238,700.09","231,426,887.61","317,488,430.06","318,736,469.37","276,754,944.12","260,099,524.66","672,786,624.48","588,563,093.67","496,741,512.73","617,420,682.87","518,499,766.89","391,005,584.68","341,304,295.52","386,768,880.30","327,756,886.32","340,538,279.18","305,026,215.34","710,681,663.94","576,625,419.05","489,764,987.32","504,634,532.36","511,451,925.10","584,221,477.01","522,537,307.63","369,031,708.02","965,896,761.81","879,665,591.41","834,938,044.70","601,196,339.57","687,918,021.59","665,607,393.34","638,870,321.06","625,518,947.04","554,636,743.31","524,508,038.84","547,502,863.36","521,973,627.44"
短期借款,"296,500,000.00","328,800,000.00","290,800,000.00","285,800,000.00","349,300,000.00","279,000,000.00","390,000,000.00","433,000,000.00","463,000,000.00","433,000,000.00","420,000,000.00","410,000,000.00","435,000,000.00","465,000,000.00","465,000,000.00","415,000,000.00","389,000,000.00","461,000,000.00","511,000,000.00","515,000,000.00","617,000,000.00","481,000,000.00","471,000,000.00","531,770,000.00","928,232,000.00","778,232,000.00","658,770,000.00","532,000,000.00","402,000,000.00","392,000,000.00","340,000,000.00","170,000,000.00","150,000,000.00","180,000,000.00","120,000,000.00","120,000,000.00","220,000,000.00","220,000,000.00","200,000,000.00","200,000,000.00","199,498,860.00","203,498,860.00","203,498,860.00","153,498,860.00"
交易性金融资产,,,"40,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"231,780,698.63","230,823,458.34","161,323,055.56","160,494,225.26","150,416,712.33","140,376,874.05","135,636,805.55","75,140,625.00","160,120,339.42"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"820,000.00","709,000.00","120,000.00","1,187,000.00","687,000.00","4,848,000.00","3,028,000.00","4,500,000.00","13,426,849.30","489,800.00",,"7,009,474.29","9,182,103.04","15,673,084.70","5,800,915.11","15,547,012.86","23,115,183.80","18,344,615.52","21,352,591.19","44,112,935.57","25,463,698.87","15,879,479.00","30,346,220.00","23,513,648.84","20,023,089.84","20,484,183.80","32,292,216.00","39,547,242.57","33,798,420.57","29,220,805.17","34,791,818.42","44,959,419.12","31,460,256.18","52,760,472.28","46,445,807.00","48,412,155.53","39,969,367.42","45,527,717.46","43,099,576.59","29,283,558.44","32,756,064.02","25,959,608.04","25,428,903.94","31,382,327.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"37,095,346.12","29,095,646.33","31,352,634.34","9,460,485.68","25,077,899.23","28,768,595.59","27,106,383.60","18,984,988.60","20,129,138.00","21,382,408.87","28,635,347.96","17,924,423.61","20,178,894.41","17,325,703.48","19,136,687.26","16,860,125.55","19,758,756.94","28,761,496.15","7,674,186.63","19,451,426.39","36,248,457.08","33,253,225.47","25,275,522.61","31,695,195.53","39,114,367.40","39,274,280.98","50,992,990.04","19,631,708.71","38,101,524.68","34,437,770.75","35,223,295.85","22,015,149.30","43,232,299.03","38,211,400.23","43,812,559.46","31,767,826.11","49,977,308.51","54,770,291.06","54,093,835.69","40,411,234.59","50,053,557.17","57,044,645.82","57,678,530.69","59,685,249.83"
应付账款,"49,471,032.14","41,688,543.22","46,153,200.53","78,495,812.91","60,736,970.48","70,681,742.37","69,157,311.75","102,749,771.56","101,268,820.44","52,785,949.01","83,056,293.11","78,451,037.61","82,245,019.59","75,493,297.63","71,815,199.18","93,316,659.05","73,530,680.57","106,045,323.44","120,994,528.83","122,639,488.65","109,402,043.28","155,326,335.66","133,752,977.98","184,545,414.39","127,985,058.65","126,823,418.36","117,655,742.63","200,592,165.37","236,780,137.76","195,766,558.07","195,523,840.44","208,306,301.47","180,669,854.20","198,427,739.04","169,195,941.70","205,056,150.93","250,509,394.43","244,224,111.28","214,593,447.67","293,894,686.29","335,270,573.61","300,767,252.41","289,375,574.98","311,362,505.54"
预付款项,"24,637,556.23","31,529,579.68","25,280,325.14","27,130,513.13","32,278,124.49","40,963,085.00","42,958,748.80","29,565,558.66","28,882,608.28","447,502.46","502,305.85","3,817,301.23","14,163,565.23","12,005,807.94","21,265,348.73","42,795,619.43","58,885,257.09","85,727,047.60","50,862,947.84","49,141,493.65","60,445,925.61","118,246,035.77","106,995,366.71","37,874,067.39","29,297,989.32","42,342,986.76","31,409,335.70","25,796,292.27","37,196,701.42","42,530,854.51","40,706,563.67","17,095,365.83","35,486,170.01","39,977,258.83","46,854,625.50","18,851,951.60","16,995,892.50","16,731,223.13","14,819,118.29","10,339,325.96","29,529,916.36","21,416,422.70","26,813,742.09","23,214,356.31"
预收款项,"11,696,803.77","17,335,045.03","22,584,184.76","10,427,916.60","18,222,367.59","21,409,352.10","21,447,225.18","21,919,561.00","25,166,809.55","35,111,283.80","42,839,789.88","51,102,970.75","68,994,430.43","69,901,020.81","85,754,641.67","82,651,775.27","104,845,437.56","99,707,061.93","113,828,026.51","95,937,079.76","113,903,885.13","121,921,574.48","146,992,780.40","112,318,496.01","168,494,852.17","223,718,590.94","240,748,703.81","107,603,041.57","193,947,027.12","261,603,160.44","314,935,838.34","57,071,493.77","149,806,750.19","237,438,862.83","277,964,273.20","83,892,466.46","129,723,125.57","164,327,269.39","198,301,079.70","85,054,888.09","100,257,357.42","141,749,831.99","196,737,377.91","66,425,405.94"
