科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"505,725,631.62","564,382,909.51","177,512,944.05","727,100,789.33","226,121,067.39","460,775,159.29","623,614,502.87","827,139,656.87","242,847,836.69","426,632,811.84","768,405,794.50","1,122,335,767.78","472,765,391.98","874,429,250.49","1,210,170,881.66","1,552,514,357.07","410,920,073.19","775,818,071.70","1,130,500,754.22","1,425,301,415.78","407,827,833.58","744,818,057.31","1,025,000,878.12","1,382,032,095.59","386,878,993.09","778,078,087.47","1,138,896,439.14","1,972,645,587.00","756,748,930.97","1,523,810,400.81","2,182,808,805.27","3,732,254,256.66","1,589,775,719.05","2,688,933,845.41","3,767,265,103.86","5,030,196,550.82"
二、营业利润,"57,725,584.46","84,781,180.58","30,281,695.54","135,552,071.00","39,711,488.22","101,554,924.42","125,411,426.74","166,903,516.79","39,844,735.38","69,569,415.44","90,197,946.98","120,784,401.55","35,478,335.75","61,318,584.90","66,737,943.99","88,061,205.37","44,157,741.68","88,036,590.72","114,331,989.97","169,563,368.61","61,451,320.63","133,861,333.67","161,315,071.42","226,014,424.01","63,961,394.11","144,499,329.44","193,075,024.79","235,290,611.45","83,979,910.98","149,919,908.43","258,467,567.49","351,993,068.27","264,373,448.08","438,520,106.83","585,900,390.54","785,530,031.78"
减:营业成本,"399,599,031.08","422,287,825.48","130,551,146.85","513,347,844.47","165,722,985.38","321,393,151.71","440,438,786.08","608,194,010.07","189,217,422.70","323,348,335.66","596,334,130.87","867,800,817.24","371,572,779.98","695,324,846.56","971,432,538.78","1,237,656,480.65","315,085,442.56","583,282,617.79","839,195,034.33","1,107,049,324.94","303,713,522.22","550,440,176.89","760,873,663.22","1,003,149,651.77","266,501,333.20","521,685,300.47","773,402,590.80","1,410,778,841.34","563,355,465.81","1,138,168,697.67","1,562,923,489.66","2,845,909,565.32","1,171,060,195.90","1,996,915,547.57","2,808,083,095.78","3,876,881,305.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"657,202.84","664,360.21","168,629.45","598,683.78","195,224.11","411,903.38","568,434.49","946,623.14","905,313.13","1,656,011.97","2,215,023.10","3,352,363.90","1,559,074.70","3,344,431.82","5,229,467.64","6,587,574.38","2,812,456.40","5,533,677.03","8,761,226.49","11,977,122.11","3,967,160.96","6,318,035.10","10,201,140.35","17,400,190.58","5,090,339.11","10,009,698.43","14,591,746.05","20,084,418.20","6,495,210.05","10,796,371.53","15,489,707.74","31,291,274.19","11,845,832.40","23,102,355.41","32,591,004.23","44,801,086.21"
营业外收入,"937,564.10","5,882,461.86","2,349,053.68","6,832,635.94","32,375.38","1,166,199.60","3,802,906.80","7,059,914.35","479,198.40","5,349,036.33","6,519,580.13","14,562,057.92","435,602.07","1,534,511.50","9,168,699.77","20,958,814.02","1,967,621.21","4,596,963.67","6,789,362.92","10,000,058.40","3,093,606.03","5,914,631.17","7,269,242.59","10,225,361.47","1,374,764.64","6,822,745.94","8,385,141.03","22,536,567.36","2,577,559.76","14,499,753.35","26,058,063.76","35,217,227.85","25,196,727.12","72,166,610.49","97,050,695.28","1,831,803.84"
销售费用,"25,120,398.68","26,920,469.04","8,032,251.13","39,262,525.17","9,650,909.13","19,005,700.74","33,843,329.50","50,235,972.89","8,729,380.87","22,965,690.41","44,884,500.04","61,968,106.44","25,688,783.03","48,167,614.31","66,448,005.22","92,132,814.34","21,317,187.60","42,997,690.01","72,513,046.61","87,005,302.38","23,574,488.36","40,428,792.28","53,582,332.23","73,846,373.89","19,471,163.04","43,899,441.79","66,038,003.57","93,983,139.13","33,185,940.68","64,760,319.79","90,227,681.85","148,179,177.08","23,404,447.97","67,263,964.40","108,413,280.70","135,656,876.25"
减:营业外支出,"972,221.94","1,189,159.86","181,460.23","972,221.06","265,807.68","601,986.90","58,657.33","986,893.44","416,388.91","949,216.31","1,084,150.71","1,616,957.59","304,783.54","733,840.22","1,555,508.77","2,285,053.82","251,213.80","848,369.42","1,039,480.87","3,344,804.34","289,604.69","834,851.34","1,228,860.47","1,768,529.17","535,497.94","1,361,279.21","1,625,423.88","2,588,628.32","1,056,892.18","6,516,016.14","8,493,686.03","12,143,034.32","332,284.06","1,291,144.31","3,194,102.65","3,120,543.65"
管理费用,"20,091,093.07","25,638,925.99","7,763,222.57","38,433,041.26","10,315,798.39","20,068,159.06","31,118,912.70","49,617,346.06","12,088,512.00","26,664,480.96","55,267,797.97","88,522,250.91","39,491,265.26","69,752,028.76","103,283,346.18","131,698,223.09","26,308,489.65","51,484,045.44","82,613,141.19","125,053,221.08","27,834,824.07","56,064,810.82","83,723,760.86","116,580,020.34","33,107,275.77","62,987,367.08","98,411,260.14","169,280,262.04","65,743,528.11","139,708,764.39","199,313,189.73","304,949,909.37","89,606,992.70","188,503,927.81","274,184,769.92","391,528,925.05"
其中:非流动资产处置净损失,,,,,,,,"3,811.36",,"264,494.17",,"153,811.72",,,,"142,064.06",,,,"8,455.26",,,,"355,877.03",,"230,598.62","230,598.62","411,138.91",,"5,055,410.76","6,635,315.09","8,320,589.56",,"162,545.75","1,884,771.67",
