科目,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"76,667,951.21","78,239,046.13","104,450,890.98","53,508,680.48","54,149,737.63","153,790,894.83","273,095,060.59","219,974,077.13","186,554,536.10","235,056,556.06","190,393,405.37","230,188,255.32","167,394,875.96","139,937,864.15","105,228,934.24","107,218,746.35","131,018,263.85","219,301,294.90","149,095,864.89"
短期借款,"40,000,000.00","30,000,000.00","35,000,000.00","75,000,000.00","90,000,000.00","90,000,000.00","45,000,000.00","47,406,998.63","74,000,000.00","69,000,000.00","69,000,000.00","89,000,000.00","102,000,000.00","72,000,000.00","102,221,280.00","82,071,080.00","62,261,280.00","55,940,000.00","48,770,660.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"42,671,968.81","71,062,602.28","47,864,407.48","51,404,741.30","41,744,792.43","88,764,781.73","39,875,422.01","84,437,811.77","88,127,191.27","162,814,598.85","83,052,473.60","80,101,410.36","93,658,419.08","111,705,025.34","117,853,701.08","133,884,094.05","142,030,259.87","181,431,389.72","109,939,446.79"
应付票据,"53,356,382.88","51,867,670.93","51,175,953.81","63,326,816.32","86,799,209.02","108,196,490.54","99,451,061.71","133,181,671.36","161,348,018.62","139,595,766.93","152,738,191.30","160,217,258.11","129,854,183.60","152,614,894.32","102,145,857.48","113,322,639.76",,"168,834,305.63",
应收账款,"143,207,208.05","138,144,834.04","185,041,207.04","252,457,391.48","280,019,116.85","192,902,599.57","230,134,861.83","252,000,670.56","272,469,482.55","210,489,095.19","285,781,823.40","292,912,115.84","302,309,267.04","298,010,936.01","239,620,157.11","328,024,778.92","329,455,431.01","295,179,847.25","351,171,062.25"
应付账款,"57,834,589.29","76,814,131.71","78,924,590.37","114,676,853.92","138,465,074.88","140,467,545.51","160,325,471.15","132,869,914.65","115,565,681.24","131,577,772.89","118,235,184.92","107,121,693.03","113,009,423.79","101,829,330.27","114,667,965.91","135,351,897.55",,"168,888,315.58",
预付款项,"3,896,242.39","10,845,332.30","7,308,855.63","10,460,397.82","9,821,565.94","9,324,962.65","31,452,150.24","16,241,811.37","22,357,352.42","17,937,979.64","27,691,781.37","21,304,836.41","30,147,380.70","27,152,329.37","26,791,024.71","33,011,292.73","19,147,805.25","20,221,486.34","25,896,725.23"
预收款项,"3,026,068.00","808,389.00","14,782,638.32","15,861,677.90","19,906,835.95","28,313,726.49","20,451,794.11","28,351,362.41","37,262,589.85","113,487,411.40","118,271,055.08","82,778,774.19","92,409,898.79","54,203,347.25","4,336,178.98","55,269,201.56","74,269,276.29","77,725,035.94","56,009,132.85"
其他应收款,"1,574,915.62","1,838,729.69","1,349,435.77","3,749,262.73","5,243,359.49","3,528,889.53","5,279,640.92","9,458,990.77","7,426,234.45","6,705,114.52","8,755,502.85","7,563,733.95","9,496,739.47","6,857,281.54","10,293,450.69","10,407,089.30","13,303,973.44","6,493,612.27","11,547,713.12"
应付职工薪酬,"1,859,347.64","2,113,356.23","2,464,737.92","2,820,059.72","3,193,012.85","3,342,087.90","3,607,636.17","4,225,368.26","3,920,494.09","4,841,793.91","4,592,752.30","4,309,150.13","4,279,320.56","4,442,996.56","4,626,003.64","4,615,873.73","5,389,359.69","5,120,601.73","4,998,251.90"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"13,730,176.52","2,359,605.07","16,507,049.28","3,844,033.77","-859,187.64","16,634,532.04","279,080.14","5,713,652.11","3,451,010.09","4,729,515.49","2,471,931.45","9,361,922.46","1,425,323.64","12,684,249.45","2,352,745.53","17,326,426.61","3,820,095.72","9,135,669.44","4,581,383.52"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,"75,075.01","56,741.66","105,875.00","117,329.81","119,500.00","132,684.09","69,219.79","55,489.58","158,607.58","258,462.49","367,212.48","494,208.32","157,445.84","95,699.99","82,438.88","96,289.37",,"521,392.65","39,233.33"
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,
存货,"41,435,162.68","47,125,699.10","39,863,065.15","71,619,928.20","110,716,142.67","131,126,092.84","155,322,722.42","161,142,780.88","182,373,037.87","213,577,030.28","226,292,474.67","176,440,655.06","190,671,997.78","185,220,057.79","180,395,299.64","202,556,895.29","252,257,946.09","202,193,820.58","187,643,525.69"
其他应付款,"1,773,621.69","4,434,242.76","5,100,897.31","2,963,465.43","3,005,228.63","5,290,174.22","789,966.26","5,242,826.94","10,237,755.37","13,425,243.79","9,568,961.35","9,024,017.58","9,191,469.17","13,986,695.95","6,741,004.61","39,278,582.59","40,603,545.44","68,284,477.88","37,863,210.30"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,"4,590,578.15",,,,,,,,,,,,,,,,
其他流动资产,,,"1,208,553.29","390,477.53","1,977,385.84","50,113.69","3,179,140.48","3,215,720.98","7,663,416.25","3,006,830.19","6,457,741.19","1,766,809.18","3,628,901.58","4,649,915.36","8,471,464.89","2,516,447.47","1,580,416.76","4,486,011.13","4,886,858.79"
其他流动负债,,,,,,,,,,,,,,,,,,,
流动资产合计,"309,453,448.76","347,256,243.54","387,086,415.34","443,590,879.54","503,672,100.85","579,488,334.84","738,338,998.49","746,471,863.46","766,971,250.91","849,587,204.73","828,425,202.45","810,277,816.12","797,307,581.61","773,533,409.56","688,654,032.36","817,619,344.11","888,794,096.27","929,307,462.19","840,181,196.76"
流动负债合计,"171,655,261.03","168,454,137.36","208,652,320.16","278,610,236.87","340,629,673.69","392,377,240.79","329,974,229.33","357,047,283.94","405,944,156.84","476,915,966.90","475,245,288.88","462,307,023.82","452,327,065.39","411,857,213.79","337,173,475.03","447,331,991.17","510,112,114.20","553,928,406.20","455,359,116.77"
可供出售金融资产,,,,,,,,,,,,,,,,,,,
长期借款,,,"10,409,421.85",,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,"14,999,989.71","14,975,061.44","14,968,681.61","14,943,026.29","15,069,908.68","15,034,331.24","15,007,965.05","15,807,976.82","16,066,550.77","15,652,128.49"
专项应付款,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,
固定资产,"49,461,846.04","42,942,219.17","80,622,376.85","77,113,487.25","79,732,034.59","112,925,840.30","109,775,982.80","114,593,584.84","128,821,970.41","135,905,726.29","132,535,303.55","129,651,367.02","126,705,570.20","141,308,029.26","138,785,468.45","136,635,593.65","135,226,691.53","133,815,199.04","129,491,813.73"
递延所得税负债,,,"215,023.59","204,656.57","199,456.68","194,300.48","194,300.48","326,427.30","317,704.37","185,388.87","180,155.11","174,921.34","169,687.57","164,453.80","159,220.03","153,986.26","148,752.49","143,518.72","138,284.95"
在建工程,"48,163.02","5,574,925.75","24,974,663.38","41,350,175.00","43,244,351.84","10,861,368.84","21,816,372.81","31,464,565.88","36,577,073.26","36,166,921.37","47,742,192.56","57,063,027.40","73,963,628.55","81,410,946.50","88,477,324.16","93,724,743.32","96,412,535.17","97,996,869.87","99,900,085.86"
其他非流动负债,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,
非流动负债合计,"40,539,394.00","40,675,838.44","50,940,760.58","38,626,402.07","38,563,553.15","38,378,948.80","37,988,570.08","37,748,825.77","46,589,230.61","44,034,920.73","45,202,095.83","42,519,453.71","42,052,820.23","49,334,964.17","52,033,871.62","46,648,503.80","42,692,666.43","41,087,120.20","39,502,271.74"
固定资产清理,,,,,,,,,,,,,,,,,,,
负债合计,"212,194,655.03","209,129,975.80","259,593,080.74","317,236,638.94","379,193,226.84","430,756,189.59","367,962,799.41","394,796,109.71","452,533,387.45","520,950,887.63","520,447,384.71","504,826,477.53","494,379,885.62","461,192,177.96","389,207,346.65","493,980,494.97","552,804,780.63","595,015,526.40","494,861,388.51"
生产性生物资产,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","66,670,000.00","66,670,000.00","120,006,000.00","120,006,000.00","120,006,000.00","120,006,000.00","120,006,000.00","120,006,000.00","120,006,000.00","120,006,000.00","120,006,000.00","123,977,900.00","123,977,900.00"
油气资产,,,,,,,,,,,,,,,,,,,
资本公积,"57,756,926.21","57,756,926.21","57,756,926.21","57,756,926.21","57,756,926.21","57,756,926.21","268,701,268.19","268,701,268.19","215,314,951.21","215,314,951.21","215,314,951.21","215,314,951.21","215,314,951.21","215,314,951.21","215,314,951.21","215,314,951.21","215,314,951.21","238,856,353.58","243,498,890.08"
无形资产,"34,535,146.68","35,995,260.69","35,257,433.96","34,890,724.26","35,497,502.15","35,444,487.11","35,756,380.74","36,753,392.12","59,951,322.35","59,825,329.81","59,238,566.26","58,701,179.83","58,123,088.46","57,600,489.44","57,159,568.16","56,983,891.22","56,322,909.26","56,477,830.42","55,950,658.42"
盈余公积,"6,750,323.33","11,098,380.38","15,637,483.65","15,637,483.65","15,637,483.65","18,797,595.55","18,797,595.55","18,797,595.55","18,797,595.55","25,758,513.88","25,758,513.88","25,758,513.88","25,758,513.88","28,914,299.45","28,914,299.45","28,914,299.45","28,914,299.45","31,289,933.08","31,289,933.08"
开发支出,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,"25,857,069.00","25,857,069.00"
商誉,,,,,,,,,,,,,,,,,,,
未分配利润,"68,510,992.13","105,967,477.48","149,077,679.44","163,385,196.64","167,950,078.87","196,851,727.42","193,376,850.91","203,032,587.32","206,566,799.63","233,800,155.42","228,467,317.69","234,617,876.38","248,450,076.46","259,299,152.94","251,040,206.71","277,637,542.06","294,381,847.77","314,411,403.46","315,692,605.08"
长期待摊费用,,,,"116,253.20","109,898.02","184,391.01","370,837.02","1,447,249.51","2,215,930.40","2,523,987.62","2,491,573.50","2,387,846.32","2,706,580.07","3,094,206.79","3,760,222.93","4,041,656.09","4,106,655.78","4,375,791.57","5,399,019.22"
少数股东权益,,"37,269.31","58,600.96","-124,219.56","79,704.26","42,296.44","-30,400.01","-45,973.98","-116,741.34","-179,368.03","-252,567.16","-282,015.77",,,,,,,
递延所得税资产,"1,714,292.20","2,288,044.49","3,461,531.26","4,245,617.60","4,589,106.62","7,009,104.27","5,483,604.72","9,271,111.71","9,227,676.42","6,998,754.17","9,049,441.58","12,281,983.01","12,779,667.08","9,817,498.44","11,221,456.11","11,694,946.42","14,954,557.67","12,847,373.91","13,011,313.41"
外币报表折算价差,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,"729,752.57","2,594,784.44","3,697,080.97","8,277,829.69","3,918,390.52","11,978,373.76","9,411,272.09","9,949,194.88","15,566,717.43","15,114,488.68","17,531,961.54","2,981,571.33","1,421,265.00","271,290.00",,"26,993,027.20","24,036,738.71"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,
