科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"182,971,223.68","243,776,417.89","53,275,513.45","288,334,572.56","58,294,691.14","127,299,978.99","215,914,063.58","314,035,452.32","59,053,630.81","156,291,271.39","287,767,833.73","417,367,363.60","92,685,901.16","204,451,381.69","351,446,723.86","517,876,549.96","111,657,434.47","287,302,006.02","528,840,130.27","785,165,829.74","172,093,860.73","443,976,349.28","800,948,298.96","1,227,636,592.54","338,299,842.10","892,312,074.95","1,608,668,999.75","2,371,647,775.65","635,854,926.82","1,384,322,063.80","2,163,504,626.07","3,075,445,454.84","764,315,936.87","1,578,015,972.56","2,214,607,118.50","3,238,940,560.41","680,230,130.20","1,546,940,688.30","2,325,169,168.74","3,315,297,745.99","804,364,222.10"
二、营业利润,"35,192,574.47","46,461,770.99","11,958,434.07","64,705,486.64","13,873,703.60","15,646,946.14","40,639,509.06","63,644,124.06","12,972,360.49","25,499,650.37","54,235,420.50","84,810,130.59","18,200,866.35","32,697,010.45","62,324,305.69","102,667,678.72","26,203,397.63","51,879,207.36","111,669,042.30","153,052,277.41","36,678,475.09","70,072,423.75","163,085,831.72","203,537,652.66","42,863,087.13","87,547,072.57","198,257,321.37","219,119,471.69","45,241,796.21","82,761,265.93","174,077,247.27","266,119,837.14","58,670,970.33","136,164,683.40","233,935,522.03","304,333,475.82","74,799,101.44","88,643,687.33","200,726,882.99","329,470,232.41","53,776,704.60"
减:营业成本,"113,825,640.59","149,571,534.72","32,684,527.50","176,324,849.48","35,592,823.86","77,863,800.68","130,231,050.90","189,296,945.84","35,206,726.52","91,439,343.94","167,490,871.88","240,314,601.85","52,387,484.11","115,313,949.38","195,505,427.67","279,486,253.71","55,196,981.81","167,693,040.90","304,353,645.50","460,658,161.32","101,001,568.44","285,764,938.77","490,369,708.35","768,352,582.78","218,669,964.22","620,486,923.88","1,108,958,104.59","1,697,114,316.78","473,595,584.68","1,049,200,541.79","1,596,282,361.72","2,245,125,650.97","568,039,257.19","1,155,574,398.03","1,544,639,851.00","2,269,656,878.13","449,023,765.22","1,067,964,071.20","1,550,526,527.53","2,394,651,341.38","575,157,078.91"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,324,660.35","1,739,769.22","407,592.28","2,041,649.85","395,086.12","872,018.21","1,544,979.19","2,325,315.73","569,733.97","1,540,758.21","2,750,547.06","3,647,701.55","519,102.41","1,405,217.55","2,658,399.05","3,845,403.05","864,333.06","2,370,722.07","4,075,615.66","5,917,061.29","1,347,720.08","3,207,208.43","5,336,805.37","7,419,999.57","1,408,897.39","3,709,775.59","6,494,966.96","9,190,504.91","2,795,531.02","8,784,288.30","13,764,708.46","26,342,835.26","8,040,179.42","15,715,893.95","23,763,364.54","39,114,862.83","6,364,019.30","17,157,759.64","24,346,726.24","39,775,179.28","3,774,769.68"
营业外收入,"390,014.00","1,124,664.46","189,700.00","2,324,790.00","348,600.00","1,596,440.00","1,746,440.00","4,461,240.00","1,234,936.00","1,817,836.00","3,558,394.00","4,000,209.44","111,305.56","201,939.20","8,549,435.29","9,879,569.92","667,769.22","1,347,264.13","2,063,569.24","4,593,277.21","1,254,467.49","2,083,136.38","2,633,545.85","4,496,589.04","627,508.92","1,427,912.59","2,382,358.53","5,092,122.35","1,609,013.04","18,683,628.17","21,233,230.91","31,657,378.90","1,586,242.94","4,154,292.36","14,875,731.07","52,629,312.33","808,366.93","2,816,271.76","4,947,004.76","4,745,952.24","1,492,561.13"
销售费用,"18,086,193.47","29,657,072.36","4,612,512.80","28,959,682.23","4,572,439.73","21,795,846.04","26,830,846.26","40,463,549.71","5,043,675.51","25,082,313.44","44,142,382.00","59,941,246.62","6,044,013.57","20,324,751.33","38,151,461.21","51,050,179.08","15,322,376.23","37,146,572.30","60,651,652.35","93,239,847.94","11,713,005.41","34,297,085.04","61,859,601.48","131,120,791.88","43,726,441.47","118,564,051.37","196,438,314.05","295,898,010.25","69,040,430.90","145,983,871.38","225,663,546.85","334,462,928.85","73,150,375.23","152,910,012.71","220,785,535.31","350,702,649.80","78,068,931.09","210,914,575.60","309,108,299.77","446,200,477.83","82,897,609.39"
减:营业外支出,,"409,830.27",,,,,"824,800.00","1,104,270.97",82.31,"99,065.48","1,266,065.50","1,266,065.50",700.00,"1,160.00","1,160.00","595,735.89",,"1,020,050.65","1,020,922.15","1,162,500.33","11,000.00","90,815.80","214,990.34","248,592.43","34,354.32","82,752.77","1,842,657.76","2,103,831.24","23,142.79","317,972.46","1,634,288.06","2,629,152.43","133,527.45","139,401.45","145,788.30","2,763,554.86","653,281.42","2,272,213.18","3,006,163.27","5,626,678.05","512,993.63"
管理费用,"13,099,798.52","14,096,413.73","2,680,108.40","11,917,597.04","2,882,551.93","5,782,532.61","10,760,158.41","17,504,589.63","4,747,578.43","11,211,407.30","17,376,157.60","28,299,101.38","8,293,712.16","22,976,178.08","33,368,012.28","54,180,172.52","12,797,952.12","26,137,414.94","41,172,226.91","55,871,818.81","14,979,660.97","37,792,856.05","61,380,794.03","88,755,149.55","30,752,835.74","59,811,148.98","93,954,692.95","138,895,017.17","31,359,030.90","69,073,673.66","102,734,674.99","141,322,003.71","37,802,984.61","76,068,361.60","119,290,954.01","163,840,333.46","46,086,688.95","90,622,459.03","121,914,038.76","162,193,891.76","50,480,291.46"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"594,275.89",,,,"68,480.33",,,,629.60,,,"49,139.98","178,470.46",,"206,947.34","206,947.34","255,963.01",,"1,801.45","1,801.45",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"944,681.71","2,334,178.91","932,338.40","3,660,232.33","978,085.90","2,006,314.25","2,084,997.45","-634,611.92",944.49,"-1,139,466.10","-2,029,950.38","-1,395,667.12","4,374,640.87","8,824,507.15","14,575,494.17","20,467,267.83","314,821.69","2,151,338.42","5,900,049.88","10,214,788.39","5,281,107.04","11,245,555.35","17,178,745.98","18,349,331.39","2,569,516.44","4,787,406.93","5,740,831.05","7,610,845.96","13,332,343.60","28,759,963.69","47,639,801.43","56,306,635.17","21,283,562.89","43,643,747.43","71,092,020.85","91,878,226.55","25,568,770.58","69,624,334.27","98,938,599.69","132,079,625.42","36,601,827.79"
三、利润总额,"35,582,588.47","47,176,605.18","12,148,134.07","67,030,276.64","14,222,303.60","17,243,386.14","41,561,149.06","67,001,093.09","14,207,214.18","27,218,420.89","56,527,749.00","87,544,274.53","18,311,471.91","32,897,789.65","70,872,580.98","111,951,512.75","26,871,166.85","52,206,420.84","112,711,689.39","156,483,054.29","37,921,942.58","72,064,744.33","165,504,387.23","207,785,649.27","43,456,241.73","88,892,232.39","198,797,022.14","222,107,762.80","46,827,666.46","101,126,921.64","193,676,190.12","295,148,063.61","60,123,685.82","140,179,574.31","248,665,464.80","354,199,233.29","74,954,186.95","89,187,745.91","202,667,724.48","328,589,506.60","54,756,272.10"
资产减值损失,"497,674.57","-84,322.04",,"725,074.99",,"3,332,521.06","3,822,522.31","1,435,539.27","1,131,559.20","2,657,264.23","3,802,405.07","1,750,248.73","2,871,700.49","2,915,386.55","4,874,861.39","6,002,832.65","957,571.93","-76,289.97","1,017,897.67","6,217,493.38","1,092,323.70","1,596,281.89","1,736,812.03","14,906,850.09","243,815.14","-659,588.94","765,103.01","5,759,943.12","490,209.51","-241,540.95","3,347,904.15","5,771,182.54","-2,671,392.80","-2,061,124.56","1,099,870.76","19,419,752.62","318,853.62","2,013,801.23","2,953,782.59","61,725,394.77","82,015.52"
