科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"14,286,874.90","114,495,796.66","64,128,909.72","399,483,525.19","336,279,110.76","316,950,113.02","323,264,978.44","281,764,718.39","276,211,467.22","260,697,795.41","323,712,230.52","287,523,021.34","237,704,880.46","210,157,060.44","243,962,103.38","211,656,128.55","200,029,800.59","298,264,864.13","300,546,106.07","432,269,634.27","1,599,106,397.93","964,462,017.45","1,178,365,866.12","1,002,869,103.72","934,189,938.33","528,465,995.65","418,477,015.12","335,646,132.99"
短期借款,,,"15,000,000.00","15,000,000.00",,,"2,700,000.00","2,700,000.00","10,000,000.00","20,000,000.00","20,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","120,000,000.00","170,000,000.00","150,000,000.00","298,000,000.00","298,000,000.00","558,142,820.00","730,317,320.00","547,554,463.56","802,699,588.74","769,360,651.01","795,730,239.17","528,153,022.02","519,000,000.00","489,000,000.00"
交易性金融资产,"11,106.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"690,000.00","1,130,000.00","100,000.00","400,000.00",,"1,293,500.00","300,000.00","4,200,000.00","2,191,335.25","1,111,838.25","2,161,500.00","1,873,938.00","1,770,771.48","3,043,047.30","5,416,000.00","1,540,000.00","1,253,151.87","2,737,560.99","8,465,000.00","1,815,000.00","400,000.00","2,003,427.55","6,904,035.95","4,570,605.81","3,950,000.00","1,460,740.00","700,000.00"
应付票据,"3,631,074.20","2,308,346.00","2,259,992.50",,"4,904,826.97","9,338,086.60","10,746,922.45","7,001,522.00","7,172,895.08","9,764,871.50","32,230,202.34","15,404,017.24","11,827,023.93","15,957,766.99","9,937,189.34","6,495,330.90","4,240,632.88","13,343,868.65","19,701,157.98","18,562,850.50","5,826,148.50","3,272,349.40","3,321,385.00","3,321,385.00","705,746.00","811,580.00","811,580.00",
应收账款,"22,562,604.71","16,038,553.73","56,445,643.34","62,126,187.11","74,410,936.94","79,783,869.02","140,327,207.42","145,342,997.29","156,047,744.21","180,095,961.00","205,453,502.80","207,385,110.05","265,408,205.98","285,863,936.88","389,674,748.34","341,095,672.21","404,972,950.28","419,932,199.87","491,780,334.48","376,016,412.03","387,260,182.70","358,995,731.18","344,304,443.68","298,721,076.15","318,762,214.91","306,308,033.27","259,505,822.38","269,458,323.60"
应付账款,"19,943,841.07","34,173,461.43","59,543,948.54","61,336,694.83","85,788,547.34","125,658,110.56","131,211,644.65","160,193,879.32","184,402,312.37","169,310,556.54","166,788,587.47","104,039,854.26","178,436,681.33","164,369,518.60","237,385,727.25","163,789,373.82","209,944,539.72","271,169,326.56","329,523,225.80","282,099,744.21","297,879,565.50","294,467,688.99","309,216,133.13","289,430,047.92","325,374,746.53","295,589,238.50","316,644,349.85","276,033,872.23"
预付款项,"361,910.87","3,866,753.73","9,820,152.73","16,021,890.55","15,319,963.73","16,593,101.58","12,532,498.33","11,800,132.43","12,132,745.34","13,692,064.89","6,867,216.96","16,366,178.92","18,334,708.56","21,716,401.12","26,260,502.69","81,875,292.44","31,403,879.01","32,527,390.88","5,232,082.56","7,533,981.25","10,791,769.35","8,512,084.81","21,936,303.70","36,794,646.80","38,956,846.84","39,483,095.74","13,897,236.62","23,935,564.18"
预收款项,"9,470,576.80","12,882,866.97","25,090,443.19","18,705,427.93","16,433,428.25","28,245,693.76","27,289,063.99","20,823,361.71","12,374,968.34","18,946,091.80","42,648,511.87","53,110,384.53","38,494,249.16","62,103,181.36","46,035,038.95","39,272,758.02","46,250,258.96","37,169,612.15","55,495,478.93","46,727,940.12","13,793,253.69","7,659,258.36","47,269,398.11","47,160,391.81","73,171,630.57","87,679,274.93","22,725,562.23","31,093,574.06"
