科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"194,432,209.71","361,682,988.34","589,201,884.48","808,173,520.80","169,012,599.15","351,176,818.55","555,948,495.84","826,872,413.49","162,600,771.05","311,769,411.71","554,061,740.73","899,723,000.82","209,935,401.42","460,852,847.04","776,920,805.87","1,096,997,450.67","289,612,540.87","489,455,271.00","852,348,163.93","1,172,494,656.34","251,718,553.99","452,865,805.64","790,815,158.93","1,043,375,958.09","334,920,510.06","598,838,611.31","1,044,983,311.37","1,356,674,295.33","317,839,273.22","564,605,470.37","879,655,591.34","1,008,892,135.55","216,526,053.49","448,757,152.27","735,892,697.83","1,088,080,090.91","273,582,463.17","507,266,953.68","875,296,880.42","1,126,932,626.42","313,473,593.45","506,038,168.67","929,551,642.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"11,378,413.60",,,,"-3,439,349.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,768,413.31","80,768,413.31"
收到的税费返还,,,,,,,,"185,203.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"833,205.44","833,205.44","1,254,021.37","425,029.17",,
支付其他与投资活动有关的现金,,"15,100,000.00","21,109,500.00","15,157,598.00","25,858,997.89","25,807,044.04","35,107,044.04","53,863,826.31",,"10,400,000.00","51,399,474.52",,"1,100,000.00",,,"4,504,299.41",,"331,472,000.00","38,470,000.00",,,,,,,,,,,,,,,,,"45,000,000.00",,,,"12,000,000.00",,"9,018,000.00","9,018,000.00"
收到其他与经营活动有关的现金,"8,226,015.61","16,721,005.48","20,148,523.65","14,749,310.62","8,951,513.08","11,587,118.25","14,065,810.69","86,623,512.47","4,883,574.85","18,180,729.79","18,741,646.01","116,839,609.22","15,151,055.85","22,358,072.36","18,800,700.43","73,094,371.13","65,017,351.29","98,950,842.24","115,967,367.75","114,423,835.41","3,872,019.99","58,557,486.19","70,005,708.10","60,428,663.15","5,593,812.91","146,862,988.88","213,708,228.54","93,654,093.16","15,017,224.45","30,449,224.17","64,943,620.03","81,001,874.94","12,636,877.06","24,762,925.98","151,808,722.05","35,871,690.98","11,634,052.10","123,316,618.80","148,450,483.54","193,574,559.48","175,509,929.35","227,193,246.62","184,368,258.38"
投资活动现金流出小计,"25,008,053.05","68,538,254.47","103,877,295.48","136,998,731.66","46,885,162.56","87,398,146.58","127,170,999.85","202,716,959.95","21,151,071.50","58,332,846.79","244,598,079.95","251,229,292.22","45,082,285.00","81,626,284.84","180,843,980.33","353,004,942.53","355,721,730.38","403,915,329.52","317,365,601.68","641,828,086.75","19,544,785.77","116,762,636.10","127,941,684.69","226,667,744.28","84,198,281.93","169,502,378.60","241,305,422.91","369,065,542.12","31,222,278.21","174,754,918.83","268,376,267.33","433,846,918.44","63,597,242.98","99,387,921.20","206,741,371.75","325,522,955.44","87,465,189.84","174,180,327.11","354,901,990.64","519,565,994.16","152,439,229.51","366,788,263.61","662,793,341.58"
经营活动现金流入小计,"202,658,225.32","378,403,993.82","609,350,408.13","822,922,831.42","177,964,112.23","362,763,936.80","570,014,306.53","913,681,129.25","167,484,345.90","329,950,141.50","572,803,386.74","1,016,562,610.04","225,086,457.27","483,210,919.40","795,721,506.30","1,170,091,821.80","354,629,892.16","588,406,113.24","968,315,531.68","1,286,918,491.75","255,590,573.98","511,423,291.83","860,820,867.03","1,103,804,621.24","340,514,322.97","745,701,600.19","1,258,691,539.91","1,450,328,388.49","332,856,497.67","595,054,694.54","944,599,211.37","1,089,894,010.49","229,162,930.55","473,520,078.25","887,701,419.88","1,123,951,781.89","285,216,515.27","631,416,777.92","1,024,580,569.40","1,321,761,207.27","489,408,551.97","738,007,320.20","1,129,996,111.72"
投资活动产生的现金流量净额,"161,374,633.41","161,687,696.06","156,734,291.19","401,390,429.21","-20,706,737.08","-42,215,385.69","-52,309,984.70","-116,289,358.31","16,592,213.14","2,097,713.00","-94,166,799.77","-63,030,382.57","-4,692,125.73","-22,511,824.04","-110,295,892.11","-283,051,565.52","-328,762,973.69","-345,372,889.41","-254,625,257.74","-570,499,426.38","-12,568,358.38","-97,299,072.22","-98,762,973.76","-157,438,544.59","-71,079,344.59","-145,805,141.68","-45,875,961.60","-41,197,569.04","-29,737,938.55","-129,124,948.29","-133,907,711.65","-189,448,766.99","60,177,458.31","42,068,155.42","-61,789,280.23","-168,137,181.21","-63,676,228.28","-165,682,422.31","-340,939,336.54","-502,981,374.01","-150,767,747.49","-342,405,732.22","-611,870,466.86"
购买商品、接受劳务支付的现金,"139,433,621.66","300,229,373.89","453,656,617.84","701,683,209.56","128,741,145.22","263,891,872.08","413,414,975.37","693,807,835.01","122,845,671.34","242,467,799.29","387,699,585.03","673,704,569.12","170,019,826.53","362,843,848.12","597,892,530.19","868,250,565.74","247,421,569.58","416,973,965.69","650,081,826.40","949,881,904.70","217,460,410.04","380,978,261.47","692,825,884.53","893,008,847.21","273,941,041.43","457,419,128.79","802,333,298.43","968,605,817.39","284,237,841.43","471,438,767.66","705,500,780.24","731,904,451.19","210,938,808.37","470,938,321.97","519,602,433.08","718,865,188.37","203,690,355.17","408,056,457.03","599,210,245.77","657,552,848.51","308,498,630.86","390,842,576.16","548,458,600.45"
吸收投资收到的现金,,,,,,,,"4,900,000.00",,,,,,,,"400,000.00","9,250,000.00","10,150,000.00","10,150,000.00","9,750,000.00",,,,,,,,,,"1,750,000.00","1,750,000.00","1,750,000.00",,,,,"1,630,624,839.08","1,630,624,839.08","1,630,624,839.08","1,633,999,994.24",,,
