科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"58,799,339.38","93,437,644.07","108,677,651.65","76,015,595.14","739,632,786.26","268,737,649.54","488,282,739.05","279,781,717.84","340,366,112.81","217,670,585.36","248,827,063.81","367,763,655.42","444,487,136.47","222,418,192.08","376,285,595.28","294,382,045.45"
短期借款,"67,000,000.00","78,000,000.00","100,769,593.20","63,006,231.34","41,314,682.30","16,019,809.50",,"220,000,000.00","270,000,000.00","320,000,000.00","360,000,000.00","585,000,000.00","585,000,000.00","705,000,000.00","975,000,000.00","1,105,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,,"933,237.72","909,371.10","1,500,000.00","2,100,238.00","2,401,824.87","5,183,004.41","5,585,959.28","6,326,349.23","500,000.00","9,496,610.01","6,087,127.45","3,549,806.80","3,470,723.17","7,740,270.51","1,611,233.00"
应付票据,,"780,000.00","1,070,000.00",,,,,,,,,,,,,
应收账款,"95,836,934.51","141,472,761.36","185,389,869.28","214,370,184.54","209,473,772.33","222,654,953.18","202,581,397.73","221,355,987.74","228,613,265.27","295,889,408.20","345,349,643.58","472,281,180.23","559,927,915.34","600,838,955.15","757,968,639.57","837,031,212.05"
应付账款,"26,310,284.93","25,345,507.45","39,916,055.08","35,754,852.96","34,168,457.21","24,721,376.55","47,166,453.42","51,738,162.18","73,984,424.14","98,344,063.34","78,146,379.60","78,120,693.03","219,715,511.34","144,333,777.29","89,137,573.24","113,165,036.37"
预付款项,"12,848,950.08","12,114,155.47","10,546,337.20","25,026,200.47","21,597,584.24","65,579,604.75","19,251,199.21","36,712,207.39","54,117,423.71","72,227,233.05","82,533,736.24","145,959,996.55","140,819,250.37","116,037,069.28","125,189,275.20","128,095,911.88"
预收款项,"4,357,110.69","8,498,579.19","11,049,685.11","15,918,631.72","9,308,156.27","17,574,512.17","14,573,001.22","7,942,766.13","34,098,026.30","45,481,092.89","30,771,918.50","40,766,414.20","35,396,857.63","47,177,953.58","26,692,913.42","27,031,143.29"
其他应收款,"3,242,835.03","15,093,111.69","5,583,478.63","5,497,513.96","2,868,337.61","2,066,795.74","22,430,953.98","14,294,716.81","38,713,144.16","32,453,847.48","63,944,422.10","61,501,656.18","70,816,415.14","213,780,187.35","66,873,779.43","58,661,566.60"
应付职工薪酬,"19,711,326.65","25,387,276.72","31,108,799.01","14,854,941.81","26,611,615.86","41,327,964.51","41,392,185.69","22,926,824.12","29,434,221.06","39,517,801.87","56,244,685.86","19,078,567.30","22,223,905.88","19,602,837.12","69,222,493.00","26,164,626.97"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"8,604,064.53","19,280,004.39","10,191,515.04","2,766,785.12","7,037,863.95","26,190,740.06","24,086,144.08","17,949,809.27","18,260,480.66","19,248,554.31","32,557,136.20","14,636,883.84","17,189,250.83","24,490,688.71","84,213,080.43","15,903,022.66"
应收利息,,,,,,,,,,,,,,,,
应付利息,"121,855.34","129,671.23","179,336.42","179,336.42","60,416.67","60,416.67",,,,,"439,166.67",,"696,613.70","2,552,862.91","1,179,416.66","1,413,288.88"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,
存货,"45,689,361.62","51,698,968.60","76,561,658.56","79,491,223.29","101,234,037.03","118,425,225.46","113,814,124.24","125,108,821.90","164,000,518.05","199,671,930.32","257,541,140.89","300,711,767.75","371,032,493.74","430,164,467.77","367,707,190.38","403,771,134.84"
其他应付款,"557,239.95","668,581.37","1,425,322.01","1,284,925.32","958,890.44","2,776,074.08","1,067,308.15","905,716.02","2,774,319.61","1,256,522.70","262,265,475.97","259,199,990.75","171,134,963.04","215,769,549.00","157,386,143.51","146,678,855.87"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,
其他流动资产,,,"44,700,519.85","1,963,211.18","54,688,320.52","495,115,684.36","292,171,096.95","460,965,896.95","412,147,589.04","505,231,184.93","345,092,561.31","171,009,211.95","1,116,797.40","190,000,000.00","52,486,427.91","79,713,612.18"
其他流动负债,,,,,,,,,,,,,,,,
流动资产合计,"216,417,420.62","314,749,878.91","432,368,886.27","403,863,928.58","1,131,595,075.99","1,174,981,737.90","1,143,714,515.57","1,143,805,307.91","1,244,284,402.27","1,323,644,189.34","1,352,785,177.94","1,525,314,595.53","1,591,749,815.26","1,776,709,594.80","1,754,251,178.28","1,803,266,716.00"
流动负债合计,"126,661,882.09","158,089,620.35","195,710,305.87","133,765,704.69","119,460,082.70","128,670,893.54","128,285,092.56","321,463,277.72","428,551,471.77","523,848,035.11","820,424,762.80","996,802,549.12","1,051,357,102.42","1,158,927,668.61","1,402,831,620.26","1,435,355,974.04"
可供出售金融资产,,,,,,,,,,,,,,,"600,000.00","600,000.00"
长期借款,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,"147,500,000.00","213,012,730.56","213,890,870.15","277,910,173.23","300,366,598.54","301,817,868.80","321,734,809.32","512,394,327.95","542,500,051.33"
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,
固定资产,"92,992,431.71","114,293,033.04","145,159,742.25","153,860,009.30","155,335,744.33","171,843,631.93","164,059,467.44","161,850,891.52","201,731,185.80","228,493,228.18","241,237,725.89","244,951,033.47","284,698,534.91","290,847,577.62","318,924,111.03","331,316,683.09"
递延所得税负债,,,,,,,"853,080.98","853,080.98","841,977.98","836,426.48","5,404,424.98","5,376,923.46","4,684,721.98","4,679,170.48","4,366,301.37","4,110,101.37"
在建工程,,,"282,500.00","282,500.00","282,500.00","282,500.00","16,499,803.41","16,499,803.41","31,164,963.87","38,755,608.78","24,100,079.05","49,355,525.52","51,092,421.37","75,942,093.54","181,966,795.85","182,843,634.38"
其他非流动负债,,,,,,,,,"101,705,590.00","100,635,990.00",,,,,,
工程物资,,,,,,,,,,,,,,,,
非流动负债合计,"1,994,083.33","4,505,200.00","10,406,300.00","21,406,300.00","21,426,850.00","24,616,850.00","31,072,262.23","30,958,891.40","135,391,165.90","134,215,105.02","28,277,675.52","31,048,874.70","30,228,090.59","29,612,723.13","28,735,881.25","26,564,604.29"
固定资产清理,,,,,,,,,,,,,,,,
负债合计,"128,655,965.42","162,594,820.35","206,116,605.87","155,172,004.69","140,886,932.70","153,287,743.54","159,357,354.79","352,422,169.12","563,942,637.67","658,063,140.13","848,702,438.32","1,027,851,423.82","1,081,585,193.01","1,188,540,391.74","1,431,567,501.51","1,461,920,578.33"
生产性生物资产,,,,,,,,,,,,,,,,
实收资本(或股本),"50,000,000.00","50,000,000.00","85,000,000.00","85,000,000.00","113,340,000.00","340,020,000.00","340,020,000.00","340,020,000.00","347,627,000.00","347,627,000.00","347,627,000.00","347,627,000.00","348,015,000.00","346,960,900.00","346,960,900.00","346,960,900.00"
油气资产,,,,,,,,,,,,,,,,
资本公积,"35,004,405.07","35,023,547.93","23,547.93","23,547.93","683,670,776.93","456,990,776.93","456,990,776.93","456,990,776.93","551,089,366.93","551,089,366.93","559,753,943.60","559,753,943.60","571,192,570.60","571,874,613.05","598,950,623.95","601,028,434.16"
无形资产,"3,838,456.52","3,635,323.22","37,376,875.42","37,167,763.95","36,960,405.41","36,926,786.46","62,374,482.19","90,960,644.77","92,199,637.70","122,712,119.70","210,944,256.83","234,633,263.03","202,567,495.88","199,852,132.64","193,787,309.23","186,761,989.22"
盈余公积,"8,205,845.05","18,575,482.39","33,769,958.19","33,769,958.19","33,769,958.19","33,769,958.19","51,839,995.11","51,839,995.11","51,839,995.11","51,839,995.11","70,568,676.00","70,568,676.00","70,568,676.00","70,568,676.00","97,591,774.01","97,591,774.01"
开发支出,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,"101,705,590.00","101,705,590.00","101,705,590.00","101,705,590.00","107,044,470.00","93,014,399.00","93,014,399.00","93,014,399.00"
商誉,,,,,,,,,,,"192,763,481.81","192,763,481.81","192,763,481.81","192,763,481.81","173,347,863.78","172,028,306.80"
未分配利润,"109,367,027.86","202,527,259.90","295,017,140.71","328,102,308.53","362,028,065.68","408,866,992.78","438,214,625.56","477,209,032.64","489,716,876.02","548,103,338.61","562,978,608.59","607,121,158.67","636,690,985.12","701,546,111.02","729,291,075.63","793,566,689.01"
长期待摊费用,"1,036,696.23","1,160,577.70","2,220,418.26","2,778,232.79","1,871,908.12","1,603,316.77","2,689,713.44","3,146,901.94","3,661,168.56","7,238,608.94","13,998,534.90","21,822,696.10","34,371,526.32","44,065,318.45","50,715,506.26","60,833,964.75"
少数股东权益,,"2,197,269.35","1,302,890.96","974,848.29","473,369.57","1,351,687.96","-502,469.30","7,722,189.16","60,653,187.90","65,198,321.84","71,782,138.44","78,576,178.01","98,677,183.41","163,220,658.58","139,581,990.31","138,541,990.05"
递延所得税资产,"1,479,044.86","2,375,198.58","3,568,013.15","4,835,133.66","5,431,286.00","5,977,609.89","7,970,999.42","9,191,533.21","9,112,454.28","9,988,735.42","16,758,898.14","16,188,078.38","18,486,716.04","24,113,962.23","21,674,474.45","19,092,892.97"
外币报表折算价差,,,,,,,,,,,,,,,,
其他非流动资产,"15,469,193.46","34,704,368.47","270,000.00","270,000.00","2,654,345.00","2,654,345.00","49,482,580.00","112,155,737.36","170,502,600.00","178,027,000.00","37,522,747.92","5,427,641.39","31,348,377.72","32,434,541.70","43,647,335.53","43,105,881.79"
非正常经营项目收益调整,,,,,,,,,,,,,,,,
非流动资产合计,"114,815,822.78","156,168,501.01","188,877,549.08","199,193,639.70","202,536,188.86","219,288,190.05","303,077,045.90","541,305,512.21","721,384,740.77","799,106,171.17","1,015,235,897.77","1,065,508,318.24","1,117,146,422.85","1,181,753,917.31","1,497,057,724.08","1,539,083,404.33"
所有者权益(或股东权益)合计,"202,577,277.98","308,323,559.57","415,129,829.48","447,885,563.59","1,193,244,332.15","1,240,982,184.41","1,287,434,206.68","1,332,688,651.00","1,401,726,505.37","1,464,687,220.38","1,519,318,637.39","1,562,971,489.95","1,627,311,045.10","1,769,923,120.37","1,819,741,400.85","1,880,429,542.00"
资产总计,"331,233,243.40","470,918,379.92","621,246,435.35","603,057,568.28","1,334,131,264.85","1,394,269,927.95","1,446,791,561.47","1,685,110,820.12","1,965,669,143.04","2,122,750,360.51","2,368,021,075.71","2,590,822,913.77","2,708,896,238.11","2,958,463,512.11","3,251,308,902.36","3,342,350,120.33"
负债和所有者(或股东权益)合计,"331,233,243.40","470,918,379.92","621,246,435.35","603,057,568.28","1,334,131,264.85","1,394,269,927.95","1,446,791,561.47","1,685,110,820.12","1,965,669,143.04","2,122,750,360.51","2,368,021,075.71","2,590,822,913.77","2,708,896,238.11","2,958,463,512.11","3,251,308,902.36","3,342,350,120.33"
