科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"142,518,879.80","179,706,762.12","202,633,310.62","159,021,138.75","971,625,152.81","1,023,687,597.58","909,482,967.89","726,126,240.39","1,015,426,401.21","987,841,089.88","824,471,624.55","792,412,293.68","1,004,691,316.15","969,165,296.51","754,307,094.27","816,814,289.82","939,754,596.70","930,619,871.42","806,991,394.65","907,715,608.68","822,678,032.25","725,616,234.50","485,329,357.23","658,522,984.97","599,813,439.64","648,001,952.11","807,860,982.11","673,711,201.90","873,724,270.56","1,796,482,318.91","1,747,605,935.66","1,192,278,357.58","912,064,209.83","891,348,025.80","1,193,188,401.89","824,760,517.11","852,296,584.43"
短期借款,"8,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,"15,256,000.00","19,282,569.00","24,779,300.00","55,263,942.22","42,218,313.47","78,938,444.72","64,369,197.47","14,984,467.00","10,000,000.00","267,256,642.00","312,750,000.00","472,750,000.00","448,806,493.56","918,200,000.00","948,400,000.00","953,130,000.00","168,290,000.00","152,690,000.00","965,999,153.69","879,099,153.69","1,091,267,992.88","1,028,002,762.69","1,038,002,762.69","1,330,947,637.81"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"800,000.00","3,730,823.20","26,711,706.60","52,304,621.36","15,172,530.00","31,569,566.00","116,644,346.00","80,297,640.00","9,869,635.40","34,602,900.00","105,772,656.80","69,700,474.21","64,214,688.50","96,749,876.34","194,079,608.22","122,431,286.50","132,028,723.44","144,608,043.07","213,010,341.75","205,437,534.36","137,165,873.48","125,848,142.98","130,218,399.28","141,380,976.10","84,899,654.66","132,108,021.92","222,962,286.16","150,573,854.15","166,683,906.49","222,055,477.38","469,283,149.26","371,231,590.71","181,659,744.04","212,830,071.60","317,622,871.77","132,633,946.70","159,735,771.99"
应付票据,,,,,,,,,,,,,,,"2,780,000.00","16,780,000.00","40,000,000.00","26,000,000.00","27,000,000.00","26,000,000.00","44,000,000.00","65,200,000.00","28,000,000.00","26,465,000.00","18,000,000.00","30,000,000.00","120,687,000.00","138,458,785.50","74,725,585.50","62,670,683.00","56,910,078.59","51,171,578.59","20,373,734.20","19,195,813.50","16,240,398.44","26,453,822.34","27,266,897.23"
应收账款,"90,758,704.33","77,613,080.69","105,033,695.70","210,739,782.83","235,840,106.63","184,287,442.23","175,101,315.74","246,635,167.94","358,421,329.43","344,900,731.80","267,332,829.61","452,465,574.78","483,318,692.28","588,928,817.55","531,542,867.55","683,384,435.35","806,262,234.44","812,893,938.95","795,234,379.00","756,485,802.33","779,223,727.55","900,183,193.62","1,601,808,176.32","1,688,892,896.38","1,773,957,637.82","2,232,322,553.36","2,253,969,231.92","2,156,317,421.02","2,276,398,057.30","2,511,253,549.25","2,708,381,251.27","2,814,513,182.65","2,932,059,004.24","2,740,381,583.09","2,327,074,120.09","2,197,388,101.54","2,295,474,138.76"
应付账款,"146,393,913.11","180,057,478.46","238,191,406.31","313,809,946.12","349,302,812.13","322,107,892.14","237,820,615.00","297,553,085.37","473,086,419.41","496,903,390.68","285,580,537.86","320,339,932.31","494,406,485.49","613,263,582.69","408,748,833.49","499,015,565.46","555,913,760.65","672,841,976.14","506,151,130.04","543,755,534.95","632,638,132.04","717,624,411.54","962,616,014.84","975,670,066.38","1,044,887,170.01","1,149,627,323.72","1,422,181,101.55","1,253,997,917.02","1,166,863,566.46","1,217,670,450.81","1,651,326,631.50","1,411,944,514.56","1,374,394,652.49","1,372,723,183.15","1,683,188,079.08","1,859,079,431.79","1,698,331,896.85"
预付款项,"108,546,557.25","197,230,890.13","216,044,933.04","255,560,833.32","340,909,823.44","308,895,935.64","451,673,386.39","536,407,036.84","403,274,952.97","446,070,680.29","673,170,870.49","579,459,789.78","537,937,576.80","610,199,125.27","707,495,187.04","833,407,947.93","702,801,230.95","767,458,166.91","690,259,439.66","688,526,809.64","725,098,248.73","813,953,714.51","1,163,265,413.71","1,637,931,889.06","1,463,749,574.04","1,275,925,935.71","1,516,456,817.01","1,766,668,244.50","1,382,250,624.75","1,423,112,485.11","1,267,220,758.54","1,453,718,424.32","1,213,277,510.96","1,256,472,263.44","889,692,794.20","1,332,898,764.89","1,332,138,577.56"
预收款项,"121,835,232.90","177,429,422.54","172,741,029.42","225,158,742.18","290,852,377.70","274,720,766.32","431,350,522.04","364,577,051.60","302,502,111.22","273,041,887.64","468,212,648.06","444,824,426.53","463,524,731.96","470,904,954.06","456,228,120.05","640,097,030.16","639,012,286.33","646,477,446.14","451,681,793.73","480,359,362.51","384,248,589.41","445,643,792.61","468,185,171.29","1,027,410,793.12","942,462,252.99","829,058,063.91","540,655,211.78","789,961,757.35","539,191,054.86","457,669,669.19","498,625,687.64","476,662,153.38","380,633,331.95","440,450,535.93","336,690,758.06","421,114,864.19","408,549,926.76"
