科目,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"29,737,320.86","60,806,445.95","182,246,519.03","148,528,885.12","123,600,283.19","110,847,261.61","104,871,956.35","91,829,593.52","87,492,987.48","88,263,040.62","68,859,955.78","86,580,655.83","76,731,380.67","112,044,327.44","86,293,514.04","126,489,841.28","169,251,675.16","212,580,060.09","187,722,230.86","161,088,644.44","136,419,432.19","300,717,482.21","306,309,587.89","273,823,864.08","233,510,777.62","110,824,249.42","141,396,105.23","218,396,855.57","147,449,875.99","193,416,071.96","579,803,721.78","2,866,238,962.87","1,608,011,310.46","1,015,310,361.87","1,041,392,569.25","1,056,759,412.95","696,642,411.77","705,382,240.60","750,081,122.05","157,531,025.97","507,001,245.36"
短期借款,"8,600,000.00","45,000,000.00","30,000,000.00","10,000,000.00",,,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","105,750,000.00","59,000,000.00","190,000,000.00","190,000,000.00","244,000,000.00","234,000,000.00","150,000,000.00","245,000,000.00","355,000,000.00","457,826,000.00","476,000,000.00","973,000,000.00","946,800,000.00","131,800,000.00","119,800,000.00","136,800,000.00","236,800,000.00","381,700,000.00","877,900,000.00","1,319,900,000.00","2,289,900,000.00","2,637,804,305.74"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"888,179.00","2,223,562.00","1,979,614.00","2,139,894.00","443,349.44","1,388,599.04","1,953,291.02","467,912.93","849,207.38","2,795,431.80","835,105.19","2,137,674.96","503,123.00","5,977,431.83","6,823,099.04","3,018,602.55","1,016,283.55","3,217,929.95","7,152,200.23","7,072,892.60","11,832,447.76","15,960,982.47","13,485,373.44","3,187,207.66","5,912,980.25","11,866,470.28","10,570,407.90","4,200,156.00","2,377,705.51","12,339,901.03","15,490,341.70","50,000.00","1,674,341.00","31,133,673.38","31,754,823.19","3,849,046.00","2,807,818.47","15,722,462.73","16,315,412.76","16,852,334.90","4,118,284.80"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00","1,600,000.00","1,700,000.00","19,700,000.00","10,000,000.00","20,000,000.00","40,000,000.00","48,500,000.00","58,500,000.00","49,000,000.00","30,000,000.00","25,000,000.00","50,000,000.00"
应收账款,"31,326,599.10","42,734,110.45","78,482,732.88","93,006,988.06","108,674,407.27","98,496,614.47","114,555,218.65","113,996,272.77","116,996,075.68","100,888,009.95","100,811,237.85","115,928,308.08","131,541,513.94","101,976,437.43","123,370,740.27","120,560,449.40","127,710,858.56","105,546,104.91","119,436,249.77","139,728,716.83","144,998,361.35","113,058,684.43","157,884,496.53","206,509,717.24","183,492,732.63","197,780,859.35","268,460,698.70","352,257,233.27","393,903,590.72","381,241,950.27","402,734,830.24","454,908,647.93","526,572,816.05","575,239,979.60","697,597,291.64","689,163,755.90","835,006,246.17","1,297,929,867.05","1,393,059,327.40","1,365,721,484.56","1,653,862,929.36"
应付账款,"26,846,763.94","32,490,449.01","33,564,780.96","31,154,929.30","25,523,031.35","21,180,462.34","19,589,678.84","22,092,525.46","44,658,869.86","32,262,639.11","38,828,665.23","52,640,182.70","61,240,816.21","27,252,499.32","28,915,237.95","22,833,796.30","36,632,868.24","16,396,936.60","17,033,322.19","29,606,836.78","47,892,819.35","33,533,490.31","33,825,775.08","39,331,040.98","38,495,674.42","48,294,146.03","60,115,635.84","54,608,769.71","79,479,262.66","65,019,476.51","136,186,120.54","214,310,548.57","190,596,039.04","167,448,674.63","182,253,303.59","214,420,861.22","270,797,332.03","294,315,414.88","264,396,909.69","241,803,676.14","249,985,924.55"
预付款项,"219,578.00","3,005,233.30","4,873,079.01","10,261,662.53","28,566,455.53","19,704,754.89","29,054,286.40","52,556,959.42","62,253,892.67","4,038,012.22","5,563,035.62","5,692,809.07","9,121,789.20","268,467.60","919,951.00","628,926.00","2,850,746.70","1,283,236.57","1,933,806.72","4,115,942.93","10,004,129.91","5,634,559.84","4,055,967.66","7,587,933.82","19,907,455.20","22,076,103.43","30,752,255.52","18,683,585.88","20,530,519.51","13,555,505.47","22,470,366.35","47,371,743.44","65,749,981.20","128,472,818.29","115,222,849.78","161,199,096.73","206,579,571.14","162,276,639.95","137,386,508.11","132,733,104.11","238,167,271.80"
预收款项,"267,820.00","231,689.87","202,650.87","470,164.09","1,287,332.69","390,878.06","265,891.08","270,093.16","796,370.23","301,113.27","109,246.00","109,246.00","253,330.00","117,626.20","109,246.20","280,000.49","684,930.49","115,396.20","115,396.20","893,575.55","431,029.80","1,536,387.68","469,164.20","775,475.90","1,102,798.56","1,749,118.46","1,961,350.05","1,395,588.38","3,134,958.78","5,190,918.49","13,280,470.11","19,310,417.17","20,220,628.64","23,032,368.74","22,690,686.93","23,490,271.51","48,064,947.67","31,121,836.68","32,946,000.67","35,794,640.75","35,471,781.95"
其他应收款,"5,312,090.42","1,781,624.99","3,452,091.74","8,765,238.59","10,781,607.71","13,282,140.80","13,789,022.20","19,098,623.95","25,587,380.69","5,785,646.80","13,118,292.97","11,860,349.47","15,390,622.14","10,260,146.95","18,824,085.05","13,903,565.82","21,993,160.06","14,085,833.79","48,114,102.43","18,568,914.48","16,762,372.49","18,703,411.02","21,256,919.23","54,666,518.59","46,250,942.06","46,785,063.01","95,855,645.67","57,343,064.85","197,159,562.12","222,815,356.27","157,689,870.06","137,431,595.15","155,396,558.10","268,098,079.76","215,015,912.86","294,852,484.17","262,404,969.53","216,484,792.27","334,068,672.74","1,941,093,747.98","261,090,474.04"
应付职工薪酬,"3,508,982.62","3,640,468.18","4,304,634.10","4,174,081.43","3,849,641.56","3,585,550.65","2,410,720.93","2,196,208.20","2,638,659.80","3,761,638.44","2,321,335.81","2,834,580.74","2,627,672.12","3,507,093.52","1,072,169.65","1,281,906.32","2,567,552.82","1,716,336.26","1,426,920.14","1,308,677.13","1,719,192.43","1,947,735.54","1,767,847.48","2,017,561.72","2,134,678.41","2,149,559.14","2,555,741.16","2,220,639.00","6,017,935.86","8,179,297.67","8,557,904.62","25,118,626.91","28,154,368.74","37,566,413.69","24,796,175.87","25,132,187.63","31,833,491.73","39,988,179.83","22,587,571.26","33,240,962.84","91,255,406.04"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
