科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"161,141,445.81","207,572,968.51","288,546,637.86","171,431,797.63","251,343,285.76","338,303,704.77","85,776,967.29","180,099,348.20","285,929,650.89","405,311,965.68","100,630,253.46","230,875,066.51","373,960,580.49","562,034,145.34","160,805,036.38","363,902,272.36","573,557,063.06","867,200,339.57","198,583,397.50","408,341,088.34","710,290,733.97","916,761,352.64","242,424,553.17","501,327,320.98","806,079,124.59","1,105,896,042.13","276,136,950.69","582,240,962.83","909,018,078.33","1,248,972,198.38","270,958,410.16","586,350,775.99","914,205,017.97"
二、营业利润,"36,764,463.20","54,293,158.04","74,787,413.47","42,208,522.39","61,440,300.59","84,072,549.38","22,752,783.47","45,682,210.87","67,815,981.95","95,240,879.81","22,534,158.67","52,027,180.85","85,449,807.09","112,639,657.58","31,151,049.69","58,895,552.03","99,089,415.40","142,818,215.29","32,941,921.22","39,207,114.19","69,515,908.12","65,068,965.09","19,084,156.73","22,596,891.19","36,880,361.18","22,655,254.08","3,516,343.76","2,975,396.79","17,975,435.42","32,237,528.02","5,603,910.09","13,032,040.15","37,213,152.61"
减:营业成本,"87,653,323.36","97,549,307.41","123,922,270.60","74,018,360.93","109,288,338.24","146,868,521.63","36,439,041.80","76,860,663.71","125,486,593.65","177,253,814.70","45,382,248.54","100,037,033.64","161,881,703.75","246,405,139.31","70,974,152.84","166,007,675.68","266,651,408.46","406,295,642.46","95,298,369.98","198,963,596.15","380,685,672.08","475,056,211.19","130,241,129.22","255,654,951.41","449,669,731.64","609,571,964.57","166,764,874.36","344,915,492.10","528,398,645.27","689,305,156.76","132,420,843.80","286,895,351.17","426,114,260.28"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,627,154.65","2,326,467.70","2,228,778.04","1,918,709.01","2,853,774.41","3,937,732.75","908,441.14","2,256,303.23","3,545,912.04","4,154,626.14","663,329.92","2,323,943.92","2,947,247.05","4,523,705.97","1,690,687.86","3,960,000.05","5,765,721.54","10,125,252.05","2,156,070.04","4,823,878.68","7,611,058.66","9,431,577.38","2,837,462.38","5,841,201.92","8,406,902.39","13,020,808.83","3,216,150.05","6,316,875.61","10,623,944.44","21,997,968.40","3,585,900.44","12,086,206.62","18,259,032.16"
营业外收入,"4,342,420.57","2,121,454.28","2,519,768.41","104,370.20","107,642.52","8,138,642.52","1,615.00","2,615.00","2,703,615.00","8,811,041.07","300,000.00","305,000.00","536,000.00","5,613,000.00","131,700.00","542,008.25","2,935,649.18","7,460,617.92","826,807.00","1,518,519.32","1,561,031.27","2,755,819.99","518,332.35","4,359,962.01","4,809,669.98","9,254,193.27","313,471.46","949,596.97","1,307,089.41","2,661,602.71","1,194,901.12","1,840,389.14","1,157,733.52"
销售费用,"10,238,766.85","28,579,248.39","54,804,977.14","30,255,238.26","44,815,426.32","61,040,721.54","19,547,692.37","40,655,732.49","65,575,201.15","93,712,144.38","21,309,314.55","53,836,285.78","85,205,661.95","121,155,740.34","30,257,493.13","74,379,384.65","109,299,382.06","164,747,544.63","36,901,345.12","76,124,682.03","121,786,560.71","177,115,231.42","48,964,622.51","111,885,112.02","156,252,501.30","245,375,211.88","55,457,852.60","136,557,631.77","215,977,225.66","300,913,423.49","83,401,314.93","189,274,544.40","294,033,988.71"
减:营业外支出,"70,837.12","633,929.08","874,711.05","108,184.57","126,344.79","128,184.57","520,000.00","520,000.00","520,000.00","533,689.22",,"50,038.14","65,670.73","613,116.78","292,871.58","1,019,290.28","3,894,628.07","6,932,394.41","52,210.04","3,424,382.21","3,510,941.82","4,039,556.06","2,077,380.17","3,163,172.09","6,434,141.07","7,595,896.57","830,043.32","2,354,477.48","4,693,880.42","7,865,006.87","704,817.56","1,640,700.20","5,794,173.95"
管理费用,"12,336,445.93","16,182,448.82","17,467,530.69","13,955,482.29","20,442,881.20","31,440,781.87","7,975,801.61","16,996,911.80","26,262,107.92","37,337,308.27","10,859,892.21","22,160,329.54","36,863,937.62","69,723,742.24","21,070,177.48","48,382,395.00","76,330,511.11","111,526,083.59","23,440,531.61","72,210,586.17","100,601,069.88","144,997,649.63","28,515,047.90","69,474,127.09","102,827,485.91","135,618,964.27","32,009,038.89","62,342,340.44","96,989,840.60","135,027,278.71","31,249,906.88","55,404,901.67","84,252,516.83"
其中:非流动资产处置净损失,,,,273.00,,273.00,,,,"1,853.48",,"14,842.25",,"30,060.25",,"4,253.97","-393,386.29","403,699.27",,,,"148,732.31",,,"3,921.00","62,224.32",,"2,213.03","2,213.03","26,800.00",,,
