科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"285,596,136.60","471,642,506.03","743,796,773.62","664,166,336.33","895,580,520.97","1,144,767,230.97","229,679,641.56","425,484,475.87","582,574,412.89","737,652,806.14","168,014,781.58","352,498,792.95","483,021,699.78","728,592,036.06","235,616,147.77","470,989,263.49","661,594,985.36","860,780,976.66","206,981,403.43","401,415,230.40","607,323,254.45","814,608,253.03","163,844,266.85","330,909,032.54","522,400,014.75","757,051,128.71","156,701,933.57","362,339,737.55","538,774,710.51","776,388,972.85","243,708,343.81","516,967,811.20","757,152,771.75","1,065,466,101.93"
二、营业利润,"46,594,106.03","107,164,403.09","150,886,597.17","93,999,480.22","121,969,175.25","165,427,188.87","43,076,027.85","90,561,181.40","122,344,807.09","167,040,562.59","32,460,240.75","83,780,960.12","127,254,351.73","177,307,988.28","48,093,737.77","102,517,266.48","155,720,218.97","209,498,499.44","52,678,388.42","123,315,253.96","201,557,808.69","268,875,067.58","72,082,966.23","155,898,288.25","234,574,175.42","298,580,462.58","76,195,830.15","168,846,970.88","215,053,084.84","260,954,631.76","81,186,885.40","173,571,913.07","205,208,772.68","213,044,742.31"
减:营业成本,"176,612,402.97","281,863,034.33","482,943,653.46","504,972,561.59","677,418,514.09","836,580,468.89","156,450,828.91","268,200,846.70","354,143,861.22","439,960,316.85","106,497,179.69","208,522,698.58","263,745,980.75","410,400,601.25","148,234,353.29","292,545,016.57","394,401,374.23","494,305,889.69","112,462,693.05","197,516,338.68","274,366,315.56","336,425,429.37","67,082,938.62","113,651,169.02","173,292,264.76","248,369,640.36","60,615,857.86","133,814,908.24","192,514,122.34","274,035,453.67","121,380,364.93","250,878,618.50","364,863,368.62","513,888,273.09"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,070,617.53","2,573,158.66","3,386,042.41","2,188,010.47","4,764,471.42","5,249,161.40","1,739,049.76","4,811,444.66","5,198,292.39","6,389,840.63","1,994,665.70","3,660,457.34","5,350,465.30","6,782,432.74","1,901,677.87","4,428,945.65","5,373,541.02","7,108,035.91","2,080,356.79","4,993,487.36","7,666,332.85","10,898,457.73","1,564,155.23","4,032,196.80","7,359,166.20","9,574,458.73","1,478,553.84","3,742,000.20","4,777,067.61","9,844,563.60","1,871,675.19","5,964,123.67","11,310,390.93","16,892,463.48"
营业外收入,"373,387.43","777,378.15","1,354,061.32","5,262,799.30","6,325,113.47","10,148,936.63","500,000.00","752,059.83","8,115,377.28","11,824,413.22","646,000.00","2,952,000.75","3,780,090.17","9,527,459.40","19,143.16","1,601,250.00","5,139,446.15","6,988,035.81","508,926.73","1,308,223.18","5,821,319.63","17,665,972.01","436,263.70","2,247,135.35","3,211,902.49","4,648,515.62","5,420,676.45","690,296.43","2,289,820.88","4,485,688.66","1,502,818.60","710,195.71","857,443.25","1,817,420.91"
销售费用,"17,720,978.26","27,488,622.23","41,188,673.49","27,105,852.75","43,075,075.82","48,095,270.32","12,383,242.61","39,028,537.79","66,603,192.82","81,791,599.23","18,702,436.04","42,592,614.89","69,718,429.16","89,666,748.35","29,090,052.67","63,764,023.74","85,958,050.61","112,829,060.34","35,717,588.78","71,026,099.62","115,876,229.08","175,807,428.61","28,895,929.83","61,563,105.98","115,064,526.23","198,191,084.23","27,162,174.04","65,827,316.63","133,476,981.96","215,774,564.10","30,678,569.88","77,578,843.92","151,443,590.77","248,486,909.85"
减:营业外支出,"245,933.03","694,869.66","1,465,444.98","1,074,085.70","1,084,495.39","1,206,259.19","5,792.49","9,296.27","118,065.54","257,851.40","43,694.08","105,797.63","256,171.84","332,217.17","14,861.95","90,666.61","111,957.09","328,591.65","22,166.99","134,820.96","145,026.26","464,969.64","26,369.81","39,536.97","214,719.42","239,780.54","436,190.91","439,441.67","541,321.20","900,336.82","144,300.41","219,787.46","343,063.85","1,145,837.79"
管理费用,"31,145,118.58","40,993,946.83","58,523,900.52","28,671,828.42","38,694,624.59","76,605,301.38","14,493,756.16","29,780,286.73","48,411,002.18","64,793,585.67","16,287,137.12","32,035,960.03","49,004,312.47","86,835,515.49","19,124,166.81","39,989,982.56","68,459,868.39","98,904,108.62","19,362,252.55","43,985,656.22","72,408,323.39","105,601,977.38","20,635,188.69","40,241,752.08","63,269,835.32","102,662,579.24","20,419,010.46","42,759,136.64","71,649,314.63","118,547,521.81","30,378,483.62","53,559,905.53","94,210,309.11","163,100,901.37"
其中:非流动资产处置净损失,"51,719.50","12,752.56","1,036,368.19",260.00,260.00,"18,258.80",,975.00,"8,613.50","10,931.36",,"8,204.07","45,677.83","51,687.72",,"14,083.14","17,421.54","21,003.03",,"27,146.47","36,852.69","13,790.00",,"10,993.83","13,839.72","16,451.92","434,001.63","434,837.41","450,162.74","726,034.78",142.50,"2,240.69","55,517.08",
