科目,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"218,867,202.87","291,217,122.72","164,477,547.00","85,712,391.85","175,667,419.01","542,628,760.43","474,791,980.84","660,888,923.06","410,932,111.13","596,578,367.90","578,079,651.96","631,291,598.52","435,828,498.03","587,864,565.37","421,671,939.36","249,868,806.07","370,961,030.84","404,778,445.82"
短期借款,"80,000,000.00","290,000,000.00","330,000,000.00","550,000,000.00","550,000,000.00","560,000,000.00","800,000,000.00","1,245,000,000.00","1,235,000,000.00","1,820,000,000.00","1,760,000,000.00","1,940,000,000.00","1,625,000,000.00","1,885,000,000.00","1,653,000,000.00","1,392,000,000.00","1,564,103,118.54","1,270,087,313.54"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"46,883,903.67","185,186,449.73","217,135,399.24","276,605,093.51","300,444,523.36","318,945,911.37","321,414,938.59","414,582,690.81","394,703,014.92","459,953,488.37","411,330,479.24","397,599,018.96","332,894,662.11","361,169,599.69","383,885,232.95","438,200,553.90","612,357,482.35","440,524,820.13"
应付票据,,,"69,963,173.72","28,771,148.50","67,371,098.00","128,309,368.17","128,087,765.62","128,413,835.90","71,962,904.66","14,386,235.18","15,052,948.65","9,725,904.03","11,044,030.59","16,886,625.65","55,789,384.36",,"135,657,143.05",
应收账款,"416,860,584.55","595,875,633.77","817,074,244.15","1,023,506,864.82","1,037,760,340.53","1,048,442,143.65","1,134,188,692.47","1,126,686,803.74","1,228,882,165.79","1,220,685,269.98","1,389,807,751.59","1,692,362,551.31","1,574,916,387.90","1,415,136,105.16","1,406,206,531.52","1,475,899,289.03","1,617,193,434.79","1,646,587,290.19"
应付账款,"317,123,920.04","391,069,580.34","383,381,201.03","392,041,744.61","459,750,790.29","379,039,240.42","434,485,155.26","392,687,806.01","419,196,980.44","334,024,128.10","553,394,398.56","700,058,911.65","602,407,581.25","530,730,499.62","647,187,318.95",,"762,200,219.25",
预付款项,"8,972,493.50","24,023,614.62","24,033,283.14","32,529,146.63","26,618,902.90","53,277,932.97","32,746,175.61","63,211,953.93","49,837,119.84","50,567,374.36","107,874,708.62","98,437,542.13","41,958,024.53","94,239,194.10","111,196,457.34","94,392,868.48","34,117,182.63","56,672,138.52"
预收款项,"34,914,173.17","30,079,268.01","17,194,288.23","13,843,339.37","11,248,556.09","13,133,688.69","19,672,021.63","61,578,616.47","34,717,135.57","55,742,001.87","90,916,389.00","89,609,798.54","68,439,289.85","98,710,117.50","60,830,251.50","83,982,660.83","14,608,870.42","23,555,930.77"
其他应收款,"6,708,015.09","21,518,249.43","33,131,434.22","47,071,368.82","43,170,080.37","57,444,666.72","83,154,944.71","134,224,197.76","99,337,269.44","96,815,370.84","154,400,525.18","169,884,343.34","146,628,803.49","329,184,530.86","328,656,595.84","321,285,192.01","116,454,500.46","71,736,638.83"
应付职工薪酬,"1,895,553.18","2,444,207.20","3,100,891.96","2,092,565.46","4,486,753.56","2,422,902.72","2,974,991.50","3,128,758.18","5,237,508.60","3,605,106.00","3,316,143.61","3,470,101.79","6,077,554.21","3,625,166.64","4,081,018.26","4,383,097.80","9,423,094.20","8,620,597.68"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"37,792,753.01","45,311,477.11","53,139,062.54","53,241,413.75","57,205,558.95","58,784,476.79","47,230,160.07","50,693,949.88","59,616,439.36","71,990,241.86","85,953,557.34","106,408,830.80","108,588,563.10","123,724,494.23","110,657,133.39","131,155,436.22","151,612,752.04","160,733,732.53"
应收利息,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,"6,005,122.09","1,492,622.09",,,,
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,"11,205,600.00",,,
存货,"48,189,806.46","54,454,689.03","60,876,876.97","64,127,634.95","66,692,215.43","67,348,412.99","56,977,794.13","68,093,219.82","70,933,919.26","82,709,790.66","77,225,286.83","89,437,838.53","89,297,088.95","107,719,516.17","119,710,590.36","101,603,966.84","114,373,807.95","120,225,455.36"
其他应付款,"6,124,251.52","7,974,460.61","7,670,033.84","9,987,272.32","7,997,864.91","15,086,811.05","13,241,512.36","13,301,974.03","12,260,583.21","12,652,374.13","12,772,556.98","105,483,306.89","20,109,732.77","18,705,711.90","23,428,086.88","4,228,035.15","16,873,096.70","29,580,582.72"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"12,500,000.00",,,"32,400,000.00","25,800,000.00","19,200,000.00",,,,,,,"8,274,903.99","5,569,259.07","2,743,510.81","8,432,961.90","15,690,775.81","13,190,775.81"
其他流动资产,"1,693,000.00","5,175,500.00","5,725,500.00","6,475,500.00","6,725,500.00",,,"90,000,000.00","40,000,000.00",,,"85,000,000.00","55,000,000.00","35,000,000.00","35,000,000.00",,,
其他流动负债,,,,,,,,,,,,,,,,,,
流动资产合计,"748,175,006.14","1,177,451,259.30","1,322,454,284.72","1,536,028,000.58","1,657,078,981.60","2,088,087,828.13","2,103,274,526.35","2,557,687,789.12","2,294,625,600.38","2,507,309,662.11","2,718,718,403.42","3,164,012,892.79","2,676,523,465.01","2,930,313,511.35","2,806,327,347.37","2,681,250,676.33","2,865,457,439.02","2,740,524,788.85"
流动负债合计,"490,350,650.92","766,878,993.27","864,448,651.32","1,082,377,484.01","1,183,860,621.80","1,175,976,487.84","1,445,691,606.44","1,894,804,940.47","1,837,991,551.84","2,312,400,087.14","2,521,405,994.14","2,954,756,853.70","2,455,946,777.85","2,684,444,496.70","2,568,922,304.15","2,430,508,278.50","2,670,169,070.01","2,460,499,514.32"
可供出售金融资产,"2,800,000.00","2,800,000.00","7,800,000.00","7,800,000.00","12,800,000.00","12,800,000.00","14,050,000.00","14,050,000.00","17,700,000.00","297,700,000.00","297,700,000.00","297,700,000.00","297,700,000.00","297,700,000.00","297,700,000.00","297,700,000.00","447,700,000.00",
长期借款,,"65,000,000.00","50,600,000.00",,,,,,,,,,"5,689,451.09","5,689,451.09","5,689,451.09",,"97,500,000.00","147,500,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,
长期股权投资,,,,1.71,1.71,1.71,"6,900,001.71","6,900,001.71","221,296,318.33","222,353,943.24","223,725,034.56","225,794,205.53","229,301,207.74","230,310,635.29","231,388,680.37","234,056,025.64","235,483,911.33","236,390,293.50"
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,"252,679,973.00","250,407,001.77","21,114,254.18","20,842,396.82","20,570,539.46","20,298,682.10","18,931,397.10","18,659,539.76","18,387,682.40","18,115,825.04","17,835,969.42","17,564,112.06"
预计负债,,,,,,,,,,,,,,,,,,
固定资产,"46,358,821.93","44,522,848.41","49,911,994.38","47,468,808.09","47,630,201.99","46,698,602.65","48,284,645.18","47,344,676.67","46,271,798.61","45,299,275.31","43,507,293.45","49,173,875.54","50,565,671.38","49,678,523.31","48,531,112.35","47,276,371.33","46,212,281.13","45,118,980.45"
递延所得税负债,,,,,,,"312,500.00","312,500.00",,,,,,,,,,
在建工程,,,,"764,213.44","1,812,648.64","1,812,648.64","2,165,168.64","12,332,570.64","35,247,470.64","44,817,470.64","48,517,470.64","56,947,457.24","57,967,457.24","64,112,688.30","75,936,247.22","85,738,435.41","100,006,321.87","100,006,321.87"
其他非流动负债,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,
非流动负债合计,,"65,000,000.00","50,600,000.00",,,,"312,500.00","312,500.00",,,,,"5,689,451.09","5,689,451.09","5,689,451.09",,"97,500,000.00","147,500,000.00"
固定资产清理,,,,,,,,,,,,,,,,,,
负债合计,"490,350,650.92","831,878,993.27","915,048,651.32","1,082,377,484.01","1,183,860,621.80","1,175,976,487.84","1,446,004,106.44","1,895,117,440.47","1,837,991,551.84","2,312,400,087.14","2,521,405,994.14","2,954,756,853.70","2,461,636,228.94","2,690,133,947.79","2,574,611,755.24","2,430,508,278.50","2,767,669,070.01","2,607,999,514.32"
生产性生物资产,,,,,,,,,,,,,,,,,,
实收资本(或股本),"60,900,000.00","60,900,000.00","60,900,000.00","60,900,000.00","60,900,000.00","81,200,000.00","81,200,000.00","81,200,000.00","81,200,000.00","81,200,000.00","81,200,000.00","81,200,000.00","81,200,000.00","81,200,000.00","81,200,000.00","138,040,000.00","138,040,000.00","138,040,000.00"
油气资产,,,,,,,,,,,,,,,,,,
资本公积,"213,201,572.90","213,201,572.90","213,176,865.45","213,176,865.45","213,176,865.45","610,531,120.45","610,531,120.45","610,531,120.45","610,531,120.45","610,531,120.45","610,531,120.45","610,531,120.45","610,531,120.45","610,531,120.45","610,531,120.45","553,691,120.45","553,691,120.45","553,691,120.45"
无形资产,"1,595,354.92","9,655,875.18","8,282,245.90","8,139,934.89","8,087,039.67","8,047,705.71","7,994,468.61","8,789,913.33","238,267,440.71","236,608,750.74","236,462,798.01","235,801,618.67","227,402,437.26","225,256,471.63","223,110,506.02","220,964,540.41","227,993,925.20","225,610,008.47"
盈余公积,"4,735,494.19","13,891,771.31","22,789,689.81","28,362,489.24","30,955,354.86","30,955,354.86","30,955,354.86","30,955,354.86","39,533,711.95","39,533,711.95","39,533,711.95","39,533,711.95","40,600,000.00","40,600,000.00","40,600,000.00","40,600,000.00","49,387,759.59","49,387,759.59"
