科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"168,728,924.80","199,234,250.02","295,480,977.68","46,278,115.80","104,862,816.39","152,044,767.56","226,202,318.61","67,951,701.31","135,923,314.64","218,957,551.49","333,119,277.89","63,400,461.05","165,635,369.77","257,241,136.86",,"94,386,252.73","199,663,000.92","322,199,431.23","424,862,722.36","124,617,010.19","200,946,682.29","314,759,025.80","453,339,512.86","219,587,829.87","332,645,442.52","734,288,575.17","912,648,113.95","241,390,905.07","513,515,170.61"
取得子公司及其他营业单位支付的现金净额,,,"600,000.00",,,"8,232,000.00",,,,,,,,,,,,,,,,,"161,432,017.07",,,,,,
收到的税费返还,,,"42,414.30",,,,,,,,,,,,,,"238,455.28","238,455.28","238,455.28",,"289,201.42","930,507.24","1,259,570.00","1,651,249.34","3,613,608.15","3,841,168.57","4,841,092.77","3,753,849.22","6,338,150.23"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"174,000,000.00",,"249,000,000.00",,"166,000,000.00","211,000,000.00","256,000,000.00","65,000,000.00","155,000,000.00","215,000,000.00","235,000,000.00","98,000,000.00","133,000,000.00"
收到其他与经营活动有关的现金,"5,409,409.22","11,945,351.89","4,908,887.86","1,028,848.40","15,372,175.95","18,039,256.13","30,124,408.02","7,621,392.75","18,254,199.68","19,040,027.58","28,210,261.08","7,927,012.57","27,309,882.48","34,842,600.58","380,152,017.69","2,648,610.61","5,173,954.82","8,948,222.24","18,798,747.00","4,543,651.38","10,283,646.03","16,957,382.85","16,242,153.28","5,088,460.89","10,852,063.70","27,601,532.02","27,011,865.90","11,614,892.27","3,287,229.06"
投资活动现金流出小计,"23,605,671.86","11,948,735.79","47,942,794.32","5,654,050.75","12,102,063.01","37,252,383.12","64,820,996.42","22,952,873.57","54,498,993.49","72,469,244.40","95,115,299.00","9,812,740.16","24,521,069.88","35,270,154.03","40,800,930.39","80,329,703.98","189,485,102.14","252,584,806.10","280,981,629.79","135,689,039.46","172,505,603.17","219,284,104.86","430,418,275.28","78,316,727.87","184,571,400.98","260,220,054.52","329,490,952.07","134,292,680.65","186,279,353.48"
经营活动现金流入小计,"174,138,334.02","211,179,601.91","300,432,279.84","47,306,964.20","120,234,992.34","170,084,023.69","256,326,726.63","75,573,094.06","154,177,514.32","237,997,579.07","361,329,538.97","71,327,473.62","192,945,252.25","292,083,737.44","380,152,017.69","97,034,863.34","205,075,411.02","331,386,108.75","443,899,924.64","129,160,661.57","211,519,529.74","332,646,915.89","470,841,236.14","226,327,540.10","347,111,114.37","765,731,275.76","944,501,072.62","256,759,646.56","523,140,549.90"
投资活动产生的现金流量净额,"-23,605,671.86","-11,838,235.79","-47,883,709.32","-5,654,050.75","-12,102,063.01","-37,176,488.89","-59,937,452.19","-22,952,873.57","-54,498,993.49","-72,469,244.40","-95,115,299.00","-9,812,740.16","-24,521,069.88","-35,270,154.03","-40,616,930.39","-45,141,663.95","-75,643,548.41","-77,095,818.67","-49,128,104.56","-78,143,819.52","-41,902,718.48","-46,214,174.14","-160,283,187.03","-55,498,128.55","-98,221,807.06","-92,237,064.79","-83,566,637.04","-104,044,960.11","-152,009,009.65"
购买商品、接受劳务支付的现金,"102,758,745.05","144,667,537.17","195,292,950.82","40,778,350.40","80,227,461.68","134,596,103.61","182,015,894.65","58,753,121.21","114,430,682.14","177,932,799.90","245,085,658.33","51,570,348.22","122,022,110.83","177,192,765.96","251,391,289.41","67,872,061.35","140,202,708.11","210,826,634.13","283,307,507.84","94,168,670.50","158,724,427.91","233,602,656.47","317,447,608.89","171,189,733.23","218,870,606.35","537,022,411.57","620,627,801.97","203,536,265.02","406,932,039.55"
吸收投资收到的现金,,,,,"283,500,000.00","283,500,000.00","301,200,000.00",,,,"2,400,000.00",,"1,200,000.00","1,200,000.00","11,200,000.00",,,,,,,,"405,007,936.00",,,,,,
支付给职工以及为职工支付的现金,"14,912,657.86","19,723,149.78","25,596,273.13","8,132,458.38","13,895,124.38","21,522,412.43","29,554,206.61","8,332,177.02","19,493,111.63","31,889,225.09","43,727,666.01","13,720,546.16","26,360,310.29","39,789,671.56","56,373,071.61","16,439,139.04","31,879,170.95","46,899,260.81","64,179,790.39","19,192,491.31","36,445,493.60","54,930,405.67","75,090,330.14","35,987,979.20","69,359,963.07","95,185,461.94","134,828,856.22","48,887,065.84","84,799,516.77"
取得借款收到的现金,"22,000,000.00","13,500,000.00","6,500,000.00","5,000,000.00","5,000,000.00","5,000,000.00","9,500,000.00",,"5,000,000.00","5,000,000.00","9,500,000.00",,"5,000,000.00","45,000,000.00","49,000,000.00",,,,,,"40,000,000.00","40,000,000.00","50,000,000.00","85,000,000.00","109,000,000.00","138,000,000.00","182,000,000.00","228,492,350.00","284,692,350.00"
支付的各项税费,"15,145,967.76","17,821,809.57","15,915,280.31","7,096,130.53","11,418,786.40","18,342,858.54","19,521,462.42","2,831,682.66","6,197,743.02","7,172,566.51","12,862,379.25","3,674,090.59","11,389,474.75","18,829,881.95","21,989,815.78","5,971,762.42","13,415,169.81","19,567,182.38","26,140,869.00","6,365,187.03","13,433,721.99","18,923,289.19","27,788,770.65","15,454,830.04","29,060,045.20","43,344,193.30","55,579,760.29","16,019,058.48","28,586,076.76"
收到其他与筹资活动有关的现金,,"430,000.00",,,,,,,,,,,,,,,"5,770,000.00","5,770,000.00","5,770,000.00",,"4,700,000.00","4,700,000.00","4,700,000.00","5,900,000.00","12,400,000.00","12,900,000.00","2,300,000.00","5,000,000.00",
支付其他与经营活动有关的现金,"10,056,528.69","12,090,005.74","15,299,804.95","2,842,668.27","10,127,251.32","15,565,011.86","26,353,132.51","11,989,998.28","15,704,295.56","21,037,199.87","39,624,692.48","11,267,767.24","16,705,229.45","42,696,922.24","45,198,920.96","14,319,864.26","21,637,480.43","37,042,610.74","47,616,234.08","18,851,130.85","27,218,048.85","56,387,140.34","58,936,658.05","22,944,467.34","44,348,193.85","81,956,442.37","82,252,641.00","39,141,594.59","65,414,444.90"
