科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"60,083,379.68","152,933,687.87","205,338,075.54","211,340,874.70","858,754,756.24","780,921,253.50","634,277,478.64","773,513,152.72","697,818,563.87","729,189,904.11","552,084,021.23","597,076,858.81","381,898,905.28","349,216,540.97","276,149,892.72","389,463,922.92","317,636,128.31","363,828,329.47","276,184,748.58","358,751,483.71","589,322,084.45","450,089,835.58","441,747,012.38","444,095,785.71","663,960,017.29","647,599,546.42","651,156,943.11","687,032,557.49","750,985,395.89"
短期借款,"30,000,000.00","81,000,000.00","65,000,000.00","65,000,000.00","85,000,000.00","50,000,000.00","20,000,000.00","65,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,,,,
交易性金融资产,"90,000,000.00",,,,,,,,,,,,,,,,,,,,,"153,307,805.11","154,471,166.63","155,513,590.85",,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"16,125,745.46","76,748,353.95","46,285,161.49","74,512,678.46","127,956,270.18","142,944,254.48","139,720,479.34","102,563,582.50","179,911,845.94","130,696,278.88","102,902,402.15","99,726,519.77","134,408,658.73","160,951,623.24","137,805,973.40","140,992,975.45","205,425,871.90","224,259,925.62","152,913,968.75","95,113,801.40","124,792,772.81","226,433,492.42","159,670,798.91","149,574,093.03","194,321,967.83","205,972,914.52","159,202,350.17","157,864,292.67","174,452,582.88"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"42,470,715.99","29,235,068.04","27,553,353.45","34,177,537.06","55,930,999.26","34,673,179.10","84,568,568.22","71,004,890.73","57,970,952.83","26,024,654.59","91,306,420.14","52,264,632.06","67,343,594.24","76,584,044.58","115,543,764.93","138,925,120.31","167,703,591.65","128,299,277.75","140,762,584.96","196,091,270.78","227,264,489.12","128,395,255.35","174,001,821.65","144,826,488.91","137,588,149.19","114,752,003.10","162,891,605.61","142,658,203.30","139,900,972.99"
应付账款,"66,445,831.15","72,711,815.54","96,448,758.39","117,852,006.28","80,492,157.79","119,535,414.15","74,659,411.99","63,275,521.72","55,127,236.25","70,476,555.32","56,759,103.78","89,035,365.78","59,631,348.38","178,101,017.88","135,824,464.19","162,490,368.38","116,973,456.72","179,427,115.13","121,674,596.42","137,094,397.29","112,277,172.81","105,058,339.87","110,501,225.04","121,663,632.53","95,734,885.91","135,454,049.89","118,337,505.80","103,964,861.39","83,207,942.46"
预付款项,"15,760,634.23","9,235,805.51","7,831,109.38","7,651,844.14","10,532,614.00","12,113,438.45","12,421,171.16","8,710,517.33","11,565,039.80","10,269,919.60","12,396,479.78","9,993,188.98","16,203,669.96","24,488,959.26","17,086,771.48","16,460,639.75","16,945,429.81","26,173,747.79","18,625,433.07","33,865,711.79","34,921,774.58","16,779,845.80","15,845,922.95","10,784,350.74","11,777,482.64","9,528,313.05","14,461,840.62","18,169,573.72","28,351,702.93"
预收款项,"6,663,033.81","24,646,821.51","10,565,590.37","6,176,991.26","5,177,577.41","3,679,615.44","3,490,484.54","5,931,173.26","12,510,560.51","1,456,413.36","1,794,237.08","3,098,628.61","3,131,723.70","5,639,878.48","3,924,650.76","14,212,007.49","11,734,274.40","3,871,152.86","11,126,836.76","11,227,557.99","22,312,196.21","14,156,986.18","12,149,277.37","18,072,730.37","17,248,028.36","18,441,277.08","23,280,599.22","13,516,214.13","17,251,100.46"
