科目,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"74,104,894.90","53,117,353.71","34,999,603.38","660,107,856.16","644,581,917.52","615,604,108.53","598,740,328.20","597,429,799.81","594,768,447.87","504,121,684.73","530,223,489.50","523,917,861.87","531,197,276.67","437,316,307.83","446,439,977.87","405,268,740.95","371,514,683.73","349,814,266.54","333,756,773.93","356,130,123.90","511,960,791.57","522,013,771.50","505,934,928.91","503,198,688.39","497,067,755.79","488,363,130.07","482,419,886.43","518,012,419.82","277,452,250.81","264,721,829.08","246,010,673.44","322,816,375.38","268,545,750.21","266,217,181.54","112,304,533.89","178,160,131.61","136,787,913.61"
短期借款,,"6,054,582.66",,,,,,,,,"40,677,569.34","40,677,569.34","30,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,148,046.35","6,049,600.00","4,990,150.00","14,581,540.48","17,834,322.50","12,088,281.41","8,158,014.33","7,887,482.90","3,578,509.59","2,768,150.00","4,340,464.98","12,964,385.00","7,935,192.50","7,520,000.00","14,719,706.50","10,575,146.00","13,858,919.10","2,965,000.00","7,322,510.00","6,746,374.00","7,369,131.00","3,257,550.00","566,000.00","2,236,000.00","2,180,000.00","670,000.00","1,040,000.00","750,000.00","300,000.00","870,000.00","970,000.00","825,604.40","704,604.40","950,000.00","1,931,438.64","2,750,000.00","600,000.00"
应付票据,"5,600,280.40","6,339,573.31","15,404,455.67","6,259,651.74","14,052,102.31","100,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"56,413,252.08","49,573,129.02","58,896,652.24","64,207,645.11","52,924,050.76","48,759,790.86","59,245,478.91","44,680,644.73","34,151,589.43","33,269,604.94","42,878,786.99","47,522,878.70","30,386,420.01","37,854,429.93","32,465,945.36","35,667,641.65","29,069,806.48","32,558,574.16","38,103,351.84","41,358,250.43","23,296,078.19","21,564,467.35","22,972,607.58","21,569,765.13","36,901,398.37","26,157,903.34","47,412,055.00","26,718,843.49","36,696,743.16","35,708,992.90","52,301,954.51","47,216,084.91","43,534,060.46","59,587,033.60","73,480,530.64","46,960,941.34","67,321,698.96"
应付账款,"27,622,460.56","16,793,867.13","30,037,128.78","33,920,308.20","23,851,275.69","6,246,915.37","9,877,441.01","8,019,402.99","14,636,955.04","8,505,569.83","7,767,269.10","6,622,770.71","7,424,828.60","9,399,578.35","12,734,801.19","5,273,083.68","16,834,712.96","10,782,607.93","12,986,941.96","8,385,693.80","7,466,369.84","8,219,179.63","5,388,985.39","7,201,716.66","6,554,877.34","7,779,214.69","9,985,968.04","10,363,046.23","14,109,876.76","10,472,992.01","10,946,667.17","15,973,780.58","25,757,885.46","11,929,631.40","10,893,297.05","8,075,469.27","9,937,950.98"
预付款项,"1,123,944.27","7,215,310.06","28,405,466.03","31,407,178.91","33,364,290.85","28,971,262.21","30,438,131.08","913,847.21","528,165.31","1,507,715.01","1,357,737.26","21,493,681.37","21,794,894.37","62,831,806.61","64,619,796.62","3,928,834.57","35,509,358.24","2,756,265.48","8,478,636.30","1,505,181.02","2,011,224.37","944,623.59","1,323,284.73","4,637,136.93","5,594,828.95","1,053,201.95","1,071,080.04","1,624,092.79","5,169,785.59","6,988,039.12","4,532,132.25","918,722.97","4,459,050.34","5,121,269.27","1,822,759.39","885,055.06","1,252,604.41"
预收款项,"9,711,385.62","7,124,493.42","5,761,058.79","3,724,697.02","3,822,185.98","3,398,981.65","3,307,912.27","2,111,455.18","2,575,900.09","3,585,256.67","2,985,735.32","4,397,435.66","5,907,381.98","6,291,593.88","8,186,632.73","7,350,231.83","5,458,641.83","2,790,477.29","2,812,192.85","1,716,534.80","2,793,015.60","2,813,041.78","2,380,206.61","2,276,806.88","2,155,219.99","2,978,945.69","2,959,682.90","2,764,525.49","3,950,443.83","4,097,120.13","5,720,523.99","2,666,530.59","17,104,302.45","4,621,029.17","4,940,134.33","4,277,168.78","4,450,241.19"
