科目,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"17,916,001,855.56","26,330,095,267.00","6,458,070,318.88","17,247,476,732.00","27,251,754,770.00","38,236,859,615.00","9,060,275,025.00","22,719,687,909.00","35,729,578,773.00","55,487,130,917.00"
取得子公司及其他营业单位支付的现金净额,"75,539,983.45","48,947,124.00",,,,,"196,844,843.00",,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,"87,146,984.85","8,022,978,932.00",,"5,167,535,932.00","5,130,288,285.00","49,805,079,166.00",,"15,687,550,853.00","20,319,057,108.00","44,262,382,449.00"
收到其他与经营活动有关的现金,"3,610,058,990.45","221,513,817.00","1,826,791,745.33","1,403,163,746.00","2,662,748,679.00","604,660,522.00","1,872,894,592.00","996,433,274.00","1,337,160,131.00","4,880,086,246.00"
投资活动现金流出小计,"3,212,977,052.69","12,494,691,131.00","1,327,632,597.33","8,529,215,924.00","9,071,602,664.00","55,785,098,342.00","2,468,466,473.00","24,698,811,086.00","30,980,463,856.00","56,058,299,216.00"
经营活动现金流入小计,"21,526,060,846.01","26,551,609,084.00","8,284,862,064.21","18,650,640,478.00","29,914,503,449.00","38,841,520,137.00","10,933,169,617.00","23,716,121,183.00","37,066,738,904.00","60,367,217,163.00"
投资活动产生的现金流量净额,"-3,192,492,373.21","-797,932,719.00","-1,317,476,882.50","-1,283,639,701.00","925,843,283.00","-8,707,305,605.00","-2,456,864,088.00","-1,539,446,008.00","-7,021,612,199.00","244,289,298.00"
购买商品、接受劳务支付的现金,"15,542,414,452.30","22,665,939,456.00","4,699,257,709.02","9,993,965,978.00","18,585,506,985.00","21,567,683,122.00","14,175,381,116.00","26,339,124,079.00","33,223,523,200.00","59,437,211,474.00"
吸收投资收到的现金,,"564,786,801.00",,"105,000,000.00","105,000,000.00","265,650,000.00","138,000,000.00","73,500,000.00","135,500,000.00","2,594,975,129.00"
支付给职工以及为职工支付的现金,"731,029,786.76","942,364,268.00","414,885,258.30","641,156,202.00","942,047,199.00","1,325,742,988.00","727,209,169.00","1,156,388,504.00","1,615,899,074.00","1,985,337,409.00"
取得借款收到的现金,"7,262,190,914.14","8,584,285,277.00","3,784,643,847.90","6,206,153,418.00","12,131,153,418.00","10,887,550,469.00","7,481,000,000.00","18,563,283,200.00","23,164,193,601.00","20,886,507,600.00"
支付的各项税费,"2,286,287,663.17","2,968,652,346.00","876,501,948.45","1,995,430,285.00","2,595,573,215.00","2,776,145,601.00","966,626,138.00","2,904,098,369.00","3,787,512,083.00","4,541,738,652.00"
收到其他与筹资活动有关的现金,"1,407,076,108.00","3,060,120,598.00",,"280,115,662.00","284,385,652.00","975,253,161.00",,"1,083,875,286.00","2,313,276,917.00","8,254,372,136.00"
支付其他与经营活动有关的现金,"2,376,098,111.34","931,808,662.00","2,943,505,289.15","4,986,609,011.00","5,171,108,396.00","5,074,743,832.00","309,443,591.00","777,817,867.00","2,348,800,767.00","4,888,093,277.00"
筹资活动现金流入小计,"8,669,267,022.14","17,167,302,676.00","6,784,643,847.90","9,566,604,680.00","17,991,741,675.00","20,057,048,030.00","7,619,000,000.00","19,720,658,486.00","25,612,970,518.00","41,651,411,557.00"
经营活动现金流出小计,"20,935,830,013.57","27,508,764,732.00","8,934,150,204.92","17,617,161,476.00","27,294,235,795.00","30,744,315,543.00","16,178,660,014.00","31,177,428,819.00","40,975,735,124.00","70,852,380,812.00"
偿还债务支付的现金,"5,195,720,000.00","10,418,057,109.00","571,479,727.28","1,479,534,265.00","7,656,840,805.00","8,981,027,969.00","676,300,145.00","2,337,043,944.00","6,019,964,482.00","13,013,159,490.00"
