科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"358,133,211.86","307,668,605.73","412,528,703.98","131,665,988.10","245,590,749.29","365,388,748.09","30,077,007.15","99,797,118.23","184,461,283.74","244,681,605.58","28,285,232.04","78,329,488.86","126,998,998.36","184,680,609.77","19,913,111.35","58,612,009.24","99,498,526.35","161,042,613.90","16,769,969.06","50,317,649.93","100,303,468.66","146,512,178.52","9,245,401.82","17,794,594.00","70,275,341.89","120,062,609.46","12,871,000.83","47,357,011.98","99,626,200.20","194,929,409.68","27,008,944.61"
二、营业利润,"56,810,582.47","70,700,062.01","91,165,702.87","29,601,286.93","64,942,135.63","91,677,083.01","5,236,055.08","31,382,847.37","49,884,780.47","56,615,071.27","5,362,649.11","22,169,572.98","36,041,294.51","41,298,859.51","4,178,385.84","16,010,986.21","29,106,473.89","50,639,901.36","13,909,950.56","39,498,358.41","61,067,459.78","90,999,739.91","2,860,838.41","4,002,605.72","23,541,514.35","2,066,993.02","3,121,719.20","13,398,287.18","24,087,809.30","81,680,869.65","-3,213,950.37"
减:营业成本,"205,444,743.40","151,077,554.54","232,532,940.40","60,348,450.41","118,885,169.99","183,944,246.81","13,810,293.58","46,099,941.00","96,981,851.15","130,246,150.33","13,779,977.22","38,411,369.48","63,501,999.89","99,165,872.63","10,405,297.61","31,576,029.22","52,394,679.86","88,023,745.49","7,849,003.23","22,314,182.55","47,989,977.52","77,491,427.46","4,664,410.43","8,407,217.93","45,668,301.18","90,641,436.68","5,692,167.82","25,260,133.13","51,093,381.18","93,549,922.18","5,464,627.89"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,137,649.45","2,505,739.40","2,826,491.48","1,259,753.75","2,118,810.12","3,515,887.82","275,661.68","934,825.98","1,893,588.00","2,668,354.45","363,355.91","919,285.16","1,574,882.46","2,179,168.03","241,727.10","717,935.72","1,253,713.46","2,180,943.71","153,266.37","608,394.55","1,151,883.75","1,807,339.13","73,841.32","130,036.05","589,532.75","5,152,945.50","1,207,500.51","2,831,066.67","4,768,085.44","6,909,254.03","1,291,972.85"
营业外收入,"5,072,717.87","5,297,905.52","5,619,453.20","3,222,719.82","8,439,480.90","14,053,228.52","1,397,342.10","3,301,850.13","4,389,690.21","8,953,224.27","990,148.30","2,065,808.63","4,239,817.40","6,603,175.79","1,218,696.24","2,121,604.90","2,941,355.81","4,346,072.76","651,059.93","2,214,732.84","3,080,401.14","4,383,502.84","561,002.34","1,352,731.90","3,101,319.52","7,783,568.72","2,451,386.31","12,265,295.04","12,679,993.63","466,462.64","40,640.54"
销售费用,"36,832,867.62","33,489,456.92","39,903,132.02","19,109,199.44","29,297,721.82","42,523,299.68","5,761,912.79","14,324,797.75","21,827,952.09","29,589,157.02","5,609,668.96","12,812,469.39","18,107,858.60","24,505,219.67","4,119,532.14","9,422,715.83","14,176,867.82","19,871,935.69","4,779,657.60","9,430,933.37","14,987,733.71","21,431,020.52","2,992,090.84","7,028,831.10","11,390,639.38","15,700,511.94","2,142,502.18","6,822,826.21","11,099,068.98","17,279,034.26","3,498,661.62"
减:营业外支出,"432,709.61","630,188.35","1,597,648.49","7,336.00","7,336.00","167,467.00","492,418.41","1,469,013.82","1,516,992.67","1,874,381.43","199,602.00","199,602.00","204,202.00","320,830.74","115,000.00","201,795.69","324,662.03","824,662.03",,500.00,"14,392.51","83,099.27",,"20,188.09","51,260.83","88,150.95",33.35,"16,582.55","358,569.01","23,570.76","1,078.99"
管理费用,"43,724,564.88","38,826,225.88","41,347,677.71","18,670,315.08","27,920,707.60","43,583,338.37","10,837,975.25","19,359,673.20","30,839,261.92","46,082,628.31","9,746,257.24","19,342,867.55","30,284,789.29","43,104,171.43","8,522,860.57","18,396,555.73","27,017,942.46","35,820,993.88","8,429,779.10","16,285,356.82","23,957,571.23","37,130,093.34","10,844,722.71","22,754,353.77","33,671,828.97","45,490,194.84","12,245,401.97","23,973,653.38","44,454,966.71","69,779,238.13","25,727,828.22"
其中:非流动资产处置净损失,,"19,708.35","28,833.36",,,,,"1,244.41",,"1,244.41",,,,,,,,"75,632.19",,,,"35,897.88",,,"31,072.74","31,072.74",,,"341,934.67",,
