科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"64,424,572.03","100,400,239.43","85,348,927.43","87,947,841.25","359,188,521.75","374,173,058.99","343,447,097.83","359,165,536.88","378,490,827.79","364,351,710.10","352,301,846.59","334,157,730.57","268,823,902.87","291,238,145.95","268,475,278.11","188,181,081.63","208,048,134.18"
短期借款,"49,000,000.00","74,000,000.00","33,000,000.00","15,000,000.00","9,000,000.00","9,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,"1,339,587.80","1,339,587.80","1,339,587.80","1,339,587.80"
应收票据,"150,000.00","2,370,408.13","36,791,079.22","41,685,376.50","35,979,786.94","56,913,461.36","42,199,410.89","50,588,534.69","50,676,588.27","75,328,385.46","67,581,735.24","67,212,387.57","49,883,065.94","77,564,123.48","73,107,845.60","65,742,778.43","49,954,295.82"
应付票据,,"90,000.00","4,000,000.00","8,300,595.52","16,301,172.21","9,589,089.46","7,046,342.32","9,416,216.55","11,217,258.47","9,036,540.87","2,831,838.87","5,670,234.87","9,685,317.35","15,108,423.81","20,669,084.20","18,719,560.34","18,829,777.18"
应收账款,"33,024,956.78","35,788,751.29","49,064,869.38","67,350,053.50","96,206,471.05","72,254,153.08","89,815,723.85","86,188,155.58","120,838,192.24","77,801,159.82","100,735,477.87","112,142,813.17","138,018,590.02","101,235,790.84","106,002,060.13","127,141,592.51","160,443,672.67"
应付账款,"34,273,350.22","34,155,372.04","32,398,229.29","34,238,625.61","36,220,410.27","30,192,349.74","34,073,556.63","31,030,684.22","30,939,915.86","37,085,628.89","41,074,796.52","48,382,617.43","57,245,332.15","58,599,700.03","69,114,211.28","66,649,717.61","82,752,176.65"
预付款项,"32,323,936.60","27,217,274.26","17,369,218.07","18,121,476.03","17,871,614.41","20,049,954.35","19,579,969.11","20,771,438.05","32,633,972.54","108,438,947.89","44,139,994.50","75,085,310.36","63,581,554.40","59,253,385.20","81,593,859.93","42,963,310.35","39,449,155.48"
预收款项,"1,169,008.72","1,531,109.89","336,576.90","532,860.81","1,333,203.01","490,769.03","2,546,822.55","2,279,107.45","2,896,199.19","1,175,497.43","1,957,878.87","1,182,022.06","1,825,449.29","1,807,619.46","1,888,122.77","2,549,603.77","3,101,161.14"
其他应收款,"412,897.22","364,914.76","414,460.98","349,493.08","966,113.00","448,381.60","670,007.64","841,283.31","1,244,408.17","385,161.10","781,562.68","784,189.73","929,768.09","520,292.79","1,078,834.09","955,454.08","1,598,997.66"
应付职工薪酬,"1,242,163.69","1,452,052.61","1,325,198.09","2,668,453.52","4,439,774.56","1,324,941.12","746,692.00","3,233,261.65","4,480,050.84","3,153,950.00","3,817,862.91","3,304,948.00","3,957,585.80","5,810,020.68","9,488,650.15","4,638,839.81","3,054,413.71"
