科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"33,050,145.61","26,463,065.65","196,288,894.68","164,873,059.37","85,882,198.43","163,079,367.68","125,640,062.41","244,627,803.59","185,158,427.98","115,820,735.12","310,928,013.00","336,849,678.80","134,421,865.53","288,580,340.86","247,059,163.96","163,230,432.51","100,984,379.62","157,773,949.83","89,433,050.21","109,995,265.55","153,025,305.85","134,183,270.26","100,580,270.28","72,009,745.72","121,990,353.50","88,307,701.40","19,720,467.47","41,600,017.18","59,647,847.75","62,330,244.41","105,666,266.76","106,226,542.97","127,123,424.07","113,728,011.63","135,423,720.57","107,930,199.60","74,067,414.51","46,150,319.24","42,348,108.88","14,123,577.14","59,103,548.68","28,598,992.14"
短期借款,"49,000,000.00","84,000,000.00","75,000,000.00","74,000,000.00","40,000,000.00","123,000,000.00","105,000,000.00","106,000,000.00","176,000,000.00","196,000,000.00","111,000,000.00","130,000,000.00","158,630,000.00","342,295,385.00","473,665,385.00","521,665,385.00","571,665,385.00","668,000,000.00","639,000,000.00","648,000,000.00","666,000,000.00","609,000,000.00","540,000,000.00","518,000,000.00","647,470,688.67","529,724,000.00","430,000,000.00","441,140,000.00","378,140,000.00","258,000,000.00","337,140,000.00","418,440,000.00","489,236,705.00","482,829,775.00","441,580,000.00","444,980,000.00","374,780,000.00","344,130,000.00","350,755,997.00","328,375,970.00","212,860,165.50","206,850,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,"48,754.50","48,754.50",,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"13,606,362.31","12,587,692.99","9,484,772.55","18,156,936.37","9,571,310.00","22,335,648.20","21,632,736.15","8,818,654.11","23,412,844.69","20,955,087.98","30,084,974.14","14,550,648.33","16,840,280.32","23,268,362.67","44,117,858.94","39,635,545.68","51,273,206.62","69,182,029.48","48,793,711.39","20,113,671.00","14,793,054.98","14,542,231.13","19,704,183.69","17,857,839.80","28,628,357.21","23,584,503.42","10,033,967.87","5,254,162.22","16,167,116.36","27,286,535.00","5,188,222.87","3,414,660.00","6,610,155.00","5,094,275.00","2,968,301.00","740,000.00","16,577,508.85","18,568,388.62","23,192,021.50","20,267,780.80","23,265,165.50","20,667,415.36"
应付票据,"35,820,000.00","44,860,000.00","32,670,000.00","54,630,000.00","35,150,000.00","40,405,914.00","55,268,743.28","34,915,600.36","48,880,000.00","43,750,000.00","51,520,000.00","54,550,000.00","128,605,000.00","152,615,000.00","106,590,000.00","134,500,000.00","140,930,000.00","122,880,000.00","165,890,000.00","186,070,000.00","185,880,000.00","207,840,000.00","99,310,000.00","133,480,000.00","57,940,000.00","33,780,000.00","19,900,000.00",,"24,900,000.00","54,580,000.00","74,539,110.00","79,420,000.00","14,000,000.00","16,010,000.00","23,940,000.00","7,740,000.00",,,,,,
应收账款,"71,543,667.62","72,563,428.85","77,342,222.19","101,182,553.86","92,356,873.85","130,850,331.50","141,520,786.84","187,063,173.44","185,284,398.60","186,988,644.87","206,684,350.23","220,612,681.08","216,467,182.16","224,508,162.34","267,450,036.50","280,702,509.78","246,491,369.02","271,840,266.20","257,246,103.65","230,072,010.44","195,573,884.26","174,356,642.29","175,634,885.74","171,705,700.59","174,753,465.00","165,942,880.26","190,756,919.63","193,427,060.04","158,172,529.63","166,161,632.13","150,832,392.14","115,417,810.19","120,457,750.63","120,199,636.04","105,896,087.61","100,171,514.87","93,038,854.95","85,484,775.24","78,170,926.73","84,884,089.66","68,724,659.16","55,925,209.56"
应付账款,"80,228,905.56","83,737,991.74","99,737,263.88","84,183,954.10","101,515,065.87","101,713,924.66","123,764,219.52","117,312,191.66","103,484,038.36","100,519,743.52","105,440,635.84","116,535,131.63","106,297,588.07","128,921,827.99","130,315,392.29","138,809,038.89","136,880,173.80","156,650,610.46","149,534,590.40","153,360,451.26","150,713,590.13","155,370,905.42","153,308,913.58","164,555,172.20","152,088,845.16","137,349,008.08","140,269,919.04","158,502,505.05","128,455,102.08","115,749,956.30","128,939,262.40","141,411,756.08","173,829,079.87","168,160,497.28","152,343,186.67","141,948,443.73","140,200,707.94","140,126,976.38","134,429,020.00","135,253,140.45","97,310,156.39","99,132,077.93"
预付款项,"17,644,473.30","24,888,168.73","28,270,422.01","30,078,906.62","68,152,924.25","99,111,046.57","105,005,657.12","80,557,870.79","153,047,154.74","152,168,041.50","56,077,135.20","91,235,622.61","60,752,350.46","66,899,878.87","66,530,438.07","64,279,892.12","58,737,376.90","55,018,286.35","38,720,842.93","39,469,947.78","47,464,553.11","45,851,959.42","49,456,763.43","54,616,203.75","46,684,575.79","55,598,908.32","56,238,280.63","56,265,975.15","49,205,585.26","51,732,870.54","50,670,347.27","16,373,254.87","14,606,327.79","16,462,439.25","13,275,082.47","15,489,084.00","13,618,089.72","14,184,120.50","6,788,429.52","8,697,296.99","6,056,031.77","5,913,192.40"
预收款项,"22,688,751.24","34,907,901.92","32,411,036.00","33,516,101.70","54,059,019.48","155,948,086.34","141,097,691.01","100,376,693.90","116,982,064.90","141,282,831.72","92,231,520.10","67,138,088.86","53,934,710.30","71,651,814.09","73,974,165.58","59,707,629.29","59,675,212.25","72,312,568.15","62,300,062.44","68,588,096.91","71,773,513.04","78,157,839.45","76,470,649.35","84,110,734.71","85,750,540.57","112,873,351.85","93,792,649.70","96,539,488.33","64,443,243.98","71,667,555.51","88,776,255.06","83,528,361.29","67,767,539.93","70,321,383.27","77,318,834.14","83,396,317.51","81,808,102.47","80,583,936.42","76,368,817.22","76,283,404.77","74,506,307.54","61,991,133.59"
其他应收款,"2,209,240.97","5,159,884.86","3,603,380.50","4,516,183.80","2,713,374.69","2,209,773.62","4,780,817.69","6,435,727.68","8,278,504.01","19,904,039.74","15,306,216.28","23,385,932.47","30,468,610.95","23,209,876.16","31,082,977.39","28,582,451.61","33,174,144.37","35,217,200.23","31,356,974.36","34,356,503.92","25,499,588.60","31,066,600.03","77,320,323.17","60,123,518.10","53,340,508.45","51,868,019.05","56,145,745.57","58,417,481.88","186,263,933.21","181,478,273.89","134,813,248.90","34,613,947.97","23,945,832.97","23,179,490.73","21,454,439.16","20,535,362.61","17,231,412.79","18,214,009.38","16,154,320.61","15,646,553.73","71,414,781.97","69,233,884.09"
