科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"384,728,034.60","307,184,081.85","312,397,856.74","231,012,138.15","214,435,036.57","413,973,649.07","716,415,509.71","204,046,394.45","435,694,491.69"
短期借款,,,,,,,,,
交易性金融资产,,,,,,,,"341,000,000.00","66,000,000.00"
交易性金融负债,,,,,,,,,
应收票据,"3,788,034.00","18,003,689.88","31,595,553.07","20,605,502.24","23,860,109.98","22,856,872.07","24,632,467.47","14,844,378.55","9,015,055.00"
应付票据,,,,,,,,,
应收账款,"389,184,448.12","433,525,290.20","571,581,981.37","520,230,360.56","463,261,390.96","426,449,773.03","646,980,421.72","616,784,585.70","549,744,082.10"
应付账款,"27,783,630.00","56,087,868.81","103,636,453.07","61,985,133.04","59,209,039.70","56,192,931.61","104,937,398.80","80,481,140.16","70,002,107.66"
预付款项,"5,585,688.68","9,806,872.97","11,647,463.29","11,356,488.15","22,991,013.01","28,112,575.88","21,198,242.04","41,045,078.20","59,091,746.68"
预收款项,"92,661,276.03","99,341,010.34","75,897,234.46","84,769,342.35","81,586,277.61","128,986,855.90","77,242,230.63","77,151,440.78","80,700,915.39"
其他应收款,"41,958,075.61","21,978,301.02","19,523,054.20","24,148,366.58","30,218,114.15","31,090,822.18","36,763,629.45","39,580,129.00","38,804,362.97"
应付职工薪酬,"54,543,048.91","11,972,582.05","52,839,151.71","17,538,682.62","30,003,879.61","42,250,876.91","77,231,218.52","27,526,633.05","42,204,016.72"
应收关联公司款,,,,,,,,,
应交税费,"29,536,081.99","19,473,464.41","23,274,229.39","2,947,865.07","7,830,495.23","840,458.96","12,786,447.18","2,089,683.79","4,133,778.78"
应收利息,,,,"39,328.77",,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"85,089,623.73","89,649,201.20","82,742,271.98","119,821,063.70","153,918,726.21","205,259,360.91","73,295,560.33","119,855,955.01","171,267,817.75"
其他应付款,"38,863,933.84","29,520,543.61","7,224,078.49","6,417,194.37","5,871,962.05","8,746,026.14","164,317,617.00","156,879,484.53","156,525,298.95"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,,,,,"11,871,736.02","17,345,290.06","890,855.52","35,303.19","36,895.81"
其他流动负债,"14,550,763.15","16,704,864.17","15,433,187.82","8,287,422.62","260,573.91","260,573.91","14,171,047.91","5,331,120.93","15,786,555.75"
流动资产合计,"910,333,904.74","880,147,437.12","1,029,488,180.65","927,213,248.15","920,556,126.90","1,145,088,343.20","1,520,176,686.24","1,377,191,824.10","1,329,654,452.00"
流动负债合计,"257,938,733.92","233,100,333.39","278,304,334.94","181,945,640.07","184,762,228.11","237,277,723.43","450,685,960.04","349,459,503.24","369,352,673.25"
可供出售金融资产,,,,,,,,,
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,"10,000,300.00","21,636,819.63","28,536,316.81","36,087,805.79","46,265,272.43","57,771,246.60","71,223,985.35","88,376,021.65"
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"6,790,363.30","8,564,872.64","4,878,792.09","4,174,604.87","5,134,350.73","11,922,755.64","12,331,561.33","12,143,662.47","13,702,163.48"
递延所得税负债,,"406,875.00","348,750.00","334,218.75","319,687.50","305,156.25","290,625.00","276,093.75","261,562.50"
在建工程,,,"932,858.98","2,118,914.92","5,544,671.78",,,,
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"15,950,000.00","19,356,875.00","25,088,750.00","25,074,218.75","25,059,687.50","25,045,156.25","23,330,625.00","23,316,093.75","25,121,562.50"
固定资产清理,,,,,,,,,
