科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"5,033,324,684.59","6,291,235,459.60","6,927,217,288.86","3,192,133,909.69","4,682,906,707.39","6,639,903,990.58","1,735,173,669.66","3,564,980,096.18","5,319,100,633.38","6,780,367,450.94","1,848,518,694.77","3,132,432,960.20","4,881,003,893.85","6,086,016,616.61","1,682,145,395.32","3,149,563,754.31","4,637,774,125.01","6,207,760,874.93","1,716,457,198.06"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,"131,786.00",,,,"838,948.49",,,,"3,035,252.43",,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"921,358.07",,,,"31,000,000.00",
收到其他与经营活动有关的现金,"713,798,137.58","884,365,909.21","581,241,674.09","148,784,106.47","339,237,375.16","368,693,832.53","81,911,689.14","170,533,373.74","262,915,302.88","358,232,411.57","99,884,815.15","188,739,706.02","280,140,319.80","341,553,753.84","93,122,315.17","192,968,694.39","250,036,957.92","406,072,536.88","93,464,883.48"
投资活动现金流出小计,"336,976,819.50","574,387,538.68","708,502,260.26","417,606,811.43","730,880,911.84","981,112,266.83","106,786,483.59","236,240,715.41","265,376,591.24","741,577,813.08","149,806,959.40","335,133,474.38","487,993,375.41","811,774,052.80","139,950,256.71","236,632,257.35","292,775,534.04","456,480,052.29","134,020,216.59"
经营活动现金流入小计,"5,747,122,822.17","7,175,601,368.81","7,508,458,962.95","3,340,918,016.16","5,022,144,082.55","7,008,729,609.11","1,817,085,358.80","3,735,513,469.92","5,582,015,936.26","7,139,438,811.00","1,948,403,509.92","3,321,172,666.22","5,161,144,213.65","6,430,605,622.88","1,775,267,710.49","3,342,532,448.70","4,887,811,082.93","6,613,833,411.81","1,809,922,081.54"
投资活动产生的现金流量净额,"-178,158,045.74","-570,196,638.26","-704,097,018.54","-415,643,716.82","-727,611,063.30","-976,861,334.14","-106,786,483.59","-235,284,848.32","-265,001,749.28","-730,920,516.22","-149,806,959.40","-333,308,074.38","-485,260,233.65","-797,453,355.14","-138,960,256.71","-234,209,657.55","-289,393,197.32","-414,962,656.13","-134,020,216.59"
购买商品、接受劳务支付的现金,"3,616,867,122.40","4,938,613,481.73","5,066,089,304.47","2,406,591,089.48","3,556,757,922.65","4,734,360,619.12","1,433,311,935.65","2,670,451,572.73","4,012,253,269.51","4,870,251,073.82","1,388,390,538.39","2,105,774,611.54","3,333,293,827.48","4,192,847,723.43","1,344,220,560.91","2,278,469,019.67","3,418,875,321.86","4,649,289,921.12","1,314,986,920.29"
吸收投资收到的现金,"30,552,404.21",,,"330,000.00","482,508,000.00","482,508,000.00",,,,,,,"111,911,559.00","122,478,277.08",,"524,186.92","542,186.92","2,094,186.92",
支付给职工以及为职工支付的现金,"533,166,634.61","556,838,767.08","707,420,764.18","261,894,460.76","437,457,729.06","723,581,171.92","160,330,675.87","321,946,632.51","539,074,726.61","774,658,234.94","187,453,198.00","339,439,032.93","542,719,916.84","722,217,777.45","181,869,248.29","337,648,581.66","541,596,981.22","760,378,747.61","186,865,310.56"
取得借款收到的现金,,,"40,000,000.00","40,500,000.00","40,500,000.00","40,500,000.00",,"80,000,000.00","80,000,000.00","240,000,000.00",,,,"80,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","103,500,000.00","3,000,000.00"
支付的各项税费,"235,906,688.11","213,773,965.19","244,454,571.77","113,398,208.86","184,039,248.71","250,576,784.07","43,600,525.75","160,915,211.01","225,806,694.22","304,684,983.33","109,517,065.85","166,733,126.76","242,589,190.25","330,131,010.66","68,486,876.13","224,143,455.76","288,057,223.83","372,935,813.33","48,938,451.50"
收到其他与筹资活动有关的现金,"17,960,515.00","452,200.00",,,,,,,,,,,,,,"19,110,000.00","19,110,000.00","19,110,000.00",
支付其他与经营活动有关的现金,"828,866,741.38","714,988,308.80","657,220,851.88","174,055,762.17","248,973,054.59","448,313,001.48","107,331,835.50","151,408,784.09","240,735,196.17","417,351,783.93","83,303,432.30","146,152,711.31","199,997,629.65","405,975,280.46","80,653,233.65","174,641,070.51","205,132,519.31","483,204,416.51","39,491,875.53"
筹资活动现金流入小计,"48,512,919.21","452,200.00","40,000,000.00","40,830,000.00","523,008,000.00","523,008,000.00",,"80,000,000.00","80,000,000.00","240,000,000.00",,,"111,911,559.00","202,478,277.08","20,000,000.00","39,634,186.92","39,652,186.92","124,704,186.92","3,000,000.00"
经营活动现金流出小计,"5,214,807,186.50","6,424,214,522.80","6,675,185,492.30","2,955,939,521.27","4,427,227,955.01","6,156,831,576.59","1,744,574,972.77","3,304,722,200.34","5,017,869,886.51","6,366,946,076.02","1,768,664,234.54","2,758,099,482.54","4,318,600,564.22","5,651,171,792.00","1,675,229,918.98","3,014,902,127.60","4,453,662,046.22","6,265,808,898.57","1,590,282,557.88"
偿还债务支付的现金,"11,445,022.63","11,051,557.89","8,896,783.60","4,500,000.00","4,500,000.00","8,500,000.00",,"47,092,381.77","47,092,381.77","103,533,203.68","5,000,000.00","49,100,000.00","53,118,602.40","232,599,556.51",,,,"88,410,710.18","20,500,000.00"
经营活动产生的现金流量净额,"532,315,635.67","751,386,846.01","833,273,470.65","384,978,494.89","594,916,127.54","851,898,032.52","72,510,386.03","430,791,269.58","564,146,049.75","772,492,734.98","179,739,275.38","563,073,183.68","842,543,649.43","779,433,830.88","100,037,791.51","327,630,321.10","434,149,036.71","348,024,513.24","219,639,523.66"
分配股利、利润或偿还利息支付的现金,"147,975,338.99","194,670,657.81","89,985,401.19","292,552,019.52","298,295,335.30","295,997,879.21",,"202,653,306.44","202,653,306.44","220,273,983.12",,"233,801,227.83","233,801,227.83","250,098,234.70",,"202,280,000.00","202,280,000.00","212,529,429.70","1,236,490.97"
收回投资收到的现金,"142,546,883.90",,,,,"20,000.00",,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"5,324,053.36","1,341,993.80","3,519,473.05","1,395,995.85","2,702,749.78","2,933,864.69",,"924,000.00","342,974.87","2,960,599.53",,"924,000.00","1,831,741.76","4,061,580.95","990,000.00","1,138,210.40","2,097,947.32","22,704,577.96",
筹资活动现金流出小计,"159,420,361.62","205,722,215.70","98,882,184.79","297,052,019.52","302,795,335.30","304,497,879.21",,"249,745,688.21","249,745,688.21","323,807,186.80","5,000,000.00","282,901,227.83","286,919,830.23","482,697,791.21",,"202,280,000.00","202,280,000.00","300,940,139.88","21,736,490.97"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,675,710.59","2,848,906.62","885,768.67","567,098.76","567,098.76","1,297,068.00",,"31,867.09","31,867.09","7,696,697.33",,"901,400.00","901,400.00","10,259,116.71",,"1,284,389.40","1,284,389.40","14,790,584.05",
筹资活动产生的现金流量净额,"-110,907,442.41","-205,270,015.70","-58,882,184.79","-256,222,019.52","220,212,664.70","218,510,120.79",,"-169,745,688.21","-169,745,688.21","-83,807,186.80","-5,000,000.00","-282,901,227.83","-175,008,271.23","-280,219,514.13","20,000,000.00","-162,645,813.08","-162,627,813.08","-176,235,952.96","-18,736,490.97"
处置子公司及其他营业单位收到的现金净额,"9,272,125.91",,,,,,,,,,,,,,,,,"4,022,234.15",
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
