科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他应收款,"3,324,000.81","2,536,605.79","7,081,483.02","4,497,134.31","4,728,675.59","4,386,255.63","5,953,024.92","6,499,187.08","6,575,967.12","6,661,376.79","8,328,234.59","8,260,426.28","10,045,248.47","10,616,156.29","12,064,868.26","12,014,144.64","11,981,425.04","12,174,585.67","12,214,356.88","11,035,618.72","12,244,569.51","12,490,534.57","14,061,646.39","14,624,703.68","14,220,219.56","6,971,782.60","10,147,373.12","17,173,064.81","12,880,096.15","14,134,998.50","13,333,569.55","29,957,283.95","31,928,156.25","28,639,448.66","28,239,594.75","26,664,789.61","73,758,698.47","74,859,245.94","74,814,798.42","46,112,412.49","45,100,262.15","45,492,826.70","45,116,561.97","25,949,464.11","7,233,213.97"
应付职工薪酬,"163,376.42","42,247.61","157,859.73","229,076.50","724,619.97","925,912.86","13,737.67","251,245.06","54,525.21","51,194.35","56,707.33","123,335.80","48,746.79","251,981.21","347,894.94","383,829.70","171,653.76","663,088.03","291,734.00","578,950.72","8,353.27","291,362.24","518,921.18","836,080.61","275,164.60","1,055,417.00","467,987.87","204,997.39","509,997.03","1,269,871.01","549,841.79","2,892,772.69","1,165,946.19","1,881,030.55","478,664.29","1,959,641.45","766,821.90","1,319,195.86","612,723.04","2,286,585.83","872,206.39","1,436,493.32","605,662.41","1,194,322.08","1,119,268.85"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,670,367.46","4,587,158.53","5,437,934.58","8,804,926.23","9,350,749.13","4,986,726.10","1,693,162.66","1,195,913.94","2,245,168.75","2,627,028.59","4,223,290.08","5,892,274.22","6,765,323.37","5,739,082.82","3,503,816.11","9,445,209.49","11,727,564.44","11,621,066.36","4,758,052.27","10,270,706.30","12,065,890.21","7,049,119.89","3,785,798.44","8,882,452.77","7,799,097.05","11,629,441.44","9,815,265.97","17,720,747.30","17,151,658.03","19,002,398.35","8,047,699.71","9,124,782.49","12,512,082.16","15,544,260.96","15,793,669.84","16,425,190.01","24,291,358.40","14,518,540.37","13,629,412.70","22,965,044.78","23,985,927.17","23,250,793.32","22,743,934.92","33,053,350.63","33,705,018.61"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,361,937.50","1,808,931.18","2,562,335.36","2,675,752.00","3,118,502.00","3,551,627.00"
应付利息,"421,239.77","996,009.27","307,561.35","663,003.89","766,262.74","736,951.18","983,562.15","1,088,551.25","1,184,741.50","1,144,293.68","1,153,871.55","932,721.25","1,134,800.00","905,710.34","1,380,634.09","1,034,087.80","545,108.98","1,045,532.90","1,196,918.60","1,274,383.90","1,231,881.63","1,123,406.85","1,132,448.53","1,425,221.09","1,410,956.06","1,191,576.33","1,619,813.86","2,025,766.09","1,492,329.99","1,614,722.24","334,522.79","554,184.51","539,723.36","465,284.75","323,444.47","411,437.52","489,027.81","563,638.91","544,305.57","40,486.11",,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"7,337,367.40","3,750,000.00","3,750,000.00",,"701,900.00",,,,"22,597,180.00",,,,"2,048,100.00",,,,"21,267,920.00",,,,"1,859,820.00","2,624,116.88","2,024,116.88",,"2,055,040.00",,,"1,604,006.25","2,943,823.50",,,"3,059,100.00","52,417,022.04","1,000,000.00",,,"3,750,000.00","3,755,145.98","5,145.98",,"3,750,000.00",,,,"3,750,000.00"
存货,"186,967,207.88","200,229,231.25","193,781,980.67","196,126,023.59","197,234,720.99","218,073,832.09","244,254,515.69","234,155,337.90","216,208,697.32","200,041,926.73","189,938,848.48","180,394,074.18","186,927,245.86","174,222,813.68","173,643,251.96","161,493,730.82","173,634,763.86","183,376,404.36","179,133,311.70","166,774,649.87","164,147,787.42","145,083,337.88","151,267,673.82","151,638,076.52","150,214,138.99","154,202,138.45","162,718,566.69","160,955,162.48","174,313,048.33","174,392,169.57","176,824,052.91","205,638,530.84","208,008,231.86","218,769,977.76","211,121,006.50","204,110,166.83","203,092,311.21","216,769,607.53","220,119,474.38","236,237,026.64","251,021,391.90","257,078,723.70","265,725,918.94","299,849,068.93","299,613,814.38"
其他应付款,"51,242,269.63","43,342,512.85","49,780,956.10","36,152,196.15","26,083,442.09","23,470,889.57","22,963,187.78","18,073,547.53","14,332,217.07","43,165,675.06","33,685,159.73","11,679,878.28","10,466,697.42","11,417,798.39","11,513,775.40","10,963,386.67","11,488,407.67","9,463,489.65","8,202,391.12","6,206,430.64","7,545,158.26","7,480,220.37","7,147,671.01","6,757,144.29","6,682,940.10","8,522,086.16","6,823,854.02","7,664,064.75","8,922,217.69","8,809,424.30","9,406,365.55","28,029,837.64","9,693,002.72","13,028,363.29","10,145,155.90","124,615,630.03","125,585,791.19","114,446,997.20","76,485,518.57","118,331,910.01","212,353,995.22","307,109,165.76","280,414,982.75","304,557,498.72","303,513,512.20"
