科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,807,398,144.11","1,530,399,451.34","2,035,954,704.79","776,050,733.07","1,421,289,699.21","2,274,805,843.49","3,420,814,876.98","947,709,974.39","2,446,126,553.36","3,311,872,501.29","4,445,809,097.43","1,081,916,168.90","2,064,662,485.44","3,071,469,877.73","4,202,268,778.11","799,717,726.48","1,619,888,967.11","2,346,336,476.03","3,192,950,252.12","1,215,493,969.79","2,393,585,645.52","3,418,999,592.93","4,372,329,632.59","871,395,990.99","1,844,706,122.40","3,031,010,722.57","4,621,985,866.59","1,064,432,038.69","2,025,936,579.01","3,153,146,854.97","4,764,347,493.73","1,321,011,469.47","2,572,987,571.41","3,985,632,442.51","5,682,027,468.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"3,200,000.00","2,788,500.00",,,"1,000,000.00","129,800.00",,,,,,,,,,,"5,568,177.64","6,515,036.88","1,173,399.13","1,494,150.98","1,494,150.98","2,948,943.45","1,145,859.86","2,797,962.96","4,459,150.20","5,186,002.65","815,625.28","5,993,495.17","14,362,120.87","14,333,404.17","1,722,340.38","1,970,318.60","4,573,644.40","6,005,310.64"
支付其他与投资活动有关的现金,"24,551,300.81","65,453,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"341,433.64",,,,
收到其他与经营活动有关的现金,"55,050,374.68","28,101,947.31","31,835,120.14","2,591,943.01","4,787,937.66","6,749,613.05","9,973,273.88","1,798,133.43","4,466,462.85","10,777,170.52","10,931,226.77","6,967,229.77","9,263,869.01","12,628,443.31","23,696,051.13","29,132,394.41","28,719,931.19","32,723,533.35","36,521,181.97","1,494,445.36","4,491,644.99","7,928,494.05","23,298,887.92","3,691,670.17","3,823,903.49","7,543,951.05","12,698,628.52","4,999,125.01","4,156,303.41","6,548,356.49","14,401,083.99","2,460,409.80","6,648,590.31","9,078,257.94","15,660,934.95"
投资活动现金流出小计,"636,900,408.13","497,495,425.08","317,023,367.00","22,759,436.61","178,559,837.70","304,804,653.80","298,478,094.77","45,802,654.36","96,804,194.30","160,055,376.66","241,418,090.04","204,297,390.65","284,174,046.33","924,734,198.81","1,699,927,429.36","618,817,504.01","1,088,756,225.85","2,020,844,843.15","2,389,144,346.54","506,084,849.46","1,331,782,574.33","2,459,611,976.71","3,912,043,999.71","910,207,886.65","1,599,239,536.61","1,977,700,101.72","2,370,580,795.72","392,719,756.93","473,466,977.81","760,914,933.48","936,692,960.97","310,802,382.49","1,000,907,657.50","2,629,758,785.54","3,740,921,520.25"
经营活动现金流入小计,"1,862,448,518.79","1,561,701,398.65","2,070,578,324.93","778,642,676.08","1,426,077,636.87","2,282,555,456.54","3,430,917,950.86","949,508,107.82","2,450,593,016.21","3,322,649,671.81","4,456,740,324.20","1,088,883,398.67","2,073,926,354.45","3,084,098,321.04","4,225,964,829.24","828,850,120.89","1,648,608,898.30","2,384,628,187.02","3,235,986,470.97","1,218,161,814.28","2,399,571,441.49","3,428,422,237.96","4,398,577,463.96","876,233,521.02","1,851,327,988.85","3,043,013,823.82","4,639,870,497.76","1,070,246,788.98","2,036,086,377.59","3,174,057,332.33","4,793,081,981.89","1,325,194,219.65","2,581,606,480.32","3,999,284,344.85","5,703,693,713.63"
投资活动产生的现金流量净额,"-429,988,408.13","-495,133,699.08","-214,039,069.36","2,240,563.39","-149,523,621.04","-275,321,965.38","-268,991,403.83","34,197,345.64","-15,929,684.49","-48,880,866.85","-130,159,290.04","-199,735,997.45","-279,396,883.90","-873,022,036.38","-1,142,761,623.72","-238,710,209.17","-302,008,801.02","-703,036,255.31","-739,896,521.13","-469,949,233.02","-436,863,962.11","-840,385,707.88","-1,258,317,170.82","-117,150,696.94","-317,285,542.37","-483,848,729.96","-568,938,360.25","-242,274,179.71","-217,117,703.42","-239,191,536.32","-341,350,121.49","-164,741,301.46","-342,649,007.55","-507,720,021.25","-575,967,546.39"
购买商品、接受劳务支付的现金,"1,229,480,284.28","1,308,513,719.91","1,488,631,675.14","606,646,900.60","1,107,656,516.77","1,692,903,218.14","2,661,169,021.95","677,329,790.48","1,324,910,329.89","2,181,796,977.39","3,052,295,767.95","697,246,493.95","1,403,745,715.51","2,085,501,892.34","2,752,475,544.20","720,844,198.14","1,185,534,982.99","1,709,242,004.90","2,474,356,329.08","926,928,376.99","1,876,965,113.32","2,646,985,132.40","2,632,911,020.30","741,744,158.28","1,400,129,896.31","2,132,847,574.65","2,888,415,940.66","603,679,449.55","1,127,637,719.62","2,005,294,642.82","2,966,863,317.71","847,360,543.42","1,616,322,972.85","2,337,950,186.12","3,225,754,786.27"
吸收投资收到的现金,,,"10,200,000.00","2,000,300,000.00","2,000,300,000.00","2,000,300,000.00","2,000,300,000.00",,,,,,,,"9,000,000.00",,"9,000,000.00","36,000,000.00","36,000,000.00",,,"1,800,000.00","1,800,000.00",,,,,,,,,,,"4,500,000.00","3,000,000.00"
